Simulation #165, Parameters: eta = 0.089947 | rho = 0.119100 | v0 = 0.051081s
Step 0 | Order = 0.014126300275999981 | Time = 0s
Step 1000 | Order = 0.11955261346335762 | Time = 0s
Step 2000 | Order = 0.13735924205207561 | Time = 0s
Step 3000 | Order = 0.11629565044739487 | Time = 0s
Step 4000 | Order = 0.13859178545348649 | Time = 1s
Step 5000 | Order = 0.23372504743468273 | Time = 1s
Step 6000 | Order = 0.36918118432794061 | Time = 1s
Step 7000 | Order = 0.50317143136292031 | Time = 1s
Step 8000 | Order = 0.36516466857560487 | Time = 1s
Step 9000 | Order = 0.44930304249337577 | Time = 2s
Step 10000 | Order = 0.40322411906828387 | Time = 2s
Step 11000 | Order = 0.39325663187095222 | Time = 2s
Step 12000 | Order = 0.25409335516511028 | Time = 2s
Step 13000 | Order = 0.35306345230691499 | Time = 3s
Step 14000 | Order = 0.31027142818921821 | Time = 3s
Step 15000 | Order = 0.31697869859067113 | Time = 3s
Step 16000 | Order = 0.20869085793285305 | Time = 3s
Step 17000 | Order = 0.23318367167289256 | Time = 3s
Step 18000 | Order = 0.43414034311854555 | Time = 4s
Step 19000 | Order = 0.29666497121247221 | Time = 4s
Step 20000 | Order = 0.43708575670306599 | Time = 4s
Step 21000 | Order = 0.32592864505959357 | Time = 4s
Step 22000 | Order = 0.25471833885663664 | Time = 5s
Step 23000 | Order = 0.29178545196525985 | Time = 5s
Step 24000 | Order = 0.2601215780739029 | Time = 5s
Step 25000 | Order = 0.47744371551822679 | Time = 5s
Step 26000 | Order = 0.35665202218497222 | Time = 6s
Step 27000 | Order = 0.28440009801661609 | Time = 6s
Step 28000 | Order = 0.2930492545438963 | Time = 6s
Step 29000 | Order = 0.2924384716176332 | Time = 6s
Step 30000 | Order = 0.34880047114584506 | Time = 7s
Step 31000 | Order = 0.33062808153399742 | Time = 7s
Step 32000 | Order = 0.41268633355583673 | Time = 7s
Step 33000 | Order = 0.32756483025942101 | Time = 7s
Step 34000 | Order = 0.40761620775386681 | Time = 7s
Step 35000 | Order = 0.43020923980380399 | Time = 8s
Step 36000 | Order = 0.41965289655240984 | Time = 8s
Step 37000 | Order = 0.24432779690249379 | Time = 8s
Step 38000 | Order = 0.4478702149638637 | Time = 8s
Step 39000 | Order = 0.52075406219132148 | Time = 9s
Step 40000 | Order = 0.51541730271107766 | Time = 9s
Step 41000 | Order = 0.56670495236198659 | Time = 9s
Step 42000 | Order = 0.46245208818274391 | Time = 9s
Step 43000 | Order = 0.52823699264761714 | Time = 10s
Step 44000 | Order = 0.43551547974433186 | Time = 10s
Step 45000 | Order = 0.43412556245963724 | Time = 10s
Step 46000 | Order = 0.26704624942760302 | Time = 10s
Step 47000 | Order = 0.15247073555214349 | Time = 10s
Step 48000 | Order = 0.097421333412518032 | Time = 11s
Step 49000 | Order = 0.067453103530607336 | Time = 11s
Step 50000 | Order = 0.044787713826172922 | Time = 11s
Step 51000 | Order = 0.11223469144663205 | Time = 12s
Step 52000 | Order = 0.2464038613715632 | Time = 12s
Step 53000 | Order = 0.24083992817558544 | Time = 12s
Step 54000 | Order = 0.24660432295469989 | Time = 12s
Step 55000 | Order = 0.29193315777537521 | Time = 13s
Step 56000 | Order = 0.32630492711297787 | Time = 13s
Step 57000 | Order = 0.24698824857575119 | Time = 13s
Step 58000 | Order = 0.24432041332076118 | Time = 13s
Step 59000 | Order = 0.2992129997681065 | Time = 14s
Step 60000 | Order = 0.34417788107328223 | Time = 14s
Step 61000 | Order = 0.48866464230245849 | Time = 14s
Step 62000 | Order = 0.42261560877801341 | Time = 14s
Step 63000 | Order = 0.36943461751781659 | Time = 15s
Step 64000 | Order = 0.51351399160839029 | Time = 15s
Step 65000 | Order = 0.47512600114830578 | Time = 15s
Step 66000 | Order = 0.42885024332409954 | Time = 15s
Step 67000 | Order = 0.47228837429896253 | Time = 15s
Step 68000 | Order = 0.51424482892999468 | Time = 16s
Step 69000 | Order = 0.68949578256141231 | Time = 16s
Step 70000 | Order = 0.73384945308231542 | Time = 16s
Step 71000 | Order = 0.66188845867059309 | Time = 16s
Step 72000 | Order = 0.57614730387881496 | Time = 17s
Step 73000 | Order = 0.56920760561510453 | Time = 17s
Step 74000 | Order = 0.45951540941782681 | Time = 17s
Step 75000 | Order = 0.56324952584001853 | Time = 17s
Step 76000 | Order = 0.5964044070823229 | Time = 18s
Step 77000 | Order = 0.58346338460642111 | Time = 18s
Step 78000 | Order = 0.50119451974585272 | Time = 18s
Step 79000 | Order = 0.3956372228865826 | Time = 18s
Step 80000 | Order = 0.36357416990407809 | Time = 18s
Step 81000 | Order = 0.36559065524000656 | Time = 19s
Step 82000 | Order = 0.30081104472403269 | Time = 19s
Step 83000 | Order = 0.22902052001960188 | Time = 19s
Step 84000 | Order = 0.27355837404124511 | Time = 19s
Step 85000 | Order = 0.35637227681581907 | Time = 20s
Step 86000 | Order = 0.479939588679268 | Time = 20s
Step 87000 | Order = 0.58992445600523225 | Time = 20s
Step 88000 | Order = 0.61761890426413524 | Time = 20s
Step 89000 | Order = 0.50140360815731777 | Time = 21s
Step 90000 | Order = 0.44480494452610436 | Time = 21s
Step 91000 | Order = 0.30621847030573562 | Time = 21s
Step 92000 | Order = 0.32642576088797554 | Time = 21s
Step 93000 | Order = 0.26875851415601426 | Time = 21s
Step 94000 | Order = 0.087395287348973033 | Time = 22s
Step 95000 | Order = 0.17350979372258257 | Time = 22s
Step 96000 | Order = 0.16535957578508637 | Time = 22s
Step 97000 | Order = 0.15069926146231716 | Time = 22s
Step 98000 | Order = 0.23897421023864093 | Time = 23s
