Simulation #20, Parameters: eta = 0.102477 | rho = 0.243300 | v0 = 0.424534s
Step 112000 | Order = 0.85305963481342439 | Time = 45s
Step 113000 | Order = 0.84813749940889638 | Time = 46s
Step 114000 | Order = 0.88035917246924356 | Time = 46s
Step 115000 | Order = 0.86046965229253758 | Time = 46s
Step 116000 | Order = 0.85499607814743928 | Time = 47s
Step 117000 | Order = 0.84911991005018062 | Time = 47s
Step 118000 | Order = 0.84140482559735208 | Time = 48s
Step 119000 | Order = 0.86594361196501424 | Time = 48s
Step 120000 | Order = 0.8575868436630103 | Time = 48s
Step 121000 | Order = 0.8607377338409169 | Time = 49s
Step 122000 | Order = 0.86678884857044647 | Time = 49s
Step 123000 | Order = 0.84416575620179846 | Time = 50s
Step 124000 | Order = 0.8563922225515751 | Time = 50s
Step 125000 | Order = 0.87093437518508132 | Time = 50s
Step 126000 | Order = 0.85380814431031293 | Time = 51s
Step 127000 | Order = 0.8742356028713848 | Time = 51s
Step 128000 | Order = 0.85509359011328923 | Time = 51s
Step 129000 | Order = 0.86865014190814005 | Time = 52s
Step 130000 | Order = 0.87189628057286406 | Time = 52s
Step 131000 | Order = 0.85775483947559494 | Time = 53s
Step 132000 | Order = 0.86101342717739904 | Time = 53s
Step 133000 | Order = 0.85767099084134446 | Time = 54s
Step 134000 | Order = 0.85374157328770772 | Time = 54s
Step 135000 | Order = 0.87836152793234157 | Time = 54s
Step 136000 | Order = 0.8595333626555498 | Time = 55s
Step 137000 | Order = 0.8747481185340007 | Time = 55s
Step 138000 | Order = 0.84544915355852035 | Time = 55s
Step 139000 | Order = 0.8581252214037578 | Time = 56s
Step 140000 | Order = 0.8645461219804671 | Time = 56s
Step 141000 | Order = 0.87753386845805126 | Time = 57s
Step 142000 | Order = 0.86950653446020909 | Time = 57s
Step 143000 | Order = 0.85927833148683186 | Time = 58s
Step 144000 | Order = 0.86603662550877025 | Time = 58s
Step 145000 | Order = 0.85813652088021897 | Time = 58s
Step 146000 | Order = 0.85902070340978731 | Time = 59s
Step 147000 | Order = 0.85593722376536385 | Time = 59s
Step 148000 | Order = 0.87015579705881951 | Time = 60s
Step 149000 | Order = 0.8769074144120621 | Time = 60s
Step 150000 | Order = 0.86518708315227544 | Time = 60s
Step 151000 | Order = 0.86791746872964737 | Time = 62s
Step 152000 | Order = 0.8719638104746088 | Time = 62s
Step 153000 | Order = 0.85036163411737364 | Time = 63s
Step 154000 | Order = 0.86163067683527006 | Time = 63s
Step 155000 | Order = 0.86216384709630334 | Time = 63s
Step 156000 | Order = 0.86595955518670409 | Time = 64s
Step 157000 | Order = 0.85070828977344282 | Time = 64s
Step 158000 | Order = 0.86341386226568873 | Time = 65s
Step 159000 | Order = 0.86557815319908737 | Time = 65s
Step 160000 | Order = 0.85977994375768585 | Time = 65s
Step 161000 | Order = 0.86457998607039321 | Time = 66s
Step 162000 | Order = 0.84904678682863799 | Time = 66s
Step 163000 | Order = 0.8741806157073313 | Time = 67s
Step 164000 | Order = 0.86021328402591279 | Time = 67s
Step 165000 | Order = 0.86393261295938095 | Time = 67s
Step 166000 | Order = 0.86615722240357218 | Time = 68s
Step 167000 | Order = 0.85948644813209141 | Time = 68s
Step 168000 | Order = 0.849722451637131 | Time = 69s
Step 169000 | Order = 0.86108959429506338 | Time = 69s
Step 170000 | Order = 0.84927449097155194 | Time = 69s
Step 171000 | Order = 0.8613798138708979 | Time = 70s
Step 172000 | Order = 0.86708625324134103 | Time = 70s
Step 173000 | Order = 0.85443428782757846 | Time = 70s
Step 174000 | Order = 0.85494168721834751 | Time = 71s
Step 175000 | Order = 0.87371132873286106 | Time = 71s
Step 176000 | Order = 0.86293761147527093 | Time = 72s
Step 177000 | Order = 0.85298626705158209 | Time = 72s
Step 178000 | Order = 0.85788177880428262 | Time = 73s
Step 179000 | Order = 0.85273660646120186 | Time = 73s
Step 180000 | Order = 0.86023269896713794 | Time = 73s
Step 181000 | Order = 0.87434040108214373 | Time = 74s
Step 182000 | Order = 0.85627072414258887 | Time = 74s
Step 183000 | Order = 0.88071216859720802 | Time = 74s
Step 184000 | Order = 0.85051885655321346 | Time = 75s
Step 185000 | Order = 0.85728532191476836 | Time = 75s
Step 186000 | Order = 0.84685823633197455 | Time = 76s
Step 187000 | Order = 0.84036598951640007 | Time = 76s
Step 188000 | Order = 0.88061175389305468 | Time = 76s
Step 189000 | Order = 0.8692052935837199 | Time = 77s
Step 190000 | Order = 0.84639260985102593 | Time = 77s
Step 191000 | Order = 0.86708878385811439 | Time = 78s
Step 192000 | Order = 0.87135649132978932 | Time = 78s
Step 193000 | Order = 0.8538728763576835 | Time = 78s
Step 194000 | Order = 0.8412392848953848 | Time = 79s
Step 195000 | Order = 0.86201431718892618 | Time = 79s
Step 196000 | Order = 0.86868189805023033 | Time = 80s
Step 197000 | Order = 0.86708229649740665 | Time = 80s
Step 198000 | Order = 0.86845910994191411 | Time = 80s
Step 199000 | Order = 0.86245423398562227 | Time = 81s
Step 200000 | Order = 0.87062909087671514 | Time = 81s
Step 201000 | Order = 0.87919160078175074 | Time = 83s
Step 202000 | Order = 0.86119059628365158 | Time = 83s
Step 203000 | Order = 0.86645264977164749 | Time = 84s
Step 204000 | Order = 0.85855747555605788 | Time = 84s
Step 205000 | Order = 0.84507782828690048 | Time = 84s
Step 206000 | Order = 0.86566644328689291 | Time = 85s
Step 207000 | Order = 0.8585216482070066 | Time = 85s
Step 208000 | Order = 0.85588092061713483 | Time = 86s
Step 209000 | Order = 0.86243457654208366 | Time = 86s
Step 210000 | Order = 0.84899191193781642 | Time = 86s
Step 211000 | Order = 0.85802058043428586 | Time = 87s
Step 212000 | Order = 0.86081685829921262 | Time = 87s
Step 213000 | Order = 0.87601161028593744 | Time = 88s
Step 214000 | Order = 0.87231623773939482 | Time = 88s
Step 215000 | Order = 0.8643360261146863 | Time = 88s
Step 216000 | Order = 0.84958344270548225 | Time = 89s
Step 217000 | Order = 0.86738869660434414 | Time = 89s
Step 218000 | Order = 0.86903813815593112 | Time = 90s
Step 219000 | Order = 0.86630761289124847 | Time = 90s
Step 220000 | Order = 0.84656241070597815 | Time = 90s
Step 221000 | Order = 0.85529123709361554 | Time = 91s
Step 222000 | Order = 0.87167041028174452 | Time = 91s
Step 223000 | Order = 0.86263973453385412 | Time = 92s
Step 224000 | Order = 0.86481716760430782 | Time = 92s
Step 225000 | Order = 0.86461848109449002 | Time = 92s
Step 226000 | Order = 0.86273931723509345 | Time = 93s
Step 227000 | Order = 0.86402563322896109 | Time = 93s
Step 228000 | Order = 0.86685179916676169 | Time = 94s
Step 229000 | Order = 0.86018918736227434 | Time = 94s
Step 230000 | Order = 0.8628088271917147 | Time = 94s
Step 231000 | Order = 0.86363265818979928 | Time = 95s
Step 232000 | Order = 0.8780217772552289 | Time = 95s
Step 233000 | Order = 0.86620310899750774 | Time = 96s
Step 234000 | Order = 0.86687348921686136 | Time = 96s
Step 235000 | Order = 0.84579263538219196 | Time = 96s
Step 236000 | Order = 0.87932356245433041 | Time = 97s
Step 237000 | Order = 0.85223671860289318 | Time = 97s
Step 238000 | Order = 0.84445764576048687 | Time = 98s
Step 239000 | Order = 0.84660454699625698 | Time = 98s
Step 240000 | Order = 0.85626930070708351 | Time = 98s
Step 241000 | Order = 0.86713606432078194 | Time = 99s
Step 242000 | Order = 0.87617731575771585 | Time = 99s
Step 243000 | Order = 0.8348928257194721 | Time = 99s
Step 244000 | Order = 0.83769112578961691 | Time = 100s
Step 245000 | Order = 0.86418718592722055 | Time = 100s
Step 246000 | Order = 0.85692893315503893 | Time = 101s
Step 247000 | Order = 0.85425398422614995 | Time = 101s
Step 248000 | Order = 0.8702213569067534 | Time = 101s
Step 249000 | Order = 0.86510646976272854 | Time = 102s
Step 250000 | Order = 0.86540555332088864 | Time = 102s
Step 251000 | Order = 0.87091385641197283 | Time = 103s
Step 252000 | Order = 0.85464570282233243 | Time = 104s
Step 253000 | Order = 0.84794756557048589 | Time = 104s
Step 254000 | Order = 0.85969243759467884 | Time = 104s
Step 255000 | Order = 0.85215903834929407 | Time = 105s
Step 256000 | Order = 0.84671616146145057 | Time = 105s
Step 257000 | Order = 0.85302359877982337 | Time = 106s
Step 258000 | Order = 0.86014548612662245 | Time = 106s
Step 259000 | Order = 0.84331895743418739 | Time = 106s
Step 260000 | Order = 0.86068105930004302 | Time = 107s
Step 261000 | Order = 0.85576436356265762 | Time = 107s
Step 262000 | Order = 0.86612420110063815 | Time = 108s
Step 263000 | Order = 0.87107496201841284 | Time = 108s
Step 264000 | Order = 0.87725565098075742 | Time = 108s
Step 265000 | Order = 0.8798651503090491 | Time = 109s
Step 266000 | Order = 0.85360281956956163 | Time = 109s
Step 267000 | Order = 0.84783676563196897 | Time = 110s
Step 268000 | Order = 0.8637560291644486 | Time = 110s
Step 269000 | Order = 0.86068529076951328 | Time = 110s
Step 270000 | Order = 0.86848587339262595 | Time = 111s
Step 271000 | Order = 0.8607255640479583 | Time = 111s
Step 272000 | Order = 0.85454866918275896 | Time = 111s
Step 273000 | Order = 0.85851699285820882 | Time = 112s
Step 274000 | Order = 0.85354657443524529 | Time = 112s
Step 275000 | Order = 0.85264926364320104 | Time = 113s
Step 276000 | Order = 0.86939497891840978 | Time = 113s
Step 277000 | Order = 0.87462232940327878 | Time = 113s
Step 278000 | Order = 0.85917041207427014 | Time = 114s
Step 279000 | Order = 0.84299249769631202 | Time = 114s
Step 280000 | Order = 0.85596100233937245 | Time = 115s
Step 281000 | Order = 0.84241432123550208 | Time = 115s
Step 282000 | Order = 0.85317124050644677 | Time = 115s
Step 283000 | Order = 0.84958451473210428 | Time = 116s
Step 284000 | Order = 0.87470642877956595 | Time = 116s
Step 285000 | Order = 0.85137835598244627 | Time = 117s
Step 286000 | Order = 0.8515293706366508 | Time = 117s
Step 287000 | Order = 0.85832204918242683 | Time = 117s
Step 288000 | Order = 0.86663458648072034 | Time = 118s
Step 289000 | Order = 0.87149207309085208 | Time = 118s
Step 290000 | Order = 0.87064004535655848 | Time = 119s
Step 291000 | Order = 0.85659717328921781 | Time = 119s
Step 292000 | Order = 0.8424596599403491 | Time = 119s
Step 293000 | Order = 0.85373327902712148 | Time = 120s
Step 294000 | Order = 0.86309296896781429 | Time = 120s
Step 295000 | Order = 0.85489843516198061 | Time = 120s
Step 296000 | Order = 0.85138990102226242 | Time = 121s
Step 297000 | Order = 0.85850227220549313 | Time = 121s
Step 298000 | Order = 0.87755396934435359 | Time = 122s
Step 299000 | Order = 0.85490721994142727 | Time = 122s
Step 300000 | Order = 0.86463782831563718 | Time = 123s
Step 301000 | Order = 0.84537380976972432 | Time = 126s
Step 302000 | Order = 0.86949454788945713 | Time = 126s
Step 303000 | Order = 0.84748798949371695 | Time = 127s
Step 304000 | Order = 0.86696700977003127 | Time = 127s
Step 305000 | Order = 0.8610988314120207 | Time = 127s
Step 306000 | Order = 0.86585053917815469 | Time = 128s
Step 307000 | Order = 0.8496097742188653 | Time = 128s
Step 308000 | Order = 0.86524248504576118 | Time = 129s
Step 309000 | Order = 0.84713408142735858 | Time = 129s
Step 310000 | Order = 0.86249235665383339 | Time = 129s
Step 311000 | Order = 0.85732652204595472 | Time = 130s
Step 312000 | Order = 0.86980915443681461 | Time = 130s
Step 313000 | Order = 0.86696774133576682 | Time = 131s
Step 314000 | Order = 0.85430334487439463 | Time = 131s
Step 315000 | Order = 0.86823293199360063 | Time = 131s
Step 316000 | Order = 0.84713730589048997 | Time = 132s
Step 317000 | Order = 0.86068284784781557 | Time = 132s
Step 318000 | Order = 0.85836489698732155 | Time = 133s
Step 319000 | Order = 0.86002619069942743 | Time = 133s
Step 320000 | Order = 0.85307221476670758 | Time = 133s
Step 321000 | Order = 0.85646786562991828 | Time = 134s
Step 322000 | Order = 0.86626671610268435 | Time = 134s
Step 323000 | Order = 0.8711947683815825 | Time = 135s
Step 324000 | Order = 0.87041872038763635 | Time = 135s
Step 325000 | Order = 0.88250105024172198 | Time = 135s
Step 326000 | Order = 0.86179923698309779 | Time = 136s
Step 327000 | Order = 0.88043140244705198 | Time = 136s
Step 328000 | Order = 0.86277241822702033 | Time = 136s
Step 329000 | Order = 0.85757956511117184 | Time = 137s
Step 330000 | Order = 0.86989705923888494 | Time = 137s
Step 331000 | Order = 0.84205749743988223 | Time = 138s
Step 332000 | Order = 0.85203490877444588 | Time = 138s
Step 333000 | Order = 0.86575296126753498 | Time = 139s
Step 334000 | Order = 0.87741828412508371 | Time = 139s
Step 335000 | Order = 0.85804325046268226 | Time = 139s
Step 336000 | Order = 0.87127534279846619 | Time = 140s
Step 337000 | Order = 0.86571698477781689 | Time = 140s
Step 338000 | Order = 0.86826071494569013 | Time = 140s
Step 339000 | Order = 0.85810299294248082 | Time = 141s
Step 340000 | Order = 0.8644288410271147 | Time = 141s
Step 341000 | Order = 0.85818079957391713 | Time = 142s
Step 342000 | Order = 0.85015233328696149 | Time = 142s
Step 343000 | Order = 0.84247380575327768 | Time = 143s
Step 344000 | Order = 0.86671831029259261 | Time = 143s
Step 345000 | Order = 0.87827111537789071 | Time = 143s
Step 346000 | Order = 0.86509955047081311 | Time = 144s
Step 347000 | Order = 0.86532294418357636 | Time = 144s
Step 348000 | Order = 0.85646247293254474 | Time = 144s
Step 349000 | Order = 0.8742240396865365 | Time = 145s
Step 350000 | Order = 0.86896168050302081 | Time = 145s
Step 351000 | Order = 0.85948218836258727 | Time = 148s
Step 352000 | Order = 0.85587152478200357 | Time = 148s
Step 353000 | Order = 0.87345572550624673 | Time = 148s
Step 354000 | Order = 0.86741979662989666 | Time = 149s
Step 355000 | Order = 0.86228220641154718 | Time = 149s
Step 356000 | Order = 0.87130370430604165 | Time = 150s
Step 357000 | Order = 0.87256510069932736 | Time = 150s
Step 358000 | Order = 0.84263820855583449 | Time = 150s
Step 359000 | Order = 0.88111377604645558 | Time = 151s
Step 360000 | Order = 0.85179724555192249 | Time = 151s
Step 361000 | Order = 0.86124464479418716 | Time = 151s
Step 362000 | Order = 0.85800575242562882 | Time = 152s
Step 363000 | Order = 0.85143302802238996 | Time = 152s
Step 364000 | Order = 0.85897102479145149 | Time = 153s
Step 365000 | Order = 0.85260634149429138 | Time = 153s
Step 366000 | Order = 0.84990909788800684 | Time = 154s
Step 367000 | Order = 0.87526411502542134 | Time = 154s
Step 368000 | Order = 0.84679881402167689 | Time = 154s
Step 369000 | Order = 0.86861439658698891 | Time = 155s
Step 370000 | Order = 0.84685189233689873 | Time = 155s
Step 371000 | Order = 0.87034829583168216 | Time = 155s
Step 372000 | Order = 0.86937431136544863 | Time = 156s
Step 373000 | Order = 0.86170443273157338 | Time = 156s
Step 374000 | Order = 0.86456023693667616 | Time = 157s
Step 375000 | Order = 0.85837114758061051 | Time = 157s
Step 376000 | Order = 0.87130583034656639 | Time = 157s
Step 377000 | Order = 0.8663578482003832 | Time = 158s
Step 378000 | Order = 0.87416805232424877 | Time = 158s
