Simulation #43, Parameters: eta = 0.412920 | rho = 0.180749 | v0 = 0.0935687s
Step 0 | Order = 0.0057466565998176506 | Time = 0s
Step 1000 | Order = 0.0080096815786698909 | Time = 0s
Step 2000 | Order = 0.012817369578237809 | Time = 1s
Step 3000 | Order = 0.023505246211155736 | Time = 2s
Step 4000 | Order = 0.041433047017058154 | Time = 2s
Step 5000 | Order = 0.049555639224898272 | Time = 2s
Step 6000 | Order = 0.047427967742703379 | Time = 3s
Step 7000 | Order = 0.049243208738488475 | Time = 4s
Step 8000 | Order = 0.015829061316391599 | Time = 4s
Step 9000 | Order = 0.045475400814990734 | Time = 4s
Step 10000 | Order = 0.005780492216622881 | Time = 5s
Step 11000 | Order = 0.01409153443277065 | Time = 5s
Step 12000 | Order = 0.023197833549677811 | Time = 5s
Step 13000 | Order = 0.0080551356296823234 | Time = 6s
Step 14000 | Order = 0.014287255084850225 | Time = 6s
Step 15000 | Order = 0.023675694865730578 | Time = 6s
Step 16000 | Order = 0.025363776234647965 | Time = 7s
Step 17000 | Order = 0.036838971111176878 | Time = 7s
Step 18000 | Order = 0.030333244834966751 | Time = 7s
Step 19000 | Order = 0.057157973939785167 | Time = 8s
Step 20000 | Order = 0.010205356891464106 | Time = 8s
Step 21000 | Order = 0.0049706672355803875 | Time = 8s
Step 22000 | Order = 0.018706042516304627 | Time = 9s
Step 23000 | Order = 0.015390216417441449 | Time = 9s
Step 24000 | Order = 0.027219365798889422 | Time = 9s
Step 25000 | Order = 0.015069386603587254 | Time = 10s
Step 26000 | Order = 0.03464055552434446 | Time = 10s
Step 27000 | Order = 0.04194262173178822 | Time = 10s
Step 28000 | Order = 0.007678433902146788 | Time = 11s
Step 29000 | Order = 0.029406765466456507 | Time = 11s
Step 30000 | Order = 0.031433213508843927 | Time = 11s
Step 31000 | Order = 0.036511842512333789 | Time = 11s
Step 32000 | Order = 0.019682614090690435 | Time = 12s
Step 33000 | Order = 0.0085267072933446278 | Time = 12s
Step 34000 | Order = 0.028989337087406728 | Time = 12s
Step 35000 | Order = 0.029076869992410541 | Time = 13s
Step 36000 | Order = 0.038916209553045138 | Time = 13s
Step 37000 | Order = 0.0050476483771695248 | Time = 13s
Step 38000 | Order = 0.030808930090172718 | Time = 14s
Step 39000 | Order = 0.0030071591028493949 | Time = 14s
Step 40000 | Order = 0.021438687612488429 | Time = 14s
Step 41000 | Order = 0.026617237323305599 | Time = 15s
Step 42000 | Order = 0.027753283657148548 | Time = 15s
Step 43000 | Order = 0.0089357399968038893 | Time = 15s
Step 44000 | Order = 0.027988712426947879 | Time = 16s
Step 45000 | Order = 0.022568342180578366 | Time = 16s
Step 46000 | Order = 0.02580268698098593 | Time = 16s
Step 47000 | Order = 0.017318066015530445 | Time = 16s
Step 48000 | Order = 0.0028150864203623539 | Time = 17s
Step 49000 | Order = 0.015583095562645186 | Time = 17s
Step 50000 | Order = 0.028726015222804244 | Time = 17s
Step 51000 | Order = 0.021195323918547462 | Time = 18s
Step 52000 | Order = 0.011813120350980392 | Time = 19s
Step 53000 | Order = 0.0060960215515397567 | Time = 19s
Step 54000 | Order = 0.0086435223124687096 | Time = 19s
Step 55000 | Order = 0.044711392881678164 | Time = 20s
Step 56000 | Order = 0.04878087372100634 | Time = 20s
Step 57000 | Order = 0.023317740593768243 | Time = 20s
Step 58000 | Order = 0.022815684184979847 | Time = 21s
Step 59000 | Order = 0.019830472717622855 | Time = 21s
Step 60000 | Order = 0.045881781273754543 | Time = 21s
Step 61000 | Order = 0.019151578231529107 | Time = 22s
Step 62000 | Order = 0.036660474520412475 | Time = 22s
Step 63000 | Order = 0.037333116866081283 | Time = 22s
Step 64000 | Order = 0.015237549550163749 | Time = 23s
Step 65000 | Order = 0.015582032911094661 | Time = 23s
Step 66000 | Order = 0.019459850554254077 | Time = 24s
Step 67000 | Order = 0.021400677704786306 | Time = 24s
Step 68000 | Order = 0.017427641008032464 | Time = 24s
Step 69000 | Order = 0.018012397613313573 | Time = 24s
Step 70000 | Order = 0.01254455313800632 | Time = 25s
Step 71000 | Order = 0.029164709444290681 | Time = 25s
Step 72000 | Order = 0.029963126505087295 | Time = 25s
Step 73000 | Order = 0.033160994483186462 | Time = 26s
Step 74000 | Order = 0.015711908217634522 | Time = 26s
Step 75000 | Order = 0.039464670893174514 | Time = 26s
Step 76000 | Order = 0.025729999213463976 | Time = 27s
Step 77000 | Order = 0.020354174504676484 | Time = 27s
Step 78000 | Order = 0.022278681393588625 | Time = 27s
Step 79000 | Order = 0.017360922221853526 | Time = 28s
Step 80000 | Order = 0.027218284176490908 | Time = 28s
Step 81000 | Order = 0.017571003256229605 | Time = 28s
Step 82000 | Order = 0.03240605971566362 | Time = 28s
Step 83000 | Order = 0.037809529710941113 | Time = 29s
Step 84000 | Order = 0.016420089346636458 | Time = 29s
Step 85000 | Order = 0.03450081847350104 | Time = 29s
Step 86000 | Order = 0.015466964798948815 | Time = 30s
Step 87000 | Order = 0.012587780493233478 | Time = 30s
Step 88000 | Order = 0.0057723660712973319 | Time = 30s
Step 89000 | Order = 0.0053770455766698304 | Time = 31s
Step 90000 | Order = 0.018453312673726734 | Time = 31s
Step 91000 | Order = 0.016329280751083367 | Time = 31s
Step 92000 | Order = 0.004342090214630636 | Time = 32s
