Simulation #17, Parameters: eta = 0.799578 | rho = 0.109936 | v0 = 0.0614014s
Step 0 | Order = 0.018086478385211196 | Time = 0s
Step 1000 | Order = 0.032311838738582128 | Time = 0s
Step 2000 | Order = 0.012543667309573438 | Time = 0s
Step 3000 | Order = 0.011557580287003703 | Time = 0s
Step 4000 | Order = 0.016477196859841278 | Time = 0s
Step 5000 | Order = 0.018836709331783406 | Time = 0s
Step 6000 | Order = 0.0046209978411423398 | Time = 0s
Step 7000 | Order = 0.0037989054163037749 | Time = 0s
Step 8000 | Order = 0.040900223805486143 | Time = 1s
Step 9000 | Order = 0.020778977411690474 | Time = 1s
Step 10000 | Order = 0.027558559917123547 | Time = 1s
Step 11000 | Order = 0.016318076585680547 | Time = 1s
Step 12000 | Order = 0.051514336394058356 | Time = 1s
Step 13000 | Order = 0.033993064885329133 | Time = 1s
Step 14000 | Order = 0.0065612393268776508 | Time = 1s
Step 15000 | Order = 0.017719825864217775 | Time = 1s
Step 16000 | Order = 0.033457075712023929 | Time = 2s
Step 17000 | Order = 0.0042863045975619829 | Time = 2s
Step 18000 | Order = 0.020658091499672657 | Time = 2s
Step 19000 | Order = 0.014927841816155999 | Time = 2s
Step 20000 | Order = 0.048402878426865505 | Time = 2s
Step 21000 | Order = 0.023913869163288543 | Time = 2s
Step 22000 | Order = 0.032042596652458989 | Time = 2s
Step 23000 | Order = 0.043244813271380536 | Time = 2s
Step 24000 | Order = 0.020806080739470236 | Time = 3s
Step 25000 | Order = 0.015054471465594963 | Time = 3s
Step 26000 | Order = 0.027404746483137631 | Time = 3s
Step 27000 | Order = 0.022350606019131213 | Time = 3s
Step 28000 | Order = 0.024293927281782767 | Time = 3s
Step 29000 | Order = 0.0081847719787746243 | Time = 3s
Step 30000 | Order = 0.010216292473508653 | Time = 3s
Step 31000 | Order = 0.0024662044655041865 | Time = 3s
Step 32000 | Order = 0.031110757255074412 | Time = 3s
Step 33000 | Order = 0.0093628574206409392 | Time = 4s
Step 34000 | Order = 0.0060409510765255751 | Time = 4s
Step 35000 | Order = 0.016333778950711236 | Time = 4s
Step 36000 | Order = 0.017484782077290179 | Time = 4s
Step 37000 | Order = 0.028059545574363982 | Time = 4s
Step 38000 | Order = 0.010284517716514483 | Time = 4s
Step 39000 | Order = 0.027636111826109235 | Time = 4s
Step 40000 | Order = 0.028514264793966747 | Time = 4s
Step 41000 | Order = 0.039991043632698377 | Time = 5s
Step 42000 | Order = 0.062140201538326778 | Time = 5s
Step 43000 | Order = 0.019743961200244398 | Time = 5s
Step 44000 | Order = 0.017657950138033444 | Time = 5s
Step 45000 | Order = 0.036561919688403464 | Time = 5s
Step 46000 | Order = 0.030889850140526112 | Time = 5s
Step 47000 | Order = 0.035153702975047003 | Time = 5s
Step 48000 | Order = 0.0029095075939506781 | Time = 5s
Step 49000 | Order = 0.024892791248213243 | Time = 6s
Step 50000 | Order = 0.023541498725332802 | Time = 6s
Step 51000 | Order = 0.017168932821834695 | Time = 6s
Step 52000 | Order = 0.012762808956344547 | Time = 6s
Step 53000 | Order = 0.029496997631808575 | Time = 6s
Step 54000 | Order = 0.0094480554106634862 | Time = 6s
Step 55000 | Order = 0.02105235497685801 | Time = 6s
Step 56000 | Order = 0.045107746034649773 | Time = 6s
Step 57000 | Order = 0.019409082947075045 | Time = 7s
Step 58000 | Order = 0.024790575698774926 | Time = 7s
Step 59000 | Order = 0.0034516031195070199 | Time = 7s
Step 60000 | Order = 0.045299700825734618 | Time = 7s
Step 61000 | Order = 0.0094923788525861849 | Time = 7s
Step 62000 | Order = 0.020382959885064215 | Time = 7s
Step 63000 | Order = 0.021738821130853531 | Time = 7s
Step 64000 | Order = 0.028586514514877159 | Time = 7s
Step 65000 | Order = 0.041769067170548395 | Time = 8s
Step 66000 | Order = 0.033769430644869834 | Time = 8s
Step 67000 | Order = 0.028117504367529054 | Time = 8s
Step 68000 | Order = 0.025372106596526767 | Time = 8s
Step 69000 | Order = 0.017354391481266752 | Time = 8s
Step 70000 | Order = 0.017628954301314958 | Time = 8s
Step 71000 | Order = 0.034401625514423793 | Time = 8s
Step 72000 | Order = 0.0058393084722299917 | Time = 8s
Step 73000 | Order = 0.029440797217787661 | Time = 9s
Step 74000 | Order = 0.0057534880813812708 | Time = 9s
Step 75000 | Order = 0.022470805866252285 | Time = 9s
Step 76000 | Order = 0.017451826466840171 | Time = 9s
Step 77000 | Order = 0.028173942246376989 | Time = 9s
Step 78000 | Order = 0.037782009571323598 | Time = 9s
Step 79000 | Order = 0.022542804605570808 | Time = 9s
Step 80000 | Order = 0.023846036658062331 | Time = 9s
Step 81000 | Order = 0.020100886615641449 | Time = 9s
Step 82000 | Order = 0.029636186082469627 | Time = 10s
Step 83000 | Order = 0.015880765597765578 | Time = 10s
Step 84000 | Order = 0.015154590948811813 | Time = 10s
Step 85000 | Order = 0.029633876792730884 | Time = 10s
Step 86000 | Order = 0.040439030808133845 | Time = 10s
Step 87000 | Order = 0.025267920090940019 | Time = 10s
Step 88000 | Order = 0.022970294616368247 | Time = 10s
Step 89000 | Order = 0.035159876461963002 | Time = 10s
Step 90000 | Order = 0.0048844369792852274 | Time = 11s
Step 91000 | Order = 0.015281794307234543 | Time = 11s
Step 92000 | Order = 0.028603819232908872 | Time = 11s
Step 93000 | Order = 0.0014950682554971464 | Time = 11s
Step 94000 | Order = 0.010014374504460655 | Time = 11s
Step 95000 | Order = 0.0094037571373217187 | Time = 11s
Step 96000 | Order = 0.021043412380317136 | Time = 11s
Step 97000 | Order = 0.034179710166277563 | Time = 11s
Step 98000 | Order = 0.022993732592877559 | Time = 12s
Step 99000 | Order = 0.026392183904518411 | Time = 12s
Step 100000 | Order = 0.0055568418090022878 | Time = 12s
Step 101000 | Order = 0.018462001280502259 | Time = 13s
Step 102000 | Order = 0.038365667004393235 | Time = 13s
Step 103000 | Order = 0.0045132351993179371 | Time = 13s
Step 104000 | Order = 0.042792960333598418 | Time = 13s
Step 105000 | Order = 0.0073575749218612214 | Time = 13s
Step 106000 | Order = 0.016574636251206271 | Time = 13s
Step 107000 | Order = 0.0060021913959323195 | Time = 13s
Step 108000 | Order = 0.012741086598585361 | Time = 13s
Step 109000 | Order = 0.0088386417364179348 | Time = 13s
Step 110000 | Order = 0.034586913393538511 | Time = 14s
Step 111000 | Order = 0.019698392588967481 | Time = 14s
Step 112000 | Order = 0.043461493038423428 | Time = 14s
Step 113000 | Order = 0.016502976268539596 | Time = 14s
Step 114000 | Order = 0.012273781946366875 | Time = 14s
Step 115000 | Order = 0.023922696964499272 | Time = 14s
Step 116000 | Order = 0.022105347195508211 | Time = 14s
Step 117000 | Order = 0.027522738649023392 | Time = 14s
Step 118000 | Order = 0.0084855764349005391 | Time = 15s
Step 119000 | Order = 0.039074923345819253 | Time = 15s
Step 120000 | Order = 0.016915740729711498 | Time = 15s
Step 121000 | Order = 0.02805759258925419 | Time = 15s
Step 122000 | Order = 0.016961040344793142 | Time = 15s
Step 123000 | Order = 0.01117837429576719 | Time = 15s
Step 124000 | Order = 0.016714109544562841 | Time = 15s
Step 125000 | Order = 0.038165573494505819 | Time = 15s
Step 126000 | Order = 0.017325912571277129 | Time = 16s
Step 127000 | Order = 0.033026317851480191 | Time = 16s
Step 128000 | Order = 0.012900256910906646 | Time = 16s
Step 129000 | Order = 0.0062026165104784418 | Time = 16s
Step 130000 | Order = 0.01541825742539508 | Time = 16s
Step 131000 | Order = 0.036978470839989078 | Time = 16s
Step 132000 | Order = 0.03063965754058692 | Time = 16s
Step 133000 | Order = 0.016308755056036191 | Time = 16s
Step 134000 | Order = 0.0081102258343895561 | Time = 17s
Step 135000 | Order = 0.033122065104933991 | Time = 17s
Step 136000 | Order = 0.0063647786187225738 | Time = 17s
Step 137000 | Order = 0.036224356669280235 | Time = 17s
Step 138000 | Order = 0.016152353477503243 | Time = 17s
Step 139000 | Order = 0.0077552903262558953 | Time = 17s
Step 140000 | Order = 0.0091993077643052652 | Time = 17s
Step 141000 | Order = 0.023724591512096462 | Time = 17s
Step 142000 | Order = 0.019644405721500877 | Time = 17s
Step 143000 | Order = 0.018566715103808071 | Time = 18s
Step 144000 | Order = 0.010212819182514019 | Time = 18s
Step 145000 | Order = 0.03231139201564618 | Time = 18s
Step 146000 | Order = 0.023519134957320949 | Time = 18s
Step 147000 | Order = 0.0072952000952079708 | Time = 18s
Step 148000 | Order = 0.013359784450250153 | Time = 18s
Step 149000 | Order = 0.020710181846414738 | Time = 18s
Step 150000 | Order = 0.038895706280128971 | Time = 18s
Step 151000 | Order = 0.016767236684170392 | Time = 19s
Step 152000 | Order = 0.024825796818614364 | Time = 19s
Step 153000 | Order = 0.013704865596302358 | Time = 19s
Step 154000 | Order = 0.024945623884609056 | Time = 19s
Step 155000 | Order = 0.021128664989340379 | Time = 20s
Step 156000 | Order = 0.013325942661778535 | Time = 20s
Step 157000 | Order = 0.016006710284585231 | Time = 20s
Step 158000 | Order = 0.032638164891886548 | Time = 20s
Step 159000 | Order = 0.024045209384145578 | Time = 20s
Step 160000 | Order = 0.013968430065511439 | Time = 20s
Step 161000 | Order = 0.02597006016855943 | Time = 20s
Step 162000 | Order = 0.005231174039757109 | Time = 20s
Step 163000 | Order = 0.016394345372580981 | Time = 21s
Step 164000 | Order = 0.020088844168328897 | Time = 21s
Step 165000 | Order = 0.037341213019820886 | Time = 21s
Step 166000 | Order = 0.011735125620268577 | Time = 21s
Step 167000 | Order = 0.023573046942440841 | Time = 21s
Step 168000 | Order = 0.023014726892468137 | Time = 21s
Step 169000 | Order = 0.013896106074630982 | Time = 21s
Step 170000 | Order = 0.026353422689251865 | Time = 21s
Step 171000 | Order = 0.0037501634629868949 | Time = 22s
Step 172000 | Order = 0.010550474776021061 | Time = 22s
Step 173000 | Order = 0.016520032090017071 | Time = 22s
Step 174000 | Order = 0.024032905993637832 | Time = 22s
Step 175000 | Order = 0.019037919184658782 | Time = 22s
Step 176000 | Order = 0.023570331699463251 | Time = 22s
Step 177000 | Order = 0.038775796854435697 | Time = 22s
Step 178000 | Order = 0.015350036800797237 | Time = 22s
Step 179000 | Order = 0.042366340292519997 | Time = 22s
Step 180000 | Order = 0.035973451731581473 | Time = 23s
Step 181000 | Order = 0.012746957909155478 | Time = 23s
Step 182000 | Order = 0.0087724627705496432 | Time = 23s
Step 183000 | Order = 0.01564213367575255 | Time = 23s
Step 184000 | Order = 0.030250652048325628 | Time = 23s
Step 185000 | Order = 0.012590777600145065 | Time = 23s
Step 186000 | Order = 0.024504415191764078 | Time = 23s
Step 187000 | Order = 0.048647269852635087 | Time = 23s
Step 188000 | Order = 0.014041188488689835 | Time = 24s
Step 189000 | Order = 0.028168850017511161 | Time = 24s
Step 190000 | Order = 0.027973632535947864 | Time = 24s
Step 191000 | Order = 0.016611385909455302 | Time = 24s
Step 192000 | Order = 0.02610931550368159 | Time = 24s
Step 193000 | Order = 0.023086995875051239 | Time = 24s
Step 194000 | Order = 0.018070769668648141 | Time = 24s
Step 195000 | Order = 0.022435416470591454 | Time = 24s
Step 196000 | Order = 0.021308399560920271 | Time = 25s
Step 197000 | Order = 0.015902181950162759 | Time = 25s
Step 198000 | Order = 0.040790139250453737 | Time = 25s
Step 199000 | Order = 0.0019047044203528748 | Time = 25s
Step 200000 | Order = 0.011094749832772347 | Time = 25s
Step 201000 | Order = 0.026132882873403512 | Time = 26s
Step 202000 | Order = 0.021991880115964858 | Time = 26s
Step 203000 | Order = 0.030320136921601275 | Time = 26s
Step 204000 | Order = 0.029878208624790788 | Time = 26s
Step 205000 | Order = 0.0090089434447775969 | Time = 26s
Step 206000 | Order = 0.014217006677552494 | Time = 26s
Step 207000 | Order = 0.0053330280715321284 | Time = 26s
Step 208000 | Order = 0.027067888004598868 | Time = 26s
Step 209000 | Order = 0.024986510207295115 | Time = 27s
Step 210000 | Order = 0.010598448673184678 | Time = 27s
Step 211000 | Order = 0.02808090036874801 | Time = 27s
Step 212000 | Order = 0.026229355810028911 | Time = 27s
Step 213000 | Order = 0.02996713954874582 | Time = 27s
Step 214000 | Order = 0.016485304514117442 | Time = 27s
Step 215000 | Order = 0.028941723959448464 | Time = 27s
Step 216000 | Order = 0.030830228974853737 | Time = 27s
Step 217000 | Order = 0.048322482295742902 | Time = 28s
Step 218000 | Order = 0.011674475759138875 | Time = 28s
Step 219000 | Order = 0.014289432093985199 | Time = 28s
Step 220000 | Order = 0.036743398083621391 | Time = 28s
Step 221000 | Order = 0.036501893247813347 | Time = 28s
Step 222000 | Order = 0.020952577171849215 | Time = 28s
Step 223000 | Order = 0.017716059303329472 | Time = 28s
Step 224000 | Order = 0.02319733118294149 | Time = 28s
Step 225000 | Order = 0.020370763543767552 | Time = 28s
Step 226000 | Order = 0.012152235145298685 | Time = 29s
Step 227000 | Order = 0.043009305730257866 | Time = 29s
Step 228000 | Order = 0.021703894075464712 | Time = 29s
Step 229000 | Order = 0.021512300486227067 | Time = 29s
Step 230000 | Order = 0.024692085184841752 | Time = 29s
Step 231000 | Order = 0.032194566436805981 | Time = 29s
Step 232000 | Order = 0.01051102063060215 | Time = 29s
Step 233000 | Order = 0.012307247599854779 | Time = 29s
Step 234000 | Order = 0.014133651278661279 | Time = 30s
Step 235000 | Order = 0.003877685754051776 | Time = 30s
Step 236000 | Order = 0.011162800633230583 | Time = 30s
Step 237000 | Order = 0.0050522758655810532 | Time = 30s
Step 238000 | Order = 0.016525717244588192 | Time = 30s
Step 239000 | Order = 0.022011084180941373 | Time = 30s
Step 240000 | Order = 0.0058704895322462579 | Time = 30s
Step 241000 | Order = 0.027547393333469825 | Time = 30s
Step 242000 | Order = 0.018477487177105657 | Time = 31s
Step 243000 | Order = 0.0060616900070429771 | Time = 31s
Step 244000 | Order = 0.009907933877125661 | Time = 31s
Step 245000 | Order = 0.028617203063971582 | Time = 31s
Step 246000 | Order = 0.040879390447001847 | Time = 31s
Step 247000 | Order = 0.012731702301311066 | Time = 31s
Step 248000 | Order = 0.028032017583144126 | Time = 31s
Step 249000 | Order = 0.0062373324707183765 | Time = 31s
Step 250000 | Order = 0.016311248687277003 | Time = 31s
Step 251000 | Order = 0.010934904409290985 | Time = 32s
Step 252000 | Order = 0.010429701050418128 | Time = 32s
Step 253000 | Order = 0.023475786275768962 | Time = 32s
Step 254000 | Order = 0.022648781353703885 | Time = 32s
Step 255000 | Order = 0.024760186349401289 | Time = 32s
Step 256000 | Order = 0.016817484315878418 | Time = 33s
Step 257000 | Order = 0.0079079824396978693 | Time = 33s
Step 258000 | Order = 0.031743210607665502 | Time = 33s
Step 259000 | Order = 0.033002901607738139 | Time = 33s
Step 260000 | Order = 0.01543489344803551 | Time = 33s
Step 261000 | Order = 0.020568614135145824 | Time = 33s
Step 262000 | Order = 0.04760856347236174 | Time = 33s
Step 263000 | Order = 0.026801864560513547 | Time = 33s
Step 264000 | Order = 0.033780676631531066 | Time = 33s
