eta,rho,v0,label
0.09288631,0.16888435,0.01864872,2.0
0.58271083,0.23851989,0.25691841,0.0
0.25880065,0.34837222,0.39391214,0.0
0.78320014,0.14953323,0.01260908,0.0
0.36252179,0.33541068,0.06700212,0.0
0.69688761,0.22225047,0.11964841,0.0
0.41935514,0.41475094,0.02094767,0.0
0.74839252,0.36682973,0.04189432,0.0
0.26374173,2.07251269,0.04725154,1.0
0.33918337,0.13149608,0.01795039,0.0
0.84708789,0.66836507,0.43100051,0.0
0.75349345,0.12128482,0.14425177,0.0
0.92287613,2.52124215,0.48583456,0.0
0.85509,1.63898507,0.36544655,0.0
0.08994704,0.11909957,0.05108097,2.0
0.38427119,0.27295051,0.082813,0.0
0.80937183,1.29157967,0.18587086,0.0
0.91106839,0.20972051,0.01416994,0.0
0.39381571,0.16381866,0.01617623,0.0
0.24851372,2.87724628,0.03004929,1.0
0.75849214,0.5262244,0.01012177,0.0
0.87146394,0.10392259,0.15644911,0.0
0.52905162,1.86651461,0.04526007,0.0
0.61935051,2.29101571,0.12377396,0.0
0.53181144,0.14657864,0.13051538,0.0
0.87784606,0.10097362,0.23596325,0.0
0.77534244,0.12855757,0.02153027,0.0
0.57563444,0.14152436,0.1115129,0.0
0.5594362,1.92731664,0.06540847,0.0
0.91541281,0.18913312,0.0247567,0.0
0.06763735,0.15226305,0.09981738,1.0
0.14938234,0.45297927,0.12772807,1.0
0.20836967,0.19816333,0.32951169,0.0
0.98409123,0.90054929,0.16963636,0.0
0.60611201,0.16316943,0.02820927,0.0
0.82744435,2.55847735,0.09144182,0.0
0.92985351,0.16953143,0.07478412,0.0
0.96780131,1.82096295,0.0731369,0.0
0.85073571,1.99800495,0.01356292,0.0
0.50761279,0.38506325,0.28565272,0.0
0.62267846,0.56600476,0.12589309,0.0
0.44019561,2.66473402,0.02023091,0.0
0.83318654,0.24739078,0.01060982,0.0
0.12664431,1.02030081,0.01312492,1.0
0.22896505,0.85839443,0.30506182,1.0
0.08135715,1.78554537,0.0376794,1.0
0.30569479,1.21889005,0.03831263,0.0
0.94720143,0.72448931,0.02574278,0.0
