Simulation #8, Parameters: eta = 0.896897 | rho = 0.187532 | v0 = 0.095075s
Step 0 | Order = 0.0066812001873123973 | Time = 0s
Step 1000 | Order = 0.013690978716527332 | Time = 0s
Step 2000 | Order = 0.018484508300805266 | Time = 1s
Step 3000 | Order = 0.014905764526347559 | Time = 1s
Step 4000 | Order = 0.013899985952499895 | Time = 1s
Step 5000 | Order = 0.011125900241217514 | Time = 2s
Step 6000 | Order = 0.018397421588749279 | Time = 2s
Step 7000 | Order = 0.010302163684778666 | Time = 2s
Step 8000 | Order = 0.020434048786881775 | Time = 2s
Step 9000 | Order = 0.02871821869625012 | Time = 3s
Step 10000 | Order = 0.013859825573392376 | Time = 3s
Step 11000 | Order = 0.0067225738816166815 | Time = 3s
Step 12000 | Order = 0.0051526000953900763 | Time = 4s
Step 13000 | Order = 0.009423965343296448 | Time = 4s
Step 14000 | Order = 0.021978512382228092 | Time = 4s
Step 15000 | Order = 0.022335197754505615 | Time = 5s
Step 16000 | Order = 0.013398909735183831 | Time = 5s
Step 17000 | Order = 0.01716671807495404 | Time = 5s
Step 18000 | Order = 0.021375937224762952 | Time = 5s
Step 19000 | Order = 0.017837976733548686 | Time = 6s
Step 20000 | Order = 0.017555858854614002 | Time = 6s
Step 21000 | Order = 0.015053629381411917 | Time = 6s
Step 22000 | Order = 0.0061558363346441497 | Time = 6s
Step 23000 | Order = 0.0062404127509711515 | Time = 7s
Step 24000 | Order = 0.017228582805568347 | Time = 7s
Step 25000 | Order = 0.0061018967164454549 | Time = 7s
Step 26000 | Order = 0.026894364328315639 | Time = 8s
Step 27000 | Order = 0.012033036391120638 | Time = 8s
Step 28000 | Order = 0.01320357610853388 | Time = 8s
Step 29000 | Order = 0.017035015150604856 | Time = 8s
Step 30000 | Order = 0.025918944024520274 | Time = 9s
Step 31000 | Order = 0.028990982793517212 | Time = 9s
Step 32000 | Order = 0.0047779244673564385 | Time = 9s
Step 33000 | Order = 0.011749821915920278 | Time = 10s
Step 34000 | Order = 0.020072003419790273 | Time = 10s
Step 35000 | Order = 0.0037474489425676446 | Time = 10s
Step 36000 | Order = 0.025994528021587176 | Time = 10s
Step 37000 | Order = 0.01686954068025296 | Time = 11s
Step 38000 | Order = 0.018911910101624949 | Time = 11s
Step 39000 | Order = 0.024127708010286561 | Time = 11s
Step 40000 | Order = 0.01654493498256868 | Time = 12s
Step 41000 | Order = 0.017078833856718222 | Time = 12s
Step 42000 | Order = 0.018655052775046099 | Time = 12s
Step 43000 | Order = 0.024576654091611888 | Time = 12s
Step 44000 | Order = 0.018975160612589231 | Time = 13s
Step 45000 | Order = 0.021721686526556403 | Time = 13s
Step 46000 | Order = 0.016016506928060371 | Time = 13s
Step 47000 | Order = 0.032183966809319051 | Time = 14s
Step 48000 | Order = 0.019738202499453412 | Time = 14s
Step 49000 | Order = 0.014080192022976961 | Time = 14s
Step 50000 | Order = 0.029251338002511253 | Time = 14s
Step 51000 | Order = 0.027094707183157891 | Time = 15s
Step 52000 | Order = 0.014536965189926226 | Time = 15s
Step 53000 | Order = 0.0035269424261983942 | Time = 16s
Step 54000 | Order = 0.025679430141888393 | Time = 16s
Step 55000 | Order = 0.0056626826536787947 | Time = 16s
Step 56000 | Order = 0.021944105840353476 | Time = 16s
Step 57000 | Order = 0.018992357053667364 | Time = 17s
Step 58000 | Order = 0.0090401533702140335 | Time = 17s
Step 59000 | Order = 0.025469810656672382 | Time = 17s
Step 60000 | Order = 0.014373258133038636 | Time = 17s
Step 61000 | Order = 0.0095741969417326139 | Time = 18s
Step 62000 | Order = 0.007774315430642352 | Time = 18s
Step 63000 | Order = 0.011640992642881371 | Time = 18s
Step 64000 | Order = 0.01401124866833813 | Time = 19s
Step 65000 | Order = 0.010266087430702493 | Time = 19s
Step 66000 | Order = 0.013311062892923482 | Time = 19s
Step 67000 | Order = 0.0054727937169982257 | Time = 19s
Step 68000 | Order = 0.020768683815473487 | Time = 20s
Step 69000 | Order = 0.024441682708235157 | Time = 20s
Step 70000 | Order = 0.0063768201426221763 | Time = 20s
Step 71000 | Order = 0.025059833882415672 | Time = 20s
Step 72000 | Order = 0.021009583185018953 | Time = 21s
Step 73000 | Order = 0.0089694113913217997 | Time = 21s
Step 74000 | Order = 0.040900595420412279 | Time = 21s
Step 75000 | Order = 0.019257214382682786 | Time = 22s
Step 76000 | Order = 0.0053888305147158783 | Time = 22s
Step 77000 | Order = 0.013244352615146483 | Time = 22s
Step 78000 | Order = 0.0062225945625255371 | Time = 22s
Step 79000 | Order = 0.013325459946025811 | Time = 23s
Step 80000 | Order = 0.0043983716227529411 | Time = 23s
Step 81000 | Order = 0.0072578760120550687 | Time = 23s
Step 82000 | Order = 0.023300552352911022 | Time = 23s
Step 83000 | Order = 0.021550159349513393 | Time = 24s
Step 84000 | Order = 0.020780358753230178 | Time = 24s
Step 85000 | Order = 0.0070456494088500278 | Time = 24s
Step 86000 | Order = 0.016619808341838814 | Time = 24s
Step 87000 | Order = 0.035354516789462352 | Time = 25s
Step 88000 | Order = 0.0097299271275122067 | Time = 25s
Step 89000 | Order = 0.010362324694320543 | Time = 25s
Step 90000 | Order = 0.018737525112143535 | Time = 25s
Step 91000 | Order = 0.011491426023336753 | Time = 26s
Step 92000 | Order = 0.023237690124066984 | Time = 26s
Step 93000 | Order = 0.007808902137376391 | Time = 26s
Step 94000 | Order = 0.0052893373725639544 | Time = 26s
Step 95000 | Order = 0.022148872153299064 | Time = 27s
Step 96000 | Order = 0.009701251751544215 | Time = 27s
Step 97000 | Order = 0.01900259575115763 | Time = 27s
Step 98000 | Order = 0.028538525171331226 | Time = 27s
Step 99000 | Order = 0.019834733746267395 | Time = 28s
Step 100000 | Order = 0.012820711415571394 | Time = 28s
Step 101000 | Order = 0.020382820800446903 | Time = 28s
Step 102000 | Order = 0.046327399580113622 | Time = 29s
Step 103000 | Order = 0.016300020891631132 | Time = 29s
Step 104000 | Order = 0.028047955686295273 | Time = 29s
Step 105000 | Order = 0.021274905000633813 | Time = 29s
Step 106000 | Order = 0.024172335397142503 | Time = 30s
Step 107000 | Order = 0.038423083809091547 | Time = 30s
Step 108000 | Order = 0.020672518365954119 | Time = 30s
Step 109000 | Order = 0.02220555384968732 | Time = 30s
Step 110000 | Order = 0.019546702024454052 | Time = 31s
Step 111000 | Order = 0.020790635127397952 | Time = 31s
Step 112000 | Order = 0.014665044554931561 | Time = 31s
Step 113000 | Order = 0.00097107198805491989 | Time = 31s
Step 114000 | Order = 0.0090517849579783288 | Time = 32s
Step 115000 | Order = 0.012996469584287499 | Time = 32s
Step 116000 | Order = 0.01528221946904859 | Time = 32s
Step 117000 | Order = 0.011870292242041581 | Time = 32s
Step 118000 | Order = 0.015381002123118631 | Time = 33s
Step 119000 | Order = 0.02037178805580496 | Time = 33s
Step 120000 | Order = 0.028861915406336286 | Time = 33s
Step 121000 | Order = 0.021753322815809505 | Time = 33s
Step 122000 | Order = 0.038833611609402553 | Time = 34s
Step 123000 | Order = 0.020516642361310917 | Time = 34s
Step 124000 | Order = 0.0078586562726552355 | Time = 34s
Step 125000 | Order = 0.0058337612319235678 | Time = 34s
Step 126000 | Order = 0.01373123107642988 | Time = 35s
Step 127000 | Order = 0.018438045983727502 | Time = 35s
Step 128000 | Order = 0.024259698042980584 | Time = 35s
Step 129000 | Order = 0.030303334358108929 | Time = 35s
Step 130000 | Order = 0.015643115599436146 | Time = 35s
Step 131000 | Order = 0.025578792019266394 | Time = 36s
Step 132000 | Order = 0.034809600701750772 | Time = 36s
Step 133000 | Order = 0.024808573628329125 | Time = 36s
Step 134000 | Order = 0.0038064779453320066 | Time = 37s
Step 135000 | Order = 0.010533917628760178 | Time = 37s
Step 136000 | Order = 0.020493153396377476 | Time = 37s
Step 137000 | Order = 0.024128118531619377 | Time = 37s
Step 138000 | Order = 0.012071441027560336 | Time = 37s
Step 139000 | Order = 0.0072207291007446326 | Time = 38s
Step 140000 | Order = 0.011250010838817137 | Time = 38s
Step 141000 | Order = 0.011835581651720396 | Time = 38s
Step 142000 | Order = 0.023156405773815641 | Time = 38s
Step 143000 | Order = 0.013457225665158648 | Time = 39s
Step 144000 | Order = 0.0087564714357046981 | Time = 41s
Step 145000 | Order = 0.01531593098783892 | Time = 41s
Step 146000 | Order = 0.0096168188678712567 | Time = 41s
Step 147000 | Order = 0.012627868708204135 | Time = 41s
Step 148000 | Order = 0.0073717416161374859 | Time = 42s
Step 149000 | Order = 0.0098075218644962849 | Time = 42s
Step 150000 | Order = 0.014242118153057795 | Time = 42s
Step 151000 | Order = 0.016663110519102377 | Time = 42s
Step 152000 | Order = 0.025776428937779778 | Time = 43s
Step 153000 | Order = 0.015219764145979279 | Time = 43s
Step 154000 | Order = 0.024048239002746299 | Time = 43s
Step 155000 | Order = 0.016264755607283275 | Time = 44s
Step 156000 | Order = 0.0078916246415399027 | Time = 44s
Step 157000 | Order = 0.005090294899890868 | Time = 44s
Step 158000 | Order = 0.010578310752075401 | Time = 44s
Step 159000 | Order = 0.0091829830148882369 | Time = 45s
Step 160000 | Order = 0.018964388858478162 | Time = 45s
Step 161000 | Order = 0.013005782272247496 | Time = 45s
Step 162000 | Order = 0.016749431789961609 | Time = 45s
Step 163000 | Order = 0.014070206161764846 | Time = 45s
Step 164000 | Order = 0.019192620245063609 | Time = 46s
Step 165000 | Order = 0.0093773246261399899 | Time = 46s
Step 166000 | Order = 0.017275665913625629 | Time = 46s
Step 167000 | Order = 0.0094648608339737844 | Time = 46s
Step 168000 | Order = 0.011536080682198503 | Time = 47s
Step 169000 | Order = 0.037389008436744295 | Time = 47s
Step 170000 | Order = 0.025571993896125491 | Time = 47s
Step 171000 | Order = 0.022318169983572746 | Time = 47s
Step 172000 | Order = 0.011027803094114837 | Time = 48s
Step 173000 | Order = 0.020396391469798127 | Time = 48s
Step 174000 | Order = 0.007725753663262956 | Time = 48s
Step 175000 | Order = 0.022887840054842915 | Time = 48s
Step 176000 | Order = 0.028366302732275101 | Time = 49s
Step 177000 | Order = 0.0098542875500699147 | Time = 49s
Step 178000 | Order = 0.030230169630005955 | Time = 49s
Step 179000 | Order = 0.016765331838748877 | Time = 49s
Step 180000 | Order = 0.018456873904493246 | Time = 49s
Step 181000 | Order = 0.016687612771622846 | Time = 50s
Step 182000 | Order = 0.013082171820914035 | Time = 50s
Step 183000 | Order = 0.00734910395754993 | Time = 50s
Step 184000 | Order = 0.01072707460183172 | Time = 50s
Step 185000 | Order = 0.0090300460514498079 | Time = 51s
Step 186000 | Order = 0.030928282103999366 | Time = 51s
Step 187000 | Order = 0.021784713418162283 | Time = 51s
Step 188000 | Order = 0.011753350045737382 | Time = 51s
Step 189000 | Order = 0.020177435451473873 | Time = 52s
Step 190000 | Order = 0.012998461081528486 | Time = 52s
Step 191000 | Order = 0.0072281780441491522 | Time = 52s
Step 192000 | Order = 0.021413849294075513 | Time = 52s
Step 193000 | Order = 0.013555035930364135 | Time = 52s
Step 194000 | Order = 0.0085054280462061507 | Time = 53s
Step 195000 | Order = 0.0063286108018009921 | Time = 53s
Step 196000 | Order = 0.034145725008325654 | Time = 53s
Step 197000 | Order = 0.015478928220368053 | Time = 53s
Step 198000 | Order = 0.013893451343964859 | Time = 54s
Step 199000 | Order = 0.026742437642722019 | Time = 54s
Step 200000 | Order = 0.012762697803329002 | Time = 54s
Step 201000 | Order = 0.0089822666898422398 | Time = 55s
Step 202000 | Order = 0.01264425951110563 | Time = 55s
Step 203000 | Order = 0.023674578913663064 | Time = 55s
Step 204000 | Order = 0.015735008356546867 | Time = 56s
Step 205000 | Order = 0.0023344375257942462 | Time = 56s
Step 206000 | Order = 0.020455335175782918 | Time = 58s
Step 207000 | Order = 0.019010834906962711 | Time = 58s
Step 208000 | Order = 0.0072254360997174825 | Time = 58s
Step 209000 | Order = 0.0051724463721618021 | Time = 58s
Step 210000 | Order = 0.02221799664046821 | Time = 59s
Step 211000 | Order = 0.012305218809838999 | Time = 59s
Step 212000 | Order = 0.034049420941093346 | Time = 59s
Step 213000 | Order = 0.029441146840911619 | Time = 59s
Step 214000 | Order = 0.014066701307277524 | Time = 60s
Step 215000 | Order = 0.014035717995724612 | Time = 60s
Step 216000 | Order = 0.006699444216515668 | Time = 60s
Step 217000 | Order = 0.016810777256179726 | Time = 60s
Step 218000 | Order = 0.0078720334963674563 | Time = 61s
Step 219000 | Order = 0.013891416284868693 | Time = 61s
Step 220000 | Order = 0.0060083517114834792 | Time = 61s
Step 221000 | Order = 0.013244780455088078 | Time = 61s
Step 222000 | Order = 0.013955601178129023 | Time = 62s
Step 223000 | Order = 0.012390024026482491 | Time = 62s
Step 224000 | Order = 0.010236211809860053 | Time = 62s
Step 225000 | Order = 0.0088531664844683083 | Time = 62s
Step 226000 | Order = 0.020907714652801074 | Time = 63s
Step 227000 | Order = 0.023202567255560566 | Time = 63s
Step 228000 | Order = 0.014153097758441008 | Time = 63s
Step 229000 | Order = 0.023571136613329269 | Time = 64s
Step 230000 | Order = 0.012632949957536268 | Time = 64s
Step 231000 | Order = 0.011676700334193518 | Time = 64s
Step 232000 | Order = 0.0078420697628933649 | Time = 64s
Step 233000 | Order = 0.025329946816461738 | Time = 65s
Step 234000 | Order = 0.025437059435604741 | Time = 65s
Step 235000 | Order = 0.01555288565112189 | Time = 67s
Step 236000 | Order = 0.011850058327941069 | Time = 67s
Step 237000 | Order = 0.014622419313460927 | Time = 67s
Step 238000 | Order = 0.025921283553985472 | Time = 67s
Step 239000 | Order = 0.017857378473583468 | Time = 68s
Step 240000 | Order = 0.0082002461043887351 | Time = 68s
Step 241000 | Order = 0.0058570709366853853 | Time = 68s
Step 242000 | Order = 0.013326034782372683 | Time = 68s
Step 243000 | Order = 0.016814518069471096 | Time = 69s
Step 244000 | Order = 0.017549780394920687 | Time = 69s
Step 245000 | Order = 0.0065512712864042033 | Time = 69s
Step 246000 | Order = 0.015067253301156608 | Time = 70s
Step 247000 | Order = 0.010378333253719734 | Time = 70s
Step 248000 | Order = 0.0063224920051605663 | Time = 70s
Step 249000 | Order = 0.018127624117317376 | Time = 70s
Step 250000 | Order = 0.025742420769940683 | Time = 71s
Step 251000 | Order = 0.035693349341949579 | Time = 71s
Step 252000 | Order = 0.013870993526465166 | Time = 72s
Step 253000 | Order = 0.014957744418422516 | Time = 72s
Step 254000 | Order = 0.014449975191100384 | Time = 72s
Step 255000 | Order = 0.017267955157145624 | Time = 73s
Step 256000 | Order = 0.012787499083349 | Time = 73s
Step 257000 | Order = 0.017812681089212318 | Time = 73s
Step 258000 | Order = 0.01318839725389989 | Time = 73s
Step 259000 | Order = 0.016034617236632135 | Time = 74s
Step 260000 | Order = 0.013955496008029297 | Time = 74s
Step 261000 | Order = 0.019542108912366189 | Time = 74s
Step 262000 | Order = 0.022166106217822251 | Time = 75s
Step 263000 | Order = 0.0079831881563541523 | Time = 75s
Step 264000 | Order = 0.020154564245744116 | Time = 75s
Step 265000 | Order = 0.0159139687236837 | Time = 75s
Step 266000 | Order = 0.010661629021333456 | Time = 76s
Step 267000 | Order = 0.0047028392001239056 | Time = 76s
Step 268000 | Order = 0.011193806395797763 | Time = 76s
Step 269000 | Order = 0.024845506197297685 | Time = 77s
Step 270000 | Order = 0.022197552511291296 | Time = 77s
Step 271000 | Order = 0.0042489558127652852 | Time = 77s
Step 272000 | Order = 0.024169549922247971 | Time = 77s
Step 273000 | Order = 0.0095605244071060719 | Time = 78s
Step 274000 | Order = 0.030211990148252935 | Time = 78s
Step 275000 | Order = 0.011425011584046019 | Time = 78s
Step 276000 | Order = 0.022638876719311658 | Time = 79s
Step 277000 | Order = 0.017798380662395408 | Time = 79s
Step 278000 | Order = 0.020030490559447459 | Time = 79s
Step 279000 | Order = 0.0052986895295013582 | Time = 79s
Step 280000 | Order = 0.021746646097605057 | Time = 80s
Step 281000 | Order = 0.013841234573487392 | Time = 80s
Step 282000 | Order = 0.0096728443708818182 | Time = 80s
Step 283000 | Order = 0.019664828489222713 | Time = 81s
Step 284000 | Order = 0.010089898220210818 | Time = 81s
Step 285000 | Order = 0.0063635742071622425 | Time = 82s
Step 286000 | Order = 0.01849539126126715 | Time = 82s
Step 287000 | Order = 0.027753420438827656 | Time = 84s
Step 288000 | Order = 0.018165351704451715 | Time = 84s
Step 289000 | Order = 0.025890245884156948 | Time = 84s
Step 290000 | Order = 0.029603697650515657 | Time = 84s
Step 291000 | Order = 0.030918002895933688 | Time = 85s
Step 292000 | Order = 0.0089618874372885127 | Time = 85s
Step 293000 | Order = 0.0079719574149823367 | Time = 85s
Step 294000 | Order = 0.015554468220387779 | Time = 86s
Step 295000 | Order = 0.015523087680681238 | Time = 86s
Step 296000 | Order = 0.0051961702506504483 | Time = 86s
Step 297000 | Order = 0.011038767925629111 | Time = 87s
Step 298000 | Order = 0.0059075279210991788 | Time = 87s
Step 299000 | Order = 0.030344295094860255 | Time = 87s
Step 300000 | Order = 0.0076651939120209248 | Time = 87s
Step 301000 | Order = 0.019973741720019086 | Time = 88s
Step 302000 | Order = 0.027893142303944015 | Time = 88s
Step 303000 | Order = 0.021393981564305834 | Time = 88s
Step 304000 | Order = 0.018063398332232427 | Time = 89s
Step 305000 | Order = 0.0057377252207873918 | Time = 89s
Step 306000 | Order = 0.015617447085018469 | Time = 89s
Step 307000 | Order = 0.008907958194648815 | Time = 90s
Step 308000 | Order = 0.016611773940593103 | Time = 90s
Step 309000 | Order = 0.013804944245163459 | Time = 90s
Step 310000 | Order = 0.022333280951333523 | Time = 90s
Step 311000 | Order = 0.014716030688733096 | Time = 91s
Step 312000 | Order = 0.0091240329423272395 | Time = 91s
Step 313000 | Order = 0.010997926272921871 | Time = 91s
Step 314000 | Order = 0.014592880787959112 | Time = 91s
Step 315000 | Order = 0.012903397123693254 | Time = 92s
Step 316000 | Order = 0.0085167458265513821 | Time = 92s
Step 317000 | Order = 0.0071652518313530733 | Time = 92s
Step 318000 | Order = 0.017867123832389451 | Time = 92s
Step 319000 | Order = 0.02156769263199913 | Time = 93s
Step 320000 | Order = 0.026406728495686441 | Time = 93s
Step 321000 | Order = 0.0029085428244353048 | Time = 93s
Step 322000 | Order = 0.0087465098021794769 | Time = 93s
Step 323000 | Order = 0.020660237311706103 | Time = 94s
Step 324000 | Order = 0.011112148660931014 | Time = 94s
Step 325000 | Order = 0.0056774404419284762 | Time = 94s
