Simulation #129, Parameters: eta = 0.491193 | rho = 0.328872 | v0 = 0.0800051s
Step 0 | Order = 0.021150379538763239 | Time = 0s
Step 1000 | Order = 0.015418544564813452 | Time = 0s
Step 2000 | Order = 0.020440563130719232 | Time = 1s
Step 3000 | Order = 0.019563330277861446 | Time = 1s
Step 4000 | Order = 0.026822012587637896 | Time = 1s
Step 5000 | Order = 0.028423021691476501 | Time = 2s
Step 6000 | Order = 0.018452524986771926 | Time = 2s
Step 7000 | Order = 0.021319900327772246 | Time = 3s
Step 8000 | Order = 0.016560601450032436 | Time = 3s
Step 9000 | Order = 0.011944061325499243 | Time = 3s
Step 10000 | Order = 0.021448808975410655 | Time = 4s
Step 11000 | Order = 0.0085634064599248005 | Time = 4s
Step 12000 | Order = 0.024930873930263494 | Time = 5s
Step 13000 | Order = 0.012228457554613312 | Time = 5s
Step 14000 | Order = 0.01947462742590159 | Time = 5s
Step 15000 | Order = 0.017277435003851819 | Time = 6s
Step 16000 | Order = 0.0059328651052308126 | Time = 6s
Step 17000 | Order = 0.019611974072384433 | Time = 7s
Step 18000 | Order = 0.01328215480801136 | Time = 7s
Step 19000 | Order = 0.021714356500488651 | Time = 7s
Step 20000 | Order = 0.0063748318138433045 | Time = 8s
Step 21000 | Order = 0.006338105723373527 | Time = 8s
Step 22000 | Order = 0.015275124209372859 | Time = 9s
Step 23000 | Order = 0.013322636619927254 | Time = 9s
Step 24000 | Order = 0.040302542042350398 | Time = 9s
Step 25000 | Order = 0.0037889325519719348 | Time = 10s
Step 26000 | Order = 0.028499656147659241 | Time = 10s
Step 27000 | Order = 0.0054311579876500518 | Time = 11s
Step 28000 | Order = 0.018144614551093074 | Time = 11s
Step 29000 | Order = 0.0069696152963977052 | Time = 11s
Step 30000 | Order = 0.011986715842055089 | Time = 12s
Step 31000 | Order = 0.015084898437010667 | Time = 12s
Step 32000 | Order = 0.017391931446183558 | Time = 13s
Step 33000 | Order = 0.032444508061170677 | Time = 13s
Step 34000 | Order = 0.008804505124313829 | Time = 13s
Step 35000 | Order = 0.015508748011467849 | Time = 14s
Step 36000 | Order = 0.032213393637122952 | Time = 14s
Step 37000 | Order = 0.017370176199661608 | Time = 15s
Step 38000 | Order = 0.01205045405855442 | Time = 15s
Step 39000 | Order = 0.020499584386987516 | Time = 15s
Step 40000 | Order = 0.027983842262307143 | Time = 16s
Step 41000 | Order = 0.023682108049376021 | Time = 16s
Step 42000 | Order = 0.017075443060858741 | Time = 17s
Step 43000 | Order = 0.021440796964406959 | Time = 17s
Step 44000 | Order = 0.015826460040783516 | Time = 17s
Step 45000 | Order = 0.0044127820148677586 | Time = 18s
Step 46000 | Order = 0.027417127434761102 | Time = 18s
Step 47000 | Order = 0.041621778011665438 | Time = 19s
Step 48000 | Order = 0.02058455171361151 | Time = 19s
Step 49000 | Order = 0.015456449082342569 | Time = 19s
Step 50000 | Order = 0.011744461703250001 | Time = 20s
Step 51000 | Order = 0.0095286389008673207 | Time = 21s
Step 52000 | Order = 0.023786130337938211 | Time = 21s
Step 53000 | Order = 0.022124210229201111 | Time = 21s
Step 54000 | Order = 0.01385035722877318 | Time = 22s
Step 55000 | Order = 0.0096807496333618411 | Time = 22s
Step 56000 | Order = 0.0071298113719919076 | Time = 23s
Step 57000 | Order = 0.022526962460304854 | Time = 23s
Step 58000 | Order = 0.014816758905839687 | Time = 23s
Step 59000 | Order = 0.013151560702075847 | Time = 24s
Step 60000 | Order = 0.0046427466364671634 | Time = 24s
Step 61000 | Order = 0.023959508044331342 | Time = 25s
Step 62000 | Order = 0.027882876223573973 | Time = 25s
Step 63000 | Order = 0.015186257002972086 | Time = 25s
Step 64000 | Order = 0.018603386734267157 | Time = 26s
Step 65000 | Order = 0.022887601699460122 | Time = 26s
Step 66000 | Order = 0.011445620236823875 | Time = 27s
Step 67000 | Order = 0.014345713337199376 | Time = 27s
Step 68000 | Order = 0.02175214846531863 | Time = 27s
Step 69000 | Order = 0.019225812051573556 | Time = 28s
Step 70000 | Order = 0.026020822226340792 | Time = 28s
Step 71000 | Order = 0.016115465763417419 | Time = 29s
Step 72000 | Order = 0.0097484616733058919 | Time = 29s
Step 73000 | Order = 0.024177201868282677 | Time = 29s
Step 74000 | Order = 0.01692868472963819 | Time = 30s
Step 75000 | Order = 0.011733499580585735 | Time = 30s
Step 76000 | Order = 0.031399811438769243 | Time = 31s
Step 77000 | Order = 0.0017824855891840801 | Time = 31s
Step 78000 | Order = 0.015236796418266509 | Time = 31s
Step 79000 | Order = 0.015446836616891509 | Time = 32s
Step 80000 | Order = 0.0096746610622975536 | Time = 32s
Step 81000 | Order = 0.012122903486020194 | Time = 33s
Step 82000 | Order = 0.0191362112387462 | Time = 33s
Step 83000 | Order = 0.0087387812383418334 | Time = 33s
Step 84000 | Order = 0.023927887960084378 | Time = 34s
Step 85000 | Order = 0.018773296215507669 | Time = 34s
Step 86000 | Order = 0.023614897678090746 | Time = 35s
Step 87000 | Order = 0.012374848378958457 | Time = 35s
Step 88000 | Order = 0.024764789006392469 | Time = 35s
Step 89000 | Order = 0.010171811520695703 | Time = 36s
Step 90000 | Order = 0.007356274817975606 | Time = 36s
Step 91000 | Order = 0.035094422879747164 | Time = 37s
Step 92000 | Order = 0.0067925688821668705 | Time = 37s
Step 93000 | Order = 0.017814861261675172 | Time = 37s
Step 94000 | Order = 0.0096040092301302258 | Time = 38s
Step 95000 | Order = 0.017669963632432752 | Time = 38s
Step 96000 | Order = 0.01055413661962165 | Time = 39s
Step 97000 | Order = 0.0097165025490327829 | Time = 39s
Step 98000 | Order = 0.013804577616338012 | Time = 39s
Step 99000 | Order = 0.029288043526542702 | Time = 40s
Step 100000 | Order = 0.017507101654989785 | Time = 40s
Step 101000 | Order = 0.0061349296742095527 | Time = 41s
Step 102000 | Order = 0.037873814705911758 | Time = 41s
Step 103000 | Order = 0.023377082878674217 | Time = 42s
Step 104000 | Order = 0.024703704275463215 | Time = 42s
Step 105000 | Order = 0.012438727649606065 | Time = 43s
Step 106000 | Order = 0.026948180693077816 | Time = 43s
Step 107000 | Order = 0.0056419717157207491 | Time = 43s
Step 108000 | Order = 0.016867660536909589 | Time = 44s
Step 109000 | Order = 0.0038598417793810221 | Time = 44s
Step 110000 | Order = 0.026112509567528037 | Time = 45s
