Simulation #45, Parameters: eta = 0.109110 | rho = 0.320610 | v0 = 0.10911s
Step 0 | Order = 0.024454207823911788 | Time = 0s
Step 1000 | Order = 0.020255773204227799 | Time = 1s
Step 2000 | Order = 0.020255773204227806 | Time = 1s
Step 3000 | Order = 0.020255773204227806 | Time = 2s
Step 4000 | Order = 0.020255773204227799 | Time = 2s
Step 5000 | Order = 0.020255773204227799 | Time = 2s
Step 6000 | Order = 0.020255773204227803 | Time = 3s
Step 7000 | Order = 0.020255773204227799 | Time = 3s
Step 8000 | Order = 0.020255773204227799 | Time = 4s
Step 9000 | Order = 0.020255773204227799 | Time = 4s
Step 10000 | Order = 0.020255773204227799 | Time = 5s
Step 11000 | Order = 0.020255773204227799 | Time = 5s
Step 12000 | Order = 0.020255773204227803 | Time = 6s
Step 13000 | Order = 0.020255773204227799 | Time = 6s
Step 14000 | Order = 0.020255773204227803 | Time = 7s
Step 15000 | Order = 0.020255773204227799 | Time = 7s
Step 16000 | Order = 0.020255773204227799 | Time = 7s
Step 17000 | Order = 0.020255773204227806 | Time = 8s
Step 18000 | Order = 0.020255773204227799 | Time = 8s
Step 19000 | Order = 0.020255773204227803 | Time = 9s
Step 20000 | Order = 0.020255773204227803 | Time = 9s
Step 21000 | Order = 0.020255773204227803 | Time = 10s
Step 22000 | Order = 0.020255773204227796 | Time = 10s
Step 23000 | Order = 0.020255773204227799 | Time = 11s
Step 24000 | Order = 0.020255773204227806 | Time = 11s
Step 25000 | Order = 0.020255773204227806 | Time = 11s
Step 26000 | Order = 0.020255773204227806 | Time = 12s
Step 27000 | Order = 0.020255773204227799 | Time = 12s
Step 28000 | Order = 0.020255773204227803 | Time = 13s
Step 29000 | Order = 0.020255773204227806 | Time = 13s
Step 30000 | Order = 0.020255773204227803 | Time = 14s
Step 31000 | Order = 0.020255773204227806 | Time = 14s
Step 32000 | Order = 0.020255773204227803 | Time = 15s
Step 33000 | Order = 0.020255773204227799 | Time = 15s
Step 34000 | Order = 0.020255773204227806 | Time = 16s
Step 35000 | Order = 0.020255773204227799 | Time = 16s
Step 36000 | Order = 0.020255773204227803 | Time = 16s
Step 37000 | Order = 0.020255773204227799 | Time = 17s
Step 38000 | Order = 0.020255773204227799 | Time = 17s
Step 39000 | Order = 0.020255773204227803 | Time = 18s
Step 40000 | Order = 0.020255773204227803 | Time = 18s
Step 41000 | Order = 0.020255773204227799 | Time = 19s
Step 42000 | Order = 0.020255773204227799 | Time = 19s
Step 43000 | Order = 0.020255773204227803 | Time = 20s
Step 44000 | Order = 0.020255773204227799 | Time = 20s
Step 45000 | Order = 0.020255773204227799 | Time = 20s
Step 46000 | Order = 0.020255773204227806 | Time = 21s
Step 47000 | Order = 0.020255773204227799 | Time = 21s
Step 48000 | Order = 0.020255773204227799 | Time = 22s
Step 49000 | Order = 0.020255773204227799 | Time = 23s
Step 50000 | Order = 0.020255773204227806 | Time = 23s
Step 51000 | Order = 0.020255773204227806 | Time = 24s
Step 52000 | Order = 0.020255773204227803 | Time = 24s
Step 53000 | Order = 0.020255773204227799 | Time = 25s
Step 54000 | Order = 0.020255773204227803 | Time = 25s
Step 55000 | Order = 0.020255773204227803 | Time = 26s
Step 56000 | Order = 0.020255773204227806 | Time = 26s
Step 57000 | Order = 0.020255773204227803 | Time = 26s
Step 58000 | Order = 0.020255773204227806 | Time = 27s
Step 59000 | Order = 0.020255773204227803 | Time = 27s
Step 60000 | Order = 0.020255773204227803 | Time = 28s
Step 61000 | Order = 0.020255773204227803 | Time = 29s
Step 62000 | Order = 0.020255773204227806 | Time = 29s
Step 63000 | Order = 0.020255773204227803 | Time = 29s
Step 64000 | Order = 0.020255773204227806 | Time = 30s
Step 65000 | Order = 0.020255773204227799 | Time = 30s
Step 66000 | Order = 0.020255773204227803 | Time = 31s
Step 67000 | Order = 0.020255773204227806 | Time = 31s
Step 68000 | Order = 0.020255773204227803 | Time = 32s
Step 69000 | Order = 0.020255773204227806 | Time = 32s
Step 70000 | Order = 0.020255773204227803 | Time = 33s
Step 71000 | Order = 0.020255773204227806 | Time = 33s
Step 72000 | Order = 0.020255773204227799 | Time = 34s
Step 73000 | Order = 0.020255773204227803 | Time = 34s
Step 74000 | Order = 0.020255773204227803 | Time = 35s
Step 75000 | Order = 0.020255773204227803 | Time = 35s
Step 76000 | Order = 0.020255773204227803 | Time = 36s
Step 77000 | Order = 0.020255773204227806 | Time = 36s
Step 78000 | Order = 0.020255773204227806 | Time = 36s
Step 79000 | Order = 0.020255773204227799 | Time = 37s
Step 80000 | Order = 0.020255773204227806 | Time = 37s
Step 81000 | Order = 0.020255773204227799 | Time = 38s
Step 82000 | Order = 0.020255773204227803 | Time = 38s
Step 83000 | Order = 0.020255773204227803 | Time = 39s
Step 84000 | Order = 0.020255773204227803 | Time = 39s
Step 85000 | Order = 0.020255773204227806 | Time = 40s
Step 86000 | Order = 0.020255773204227803 | Time = 40s
Step 87000 | Order = 0.020255773204227806 | Time = 41s
Step 88000 | Order = 0.020255773204227806 | Time = 41s
Step 89000 | Order = 0.020255773204227799 | Time = 41s
Step 90000 | Order = 0.020255773204227806 | Time = 42s
Step 91000 | Order = 0.020255773204227796 | Time = 42s
Step 92000 | Order = 0.020255773204227803 | Time = 43s
Step 93000 | Order = 0.020255773204227799 | Time = 43s
Step 94000 | Order = 0.020255773204227803 | Time = 44s
Step 95000 | Order = 0.020255773204227803 | Time = 44s
Step 96000 | Order = 0.020255773204227803 | Time = 45s
Step 97000 | Order = 0.020255773204227803 | Time = 45s
Step 98000 | Order = 0.020255773204227806 | Time = 45s
Step 99000 | Order = 0.020255773204227799 | Time = 46s
Step 100000 | Order = 0.020255773204227799 | Time = 46s
Step 101000 | Order = 0.020255773204227803 | Time = 47s
Step 102000 | Order = 0.020255773204227799 | Time = 47s
Step 103000 | Order = 0.020255773204227803 | Time = 48s
Step 104000 | Order = 0.020255773204227799 | Time = 48s
Step 105000 | Order = 0.020255773204227803 | Time = 49s
Step 106000 | Order = 0.020255773204227803 | Time = 49s
Step 107000 | Order = 0.020255773204227803 | Time = 50s
Step 108000 | Order = 0.020255773204227803 | Time = 50s
Step 109000 | Order = 0.020255773204227806 | Time = 51s
Step 110000 | Order = 0.020255773204227806 | Time = 51s
Step 111000 | Order = 0.020255773204227806 | Time = 52s
Step 112000 | Order = 0.020255773204227806 | Time = 52s
Step 113000 | Order = 0.020255773204227803 | Time = 52s
Step 114000 | Order = 0.020255773204227806 | Time = 53s
Step 115000 | Order = 0.020255773204227803 | Time = 53s
Step 116000 | Order = 0.020255773204227806 | Time = 54s
Step 117000 | Order = 0.020255773204227803 | Time = 54s
Step 118000 | Order = 0.020255773204227803 | Time = 55s
Step 119000 | Order = 0.020255773204227799 | Time = 55s
Step 120000 | Order = 0.020255773204227803 | Time = 56s
Step 121000 | Order = 0.020255773204227803 | Time = 56s
Step 122000 | Order = 0.020255773204227799 | Time = 57s
Step 123000 | Order = 0.020255773204227803 | Time = 57s
Step 124000 | Order = 0.020255773204227803 | Time = 57s
Step 125000 | Order = 0.020255773204227799 | Time = 58s
Step 126000 | Order = 0.020255773204227799 | Time = 58s
Step 127000 | Order = 0.020255773204227806 | Time = 59s
Step 128000 | Order = 0.020255773204227806 | Time = 59s
Step 129000 | Order = 0.020255773204227799 | Time = 60s
Step 130000 | Order = 0.020255773204227803 | Time = 60s
Step 131000 | Order = 0.020255773204227806 | Time = 61s
Step 132000 | Order = 0.020255773204227803 | Time = 61s
Step 133000 | Order = 0.020255773204227803 | Time = 62s
Step 134000 | Order = 0.020255773204227803 | Time = 62s
Step 135000 | Order = 0.020255773204227803 | Time = 63s
Step 136000 | Order = 0.020255773204227799 | Time = 63s
Step 137000 | Order = 0.020255773204227803 | Time = 64s
Step 138000 | Order = 0.020255773204227803 | Time = 64s
Step 139000 | Order = 0.020255773204227806 | Time = 65s
Step 140000 | Order = 0.020255773204227799 | Time = 65s
Step 141000 | Order = 0.020255773204227803 | Time = 66s
Step 142000 | Order = 0.020255773204227806 | Time = 66s
Step 143000 | Order = 0.020255773204227799 | Time = 66s
Step 144000 | Order = 0.020255773204227803 | Time = 67s
Step 145000 | Order = 0.020255773204227803 | Time = 67s
Step 146000 | Order = 0.020255773204227806 | Time = 68s
Step 147000 | Order = 0.020255773204227803 | Time = 68s
Step 148000 | Order = 0.020255773204227799 | Time = 69s
Step 149000 | Order = 0.020255773204227799 | Time = 69s
Step 150000 | Order = 0.020255773204227803 | Time = 70s
Step 151000 | Order = 0.020255773204227799 | Time = 70s
Step 152000 | Order = 0.020255773204227799 | Time = 71s
Step 153000 | Order = 0.020255773204227799 | Time = 71s
Step 154000 | Order = 0.020255773204227803 | Time = 72s
Step 155000 | Order = 0.020255773204227806 | Time = 72s
Step 156000 | Order = 0.020255773204227799 | Time = 72s
Step 157000 | Order = 0.020255773204227806 | Time = 73s
Step 158000 | Order = 0.020255773204227806 | Time = 73s
Step 159000 | Order = 0.020255773204227803 | Time = 74s
Step 160000 | Order = 0.020255773204227803 | Time = 74s
Step 161000 | Order = 0.020255773204227806 | Time = 75s
