Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 0 | Order = 0.030975645616610478 | Time = 0s
Step 1000 | Order = 0.013837233840553355 | Time = 1s
Step 2000 | Order = 0.027638528569042004 | Time = 1s
Step 3000 | Order = 0.024045893785840433 | Time = 1s
Step 4000 | Order = 0.027000278841267159 | Time = 1s
Step 5000 | Order = 0.021162456939557921 | Time = 1s
Step 6000 | Order = 0.063047041300480638 | Time = 1s
Step 7000 | Order = 0.031271786866332314 | Time = 1s
Step 8000 | Order = 0.026343510145379372 | Time = 1s
Step 9000 | Order = 0.017203221584891699 | Time = 2s
Step 10000 | Order = 0.011073713590245084 | Time = 2s
Step 11000 | Order = 0.030599324945784885 | Time = 2s
Step 12000 | Order = 0.024807697181400884 | Time = 2s
Step 13000 | Order = 0.0027091387240357197 | Time = 2s
Step 14000 | Order = 0.023167536347828074 | Time = 2s
Step 15000 | Order = 0.014805927871341436 | Time = 2s
Step 16000 | Order = 0.038617956119016507 | Time = 2s
Step 17000 | Order = 0.020093848447615907 | Time = 3s
Step 18000 | Order = 0.0054248054176952486 | Time = 3s
Step 19000 | Order = 0.010810243607393955 | Time = 3s
Step 20000 | Order = 0.032649429224118079 | Time = 3s
Step 21000 | Order = 0.071209398929243495 | Time = 3s
Step 22000 | Order = 0.027648606152605441 | Time = 3s
Step 23000 | Order = 0.029434401783347327 | Time = 3s
Step 24000 | Order = 0.01158253243182323 | Time = 4s
Step 25000 | Order = 0.011763618159719925 | Time = 4s
Step 26000 | Order = 0.013806225959153397 | Time = 4s
Step 27000 | Order = 0.051779292156657532 | Time = 4s
Step 28000 | Order = 0.024208125741732624 | Time = 4s
Step 29000 | Order = 0.01692742332206679 | Time = 4s
Step 30000 | Order = 0.015052818995624264 | Time = 4s
Step 31000 | Order = 0.035746946038434944 | Time = 4s
Step 32000 | Order = 0.018982806588121213 | Time = 5s
Step 33000 | Order = 0.0020441867141745714 | Time = 5s
Step 34000 | Order = 0.0052187319339522427 | Time = 5s
Step 35000 | Order = 0.014871948283599378 | Time = 5s
Step 36000 | Order = 0.044866167384543278 | Time = 5s
Step 37000 | Order = 0.015868840207620648 | Time = 5s
Step 38000 | Order = 0.01084682720310283 | Time = 5s
Step 39000 | Order = 0.043072298222568077 | Time = 5s
Step 40000 | Order = 0.015145117359716735 | Time = 6s
Step 41000 | Order = 0.053096545388483504 | Time = 6s
Step 42000 | Order = 0.045173495786026301 | Time = 6s
Step 43000 | Order = 0.0057441333741103219 | Time = 6s
Step 44000 | Order = 0.0088937958120617229 | Time = 6s
Step 45000 | Order = 0.0079906594532370111 | Time = 6s
Step 46000 | Order = 0.014856971582447259 | Time = 6s
Step 47000 | Order = 0.018827104827012935 | Time = 7s
Step 48000 | Order = 0.01685683175281694 | Time = 7s
Step 49000 | Order = 0.025905016601247863 | Time = 7s
Step 50000 | Order = 0.02307915243338118 | Time = 7s
Step 51000 | Order = 0.0202856041556435 | Time = 9s
Step 52000 | Order = 0.020797144146582937 | Time = 9s
Step 53000 | Order = 0.036903394638466445 | Time = 10s
Step 54000 | Order = 0.019070862916222776 | Time = 10s
Step 55000 | Order = 0.037930721412797345 | Time = 10s
Step 56000 | Order = 0.028941285731993192 | Time = 10s
Step 57000 | Order = 0.01301479866594888 | Time = 10s
Step 58000 | Order = 0.038025100196497609 | Time = 10s
Step 59000 | Order = 0.054062406523631909 | Time = 10s
Step 60000 | Order = 0.02280386500507792 | Time = 10s
Step 61000 | Order = 0.016989858645275593 | Time = 11s
Step 62000 | Order = 0.046639718445885887 | Time = 11s
Step 63000 | Order = 0.032219637264765247 | Time = 11s
Step 64000 | Order = 0.040532607797338777 | Time = 11s
Step 65000 | Order = 0.033933907127176345 | Time = 11s
Step 66000 | Order = 0.044816256563038941 | Time = 11s
Step 67000 | Order = 0.042721687995734073 | Time = 11s
Step 68000 | Order = 0.0023708153577372232 | Time = 12s
Step 69000 | Order = 0.0030500292602455023 | Time = 12s
Step 70000 | Order = 0.018607628599362033 | Time = 12s
Step 71000 | Order = 0.040924969905211508 | Time = 12s
Step 72000 | Order = 0.03435437701995394 | Time = 12s
Step 73000 | Order = 0.011353066378348103 | Time = 12s
Step 74000 | Order = 0.032959223825729904 | Time = 12s
Step 75000 | Order = 0.037641465765220788 | Time = 12s
Step 76000 | Order = 0.036350822313955512 | Time = 13s
Step 77000 | Order = 0.029653200537429276 | Time = 13s
Step 78000 | Order = 0.038589911118127145 | Time = 13s
Step 79000 | Order = 0.050646770699962707 | Time = 13s
Step 80000 | Order = 0.058933160971162336 | Time = 13s
Step 81000 | Order = 0.010980578195411818 | Time = 13s
Step 82000 | Order = 0.018689623789913203 | Time = 13s
Step 83000 | Order = 0.020292037060551122 | Time = 13s
Step 84000 | Order = 0.039910412281063401 | Time = 14s
Step 85000 | Order = 0.053887080110287582 | Time = 14s
Step 86000 | Order = 0.013248065468507226 | Time = 14s
Step 87000 | Order = 0.0089040970471428917 | Time = 14s
Step 88000 | Order = 0.02510628371216635 | Time = 14s
Step 89000 | Order = 0.025562057805916166 | Time = 14s
Step 90000 | Order = 0.017997062803109205 | Time = 15s
Step 91000 | Order = 0.031560559761304383 | Time = 15s
Step 92000 | Order = 0.023573992539326447 | Time = 15s
Step 93000 | Order = 0.043535590706862207 | Time = 15s
Step 94000 | Order = 0.023343201773080694 | Time = 15s
Step 95000 | Order = 0.020499049263782865 | Time = 15s
Step 96000 | Order = 0.022633494934813137 | Time = 15s
Step 97000 | Order = 0.041226367568932817 | Time = 15s
Step 98000 | Order = 0.0080988220034376394 | Time = 16s
Step 99000 | Order = 0.022570647879018906 | Time = 16s
Step 100000 | Order = 0.054401560902567932 | Time = 16s
Step 101000 | Order = 0.0065643530854476995 | Time = 17s
Step 102000 | Order = 0.008732208541848259 | Time = 17s
Step 103000 | Order = 0.02055646395637898 | Time = 17s
Step 104000 | Order = 0.010607941893133497 | Time = 17s
Step 105000 | Order = 0.031228720104453028 | Time = 17s
Step 106000 | Order = 0.022341812158151994 | Time = 17s
Step 107000 | Order = 0.037321265126595712 | Time = 17s
Step 108000 | Order = 0.022301797010346455 | Time = 18s
Step 109000 | Order = 0.026661360921715411 | Time = 18s
Step 110000 | Order = 0.017664962476990623 | Time = 18s
Step 111000 | Order = 0.044767270345630494 | Time = 18s
Step 112000 | Order = 0.021272984139545537 | Time = 18s
Step 113000 | Order = 0.024115957433779367 | Time = 18s
Step 114000 | Order = 0.026898572355209465 | Time = 18s
Step 115000 | Order = 0.0083917641589983383 | Time = 19s
Step 116000 | Order = 0.0070375617615802228 | Time = 19s
Step 117000 | Order = 0.024114806589858973 | Time = 19s
Step 118000 | Order = 0.02648618830491719 | Time = 19s
Step 119000 | Order = 0.038804901772451272 | Time = 19s
Step 120000 | Order = 0.020729433276885204 | Time = 19s
Step 121000 | Order = 0.016302842233718595 | Time = 19s
Step 122000 | Order = 0.007156469652200354 | Time = 19s
Step 123000 | Order = 0.023232710277775518 | Time = 20s
Step 124000 | Order = 0.012815031430295283 | Time = 20s
Step 125000 | Order = 0.052485841750704983 | Time = 20s
Step 126000 | Order = 0.015165028879555717 | Time = 20s
Step 127000 | Order = 0.028074425050250831 | Time = 20s
Step 128000 | Order = 0.011989035539042032 | Time = 20s
Step 129000 | Order = 0.013000377390384116 | Time = 20s
Step 130000 | Order = 0.0054676071780221268 | Time = 20s
Step 131000 | Order = 0.040670439605750251 | Time = 21s
Step 132000 | Order = 0.025030400705889272 | Time = 21s
Step 133000 | Order = 0.031222935568867988 | Time = 21s
Step 134000 | Order = 0.024350463761180118 | Time = 21s
Step 135000 | Order = 0.023545842572059873 | Time = 21s
Step 136000 | Order = 0.011135963753953154 | Time = 21s
Step 137000 | Order = 0.015188680280288577 | Time = 21s
Step 138000 | Order = 0.022932215850423758 | Time = 22s
Step 139000 | Order = 0.027522845050549766 | Time = 22s
Step 140000 | Order = 0.026368448614839512 | Time = 22s
Step 141000 | Order = 0.037852274979462343 | Time = 22s
Step 142000 | Order = 0.010283238487590666 | Time = 22s
Step 143000 | Order = 0.05518003630820071 | Time = 22s
Step 144000 | Order = 0.026671054624881063 | Time = 22s
Step 145000 | Order = 0.021988979545699922 | Time = 23s
Step 146000 | Order = 0.033239560955174906 | Time = 23s
Step 147000 | Order = 0.020068087859082703 | Time = 23s
Step 148000 | Order = 0.028365546063032526 | Time = 23s
Step 149000 | Order = 0.0058841061731139998 | Time = 23s
Step 150000 | Order = 0.026963377923568985 | Time = 23s
Step 151000 | Order = 0.027152257899577779 | Time = 24s
Step 152000 | Order = 0.026337310735728939 | Time = 24s
Step 153000 | Order = 0.01357922991470987 | Time = 24s
Step 154000 | Order = 0.047256684818455942 | Time = 24s
Step 155000 | Order = 0.02146836475601735 | Time = 24s
Step 156000 | Order = 0.034333629498659007 | Time = 25s
Step 157000 | Order = 0.032857730808412089 | Time = 25s
Step 158000 | Order = 0.0074030284810495794 | Time = 25s
Step 159000 | Order = 0.037972870940893654 | Time = 25s
Step 160000 | Order = 0.022438585795643264 | Time = 25s
Step 161000 | Order = 0.030934020374605194 | Time = 25s
Step 162000 | Order = 0.009252447103609349 | Time = 25s
Step 163000 | Order = 0.039592366216139332 | Time = 25s
Step 164000 | Order = 0.018617071694839189 | Time = 26s
Step 165000 | Order = 0.015151388958004667 | Time = 26s
Step 166000 | Order = 0.021425476898266561 | Time = 26s
Step 167000 | Order = 0.033754892061428766 | Time = 26s
Step 168000 | Order = 0.054825708115906494 | Time = 26s
Step 169000 | Order = 0.033526198633681621 | Time = 26s
Step 170000 | Order = 0.017137912372339241 | Time = 26s
Step 171000 | Order = 0.0019281742758917599 | Time = 27s
Step 172000 | Order = 0.015049319336014201 | Time = 27s
Step 173000 | Order = 0.032065121475427984 | Time = 27s
Step 174000 | Order = 0.017019090129260957 | Time = 27s
Step 175000 | Order = 0.0080905867636109907 | Time = 27s
Step 176000 | Order = 0.0060773975312937859 | Time = 27s
Step 177000 | Order = 0.035903584205583289 | Time = 27s
Step 178000 | Order = 0.01589755302952308 | Time = 27s
Step 179000 | Order = 0.051706986755011085 | Time = 28s
Step 180000 | Order = 0.039293659185051261 | Time = 28s
Step 181000 | Order = 0.018790841859325041 | Time = 28s
Step 182000 | Order = 0.03910017694487037 | Time = 28s
Step 183000 | Order = 0.046110716227782095 | Time = 28s
Step 184000 | Order = 0.037280162843282741 | Time = 28s
Step 185000 | Order = 0.0058499311640091596 | Time = 29s
Step 186000 | Order = 0.055139573598890233 | Time = 29s
Step 187000 | Order = 0.027301636345222483 | Time = 29s
Step 188000 | Order = 0.015663573947867215 | Time = 29s
Step 189000 | Order = 0.018306285439255034 | Time = 29s
Step 190000 | Order = 0.029953284198625744 | Time = 29s
Step 191000 | Order = 0.04263015338926128 | Time = 29s
Step 192000 | Order = 0.050945954414814525 | Time = 29s
Step 193000 | Order = 0.051903721411479642 | Time = 30s
Step 194000 | Order = 0.052733143489536387 | Time = 30s
Step 195000 | Order = 0.038154349978073751 | Time = 30s
Step 196000 | Order = 0.029264551092737939 | Time = 30s
Step 197000 | Order = 0.021171698024260086 | Time = 30s
Step 198000 | Order = 0.045688006979942679 | Time = 30s
Step 199000 | Order = 0.030390846639311419 | Time = 30s
Step 200000 | Order = 0.0084875780531520686 | Time = 30s
Step 201000 | Order = 0.017474101307845085 | Time = 33s
Step 202000 | Order = 0.0013909621436584995 | Time = 34s
Step 203000 | Order = 0.028342272774585672 | Time = 34s
Step 204000 | Order = 0.027999601773541244 | Time = 34s
Step 205000 | Order = 0.042036745286260654 | Time = 34s
Step 206000 | Order = 0.015874065365338773 | Time = 34s
Step 207000 | Order = 0.018023385556820409 | Time = 34s
Step 208000 | Order = 0.031941615582564691 | Time = 34s
Step 209000 | Order = 0.024572343401550192 | Time = 34s
Step 210000 | Order = 0.041085262826075129 | Time = 35s
Step 211000 | Order = 0.017393419177812182 | Time = 35s
Step 212000 | Order = 0.01817830489277112 | Time = 35s
Step 213000 | Order = 0.0055403678499772874 | Time = 35s
Step 214000 | Order = 0.011558349257913856 | Time = 35s
Step 215000 | Order = 0.044661356724057362 | Time = 35s
Step 216000 | Order = 0.012934442247454447 | Time = 36s
Step 217000 | Order = 0.011414567442806419 | Time = 36s
Step 218000 | Order = 0.013126614000413941 | Time = 36s
Step 219000 | Order = 0.0053512033441685293 | Time = 36s
Step 220000 | Order = 0.012318939855032431 | Time = 36s
Step 221000 | Order = 0.03000126192288731 | Time = 36s
Step 222000 | Order = 0.014642818106089014 | Time = 36s
Step 223000 | Order = 0.018591856470591691 | Time = 36s
Step 224000 | Order = 0.061708538732423372 | Time = 37s
Step 225000 | Order = 0.046493937830892423 | Time = 37s
Step 226000 | Order = 0.046797744442411984 | Time = 37s
Step 227000 | Order = 0.028237533124590979 | Time = 37s
Step 228000 | Order = 0.0080764696758828768 | Time = 37s
Step 229000 | Order = 0.058340793824169707 | Time = 37s
Step 230000 | Order = 0.042345871046561324 | Time = 37s
Step 231000 | Order = 0.018937609708429972 | Time = 38s
Step 232000 | Order = 0.02515456420088058 | Time = 38s
Step 233000 | Order = 0.019870265123963497 | Time = 38s
Step 234000 | Order = 0.026404743890778123 | Time = 38s
Step 235000 | Order = 0.026633254945414995 | Time = 38s
Step 236000 | Order = 0.039353744292616656 | Time = 38s
Step 237000 | Order = 0.024520655986478214 | Time = 38s
Step 238000 | Order = 0.027843211673551541 | Time = 38s
Step 239000 | Order = 0.014387387914880987 | Time = 39s
Step 240000 | Order = 0.018069306007251758 | Time = 39s
Step 241000 | Order = 0.016403978499126257 | Time = 39s
Step 242000 | Order = 0.032687770811458489 | Time = 39s
Step 243000 | Order = 0.023398552684320766 | Time = 39s
Step 244000 | Order = 0.045972585367890006 | Time = 39s
