Simulation #5, Parameters: eta = 0.824178 | rho = 0.203223 | v0 = 0.0105289s
Step 111000 | Order = 0.024067781880330989 | Time = 27s
Step 112000 | Order = 0.011875603134781375 | Time = 27s
Step 113000 | Order = 0.018088534559164815 | Time = 27s
Step 114000 | Order = 0.019703346939873335 | Time = 28s
Step 115000 | Order = 0.020283168731101239 | Time = 28s
Step 116000 | Order = 0.014547698914852181 | Time = 28s
Step 117000 | Order = 0.01192655453638143 | Time = 28s
Step 118000 | Order = 0.015748371334256338 | Time = 29s
Step 119000 | Order = 0.035577946662513099 | Time = 29s
Step 120000 | Order = 0.019461496957977005 | Time = 29s
Step 121000 | Order = 0.0071702593597446872 | Time = 29s
Step 122000 | Order = 0.010831069944086566 | Time = 30s
Step 123000 | Order = 0.02188592561774326 | Time = 30s
Step 124000 | Order = 0.0012717723099464218 | Time = 30s
Step 125000 | Order = 0.017211349859185588 | Time = 30s
Step 126000 | Order = 0.019357430625524533 | Time = 30s
Step 127000 | Order = 0.01488381989653874 | Time = 31s
Step 128000 | Order = 0.021988305869928809 | Time = 31s
Step 129000 | Order = 0.01381930006438019 | Time = 31s
Step 130000 | Order = 0.020339333054181528 | Time = 31s
Step 131000 | Order = 0.023340891465429715 | Time = 32s
Step 132000 | Order = 0.0077375853880078229 | Time = 32s
Step 133000 | Order = 0.0065017288313439572 | Time = 32s
Step 134000 | Order = 0.013743824420016737 | Time = 32s
Step 135000 | Order = 0.022948558501761064 | Time = 33s
Step 136000 | Order = 0.014133476052475023 | Time = 33s
Step 137000 | Order = 0.022522909100692212 | Time = 33s
Step 138000 | Order = 0.030837231666192261 | Time = 33s
Step 139000 | Order = 0.013055884524300673 | Time = 33s
Step 140000 | Order = 0.0046178589726893135 | Time = 34s
Step 141000 | Order = 0.011260119358931375 | Time = 34s
Step 142000 | Order = 0.016575341518636988 | Time = 34s
Step 143000 | Order = 0.023004255944510086 | Time = 35s
Step 144000 | Order = 0.013237654895294354 | Time = 35s
Step 145000 | Order = 0.0039122136738047346 | Time = 35s
Step 146000 | Order = 0.026827153215826297 | Time = 35s
Step 147000 | Order = 0.0079709411337824821 | Time = 35s
Step 148000 | Order = 0.038694385456097373 | Time = 36s
Step 149000 | Order = 0.010261838502155982 | Time = 36s
Step 150000 | Order = 0.010650777663303843 | Time = 36s
Step 151000 | Order = 0.0046986873932713573 | Time = 36s
Step 152000 | Order = 0.0018353458138819342 | Time = 37s
Step 153000 | Order = 0.013989475878969034 | Time = 37s
Step 154000 | Order = 0.011180677852237522 | Time = 37s
Step 155000 | Order = 0.018607127416578023 | Time = 37s
Step 156000 | Order = 0.0057574897013220987 | Time = 38s
Step 157000 | Order = 0.037087353602217467 | Time = 38s
Step 158000 | Order = 0.011456604943895603 | Time = 38s
Step 159000 | Order = 0.023973607566415554 | Time = 38s
Step 160000 | Order = 0.017225807628712973 | Time = 38s
Step 161000 | Order = 0.013449690404987818 | Time = 39s
Step 162000 | Order = 0.012657723717608668 | Time = 39s
Step 163000 | Order = 0.010660670953209375 | Time = 39s
Step 164000 | Order = 0.014058986973087531 | Time = 40s
Step 165000 | Order = 0.014259627901125144 | Time = 40s
Step 166000 | Order = 0.020303969020097588 | Time = 40s
Step 167000 | Order = 0.010576640916412791 | Time = 40s
Step 168000 | Order = 0.014392809602436892 | Time = 40s
Step 169000 | Order = 0.031066753236447271 | Time = 41s
Step 170000 | Order = 0.012769062273433395 | Time = 41s
Step 171000 | Order = 0.023971697972873539 | Time = 41s
Step 172000 | Order = 0.011807022249237967 | Time = 41s
Step 173000 | Order = 0.018257662393968921 | Time = 42s
Step 174000 | Order = 0.016012646102771644 | Time = 42s
Step 175000 | Order = 0.024123398719078658 | Time = 42s
Step 176000 | Order = 0.026371645755247433 | Time = 42s
Step 177000 | Order = 0.019518363437893604 | Time = 43s
Step 178000 | Order = 0.014546018651006494 | Time = 43s
Step 179000 | Order = 0.01833582447165755 | Time = 43s
Step 180000 | Order = 0.019386145533265592 | Time = 43s
Step 181000 | Order = 0.024632329876190299 | Time = 43s
