Simulation #40, Parameters: eta = 0.515655 | rho = 0.158729 | v0 = 0.188132s
Step 112000 | Order = 0.039900739559693824 | Time = 35s
Step 113000 | Order = 0.029759619506877246 | Time = 35s
Step 114000 | Order = 0.015230380213150502 | Time = 36s
Step 115000 | Order = 0.025120791123593198 | Time = 36s
Step 116000 | Order = 0.011672033869465255 | Time = 37s
Step 117000 | Order = 0.020102643076954717 | Time = 37s
Step 118000 | Order = 0.0063759166203485622 | Time = 37s
Step 119000 | Order = 0.022062947644694755 | Time = 37s
Step 120000 | Order = 0.023949927949890298 | Time = 38s
Step 121000 | Order = 0.020643069538113065 | Time = 38s
Step 122000 | Order = 0.01112301684275069 | Time = 38s
Step 123000 | Order = 0.034721432423838204 | Time = 38s
Step 124000 | Order = 0.0067798672775011013 | Time = 39s
Step 125000 | Order = 0.015034351089524195 | Time = 39s
Step 126000 | Order = 0.0093255013363927747 | Time = 39s
Step 127000 | Order = 0.0069917568820820298 | Time = 39s
Step 128000 | Order = 0.0069124694255552855 | Time = 40s
Step 129000 | Order = 0.021034212622485331 | Time = 40s
Step 130000 | Order = 0.027590923396220355 | Time = 40s
Step 131000 | Order = 0.021866571714164937 | Time = 41s
Step 132000 | Order = 0.021203379821716096 | Time = 41s
Step 133000 | Order = 0.024076760356659194 | Time = 41s
Step 134000 | Order = 0.020197963530955432 | Time = 41s
Step 135000 | Order = 0.042021729255565445 | Time = 42s
Step 136000 | Order = 0.036000710050709234 | Time = 42s
Step 137000 | Order = 0.02044139237423425 | Time = 42s
Step 138000 | Order = 0.010912384604131482 | Time = 42s
Step 139000 | Order = 0.0050599405250311546 | Time = 43s
Step 140000 | Order = 0.055793683821071471 | Time = 43s
Step 141000 | Order = 0.03248872633831551 | Time = 43s
Step 142000 | Order = 0.011934340847905742 | Time = 44s
Step 143000 | Order = 0.033506299900501156 | Time = 44s
Step 144000 | Order = 0.0080997010617052216 | Time = 44s
Step 145000 | Order = 0.022784420785923826 | Time = 44s
Step 146000 | Order = 0.022160301809823965 | Time = 45s
Step 147000 | Order = 0.023052856702561787 | Time = 45s
Step 148000 | Order = 0.039969062194536789 | Time = 45s
Step 149000 | Order = 0.031668503475959897 | Time = 45s
Step 150000 | Order = 0.023929922989162987 | Time = 46s
Step 151000 | Order = 0.017234911061275608 | Time = 46s
Step 152000 | Order = 0.029006403540380095 | Time = 46s
Step 153000 | Order = 0.032486005826558161 | Time = 47s
Step 154000 | Order = 0.013331303176761306 | Time = 47s
Step 155000 | Order = 0.013430841734632094 | Time = 47s
Step 156000 | Order = 0.032340320300932174 | Time = 48s
Step 157000 | Order = 0.019994307544989615 | Time = 48s
Step 158000 | Order = 0.0060756571504703262 | Time = 48s
Step 159000 | Order = 0.015526646292704831 | Time = 49s
Step 160000 | Order = 0.018978015136625326 | Time = 49s
Step 161000 | Order = 0.040493221420115459 | Time = 49s
Step 162000 | Order = 0.0097634524514361703 | Time = 49s
Step 163000 | Order = 0.023351614399272757 | Time = 50s
Step 164000 | Order = 0.02651749889828171 | Time = 50s
Step 165000 | Order = 0.011100707774603355 | Time = 50s
Step 166000 | Order = 0.017536157108264734 | Time = 50s
Step 167000 | Order = 0.031626202566561012 | Time = 51s
Step 168000 | Order = 0.029100788321816683 | Time = 51s
Step 169000 | Order = 0.0012350328727682863 | Time = 51s
Step 170000 | Order = 0.014607283244349711 | Time = 52s
Step 171000 | Order = 0.014484941942336609 | Time = 52s
Step 172000 | Order = 0.025349752906503577 | Time = 52s
Step 173000 | Order = 0.025815523656108227 | Time = 52s
Step 174000 | Order = 0.046539757473544163 | Time = 53s
Step 175000 | Order = 0.054944611067348124 | Time = 53s
Step 176000 | Order = 0.014204925647161415 | Time = 54s
Step 177000 | Order = 0.015918431887136587 | Time = 54s
Step 178000 | Order = 0.0077883922092846286 | Time = 54s
Step 179000 | Order = 0.018991896795290595 | Time = 54s
Step 180000 | Order = 0.013749892112127323 | Time = 55s
Step 181000 | Order = 0.015960179654018608 | Time = 55s
Step 182000 | Order = 0.02448698642637771 | Time = 55s
Step 183000 | Order = 0.018088790521642917 | Time = 55s
Step 184000 | Order = 0.013829803454585421 | Time = 56s
Step 185000 | Order = 0.018541051655308942 | Time = 56s
Step 186000 | Order = 0.012792463400808663 | Time = 56s
Step 187000 | Order = 0.047519244626161285 | Time = 57s
Step 188000 | Order = 0.015499732794107537 | Time = 57s
Step 189000 | Order = 0.0080009280573687027 | Time = 57s
Step 190000 | Order = 0.0055308144442674581 | Time = 57s
Step 191000 | Order = 0.019351177441084343 | Time = 58s
Step 192000 | Order = 0.014362080944510696 | Time = 58s
Step 193000 | Order = 0.020032627578585371 | Time = 58s
Step 194000 | Order = 0.012453401227595015 | Time = 58s
Step 195000 | Order = 0.013832703351151764 | Time = 59s
Step 196000 | Order = 0.033602342424985242 | Time = 59s
Step 197000 | Order = 0.014766785504219513 | Time = 59s
Step 198000 | Order = 0.01214377634236076 | Time = 60s
Step 199000 | Order = 0.012918722241564219 | Time = 60s
Step 200000 | Order = 0.034700112697045468 | Time = 60s
Step 201000 | Order = 0.021904915394217055 | Time = 61s
Step 202000 | Order = 0.023882620824352371 | Time = 61s
Step 203000 | Order = 0.030130260535448775 | Time = 61s
