Simulation #67, Parameters: eta = 0.764734 | rho = 0.481143 | v0 = 0.764734s
Step 0 | Order = 0.0043251429511092189 | Time = 0s
Step 1000 | Order = 0.0088314815437630211 | Time = 1s
Step 2000 | Order = 0.0088314815437704874 | Time = 2s
Step 3000 | Order = 0.0088314815437704874 | Time = 3s
Step 4000 | Order = 0.0088314815437704856 | Time = 4s
Step 5000 | Order = 0.0088314815437704874 | Time = 5s
Step 6000 | Order = 0.0088314815437704874 | Time = 7s
Step 7000 | Order = 0.0088314815437704856 | Time = 8s
Step 8000 | Order = 0.0088314815437704891 | Time = 9s
Step 9000 | Order = 0.0088314815437704891 | Time = 10s
Step 10000 | Order = 0.0088314815437704874 | Time = 11s
Step 11000 | Order = 0.0088314815437704874 | Time = 12s
Step 12000 | Order = 0.0088314815437704891 | Time = 13s
Step 13000 | Order = 0.0088314815437704874 | Time = 14s
Step 14000 | Order = 0.0088314815437704874 | Time = 15s
Step 15000 | Order = 0.0088314815437704891 | Time = 16s
Step 16000 | Order = 0.0088314815437704874 | Time = 17s
Step 17000 | Order = 0.0088314815437704874 | Time = 18s
Step 18000 | Order = 0.0088314815437704874 | Time = 19s
Step 19000 | Order = 0.0088314815437704891 | Time = 20s
Step 20000 | Order = 0.0088314815437704856 | Time = 21s
Step 21000 | Order = 0.0088314815437704874 | Time = 22s
Step 22000 | Order = 0.0088314815437704874 | Time = 23s
Step 23000 | Order = 0.0088314815437704874 | Time = 24s
Step 24000 | Order = 0.0088314815437704874 | Time = 26s
Step 25000 | Order = 0.0088314815437704874 | Time = 27s
Step 26000 | Order = 0.0088314815437704856 | Time = 28s
Step 27000 | Order = 0.0088314815437704874 | Time = 29s
Step 28000 | Order = 0.0088314815437704874 | Time = 30s
Step 29000 | Order = 0.0088314815437704874 | Time = 31s
Step 30000 | Order = 0.0088314815437704874 | Time = 31s
Step 31000 | Order = 0.0088314815437704874 | Time = 32s
Step 32000 | Order = 0.0088314815437704874 | Time = 33s
Step 33000 | Order = 0.0088314815437704874 | Time = 34s
Step 34000 | Order = 0.0088314815437704874 | Time = 35s
Step 35000 | Order = 0.0088314815437704874 | Time = 36s
Step 36000 | Order = 0.0088314815437704874 | Time = 37s
Step 37000 | Order = 0.0088314815437704874 | Time = 38s
Step 38000 | Order = 0.0088314815437704874 | Time = 39s
Step 39000 | Order = 0.0088314815437704874 | Time = 40s
Step 40000 | Order = 0.0088314815437704874 | Time = 41s
Step 41000 | Order = 0.0088314815437704874 | Time = 42s
Step 42000 | Order = 0.0088314815437704856 | Time = 43s
Step 43000 | Order = 0.0088314815437704874 | Time = 44s
Step 44000 | Order = 0.0088314815437704874 | Time = 45s
Step 45000 | Order = 0.0088314815437704856 | Time = 46s
Step 46000 | Order = 0.0088314815437704891 | Time = 47s
Step 47000 | Order = 0.0088314815437704874 | Time = 48s
Step 48000 | Order = 0.0088314815437704874 | Time = 49s
Step 49000 | Order = 0.0088314815437704874 | Time = 50s
Step 50000 | Order = 0.0088314815437704874 | Time = 51s
Step 51000 | Order = 0.0088314815437704874 | Time = 52s
Step 52000 | Order = 0.0088314815437704891 | Time = 53s
Step 53000 | Order = 0.0088314815437704874 | Time = 54s
Step 54000 | Order = 0.0088314815437704874 | Time = 55s
Step 55000 | Order = 0.0088314815437704874 | Time = 56s
Step 56000 | Order = 0.0088314815437704891 | Time = 57s
Step 57000 | Order = 0.0088314815437704874 | Time = 58s
Step 58000 | Order = 0.0088314815437704874 | Time = 59s
Step 59000 | Order = 0.0088314815437704856 | Time = 60s
Step 60000 | Order = 0.0088314815437704874 | Time = 61s
Step 61000 | Order = 0.0088314815437704874 | Time = 62s
Step 62000 | Order = 0.0088314815437704874 | Time = 63s
Step 63000 | Order = 0.0088314815437704874 | Time = 64s
Step 64000 | Order = 0.0088314815437704874 | Time = 65s
Step 65000 | Order = 0.0088314815437704874 | Time = 65s
Step 66000 | Order = 0.0088314815437704874 | Time = 66s
Step 67000 | Order = 0.0088314815437704874 | Time = 67s
Step 68000 | Order = 0.0088314815437704891 | Time = 68s
Step 69000 | Order = 0.0088314815437704874 | Time = 69s
Step 70000 | Order = 0.0088314815437704874 | Time = 70s
Step 71000 | Order = 0.0088314815437704874 | Time = 71s
Step 72000 | Order = 0.0088314815437704856 | Time = 72s
Step 73000 | Order = 0.0088314815437704874 | Time = 73s
Step 74000 | Order = 0.0088314815437704874 | Time = 73s
Step 75000 | Order = 0.0088314815437704874 | Time = 74s
Step 76000 | Order = 0.0088314815437704874 | Time = 75s
Step 77000 | Order = 0.0088314815437704891 | Time = 76s
Step 78000 | Order = 0.0088314815437704874 | Time = 78s
Step 79000 | Order = 0.0088314815437704874 | Time = 78s
Step 80000 | Order = 0.0088314815437704856 | Time = 79s
Step 81000 | Order = 0.0088314815437704891 | Time = 81s
Step 82000 | Order = 0.0088314815437704874 | Time = 82s
Step 83000 | Order = 0.0088314815437704874 | Time = 83s
Step 84000 | Order = 0.0088314815437704874 | Time = 84s
Step 85000 | Order = 0.0088314815437704891 | Time = 85s
Step 86000 | Order = 0.0088314815437704874 | Time = 86s
Step 87000 | Order = 0.0088314815437704891 | Time = 86s
Step 88000 | Order = 0.0088314815437704874 | Time = 87s
Step 89000 | Order = 0.0088314815437704891 | Time = 88s
Step 90000 | Order = 0.0088314815437704891 | Time = 89s
Step 91000 | Order = 0.0088314815437704874 | Time = 90s
Step 92000 | Order = 0.0088314815437704856 | Time = 91s
Step 93000 | Order = 0.0088314815437704874 | Time = 92s
Step 94000 | Order = 0.0088314815437704874 | Time = 92s
Step 95000 | Order = 0.0088314815437704874 | Time = 93s
Step 96000 | Order = 0.0088314815437704874 | Time = 94s
Step 97000 | Order = 0.0088314815437704874 | Time = 95s
Step 98000 | Order = 0.0088314815437704874 | Time = 96s
Step 99000 | Order = 0.0088314815437704874 | Time = 97s
Step 100000 | Order = 0.0088314815437704874 | Time = 98s
