Simulation #116, Parameters: eta = 0.889689 | rho = 0.143414 | v0 = 0.0244753s
Step 0 | Order = 0.014331130855958883 | Time = 0s
Step 1000 | Order = 0.014509511838000108 | Time = 0s
Step 2000 | Order = 0.03244755913421906 | Time = 0s
Step 3000 | Order = 0.034841576901425718 | Time = 0s
Step 4000 | Order = 0.01122855758280919 | Time = 0s
Step 5000 | Order = 0.032154070253717089 | Time = 0s
Step 6000 | Order = 0.016516164775118657 | Time = 1s
Step 7000 | Order = 0.015348720542112627 | Time = 1s
Step 8000 | Order = 0.0064015276540778888 | Time = 1s
Step 9000 | Order = 0.025824655895400145 | Time = 1s
Step 10000 | Order = 0.0028265998796554708 | Time = 1s
Step 11000 | Order = 0.010643950261964689 | Time = 1s
Step 12000 | Order = 0.021826701978619446 | Time = 2s
Step 13000 | Order = 0.0023766540201564314 | Time = 2s
Step 14000 | Order = 0.019391600724776872 | Time = 2s
Step 15000 | Order = 0.013015307741876619 | Time = 2s
Step 16000 | Order = 0.0083974399909487671 | Time = 2s
Step 17000 | Order = 0.0086256661118828126 | Time = 2s
Step 18000 | Order = 0.030887843688429485 | Time = 3s
Step 19000 | Order = 0.031614642549451732 | Time = 3s
Step 20000 | Order = 0.0068173125642182119 | Time = 3s
Step 21000 | Order = 0.01984720610316441 | Time = 3s
Step 22000 | Order = 0.019188575977335646 | Time = 3s
Step 23000 | Order = 0.0091249112739470051 | Time = 3s
Step 24000 | Order = 0.018446526207252414 | Time = 3s
Step 25000 | Order = 0.010170228359836069 | Time = 4s
Step 26000 | Order = 0.042711032625273745 | Time = 4s
Step 27000 | Order = 0.024763225810937262 | Time = 4s
Step 28000 | Order = 0.015173823216949683 | Time = 4s
Step 29000 | Order = 0.021427073878033456 | Time = 4s
Step 30000 | Order = 0.019365304884134679 | Time = 4s
Step 31000 | Order = 0.019951132435177599 | Time = 5s
Step 32000 | Order = 0.035696322810978995 | Time = 5s
Step 33000 | Order = 0.019466486380919468 | Time = 5s
Step 34000 | Order = 0.0091639129098320532 | Time = 5s
Step 35000 | Order = 0.016104166692431442 | Time = 5s
Step 36000 | Order = 0.024208920377513737 | Time = 5s
Step 37000 | Order = 0.021736957761496544 | Time = 6s
Step 38000 | Order = 0.040125038725050161 | Time = 6s
Step 39000 | Order = 0.0088823880491463673 | Time = 6s
Step 40000 | Order = 0.011426802716233949 | Time = 6s
Step 41000 | Order = 0.0052863111586499345 | Time = 6s
Step 42000 | Order = 0.011393031399248108 | Time = 6s
Step 43000 | Order = 0.02202457975350431 | Time = 6s
Step 44000 | Order = 0.01862857749067514 | Time = 7s
Step 45000 | Order = 0.016552316280020372 | Time = 7s
Step 46000 | Order = 0.018516480471955084 | Time = 7s
Step 47000 | Order = 0.0069595667797639092 | Time = 7s
Step 48000 | Order = 0.0032532289784163375 | Time = 7s
Step 49000 | Order = 0.018777823940822141 | Time = 7s
Step 50000 | Order = 0.024101971419217348 | Time = 8s
Step 51000 | Order = 0.036545803230052902 | Time = 8s
Step 52000 | Order = 0.018558379340733365 | Time = 8s
Step 53000 | Order = 0.025279841292296847 | Time = 8s
Step 54000 | Order = 0.027801875393105507 | Time = 8s
Step 55000 | Order = 0.01157823278764048 | Time = 9s
Step 56000 | Order = 0.0028833119888633236 | Time = 9s
Step 57000 | Order = 0.010542042005488146 | Time = 9s
Step 58000 | Order = 0.019744406569790152 | Time = 9s
Step 59000 | Order = 0.019768962585013372 | Time = 9s
Step 60000 | Order = 0.031992907704341322 | Time = 9s
Step 61000 | Order = 0.040304305033405631 | Time = 9s
Step 62000 | Order = 0.018332279892048931 | Time = 10s
Step 63000 | Order = 0.018025785103645064 | Time = 10s
Step 64000 | Order = 0.013854924002746724 | Time = 10s
