Simulation #70, Parameters: eta = 0.365118 | rho = 0.927910 | v0 = 0.365118s
Step 0 | Order = 0.015512128256515429 | Time = 0s
Step 1000 | Order = 0.043471640973332372 | Time = 2s
Step 2000 | Order = 0.043306892214411127 | Time = 4s
Step 3000 | Order = 0.043138117713425267 | Time = 6s
Step 4000 | Order = 0.043059540907911788 | Time = 8s
Step 5000 | Order = 0.043022360516511267 | Time = 11s
Step 6000 | Order = 0.043004419934411071 | Time = 13s
Step 7000 | Order = 0.042995677485637179 | Time = 15s
Step 8000 | Order = 0.042991397812818147 | Time = 17s
Step 9000 | Order = 0.042989298762276792 | Time = 20s
Step 10000 | Order = 0.04298826832168242 | Time = 22s
Step 11000 | Order = 0.042987762227881962 | Time = 24s
Step 12000 | Order = 0.042987513701226186 | Time = 26s
Step 13000 | Order = 0.042987391585183103 | Time = 28s
Step 14000 | Order = 0.042987331593548464 | Time = 30s
Step 15000 | Order = 0.042987302120960996 | Time = 32s
Step 16000 | Order = 0.04298728764114694 | Time = 34s
Step 17000 | Order = 0.042987280528027097 | Time = 36s
Step 18000 | Order = 0.042987277033438617 | Time = 38s
Step 19000 | Order = 0.042987275316582294 | Time = 40s
Step 20000 | Order = 0.042987274473086021 | Time = 42s
Step 21000 | Order = 0.042987274058722325 | Time = 44s
Step 22000 | Order = 0.04298727385509947 | Time = 46s
Step 23000 | Order = 0.042987273755076494 | Time = 48s
Step 24000 | Order = 0.042987273705927212 | Time = 50s
Step 25000 | Order = 0.042987273681782047 | Time = 52s
Step 26000 | Order = 0.042987273669919703 | Time = 54s
Step 27000 | Order = 0.042987273664091587 | Time = 56s
Step 28000 | Order = 0.042987273661228523 | Time = 58s
Step 29000 | Order = 0.042987273659821558 | Time = 60s
Step 30000 | Order = 0.042987273659130375 | Time = 62s
Step 31000 | Order = 0.042987273658790799 | Time = 64s
Step 32000 | Order = 0.042987273658623974 | Time = 66s
Step 33000 | Order = 0.042987273658542026 | Time = 68s
Step 34000 | Order = 0.04298727365850176 | Time = 72s
Step 35000 | Order = 0.042987273658481977 | Time = 74s
Step 36000 | Order = 0.042987273658472262 | Time = 76s
Step 37000 | Order = 0.042987273658467481 | Time = 78s
Step 38000 | Order = 0.042987273658465129 | Time = 81s
Step 39000 | Order = 0.042987273658463991 | Time = 83s
Step 40000 | Order = 0.042987273658463443 | Time = 85s
Step 41000 | Order = 0.042987273658463269 | Time = 87s
Step 42000 | Order = 0.042987273658463263 | Time = 89s
Step 43000 | Order = 0.042987273658463263 | Time = 91s
Step 44000 | Order = 0.042987273658463263 | Time = 93s
Step 45000 | Order = 0.042987273658463263 | Time = 95s
Step 46000 | Order = 0.042987273658463269 | Time = 97s
Step 47000 | Order = 0.042987273658463263 | Time = 99s
Step 48000 | Order = 0.042987273658463269 | Time = 101s
Step 49000 | Order = 0.042987273658463269 | Time = 103s
Step 50000 | Order = 0.042987273658463263 | Time = 106s
Step 51000 | Order = 0.042987273658463263 | Time = 108s
Step 52000 | Order = 0.042987273658463263 | Time = 110s
Step 53000 | Order = 0.042987273658463269 | Time = 113s
Step 54000 | Order = 0.042987273658463269 | Time = 115s
Step 55000 | Order = 0.042987273658463263 | Time = 116s
Step 56000 | Order = 0.042987273658463263 | Time = 119s
Step 57000 | Order = 0.042987273658463269 | Time = 121s
Step 58000 | Order = 0.042987273658463269 | Time = 123s
Step 59000 | Order = 0.042987273658463269 | Time = 125s
Step 60000 | Order = 0.042987273658463263 | Time = 127s
Step 61000 | Order = 0.042987273658463269 | Time = 129s
Step 62000 | Order = 0.042987273658463269 | Time = 132s
Step 63000 | Order = 0.042987273658463269 | Time = 134s
Step 64000 | Order = 0.042987273658463269 | Time = 136s
Step 65000 | Order = 0.042987273658463269 | Time = 138s
Step 66000 | Order = 0.042987273658463269 | Time = 140s
Step 67000 | Order = 0.042987273658463269 | Time = 142s
Step 68000 | Order = 0.042987273658463269 | Time = 145s
Step 69000 | Order = 0.042987273658463263 | Time = 147s
Step 70000 | Order = 0.042987273658463269 | Time = 149s
Step 71000 | Order = 0.042987273658463269 | Time = 151s
Step 72000 | Order = 0.042987273658463269 | Time = 153s
Step 73000 | Order = 0.042987273658463263 | Time = 155s
Step 74000 | Order = 0.042987273658463263 | Time = 157s
Step 75000 | Order = 0.042987273658463269 | Time = 159s
Step 76000 | Order = 0.042987273658463263 | Time = 161s
Step 77000 | Order = 0.042987273658463269 | Time = 163s
Step 78000 | Order = 0.042987273658463263 | Time = 165s
Step 79000 | Order = 0.042987273658463269 | Time = 167s
Step 80000 | Order = 0.042987273658463263 | Time = 169s
Step 81000 | Order = 0.042987273658463269 | Time = 172s
Step 82000 | Order = 0.042987273658463269 | Time = 174s
Step 83000 | Order = 0.042987273658463269 | Time = 176s
Step 84000 | Order = 0.042987273658463263 | Time = 178s
Step 85000 | Order = 0.042987273658463263 | Time = 180s
Step 86000 | Order = 0.042987273658463269 | Time = 182s
Step 87000 | Order = 0.042987273658463263 | Time = 184s
Step 88000 | Order = 0.042987273658463263 | Time = 186s
Step 89000 | Order = 0.042987273658463269 | Time = 188s
Step 90000 | Order = 0.042987273658463269 | Time = 190s
Step 91000 | Order = 0.042987273658463263 | Time = 192s
Step 92000 | Order = 0.042987273658463263 | Time = 194s
Step 93000 | Order = 0.042987273658463269 | Time = 196s
Step 94000 | Order = 0.042987273658463263 | Time = 198s
Step 95000 | Order = 0.042987273658463263 | Time = 201s
Step 96000 | Order = 0.042987273658463269 | Time = 203s
Step 97000 | Order = 0.042987273658463263 | Time = 205s
Step 98000 | Order = 0.042987273658463269 | Time = 207s
Step 99000 | Order = 0.042987273658463263 | Time = 209s
Step 100000 | Order = 0.042987273658463263 | Time = 211s
