Simulation #151, Parameters: eta = 0.092886 | rho = 0.168884 | v0 = 0.0186487s
Step 0 | Order = 0.025609356227600757 | Time = 0s
Step 1000 | Order = 0.16771276510211602 | Time = 5s
Step 2000 | Order = 0.082355077053767808 | Time = 6s
Step 3000 | Order = 0.1711658343571964 | Time = 6s
Step 4000 | Order = 0.094174278315639751 | Time = 6s
Step 5000 | Order = 0.10707313470365218 | Time = 7s
Step 6000 | Order = 0.19474873705194551 | Time = 7s
Step 7000 | Order = 0.12221714783790438 | Time = 7s
Step 8000 | Order = 0.16631804745903969 | Time = 8s
Step 9000 | Order = 0.12403081826798087 | Time = 8s
Step 10000 | Order = 0.088218754935387847 | Time = 8s
Step 11000 | Order = 0.1794623129277759 | Time = 9s
Step 12000 | Order = 0.12894396302386063 | Time = 9s
Step 13000 | Order = 0.23062119534889558 | Time = 10s
Step 14000 | Order = 0.29877401060966857 | Time = 10s
Step 15000 | Order = 0.23257853190141276 | Time = 10s
Step 16000 | Order = 0.23276857656882671 | Time = 11s
Step 17000 | Order = 0.22243186964030273 | Time = 11s
Step 18000 | Order = 0.17380535446851642 | Time = 12s
Step 19000 | Order = 0.1533045230610216 | Time = 12s
Step 20000 | Order = 0.054013453039745543 | Time = 13s
Step 21000 | Order = 0.096103565477357877 | Time = 13s
Step 22000 | Order = 0.097528901044720243 | Time = 13s
Step 23000 | Order = 0.064905196656731584 | Time = 14s
Step 24000 | Order = 0.10121348389053043 | Time = 14s
Step 25000 | Order = 0.26393606116608237 | Time = 15s
Step 26000 | Order = 0.26002939237691675 | Time = 15s
Step 27000 | Order = 0.39685904340570094 | Time = 16s
Step 28000 | Order = 0.42791577543935161 | Time = 16s
Step 29000 | Order = 0.36625382851047 | Time = 17s
Step 30000 | Order = 0.3872748452212878 | Time = 17s
Step 31000 | Order = 0.42005456271228087 | Time = 18s
Step 32000 | Order = 0.37188643085546758 | Time = 18s
Step 33000 | Order = 0.41959445385183924 | Time = 18s
Step 34000 | Order = 0.39275294803667049 | Time = 19s
Step 35000 | Order = 0.43550051090058994 | Time = 19s
Step 36000 | Order = 0.57459353833307925 | Time = 20s
Step 37000 | Order = 0.56622365347247716 | Time = 21s
Step 38000 | Order = 0.60637867050739958 | Time = 21s
Step 39000 | Order = 0.54909757613198495 | Time = 22s
Step 40000 | Order = 0.59059141910204871 | Time = 22s
Step 41000 | Order = 0.62065951241993766 | Time = 23s
Step 42000 | Order = 0.6202017545435401 | Time = 23s
Step 43000 | Order = 0.58911289170529568 | Time = 24s
Step 44000 | Order = 0.4958665441736736 | Time = 24s
Step 45000 | Order = 0.52587273246033195 | Time = 25s
Step 46000 | Order = 0.44058482872822369 | Time = 25s
Step 47000 | Order = 0.35239924917770404 | Time = 26s
Step 48000 | Order = 0.55504313837007646 | Time = 26s
Step 49000 | Order = 0.58900424568061838 | Time = 27s
Step 50000 | Order = 0.44818723808537786 | Time = 27s
Step 51000 | Order = 0.45546606328889333 | Time = 29s
Step 52000 | Order = 0.646859442049043 | Time = 29s
Step 53000 | Order = 0.67103304108211159 | Time = 30s
Step 54000 | Order = 0.6740264375881394 | Time = 30s
Step 55000 | Order = 0.55659835389437418 | Time = 31s
Step 56000 | Order = 0.54235369654660581 | Time = 31s
Step 57000 | Order = 0.45025626872521046 | Time = 32s
Step 58000 | Order = 0.43099741787437867 | Time = 32s
Step 59000 | Order = 0.42237136079459614 | Time = 33s
Step 60000 | Order = 0.37568884508025896 | Time = 33s
Step 61000 | Order = 0.46329839101461251 | Time = 34s
Step 62000 | Order = 0.55618328891477919 | Time = 34s
Step 63000 | Order = 0.47075629887062537 | Time = 35s
Step 64000 | Order = 0.50587326740463956 | Time = 36s
Step 65000 | Order = 0.49190362151484773 | Time = 36s
Step 66000 | Order = 0.44273503796690999 | Time = 37s
Step 67000 | Order = 0.4046548400529249 | Time = 37s
Step 68000 | Order = 0.43369858516517729 | Time = 38s
Step 69000 | Order = 0.53073791587486296 | Time = 38s
Step 70000 | Order = 0.55948879827746112 | Time = 39s
Step 71000 | Order = 0.52033745419124799 | Time = 39s
Step 72000 | Order = 0.58909743851014107 | Time = 40s
Step 73000 | Order = 0.53801588662112398 | Time = 40s
Step 74000 | Order = 0.61352594483956013 | Time = 41s
Step 75000 | Order = 0.56670688248311485 | Time = 41s
Step 76000 | Order = 0.66135969920514848 | Time = 42s
Step 77000 | Order = 0.62948280587473726 | Time = 42s
Step 78000 | Order = 0.62302000563389603 | Time = 43s
Step 79000 | Order = 0.67858987707259455 | Time = 43s
Step 80000 | Order = 0.63457734328755522 | Time = 43s
Step 81000 | Order = 0.75606542796633214 | Time = 44s
Step 82000 | Order = 0.7525738223086188 | Time = 45s
Step 83000 | Order = 0.7165598762233264 | Time = 45s
Step 84000 | Order = 0.72245449996138134 | Time = 46s
Step 85000 | Order = 0.70274924185952337 | Time = 46s
Step 86000 | Order = 0.73664337406884206 | Time = 47s
Step 87000 | Order = 0.70291748345890814 | Time = 47s
Step 88000 | Order = 0.6062981575168952 | Time = 48s
Step 89000 | Order = 0.45924080793154254 | Time = 48s
Step 90000 | Order = 0.53189698862444679 | Time = 49s
Step 91000 | Order = 0.52617014185334865 | Time = 49s
Step 92000 | Order = 0.44574493699933126 | Time = 50s
Step 93000 | Order = 0.3741614519823015 | Time = 50s
Step 94000 | Order = 0.27506029134547227 | Time = 50s
Step 95000 | Order = 0.31349049604054802 | Time = 51s
Step 96000 | Order = 0.36399196036645259 | Time = 52s
Step 97000 | Order = 0.4756297355698263 | Time = 52s
Step 98000 | Order = 0.50845115588865153 | Time = 53s
Step 99000 | Order = 0.45727241536131774 | Time = 53s
Step 100000 | Order = 0.46260507826506181 | Time = 54s
Step 101000 | Order = 0.38420352359285753 | Time = 55s
Step 102000 | Order = 0.41537868408084427 | Time = 55s
Step 103000 | Order = 0.32684834844284477 | Time = 55s
Step 104000 | Order = 0.36889012623389716 | Time = 56s
Step 105000 | Order = 0.38968837575695825 | Time = 56s
Step 106000 | Order = 0.23803759758600723 | Time = 57s
Step 107000 | Order = 0.15021250334306357 | Time = 57s
Step 108000 | Order = 0.1656220299036654 | Time = 58s
Step 109000 | Order = 0.29737188605656895 | Time = 58s
Step 110000 | Order = 0.50306780148095365 | Time = 58s
Step 111000 | Order = 0.41017306948105769 | Time = 59s
Step 112000 | Order = 0.40794018343415434 | Time = 59s
Step 113000 | Order = 0.41403114652821765 | Time = 60s
Step 114000 | Order = 0.43378151659400999 | Time = 60s
Step 115000 | Order = 0.37181790842940077 | Time = 61s
Step 116000 | Order = 0.40289778195563575 | Time = 61s
Step 117000 | Order = 0.3830697152232031 | Time = 62s
Step 118000 | Order = 0.44392925451154724 | Time = 62s
Step 119000 | Order = 0.48422248497803 | Time = 62s
Step 120000 | Order = 0.56979710322605881 | Time = 63s
Step 121000 | Order = 0.59834346559751561 | Time = 63s
Step 122000 | Order = 0.53333824003753616 | Time = 64s
Step 123000 | Order = 0.52357736294097401 | Time = 64s
Step 124000 | Order = 0.60018079968660365 | Time = 65s
Step 125000 | Order = 0.5833247533596122 | Time = 65s
Step 126000 | Order = 0.67194283227797613 | Time = 66s
Step 127000 | Order = 0.69465683637914011 | Time = 66s
Step 128000 | Order = 0.69370125150745499 | Time = 67s
Step 129000 | Order = 0.72437022483870461 | Time = 67s
Step 130000 | Order = 0.73927051568596813 | Time = 68s
Step 131000 | Order = 0.7173921154370253 | Time = 68s
Step 132000 | Order = 0.68806543346985072 | Time = 69s
Step 133000 | Order = 0.64154460440632921 | Time = 69s
Step 134000 | Order = 0.60407409712637394 | Time = 69s
Step 135000 | Order = 0.67318842288720693 | Time = 70s
Step 136000 | Order = 0.67992613710281447 | Time = 70s
Step 137000 | Order = 0.66557586523385937 | Time = 71s
Step 138000 | Order = 0.60521725361096745 | Time = 71s
Step 139000 | Order = 0.56394637090292343 | Time = 72s
Step 140000 | Order = 0.56256245467874888 | Time = 72s
Step 141000 | Order = 0.58110910130522697 | Time = 73s
Step 142000 | Order = 0.59462018665641092 | Time = 73s
Step 143000 | Order = 0.60989613117066843 | Time = 74s
Step 144000 | Order = 0.61660179589935704 | Time = 74s
Step 145000 | Order = 0.6136270273189024 | Time = 74s
Step 146000 | Order = 0.58959854016572089 | Time = 75s
Step 147000 | Order = 0.52738408843221951 | Time = 75s
Step 148000 | Order = 0.47716336808736121 | Time = 76s
Step 149000 | Order = 0.52182891739231463 | Time = 76s
Step 150000 | Order = 0.47379212008168964 | Time = 77s
Step 151000 | Order = 0.43576557609291011 | Time = 78s
Step 152000 | Order = 0.44720415620476484 | Time = 78s
Step 153000 | Order = 0.59638349855324824 | Time = 79s
Step 154000 | Order = 0.55971803701672007 | Time = 79s
Step 155000 | Order = 0.56470472069982625 | Time = 80s
Step 156000 | Order = 0.58311757017631427 | Time = 80s
Step 157000 | Order = 0.56661103283451175 | Time = 81s
Step 158000 | Order = 0.56737770231804174 | Time = 81s
Step 159000 | Order = 0.61462735630610976 | Time = 82s
Step 160000 | Order = 0.65591729869332349 | Time = 82s
Step 161000 | Order = 0.68704786974016463 | Time = 83s
Step 162000 | Order = 0.65698928835263615 | Time = 83s
Step 163000 | Order = 0.71025949779943875 | Time = 84s
Step 164000 | Order = 0.68278992737620137 | Time = 84s
Step 165000 | Order = 0.63298921450556445 | Time = 85s
Step 166000 | Order = 0.62948109493992421 | Time = 85s
Step 167000 | Order = 0.65063255789843544 | Time = 86s
Step 168000 | Order = 0.6848416500019977 | Time = 86s
Step 169000 | Order = 0.74091088880599765 | Time = 87s
Step 170000 | Order = 0.7049318019476194 | Time = 87s
Step 171000 | Order = 0.72517412182945873 | Time = 87s
Step 172000 | Order = 0.70517192369694603 | Time = 88s
Step 173000 | Order = 0.61684768346361118 | Time = 88s
Step 174000 | Order = 0.58733583294809955 | Time = 89s
Step 175000 | Order = 0.58166378198128765 | Time = 89s
Step 176000 | Order = 0.66208193659874026 | Time = 90s
Step 177000 | Order = 0.65155687578995891 | Time = 90s
Step 178000 | Order = 0.67351594677544113 | Time = 91s
Step 179000 | Order = 0.49865402187069857 | Time = 91s
Step 180000 | Order = 0.51227067154030026 | Time = 92s
