Simulation #16, Parameters: eta = 0.049154 | rho = 0.232920 | v0 = 0.35586s
Step 0 | Order = 0.012154301930432172 | Time = 0s
Step 1000 | Order = 0.32680587190539884 | Time = 0s
Step 2000 | Order = 0.90204123396220759 | Time = 1s
Step 3000 | Order = 0.95721159505090025 | Time = 2s
Step 4000 | Order = 0.96043526874888663 | Time = 2s
Step 5000 | Order = 0.94062630702470285 | Time = 3s
Step 6000 | Order = 0.95079054094768944 | Time = 3s
Step 7000 | Order = 0.95413178320609848 | Time = 4s
Step 8000 | Order = 0.95563387251304988 | Time = 4s
Step 9000 | Order = 0.94722084471451451 | Time = 5s
Step 10000 | Order = 0.95413086953231152 | Time = 5s
Step 11000 | Order = 0.9463213761423438 | Time = 5s
Step 12000 | Order = 0.95464517727391285 | Time = 6s
Step 13000 | Order = 0.95518744571451242 | Time = 6s
Step 14000 | Order = 0.9493592020190601 | Time = 7s
Step 15000 | Order = 0.95494801788824235 | Time = 7s
Step 16000 | Order = 0.94492025514257483 | Time = 8s
Step 17000 | Order = 0.95771217883507764 | Time = 8s
Step 18000 | Order = 0.9513279654205028 | Time = 9s
Step 19000 | Order = 0.95066710918532726 | Time = 9s
Step 20000 | Order = 0.95493684062204454 | Time = 9s
Step 21000 | Order = 0.95371057538702941 | Time = 10s
Step 22000 | Order = 0.94428698146789314 | Time = 10s
Step 23000 | Order = 0.95310591559223479 | Time = 11s
Step 24000 | Order = 0.95042493220083157 | Time = 11s
Step 25000 | Order = 0.94886295280783561 | Time = 12s
Step 26000 | Order = 0.95771682507477873 | Time = 12s
Step 27000 | Order = 0.95525462989988075 | Time = 13s
Step 28000 | Order = 0.94765841679750928 | Time = 13s
Step 29000 | Order = 0.94685460662330345 | Time = 13s
Step 30000 | Order = 0.95772685960827475 | Time = 14s
Step 31000 | Order = 0.94755059534598463 | Time = 14s
Step 32000 | Order = 0.95968832549361227 | Time = 15s
Step 33000 | Order = 0.95482085099951863 | Time = 15s
Step 34000 | Order = 0.94233918033603059 | Time = 16s
Step 35000 | Order = 0.95496969479727978 | Time = 16s
Step 36000 | Order = 0.95473481675536931 | Time = 16s
Step 37000 | Order = 0.95076826095265943 | Time = 17s
Step 38000 | Order = 0.94103049355716928 | Time = 17s
Step 39000 | Order = 0.96002954475102542 | Time = 18s
Step 40000 | Order = 0.94916747840050686 | Time = 18s
Step 41000 | Order = 0.9568542859655893 | Time = 19s
Step 42000 | Order = 0.94773470369503299 | Time = 19s
Step 43000 | Order = 0.94270447795399359 | Time = 20s
Step 44000 | Order = 0.94843512141046615 | Time = 20s
Step 45000 | Order = 0.94971608533175378 | Time = 20s
Step 46000 | Order = 0.95610920874093142 | Time = 21s
Step 47000 | Order = 0.95743395723259783 | Time = 21s
Step 48000 | Order = 0.94978371658748362 | Time = 22s
Step 49000 | Order = 0.9611254434123051 | Time = 22s
Step 50000 | Order = 0.95440711484228646 | Time = 23s
Step 51000 | Order = 0.96105897218950809 | Time = 23s
Step 52000 | Order = 0.94063903434551976 | Time = 23s
Step 53000 | Order = 0.9513568709377016 | Time = 24s
Step 54000 | Order = 0.96192503586691458 | Time = 25s
Step 55000 | Order = 0.95932707676105111 | Time = 25s
Step 56000 | Order = 0.95350078358472168 | Time = 25s
Step 57000 | Order = 0.95921021966761844 | Time = 26s
Step 58000 | Order = 0.94988716247234162 | Time = 26s
Step 59000 | Order = 0.94896109054382427 | Time = 27s
Step 60000 | Order = 0.95322042128934648 | Time = 27s
Step 61000 | Order = 0.95504311832232958 | Time = 28s
Step 62000 | Order = 0.94487736078646267 | Time = 28s
Step 63000 | Order = 0.95619423487496791 | Time = 28s
Step 64000 | Order = 0.94755819314473599 | Time = 29s
Step 65000 | Order = 0.95880498551067705 | Time = 29s
Step 66000 | Order = 0.94796264341841574 | Time = 30s
Step 67000 | Order = 0.95714767391031697 | Time = 30s
Step 68000 | Order = 0.94483465771900732 | Time = 31s
Step 69000 | Order = 0.9529052434387304 | Time = 31s
Step 70000 | Order = 0.95222419986206019 | Time = 32s
Step 71000 | Order = 0.94802997564169655 | Time = 32s
Step 72000 | Order = 0.95788846082683032 | Time = 33s
Step 73000 | Order = 0.95927747983097866 | Time = 33s
Step 74000 | Order = 0.95240236393389466 | Time = 33s
Step 75000 | Order = 0.95863374103918242 | Time = 34s
Step 76000 | Order = 0.95583723526395736 | Time = 34s
Step 77000 | Order = 0.95775393759742999 | Time = 35s
Step 78000 | Order = 0.94641609589462761 | Time = 35s
Step 79000 | Order = 0.96177731581224146 | Time = 36s
Step 80000 | Order = 0.95680548751636185 | Time = 36s
Step 81000 | Order = 0.95710620708083105 | Time = 37s
Step 82000 | Order = 0.94304665586790815 | Time = 37s
Step 83000 | Order = 0.95029341920093058 | Time = 37s
Step 84000 | Order = 0.95603279318499024 | Time = 38s
Step 85000 | Order = 0.95508883133820965 | Time = 38s
Step 86000 | Order = 0.95068425039971238 | Time = 39s
Step 87000 | Order = 0.95521977861198193 | Time = 39s
Step 88000 | Order = 0.9521213530633903 | Time = 39s
Step 89000 | Order = 0.95618573130040585 | Time = 40s
Step 90000 | Order = 0.94968760617540493 | Time = 40s
Step 91000 | Order = 0.9544921479595041 | Time = 41s
Step 92000 | Order = 0.95950088467915362 | Time = 41s
Step 93000 | Order = 0.95080415610302693 | Time = 42s
Step 94000 | Order = 0.94438456410419247 | Time = 42s
Step 95000 | Order = 0.9466063559447786 | Time = 43s
Step 96000 | Order = 0.95681027745846281 | Time = 43s
Step 97000 | Order = 0.95952214144778336 | Time = 43s
Step 98000 | Order = 0.95837661477515934 | Time = 44s
Step 99000 | Order = 0.95520567974384374 | Time = 44s
Step 100000 | Order = 0.9533149765172334 | Time = 45s
Step 101000 | Order = 0.95124124208100702 | Time = 45s
Step 102000 | Order = 0.95170400608677364 | Time = 46s
Step 103000 | Order = 0.95031466095741368 | Time = 46s
Step 104000 | Order = 0.95045198248162266 | Time = 47s
Step 105000 | Order = 0.94653249046929577 | Time = 47s
Step 106000 | Order = 0.95717274789722095 | Time = 48s
Step 107000 | Order = 0.95031218523684768 | Time = 48s
Step 108000 | Order = 0.95726520273023485 | Time = 48s
Step 109000 | Order = 0.94361667097367286 | Time = 49s
