0,1,2,3
0.9892565472080352,0.6666624522147397,3.09577873147671e-06,0
0.063930762863694,0.3413895940360563,0.0010636398662058387,1
0.9108200069932721,0.6666420436876639,1.537760439995761e-05,0
0.8965327842430281,0.6666427689549995,1.444158803964868e-05,0
0.6539878925948072,0.6651626837313984,0.0004915202397507978,0
0.8256563175699168,0.666462542409284,0.00010487387793867153,0
0.9114454881827752,0.6666395703613852,1.692694118138327e-05,0
0.7586219105750492,0.6652878964065968,0.0006187006180180532,0
0.9777962370214344,0.6666537817256442,9.25654587824454e-06,0
0.5741094536257645,0.6637660078018005,0.0007234587658599967,0
0.7012455215317601,0.6662871395121531,0.00014065211714142656,0
0.7377077843260244,0.6661590935197234,0.00020920816443081858,0
0.6459934500986526,0.662353644944791,0.0014144914694852462,0
0.7267962669929764,0.6661630599075417,0.00020110011881036005,0
0.7498575201510908,0.6658877525756022,0.0003332080059095244,0
0.710054860650182,0.6633237810183965,0.0013285998014632705,0
0.0500550000957607,0.3437473827269746,0.0006374426819593286,1
0.9895819841004334,0.6666653603143031,9.5997823879035e-07,0
0.7705544092903821,0.6640347457764209,0.0012209390639793538,0
0.9487093622141005,0.6666393680439109,1.845363446240089e-05,0
0.9839745234652791,0.6666550871620494,8.43344002310342e-06,0
0.8823427975171109,0.666599963171572,3.917559410437921e-05,0
0.9567998298891612,0.6666565280310328,6.97103018354461e-06,0
0.9451189345260833,0.6666466782596723,1.342229456224864e-05,0
0.8932671467709131,0.665783356375234,0.0005472287001281329,0
0.9774433550842757,0.6666643098875122,1.68997207761201e-06,0
0.8373567531392695,0.6666131829795919,2.824528255251924e-05,0
0.9890218416711768,0.6666655688885991,8.0616557929236e-07,0
0.9700281513554921,0.6666122435605883,3.856741014551801e-05,0
0.8363544547054165,0.6664937024757351,9.168967151096385e-05,0
0.8372791789657998,0.6664591589478911,0.00011082082623481426,0
0.8971460901244965,0.6665906812568181,4.606486542058086e-05,0
0.26202918787170243,0.4466194861369711,0.012732051452606183,2
0.9981419881348778,0.6666654509867433,9.0996653212549e-07,0
0.8339816471885833,0.6664258720483056,0.00012620567630994284,0
0.9912246112831008,0.666665924801936,5.4679838568106e-07,0
0.7022848898384606,0.6662583963960297,0.00015247221380826348,0
0.9965771430113115,0.6666665465868622,8.947341734178e-08,0
0.09802966388616316,0.3526056108978102,0.0025662575743289895,1
0.9681688535596521,0.6666622118004838,3.13396159745682e-06,0
0.994173837293744,0.6666652817088883,1.02746420982402e-06,0
