eta,rho,v0,label
0.0112193181210865,0.3611060032632752,3.35207013548e-05,0.0
0.9999455514715838,0.6666666657814294,6.63875e-10,1.0
0.0097150319973361,0.3847521984075939,2.41802468161e-05,0.0
0.0230824830543247,0.3403546382988334,0.0001328063809665,0.0
0.0092713011779015,0.3195174766288542,2.31445258032e-05,0.0
0.0152524855130651,0.2673661909111573,7.51438762141e-05,0.0
0.4687833669749995,0.5977655692868733,0.0169262809111922,2.0
0.009016529365831,0.3493240538211942,2.04049183257e-05,0.0
0.0166769835447573,0.3194240510578351,8.11715077767e-05,0.0
0.3825115923544768,0.6199040544040766,0.0083841481688105,1.0
0.9977532151799042,0.6666645701914315,1.5670145393e-06,1.0
0.0346166706739127,0.2684073447213552,0.0003748237184088,0.0
0.0249923680512773,0.3464585575912562,0.0001625453627828,0.0
0.0093010291142167,0.3092807482505435,2.73924680049e-05,0.0
0.0086595452818473,0.3254981976295448,2.0333810563e-05,0.0
0.0076966569787852,0.3115917623330914,1.65052421507e-05,0.0
0.9534522408253706,0.6666309482871553,2.44312689828e-05,1.0
0.0207738202999105,0.2802227402370834,0.0001307111703291,0.0
0.0943860849974527,0.3973145817833725,0.0021090402731942,0.0
0.937548743948778,0.6666578758723616,5.8075272254e-06,1.0
0.8610116603316976,0.6664856174239582,0.0001009111262193,1.0
0.0076537932315461,0.3562335842380306,1.60847425277e-05,0.0
0.005038775583921,0.3787155336605781,5.8548975325e-06,0.0
0.025044555479001,0.3505327171908058,0.0001482615321823,0.0
0.0110475903274409,0.36124177451411,3.21063620867e-05,0.0
0.0218481193293921,0.302015881543111,0.0001351475049041,0.0
0.9822303190475016,0.6666546921279399,8.6936280625e-06,1.0
0.0343530648525683,0.2458363004585566,0.0003638971882919,0.0
0.3870061813723005,0.5527487340379729,0.0186197481406821,2.0
0.0182001110258673,0.4044982347223603,7.90240565218e-05,0.0
0.978171226599615,0.6666031514290786,4.57910127055e-05,1.0
0.6940043364225079,0.6603690772889301,0.002386748746064,1.0
0.8955166509507293,0.6659519829316691,0.0004364881693622,1.0
0.0229479708507501,0.3449131756583445,0.0001308550548863,0.0
0.0201657908618829,0.3297170928757579,0.0001149403496831,0.0
0.0072104306186616,0.3206931360396629,1.4166591934e-05,0.0
0.0099807835468621,0.3782014428458998,2.3278285666e-05,0.0
0.0237236753651608,0.3313508220767753,0.0001570941369985,0.0
0.0246423510670458,0.3467688420398813,0.0001681475717505,0.0
0.8077712755870484,0.6656817210744164,0.0004871490594327,1.0
0.0111529876384923,0.2993761146670368,3.81776596901e-05,0.0
0.0200007998834193,0.4293479442610319,9.08327312191e-05,0.0
0.0336182517064106,0.327529457549076,0.0003239053773556,0.0
