eta,rho,v0,avgOrder,avgBinder,avgSuscep,label
0.0112193181210865,0.3611060032632752,3.35207013548e-05,0.01149790686407504,0.35322579458760206,3.522471909954e-05,0.0
0.9999455514715838,0.6666666657814294,6.63875e-10,0.9997461202308304,0.666666570707169,7.18322841e-08,1.0
0.0097150319973361,0.3847521984075939,2.41802468161e-05,0.00946554939647622,0.3337818368062021,2.5524793597819995e-05,0.0
0.0230824830543247,0.3403546382988334,0.0001328063809665,0.0231684954935354,0.32049581753980194,0.00014879527687556,0.0
0.0092713011779015,0.3195174766288542,2.31445258032e-05,0.009015198984390299,0.31780107657233286,2.316086354848e-05,0.0
0.0152524855130651,0.2673661909111573,7.51438762141e-05,0.015186780162007498,0.3260343889072647,6.577540840710001e-05,0.0
0.4687833669749995,0.5977655692868733,0.0169262809111922,0.4856304903088714,0.6056375773079055,0.013656205281272801,2.0
0.009016529365831,0.3493240538211942,2.04049183257e-05,0.00952933798363468,0.35191490577825607,2.2799080323999998e-05,0.0
0.0166769835447573,0.3194240510578351,8.11715077767e-05,0.01604642985056426,0.34990024456737867,6.761464463378e-05,0.0
0.3825115923544768,0.6199040544040766,0.0083841481688105,0.40789060654404696,0.6469360766142642,0.0034297582735938795,1.0
0.9977532151799042,0.6666645701914315,1.5670145393e-06,0.997305512919471,0.6666622882896608,3.2709168459e-06,1.0
0.0346166706739127,0.2684073447213552,0.0003748237184088,0.03459774986688124,0.3105926560330746,0.00034364371511004,0.0
0.0249923680512773,0.3464585575912562,0.0001625453627828,0.02422805578205722,0.3539345608852312,0.00015017909089214002,0.0
0.0093010291142167,0.3092807482505435,2.73924680049e-05,0.009243641728223461,0.2921985016067526,2.41535492716e-05,0.0
0.0086595452818473,0.3254981976295448,2.0333810563e-05,0.009016889059599839,0.3614171337530289,2.052134586212e-05,0.0
0.0076966569787852,0.3115917623330914,1.65052421507e-05,0.0079266131243079,0.2792745388842638,1.872792210334e-05,0.0
0.9534522408253706,0.6666309482871553,2.44312689828e-05,0.9532409189182104,0.6666288073903779,2.589491135292e-05,1.0
0.0207738202999105,0.2802227402370834,0.0001307111703291,0.02122070177578072,0.3297553284836526,0.00012307043488112,0.0
