Simulation #1, Parameters: eta = 0.003323 | rho = 0.945620 | v0 = 0.00332304s
Step 0 | Order = 0.0026846261580859886 | Time = 0s
Step 1000 | Order = 0.043571215592205191 | Time = 2s
Step 2000 | Order = 0.045946452831380664 | Time = 4s
Step 3000 | Order = 0.046544608809230892 | Time = 6s
Step 4000 | Order = 0.046752289382334791 | Time = 11s
Step 5000 | Order = 0.046829047545677301 | Time = 13s
Step 6000 | Order = 0.046857586260844519 | Time = 15s
Step 7000 | Order = 0.046868178199972639 | Time = 18s
Step 8000 | Order = 0.046872100771870664 | Time = 20s
Step 9000 | Order = 0.0468735507907748 | Time = 22s
Step 10000 | Order = 0.046874086077013391 | Time = 24s
Step 11000 | Order = 0.046874283458222206 | Time = 26s
Step 12000 | Order = 0.046874356176723746 | Time = 28s
Step 13000 | Order = 0.046874382948015325 | Time = 30s
Step 14000 | Order = 0.046874392798108649 | Time = 33s
Step 15000 | Order = 0.046874396420864314 | Time = 35s
Step 16000 | Order = 0.046874397752690145 | Time = 37s
Step 17000 | Order = 0.046874398242165209 | Time = 39s
Step 18000 | Order = 0.046874398422014248 | Time = 41s
Step 19000 | Order = 0.046874398488080379 | Time = 43s
Step 20000 | Order = 0.046874398512347093 | Time = 45s
Step 21000 | Order = 0.046874398521259075 | Time = 47s
Step 22000 | Order = 0.046874398524531583 | Time = 49s
Step 23000 | Order = 0.04687439852573317 | Time = 51s
Step 24000 | Order = 0.046874398526174296 | Time = 54s
Step 25000 | Order = 0.046874398526336007 | Time = 55s
Step 26000 | Order = 0.046874398526395383 | Time = 57s
Step 27000 | Order = 0.046874398526417227 | Time = 59s
Step 28000 | Order = 0.046874398526425276 | Time = 61s
Step 29000 | Order = 0.046874398526428253 | Time = 63s
Step 30000 | Order = 0.046874398526428954 | Time = 65s
Step 31000 | Order = 0.046874398526429016 | Time = 69s
Step 32000 | Order = 0.046874398526429016 | Time = 73s
Step 33000 | Order = 0.046874398526429016 | Time = 83s
Step 34000 | Order = 0.046874398526429016 | Time = 89s
Step 35000 | Order = 0.046874398526429016 | Time = 93s
Step 36000 | Order = 0.046874398526429016 | Time = 96s
Step 37000 | Order = 0.046874398526429009 | Time = 98s
Step 38000 | Order = 0.046874398526429009 | Time = 101s
Step 39000 | Order = 0.046874398526429016 | Time = 104s
Step 40000 | Order = 0.046874398526429016 | Time = 107s
Step 41000 | Order = 0.046874398526429016 | Time = 110s
Step 42000 | Order = 0.046874398526429009 | Time = 114s
Step 43000 | Order = 0.046874398526429016 | Time = 116s
Step 44000 | Order = 0.046874398526429016 | Time = 118s
Step 45000 | Order = 0.046874398526429016 | Time = 121s
Step 46000 | Order = 0.046874398526429016 | Time = 124s
Step 47000 | Order = 0.046874398526429009 | Time = 126s
Step 48000 | Order = 0.046874398526429016 | Time = 129s
Step 49000 | Order = 0.046874398526429009 | Time = 131s
Step 50000 | Order = 0.046874398526429016 | Time = 134s
Step 51000 | Order = 0.046874398526429016 | Time = 137s
Step 52000 | Order = 0.046874398526429016 | Time = 139s
Step 53000 | Order = 0.046874398526429016 | Time = 142s
Step 54000 | Order = 0.046874398526429016 | Time = 144s
Step 55000 | Order = 0.046874398526429016 | Time = 146s
Step 56000 | Order = 0.046874398526429009 | Time = 148s
Step 57000 | Order = 0.046874398526429016 | Time = 150s
Step 58000 | Order = 0.046874398526429016 | Time = 170s
Step 59000 | Order = 0.046874398526429016 | Time = 173s
Step 60000 | Order = 0.046874398526429016 | Time = 177s
Step 61000 | Order = 0.046874398526429016 | Time = 179s
Step 62000 | Order = 0.046874398526429009 | Time = 182s
Step 63000 | Order = 0.046874398526429009 | Time = 184s
Step 64000 | Order = 0.046874398526429009 | Time = 186s
Step 65000 | Order = 0.046874398526429016 | Time = 189s
Step 66000 | Order = 0.046874398526429009 | Time = 211s
Step 67000 | Order = 0.046874398526429016 | Time = 215s
Step 68000 | Order = 0.046874398526429016 | Time = 218s
Step 69000 | Order = 0.046874398526429016 | Time = 222s
Step 70000 | Order = 0.046874398526429016 | Time = 226s
Step 71000 | Order = 0.046874398526429016 | Time = 228s
Step 72000 | Order = 0.046874398526429016 | Time = 231s
Step 73000 | Order = 0.046874398526429009 | Time = 234s
Step 74000 | Order = 0.046874398526429016 | Time = 238s
Step 75000 | Order = 0.046874398526429016 | Time = 240s
Step 76000 | Order = 0.046874398526429016 | Time = 243s
Step 77000 | Order = 0.046874398526429016 | Time = 245s
Step 78000 | Order = 0.046874398526429016 | Time = 247s
Step 79000 | Order = 0.046874398526429016 | Time = 250s
Step 80000 | Order = 0.046874398526429016 | Time = 252s
Step 81000 | Order = 0.046874398526429009 | Time = 254s
Step 82000 | Order = 0.046874398526429016 | Time = 257s
Step 83000 | Order = 0.046874398526429009 | Time = 260s
Step 84000 | Order = 0.046874398526429016 | Time = 262s
Step 85000 | Order = 0.046874398526429016 | Time = 264s
Step 86000 | Order = 0.046874398526429016 | Time = 266s
Step 87000 | Order = 0.046874398526429016 | Time = 268s
Step 88000 | Order = 0.046874398526429016 | Time = 270s
Step 89000 | Order = 0.046874398526429016 | Time = 272s
Step 90000 | Order = 0.046874398526429016 | Time = 274s
Step 91000 | Order = 0.046874398526429009 | Time = 276s
Step 92000 | Order = 0.046874398526429016 | Time = 278s
Step 93000 | Order = 0.046874398526429016 | Time = 280s
Step 94000 | Order = 0.046874398526429016 | Time = 282s
Step 95000 | Order = 0.046874398526429016 | Time = 284s
Step 96000 | Order = 0.046874398526429016 | Time = 286s
Step 97000 | Order = 0.046874398526429016 | Time = 289s
Step 98000 | Order = 0.046874398526429016 | Time = 291s
Step 99000 | Order = 0.046874398526429016 | Time = 294s
Step 100000 | Order = 0.046874398526429016 | Time = 296s
