Simulation #122, Parameters: eta = 0.095840 | rho = 0.106524 | v0 = 0.0634708s
Step 0 | Order = 0.018083568512360117 | Time = 0s
Step 1000 | Order = 0.18776972704645645 | Time = 0s
Step 2000 | Order = 0.30079355337263086 | Time = 1s
Step 3000 | Order = 0.23140409354110669 | Time = 1s
Step 4000 | Order = 0.25270005435505472 | Time = 1s
Step 5000 | Order = 0.39752375698349568 | Time = 1s
Step 6000 | Order = 0.2802398583406554 | Time = 2s
Step 7000 | Order = 0.41709562043514159 | Time = 2s
Step 8000 | Order = 0.44174959468002567 | Time = 2s
Step 9000 | Order = 0.4532198261258269 | Time = 2s
Step 10000 | Order = 0.4559741000797789 | Time = 3s
Step 11000 | Order = 0.43480968136826303 | Time = 3s
Step 12000 | Order = 0.39089479197062332 | Time = 3s
Step 13000 | Order = 0.37236878768787057 | Time = 3s
Step 14000 | Order = 0.25186329237087796 | Time = 4s
Step 15000 | Order = 0.081494896789806634 | Time = 4s
Step 16000 | Order = 0.12455162266479448 | Time = 4s
Step 17000 | Order = 0.21123757681198593 | Time = 4s
Step 18000 | Order = 0.28317788340053052 | Time = 5s
Step 19000 | Order = 0.47067857135386382 | Time = 5s
Step 20000 | Order = 0.40422370402933866 | Time = 5s
Step 21000 | Order = 0.33986225552685229 | Time = 5s
Step 22000 | Order = 0.2249362848194677 | Time = 6s
Step 23000 | Order = 0.30296691867922498 | Time = 6s
Step 24000 | Order = 0.42432163402543766 | Time = 6s
Step 25000 | Order = 0.28803398129655311 | Time = 6s
Step 26000 | Order = 0.25172446307966639 | Time = 7s
Step 27000 | Order = 0.37751835012906892 | Time = 7s
Step 28000 | Order = 0.53326626949466538 | Time = 7s
Step 29000 | Order = 0.36937175863569283 | Time = 7s
Step 30000 | Order = 0.39997204467753511 | Time = 8s
Step 31000 | Order = 0.28500116854341256 | Time = 8s
Step 32000 | Order = 0.4832546731006872 | Time = 8s
Step 33000 | Order = 0.44778559167535181 | Time = 8s
Step 34000 | Order = 0.36766403597983938 | Time = 9s
Step 35000 | Order = 0.32606554904402513 | Time = 9s
Step 36000 | Order = 0.38877515244271621 | Time = 9s
Step 37000 | Order = 0.32836004030351418 | Time = 9s
Step 38000 | Order = 0.38840815706981752 | Time = 10s
Step 39000 | Order = 0.40018801979852742 | Time = 10s
Step 40000 | Order = 0.30883862565281223 | Time = 10s
Step 41000 | Order = 0.32871644410834649 | Time = 10s
Step 42000 | Order = 0.4226096598641092 | Time = 11s
Step 43000 | Order = 0.28338556954437594 | Time = 11s
Step 44000 | Order = 0.16976848789324459 | Time = 11s
Step 45000 | Order = 0.23019008060251353 | Time = 11s
Step 46000 | Order = 0.38780148685308852 | Time = 12s
Step 47000 | Order = 0.47754616083114176 | Time = 12s
Step 48000 | Order = 0.49474108306065728 | Time = 12s
Step 49000 | Order = 0.35867640442731635 | Time = 12s
Step 50000 | Order = 0.29526712715586156 | Time = 13s
Step 51000 | Order = 0.4788161454175035 | Time = 16s
Step 52000 | Order = 0.30585301462743852 | Time = 16s
Step 53000 | Order = 0.26714353615444919 | Time = 16s
Step 54000 | Order = 0.31264386511310394 | Time = 16s
Step 55000 | Order = 0.31704696994454601 | Time = 16s
Step 56000 | Order = 0.26775677609777015 | Time = 17s
Step 57000 | Order = 0.2401015518190022 | Time = 17s
Step 58000 | Order = 0.45208933135938306 | Time = 17s
Step 59000 | Order = 0.42113885987039484 | Time = 17s
Step 60000 | Order = 0.41452171648473751 | Time = 18s
Step 61000 | Order = 0.35517619841820663 | Time = 18s
Step 62000 | Order = 0.36252657150650525 | Time = 18s
