Simulation #109, Parameters: eta = 0.327658 | rho = 0.177319 | v0 = 0.0891162s
Step 0 | Order = 0.04021810517498213 | Time = 0s
Step 1000 | Order = 0.037996828635693515 | Time = 2s
Step 2000 | Order = 0.025848124041272857 | Time = 2s
Step 3000 | Order = 0.049592041774260721 | Time = 3s
Step 4000 | Order = 0.024602766089159778 | Time = 3s
Step 5000 | Order = 0.0065700115549748028 | Time = 3s
Step 6000 | Order = 0.0052508685556456845 | Time = 4s
Step 7000 | Order = 0.063811678433570704 | Time = 4s
Step 8000 | Order = 0.033410398744536211 | Time = 4s
Step 9000 | Order = 0.012491231606907089 | Time = 5s
Step 10000 | Order = 0.0332741743813431 | Time = 5s
Step 11000 | Order = 0.071122728621472731 | Time = 5s
Step 12000 | Order = 0.03454169792440355 | Time = 6s
Step 13000 | Order = 0.05345034716464174 | Time = 6s
Step 14000 | Order = 0.021264470100883361 | Time = 6s
Step 15000 | Order = 0.01410219160440669 | Time = 7s
Step 16000 | Order = 0.030197511109696745 | Time = 7s
Step 17000 | Order = 0.028533990852592853 | Time = 7s
Step 18000 | Order = 0.025184094082864147 | Time = 8s
Step 19000 | Order = 0.00301946261257275 | Time = 8s
Step 20000 | Order = 0.025465897278926397 | Time = 8s
Step 21000 | Order = 0.0086626164513375296 | Time = 9s
Step 22000 | Order = 0.043808515869749508 | Time = 9s
Step 23000 | Order = 0.010544988614881626 | Time = 9s
Step 24000 | Order = 0.0060488969127753577 | Time = 10s
Step 25000 | Order = 0.0036030931502544984 | Time = 10s
Step 26000 | Order = 0.011515933869422609 | Time = 10s
Step 27000 | Order = 0.0081994363852097851 | Time = 11s
Step 28000 | Order = 0.033939228429363352 | Time = 11s
Step 29000 | Order = 0.018841615593325194 | Time = 11s
Step 30000 | Order = 0.0046314396641735167 | Time = 12s
Step 31000 | Order = 0.052607239440120433 | Time = 12s
Step 32000 | Order = 0.031013318953509734 | Time = 12s
Step 33000 | Order = 0.035869408342877787 | Time = 13s
Step 34000 | Order = 0.046811924756833594 | Time = 13s
Step 35000 | Order = 0.014448915167241725 | Time = 13s
Step 36000 | Order = 0.047726787216715513 | Time = 14s
Step 37000 | Order = 0.0437078423655115 | Time = 14s
Step 38000 | Order = 0.037323300353845831 | Time = 15s
Step 39000 | Order = 0.010561806088781446 | Time = 15s
Step 40000 | Order = 0.015382900632835221 | Time = 15s
Step 41000 | Order = 0.018269637602266586 | Time = 16s
Step 42000 | Order = 0.027631434868253951 | Time = 16s
Step 43000 | Order = 0.031222354603889078 | Time = 16s
Step 44000 | Order = 0.01720965939151602 | Time = 17s
Step 45000 | Order = 0.02155868710190777 | Time = 17s
Step 46000 | Order = 0.022623545344505593 | Time = 17s
Step 47000 | Order = 0.037778777457668222 | Time = 18s
Step 48000 | Order = 0.0079718385805036263 | Time = 18s
Step 49000 | Order = 0.022177125785158371 | Time = 18s
Step 50000 | Order = 0.050665410281591806 | Time = 19s
Step 51000 | Order = 0.06226332896876887 | Time = 20s
Step 52000 | Order = 0.029022102058297 | Time = 20s
Step 53000 | Order = 0.026972507466541396 | Time = 20s
Step 54000 | Order = 0.016234434291093558 | Time = 21s
Step 55000 | Order = 0.028573763737730223 | Time = 21s
Step 56000 | Order = 0.0086543547819333058 | Time = 21s
Step 57000 | Order = 0.062369313690002245 | Time = 22s
Step 58000 | Order = 0.011154741621864736 | Time = 22s
Step 59000 | Order = 0.011142777324850322 | Time = 22s
Step 60000 | Order = 0.035317986431499727 | Time = 23s
Step 61000 | Order = 0.039340038755818992 | Time = 23s
Step 62000 | Order = 0.084832390658733117 | Time = 23s
Step 63000 | Order = 0.0087240775807456705 | Time = 24s
Step 64000 | Order = 0.046184655996187943 | Time = 24s
Step 65000 | Order = 0.026929725821899491 | Time = 24s
Step 66000 | Order = 0.025975009005004462 | Time = 25s
Step 67000 | Order = 0.038865384112038305 | Time = 25s
Step 68000 | Order = 0.029801483678096725 | Time = 25s
Step 69000 | Order = 0.064125844206078711 | Time = 26s
Step 70000 | Order = 0.024893512717428314 | Time = 26s
Step 71000 | Order = 0.053458773844511066 | Time = 26s
Step 72000 | Order = 0.014482569174290957 | Time = 27s
Step 73000 | Order = 0.029940111083623627 | Time = 27s
Step 74000 | Order = 0.057508592529284579 | Time = 28s
Step 75000 | Order = 0.014620909697472954 | Time = 28s
Step 76000 | Order = 0.045889720383751359 | Time = 28s
Step 77000 | Order = 0.043500211381583588 | Time = 29s
Step 78000 | Order = 0.024047925310183713 | Time = 29s
Step 79000 | Order = 0.053547345470145377 | Time = 29s
Step 80000 | Order = 0.014870124504400223 | Time = 30s
Step 81000 | Order = 0.03967384515466852 | Time = 30s
Step 82000 | Order = 0.030794071605941609 | Time = 30s
Step 83000 | Order = 0.031653895204601601 | Time = 31s
Step 84000 | Order = 0.035677985150917711 | Time = 31s
Step 85000 | Order = 0.04530357307167493 | Time = 31s
Step 86000 | Order = 0.0069393846194149072 | Time = 32s
Step 87000 | Order = 0.01910340812299708 | Time = 32s
Step 88000 | Order = 0.014272720429701447 | Time = 32s
Step 89000 | Order = 0.038131742424823804 | Time = 33s
Step 90000 | Order = 0.0079591250751858151 | Time = 33s
Step 91000 | Order = 0.04347524188746351 | Time = 33s
Step 92000 | Order = 0.0088026133558547007 | Time = 34s
Step 93000 | Order = 0.042623408826484369 | Time = 34s
Step 94000 | Order = 0.023971972569697034 | Time = 34s
Step 95000 | Order = 0.039252831343878976 | Time = 35s
Step 96000 | Order = 0.030076148887515142 | Time = 35s
Step 97000 | Order = 0.011927825117821081 | Time = 35s
Step 98000 | Order = 0.038174493063674146 | Time = 36s
Step 99000 | Order = 0.041721610294995416 | Time = 36s
Step 100000 | Order = 0.016721198975455952 | Time = 36s
Step 101000 | Order = 0.014307348528910097 | Time = 38s
Step 102000 | Order = 0.020284849479292152 | Time = 38s
Step 103000 | Order = 0.048628180324362606 | Time = 39s
Step 104000 | Order = 0.020488078274382253 | Time = 39s
Step 105000 | Order = 0.01412466095807513 | Time = 39s
Step 106000 | Order = 0.015367080181721459 | Time = 40s
Step 107000 | Order = 0.059337897276434334 | Time = 40s
Step 108000 | Order = 0.043910808633120767 | Time = 41s
Step 109000 | Order = 0.031040492045854216 | Time = 41s
Step 110000 | Order = 0.032569240222748409 | Time = 42s
Step 111000 | Order = 0.022091550650861758 | Time = 42s
Step 112000 | Order = 0.036827704099600386 | Time = 43s
Step 113000 | Order = 0.043123632182433064 | Time = 44s
Step 114000 | Order = 0.017170848226625773 | Time = 44s
Step 115000 | Order = 0.022283636162265186 | Time = 44s
Step 116000 | Order = 0.018808181477332542 | Time = 45s
Step 117000 | Order = 0.058579893247158947 | Time = 45s
Step 118000 | Order = 0.0085311205272051421 | Time = 45s
Step 119000 | Order = 0.018185820151927282 | Time = 46s
Step 120000 | Order = 0.012409856270629935 | Time = 46s
Step 121000 | Order = 0.0068774137007493819 | Time = 47s
Step 122000 | Order = 0.060595560965532473 | Time = 47s
Step 123000 | Order = 0.06235372173030107 | Time = 47s
Step 124000 | Order = 0.027409701859360265 | Time = 48s
Step 125000 | Order = 0.036938267936991474 | Time = 48s
Step 126000 | Order = 0.063411246321870771 | Time = 48s
Step 127000 | Order = 0.044755530213089964 | Time = 49s
Step 128000 | Order = 0.03108374142955905 | Time = 49s
Step 129000 | Order = 0.034061399790450871 | Time = 49s
Step 130000 | Order = 0.011209100805066752 | Time = 50s
Step 131000 | Order = 0.036809581496537493 | Time = 50s
Step 132000 | Order = 0.015262264700313239 | Time = 50s
Step 133000 | Order = 0.014996370048892526 | Time = 51s
Step 134000 | Order = 0.038985363942668716 | Time = 51s
Step 135000 | Order = 0.02050456757636062 | Time = 51s
Step 136000 | Order = 0.019767584208099574 | Time = 52s
Step 137000 | Order = 0.039820395589249609 | Time = 52s
Step 138000 | Order = 0.024155206635695564 | Time = 52s
Step 139000 | Order = 0.039579623810001963 | Time = 53s
Step 140000 | Order = 0.03904275544332228 | Time = 54s
Step 141000 | Order = 0.050171953806998411 | Time = 54s
Step 142000 | Order = 0.036485444406054793 | Time = 55s
Step 143000 | Order = 0.027419318707861989 | Time = 55s
Step 144000 | Order = 0.04145033044416873 | Time = 55s
Step 145000 | Order = 0.019333474685841196 | Time = 56s
Step 146000 | Order = 0.036492115481666761 | Time = 56s
Step 147000 | Order = 0.01685453846850413 | Time = 56s
Step 148000 | Order = 0.024267233587465197 | Time = 57s
Step 149000 | Order = 0.033272136676184179 | Time = 57s
Step 150000 | Order = 0.04426824205847199 | Time = 57s
Step 151000 | Order = 0.024262190245117752 | Time = 58s
Step 152000 | Order = 0.056152852111365802 | Time = 59s
Step 153000 | Order = 0.018167584712566371 | Time = 59s
Step 154000 | Order = 0.02521220377877894 | Time = 59s
Step 155000 | Order = 0.025758820423001941 | Time = 60s
Step 156000 | Order = 0.0050672167701221963 | Time = 60s
Step 157000 | Order = 0.047327365435538435 | Time = 60s
Step 158000 | Order = 0.017990344746874533 | Time = 61s
Step 159000 | Order = 0.0160570794566504 | Time = 61s
Step 160000 | Order = 0.0067725457906267338 | Time = 61s
Step 161000 | Order = 0.038579525821176811 | Time = 62s
Step 162000 | Order = 0.026451638773456545 | Time = 62s
Step 163000 | Order = 0.066715271637226667 | Time = 62s
Step 164000 | Order = 0.012930755007513884 | Time = 63s
Step 165000 | Order = 0.017897947549770581 | Time = 63s
Step 166000 | Order = 0.065312185369851741 | Time = 63s
Step 167000 | Order = 0.005605104158273407 | Time = 64s
Step 168000 | Order = 0.076306861868839504 | Time = 64s
Step 169000 | Order = 0.015987151324591421 | Time = 64s
Step 170000 | Order = 0.050527740641436281 | Time = 65s
Step 171000 | Order = 0.02730224116711644 | Time = 65s
Step 172000 | Order = 0.0054407699384044208 | Time = 66s
Step 173000 | Order = 0.055169712075591099 | Time = 66s
Step 174000 | Order = 0.040963815991124315 | Time = 66s
Step 175000 | Order = 0.02570757332596425 | Time = 67s
Step 176000 | Order = 0.039111853622634252 | Time = 67s
Step 177000 | Order = 0.042305831054151116 | Time = 67s
Step 178000 | Order = 0.0081727515349460742 | Time = 68s
Step 179000 | Order = 0.038122928920664954 | Time = 68s
Step 180000 | Order = 0.052128058446016194 | Time = 68s
Step 181000 | Order = 0.02973258625690698 | Time = 69s
Step 182000 | Order = 0.049151743071168298 | Time = 69s
Step 183000 | Order = 0.021763996606553492 | Time = 69s
Step 184000 | Order = 0.023668747171687161 | Time = 70s
Step 185000 | Order = 0.022782849532637622 | Time = 70s
Step 186000 | Order = 0.024596032835522107 | Time = 70s
Step 187000 | Order = 0.026242983480582276 | Time = 71s
Step 188000 | Order = 0.047628304293209273 | Time = 71s
Step 189000 | Order = 0.044878203865506061 | Time = 71s
Step 190000 | Order = 0.047378793334400364 | Time = 72s
Step 191000 | Order = 0.041856169243333678 | Time = 72s
Step 192000 | Order = 0.010509728023019704 | Time = 72s
Step 193000 | Order = 0.025639721811765243 | Time = 73s
Step 194000 | Order = 0.019396420659063118 | Time = 73s
Step 195000 | Order = 0.054810820460898656 | Time = 73s
Step 196000 | Order = 0.032485587561636019 | Time = 74s
Step 197000 | Order = 0.033589204652467695 | Time = 74s
Step 198000 | Order = 0.037403841313776921 | Time = 74s
Step 199000 | Order = 0.061450318700708953 | Time = 75s
Step 200000 | Order = 0.029356882867677809 | Time = 75s
Step 201000 | Order = 0.020098124618754872 | Time = 79s
Step 202000 | Order = 0.011330453215908746 | Time = 79s
Step 203000 | Order = 0.062027667285761839 | Time = 80s
Step 204000 | Order = 0.033203063003594005 | Time = 80s
Step 205000 | Order = 0.031041579945335948 | Time = 80s
Step 206000 | Order = 0.020482271264435629 | Time = 81s
Step 207000 | Order = 0.020114672773921531 | Time = 81s
Step 208000 | Order = 0.027392195816722784 | Time = 81s
Step 209000 | Order = 0.017160550091823264 | Time = 82s
Step 210000 | Order = 0.019102216842240616 | Time = 82s
Step 211000 | Order = 0.023007661109277964 | Time = 82s
Step 212000 | Order = 0.016449493421729539 | Time = 83s
Step 213000 | Order = 0.030892968715200718 | Time = 83s
Step 214000 | Order = 0.012688101734545997 | Time = 83s
Step 215000 | Order = 0.022784224398230021 | Time = 84s
Step 216000 | Order = 0.036828951177191351 | Time = 84s
Step 217000 | Order = 0.0069890162788090373 | Time = 84s
Step 218000 | Order = 0.014874206588174654 | Time = 85s
Step 219000 | Order = 0.025289796360587046 | Time = 85s
Step 220000 | Order = 0.024731625658527125 | Time = 85s
Step 221000 | Order = 0.029488243458904637 | Time = 86s
Step 222000 | Order = 0.053869859604012006 | Time = 86s
Step 223000 | Order = 0.042363026057275981 | Time = 86s
Step 224000 | Order = 0.055971111921621089 | Time = 87s
Step 225000 | Order = 0.037722606795445777 | Time = 87s
Step 226000 | Order = 0.027592596796777679 | Time = 87s
Step 227000 | Order = 0.030162074905960141 | Time = 88s
Step 228000 | Order = 0.039635942114019995 | Time = 88s
Step 229000 | Order = 0.019096107075447632 | Time = 88s
Step 230000 | Order = 0.01843251664502308 | Time = 89s
Step 231000 | Order = 0.030802597525736171 | Time = 89s
Step 232000 | Order = 0.0072265641553777189 | Time = 89s
Step 233000 | Order = 0.023979717382403364 | Time = 90s
Step 234000 | Order = 0.011136530290003529 | Time = 90s
Step 235000 | Order = 0.056682727637363546 | Time = 90s
Step 236000 | Order = 0.015325292546601987 | Time = 91s
Step 237000 | Order = 0.062302555960033999 | Time = 91s
Step 238000 | Order = 0.033624497965736341 | Time = 91s
Step 239000 | Order = 0.023249529521800053 | Time = 92s
Step 240000 | Order = 0.029755170706930473 | Time = 92s
Step 241000 | Order = 0.064671188717533357 | Time = 92s
Step 242000 | Order = 0.054422149393214145 | Time = 93s
Step 243000 | Order = 0.031445526647663591 | Time = 93s
Step 244000 | Order = 0.062027973031140174 | Time = 93s
Step 245000 | Order = 0.031806536330569138 | Time = 94s
Step 246000 | Order = 0.043718349736362988 | Time = 94s
Step 247000 | Order = 0.007075292108981804 | Time = 94s
Step 248000 | Order = 0.027876514491395187 | Time = 95s
Step 249000 | Order = 0.027892183362560233 | Time = 95s
Step 250000 | Order = 0.015679938783819833 | Time = 96s
Step 251000 | Order = 0.038867281289698408 | Time = 97s
Step 252000 | Order = 0.03618979830562747 | Time = 97s
Step 253000 | Order = 0.029846493412870202 | Time = 98s
Step 254000 | Order = 0.022279495841725214 | Time = 98s
Step 255000 | Order = 0.037968157645232314 | Time = 98s
Step 256000 | Order = 0.070424857246118688 | Time = 99s
Step 257000 | Order = 0.050910311378795765 | Time = 99s
Step 258000 | Order = 0.022700504334591264 | Time = 99s
Step 259000 | Order = 0.077273249592929763 | Time = 100s
Step 260000 | Order = 0.036897611807539817 | Time = 100s
Step 261000 | Order = 0.041728334187392788 | Time = 100s
Step 262000 | Order = 0.036067262456292881 | Time = 101s
