Simulation #17, Parameters: eta = 0.799578 | rho = 0.109936 | v0 = 0.0614014s
Step 0 | Order = 0.01811631339411093 | Time = 0s
Step 1000 | Order = 0.032053072902843691 | Time = 1s
Step 2000 | Order = 0.020166074079456794 | Time = 1s
Step 3000 | Order = 0.026158268829622626 | Time = 1s
Step 4000 | Order = 0.020896186791228535 | Time = 1s
Step 5000 | Order = 0.017709143211946835 | Time = 1s
Step 6000 | Order = 0.0087472821852824113 | Time = 1s
Step 7000 | Order = 0.036457673695660345 | Time = 1s
Step 8000 | Order = 0.013266707066604048 | Time = 2s
Step 9000 | Order = 0.013638017796348996 | Time = 2s
Step 10000 | Order = 0.029986381775687878 | Time = 2s
Step 11000 | Order = 0.037286710829161435 | Time = 2s
Step 12000 | Order = 0.0086984667258643081 | Time = 2s
Step 13000 | Order = 0.016980031835507919 | Time = 2s
Step 14000 | Order = 0.028296503253937268 | Time = 2s
Step 15000 | Order = 0.046296452722531717 | Time = 2s
Step 16000 | Order = 0.019587879199979535 | Time = 3s
Step 17000 | Order = 0.03231731544218238 | Time = 3s
Step 18000 | Order = 0.041982182820211746 | Time = 3s
Step 19000 | Order = 0.031306024010888792 | Time = 3s
Step 20000 | Order = 0.016234627224262322 | Time = 3s
Step 21000 | Order = 0.033602620369277178 | Time = 3s
Step 22000 | Order = 0.01096815975139555 | Time = 3s
Step 23000 | Order = 0.0067687247588564562 | Time = 3s
Step 24000 | Order = 0.029959250966946679 | Time = 4s
Step 25000 | Order = 0.009666266792431745 | Time = 4s
Step 26000 | Order = 0.020874639657015269 | Time = 4s
Step 27000 | Order = 0.033067645989144252 | Time = 4s
Step 28000 | Order = 0.027931668916104074 | Time = 4s
Step 29000 | Order = 0.025660989459579217 | Time = 4s
Step 30000 | Order = 0.0077455060526298355 | Time = 4s
Step 31000 | Order = 0.010448110133576138 | Time = 4s
Step 32000 | Order = 0.014535970352741576 | Time = 5s
Step 33000 | Order = 0.013854837973939821 | Time = 5s
Step 34000 | Order = 0.0328457129521161 | Time = 5s
Step 35000 | Order = 0.026436643624629018 | Time = 5s
Step 36000 | Order = 0.014155832980591018 | Time = 5s
Step 37000 | Order = 0.020000690469447416 | Time = 5s
Step 38000 | Order = 0.042552467575245084 | Time = 5s
Step 39000 | Order = 0.035436813030446761 | Time = 5s
Step 40000 | Order = 0.028538090390876653 | Time = 6s
Step 41000 | Order = 0.023661789397336083 | Time = 6s
Step 42000 | Order = 0.027798442242548491 | Time = 6s
Step 43000 | Order = 0.021428891253930507 | Time = 6s
Step 44000 | Order = 0.036870706529811725 | Time = 6s
Step 45000 | Order = 0.013580462689163113 | Time = 6s
Step 46000 | Order = 0.027854989769907811 | Time = 7s
Step 47000 | Order = 0.037632482663530559 | Time = 7s
Step 48000 | Order = 0.024331127217418484 | Time = 7s
Step 49000 | Order = 0.0025733469099885951 | Time = 7s
Step 50000 | Order = 0.029130053732821189 | Time = 7s
Step 51000 | Order = 0.022008831965056232 | Time = 9s
Step 52000 | Order = 0.016009449423253806 | Time = 9s
Step 53000 | Order = 0.022045127654382869 | Time = 9s
Step 54000 | Order = 0.055048570434647719 | Time = 9s
Step 55000 | Order = 0.03372833881303533 | Time = 9s
Step 56000 | Order = 0.022898349968321515 | Time = 9s
Step 57000 | Order = 0.032565910266571498 | Time = 9s
Step 58000 | Order = 0.0085013216058524368 | Time = 9s
Step 59000 | Order = 0.0058005233039957436 | Time = 10s
