Simulation #162, Parameters: eta = 0.753493 | rho = 0.121285 | v0 = 0.144252s
Step 0 | Order = 0.013056653370868494 | Time = 0s
Step 1000 | Order = 0.031986916295756972 | Time = 0s
Step 2000 | Order = 0.020022463699247105 | Time = 0s
Step 3000 | Order = 0.011611120944622588 | Time = 0s
Step 4000 | Order = 0.027051402477489796 | Time = 0s
Step 5000 | Order = 0.0074234063673800791 | Time = 0s
Step 6000 | Order = 0.0076592478819448896 | Time = 1s
Step 7000 | Order = 0.032733279851356385 | Time = 1s
Step 8000 | Order = 0.018617050167927782 | Time = 1s
Step 9000 | Order = 0.0055629787356155213 | Time = 1s
Step 10000 | Order = 0.061721126254735012 | Time = 1s
Step 11000 | Order = 0.01912220685361694 | Time = 1s
Step 12000 | Order = 0.007510749683266333 | Time = 1s
Step 13000 | Order = 0.01080376226607058 | Time = 2s
Step 14000 | Order = 0.014358854432729211 | Time = 2s
Step 15000 | Order = 0.0209834208579412 | Time = 2s
Step 16000 | Order = 0.016591633171175423 | Time = 2s
Step 17000 | Order = 0.0058015060708343433 | Time = 2s
Step 18000 | Order = 0.013628563861228292 | Time = 2s
Step 19000 | Order = 0.031297073600371671 | Time = 2s
Step 20000 | Order = 0.031824345453225572 | Time = 2s
Step 21000 | Order = 0.019001231261375408 | Time = 3s
Step 22000 | Order = 0.0066194336241035216 | Time = 3s
Step 23000 | Order = 0.03932639143843783 | Time = 3s
Step 24000 | Order = 0.026078022576738004 | Time = 3s
Step 25000 | Order = 0.017145027437124698 | Time = 3s
Step 26000 | Order = 0.0033172046823270666 | Time = 3s
Step 27000 | Order = 0.013767730595958793 | Time = 3s
Step 28000 | Order = 0.029875664397858433 | Time = 4s
Step 29000 | Order = 0.033790500705497759 | Time = 4s
Step 30000 | Order = 0.024969891327004685 | Time = 4s
Step 31000 | Order = 0.040657000585684729 | Time = 4s
Step 32000 | Order = 0.026628669788224042 | Time = 4s
Step 33000 | Order = 0.022312459435147269 | Time = 4s
Step 34000 | Order = 0.031788664389305929 | Time = 4s
Step 35000 | Order = 0.015862293346083654 | Time = 4s
Step 36000 | Order = 0.048037220178975777 | Time = 5s
Step 37000 | Order = 0.0075227695076103612 | Time = 5s
Step 38000 | Order = 0.020353142997204924 | Time = 5s
Step 39000 | Order = 0.013001593097378777 | Time = 5s
Step 40000 | Order = 0.027836056297497733 | Time = 5s
Step 41000 | Order = 0.024490767419420932 | Time = 5s
Step 42000 | Order = 0.037230245182157437 | Time = 5s
Step 43000 | Order = 0.027996881222905612 | Time = 6s
Step 44000 | Order = 0.022631977454749475 | Time = 6s
Step 45000 | Order = 0.018710333411770901 | Time = 6s
Step 46000 | Order = 0.026355624106090405 | Time = 6s
Step 47000 | Order = 0.015874845990374413 | Time = 6s
Step 48000 | Order = 0.010407512352711468 | Time = 6s
Step 49000 | Order = 0.037305671799164754 | Time = 6s
Step 50000 | Order = 0.024625552892517888 | Time = 6s
Step 51000 | Order = 0.0031608349960201066 | Time = 7s
Step 52000 | Order = 0.0080494605583041542 | Time = 7s
Step 53000 | Order = 0.021453509021573603 | Time = 7s
Step 54000 | Order = 0.0095159868452289898 | Time = 7s
Step 55000 | Order = 0.014096557878041299 | Time = 7s
Step 56000 | Order = 0.047897234967890508 | Time = 7s
Step 57000 | Order = 0.023739192293001921 | Time = 8s
Step 58000 | Order = 0.015012355717017844 | Time = 8s
Step 59000 | Order = 0.013528352399902343 | Time = 8s
Step 60000 | Order = 0.016431079424746017 | Time = 8s
Step 61000 | Order = 0.018850573202063757 | Time = 8s
Step 62000 | Order = 0.010344493971840439 | Time = 8s
Step 63000 | Order = 0.024144800672479674 | Time = 8s
Step 64000 | Order = 0.023428939885118762 | Time = 8s
Step 65000 | Order = 0.0085144496526551091 | Time = 9s
Step 66000 | Order = 0.0026560546423403963 | Time = 9s
Step 67000 | Order = 0.029766758434090382 | Time = 9s
Step 68000 | Order = 0.02052888052783395 | Time = 9s
Step 69000 | Order = 0.016186316248735698 | Time = 9s
Step 70000 | Order = 0.013658812421610962 | Time = 9s
Step 71000 | Order = 0.030079607184165722 | Time = 9s
Step 72000 | Order = 0.0079433112291122567 | Time = 10s
Step 73000 | Order = 0.036614883250813017 | Time = 10s
Step 74000 | Order = 0.0083452375927647923 | Time = 10s
Step 75000 | Order = 0.028389426208015406 | Time = 10s
Step 76000 | Order = 0.013654688447658703 | Time = 10s
Step 77000 | Order = 0.024362942079745233 | Time = 10s
Step 78000 | Order = 0.01074968651708097 | Time = 10s
Step 79000 | Order = 0.022299763101407962 | Time = 10s
Step 80000 | Order = 0.0088712967445050746 | Time = 11s
Step 81000 | Order = 0.022066372156337517 | Time = 11s
Step 82000 | Order = 0.03107130403744867 | Time = 11s
Step 83000 | Order = 0.0096793113895716713 | Time = 11s
Step 84000 | Order = 0.031070791336038326 | Time = 11s
Step 85000 | Order = 0.030129161784482127 | Time = 11s
Step 86000 | Order = 0.015746888745766238 | Time = 11s
Step 87000 | Order = 0.010913828661883358 | Time = 12s
Step 88000 | Order = 0.040689036334015959 | Time = 12s
Step 89000 | Order = 0.020141122172339772 | Time = 12s
Step 90000 | Order = 0.0078144730610099633 | Time = 12s
Step 91000 | Order = 0.011941763101112697 | Time = 12s
Step 92000 | Order = 0.012759658884751461 | Time = 12s
Step 93000 | Order = 0.029534720716395416 | Time = 12s
