Simulation #55, Parameters: eta = 0.160282 | rho = 0.207730 | v0 = 0.449991s
Step 112000 | Order = 0.72172297990828305 | Time = 33s
Step 113000 | Order = 0.67615296511229817 | Time = 34s
Step 114000 | Order = 0.64970624531866927 | Time = 34s
Step 115000 | Order = 0.69055516350194135 | Time = 34s
Step 116000 | Order = 0.64574490039355203 | Time = 34s
Step 117000 | Order = 0.64642710848908469 | Time = 35s
Step 118000 | Order = 0.63721609823036807 | Time = 35s
Step 119000 | Order = 0.65838039414540861 | Time = 35s
Step 120000 | Order = 0.56592724533190486 | Time = 36s
Step 121000 | Order = 0.69312764994903264 | Time = 36s
Step 122000 | Order = 0.52141614064544417 | Time = 36s
Step 123000 | Order = 0.63668102702471807 | Time = 37s
Step 124000 | Order = 0.6107197066331973 | Time = 37s
Step 125000 | Order = 0.70885734993889138 | Time = 37s
Step 126000 | Order = 0.6459482575222466 | Time = 38s
Step 127000 | Order = 0.65389953016802338 | Time = 38s
Step 128000 | Order = 0.6297372572706097 | Time = 38s
Step 129000 | Order = 0.61193461476724165 | Time = 38s
Step 130000 | Order = 0.66305041979959967 | Time = 39s
Step 131000 | Order = 0.65422318719186967 | Time = 39s
Step 132000 | Order = 0.63184935111844664 | Time = 39s
Step 133000 | Order = 0.59293667316954046 | Time = 40s
Step 134000 | Order = 0.67169366083796234 | Time = 40s
Step 135000 | Order = 0.64597990750073797 | Time = 40s
Step 136000 | Order = 0.54466731363381793 | Time = 41s
Step 137000 | Order = 0.68391467071281875 | Time = 41s
Step 138000 | Order = 0.59554949396083057 | Time = 41s
Step 139000 | Order = 0.64542272275585333 | Time = 42s
Step 140000 | Order = 0.65755666421636672 | Time = 42s
Step 141000 | Order = 0.56317159599712252 | Time = 42s
Step 142000 | Order = 0.65380980093257546 | Time = 42s
Step 143000 | Order = 0.59085871239989629 | Time = 43s
Step 144000 | Order = 0.64732635272543348 | Time = 43s
Step 145000 | Order = 0.56591102451816644 | Time = 43s
Step 146000 | Order = 0.6817007167977055 | Time = 44s
Step 147000 | Order = 0.64897887538866705 | Time = 44s
Step 148000 | Order = 0.66491000317659532 | Time = 44s
Step 149000 | Order = 0.59642936793025447 | Time = 45s
Step 150000 | Order = 0.61683621592051108 | Time = 45s
Step 151000 | Order = 0.59905920113054323 | Time = 45s
