Simulation #165, Parameters: eta = 0.089947 | rho = 0.119100 | v0 = 0.051081s
Step 0 | Order = 0.018083375956048347 | Time = 0s
Step 1000 | Order = 0.082012305058400098 | Time = 0s
Step 2000 | Order = 0.26041045641789939 | Time = 0s
Step 3000 | Order = 0.26160583655176967 | Time = 0s
Step 4000 | Order = 0.21533343759307008 | Time = 0s
Step 5000 | Order = 0.43842115377647456 | Time = 1s
Step 6000 | Order = 0.44759505984637998 | Time = 1s
Step 7000 | Order = 0.32952495585264696 | Time = 1s
Step 8000 | Order = 0.23252218518316184 | Time = 1s
Step 9000 | Order = 0.37600643815741602 | Time = 1s
Step 10000 | Order = 0.24610407914407842 | Time = 2s
Step 11000 | Order = 0.32706247743693517 | Time = 2s
Step 12000 | Order = 0.49270895536320153 | Time = 2s
Step 13000 | Order = 0.38054636151370808 | Time = 2s
Step 14000 | Order = 0.6048379992179499 | Time = 3s
Step 15000 | Order = 0.6360850694111172 | Time = 3s
Step 16000 | Order = 0.53780367820105368 | Time = 3s
Step 17000 | Order = 0.50145617627248062 | Time = 3s
Step 18000 | Order = 0.59535952368839617 | Time = 4s
Step 19000 | Order = 0.65835845124489178 | Time = 4s
Step 20000 | Order = 0.42803767330029685 | Time = 4s
Step 21000 | Order = 0.29241939236666797 | Time = 4s
Step 22000 | Order = 0.27164068371719607 | Time = 5s
Step 23000 | Order = 0.39997631781930754 | Time = 5s
Step 24000 | Order = 0.46557485221811118 | Time = 5s
Step 25000 | Order = 0.51662499791715122 | Time = 5s
Step 26000 | Order = 0.50655142806065168 | Time = 5s
Step 27000 | Order = 0.62575560380389272 | Time = 6s
Step 28000 | Order = 0.48694554840105841 | Time = 6s
Step 29000 | Order = 0.35494633068272274 | Time = 6s
Step 30000 | Order = 0.38338798874173841 | Time = 6s
Step 31000 | Order = 0.29776807559989577 | Time = 7s
Step 32000 | Order = 0.3309225088554566 | Time = 7s
Step 33000 | Order = 0.26805020388048267 | Time = 7s
Step 34000 | Order = 0.34033389449624274 | Time = 7s
Step 35000 | Order = 0.27047602068874871 | Time = 8s
Step 36000 | Order = 0.2341075766101213 | Time = 8s
Step 37000 | Order = 0.21770262425669012 | Time = 8s
Step 38000 | Order = 0.47779104533910977 | Time = 8s
Step 39000 | Order = 0.67338055883468817 | Time = 8s
Step 40000 | Order = 0.59994670455685595 | Time = 9s
Step 41000 | Order = 0.58241981713018431 | Time = 9s
Step 42000 | Order = 0.58658556653798266 | Time = 9s
Step 43000 | Order = 0.508686529369198 | Time = 9s
Step 44000 | Order = 0.59115814893269791 | Time = 10s
Step 45000 | Order = 0.57967278284618196 | Time = 10s
Step 46000 | Order = 0.57458579300444435 | Time = 10s
Step 47000 | Order = 0.66571517940712643 | Time = 10s
Step 48000 | Order = 0.57544712650344498 | Time = 11s
Step 49000 | Order = 0.4954338946692512 | Time = 11s
Step 50000 | Order = 0.47226131088262507 | Time = 11s
Step 51000 | Order = 0.39042516629467244 | Time = 11s
Step 52000 | Order = 0.37157365217314864 | Time = 12s
Step 53000 | Order = 0.32758970889283567 | Time = 12s
Step 54000 | Order = 0.31056938515952742 | Time = 12s
Step 55000 | Order = 0.23521183419586994 | Time = 12s
Step 56000 | Order = 0.35901777208856839 | Time = 13s
Step 57000 | Order = 0.43855745103613486 | Time = 13s
Step 58000 | Order = 0.42164124450632184 | Time = 13s
Step 59000 | Order = 0.55917367913332638 | Time = 13s
Step 60000 | Order = 0.70392897000521903 | Time = 13s
Step 61000 | Order = 0.63754019579542254 | Time = 14s
Step 62000 | Order = 0.52352701668427515 | Time = 14s
Step 63000 | Order = 0.42998023674437313 | Time = 14s
Step 64000 | Order = 0.59872269693611246 | Time = 14s
Step 65000 | Order = 0.55119408048830798 | Time = 15s
Step 66000 | Order = 0.54604046125289762 | Time = 15s
Step 67000 | Order = 0.49957946798664171 | Time = 15s
Step 68000 | Order = 0.5614090829629631 | Time = 15s
Step 69000 | Order = 0.48238675721818347 | Time = 16s
Step 70000 | Order = 0.51195061852039203 | Time = 16s
Step 71000 | Order = 0.55067788573482734 | Time = 16s
Step 72000 | Order = 0.597517176721443 | Time = 16s
Step 73000 | Order = 0.47755031601595876 | Time = 16s
Step 74000 | Order = 0.6084747057952562 | Time = 17s
Step 75000 | Order = 0.66136096642823372 | Time = 17s
Step 76000 | Order = 0.64637214979662283 | Time = 17s
Step 77000 | Order = 0.58598609106183663 | Time = 17s
Step 78000 | Order = 0.54385411981303766 | Time = 18s
Step 79000 | Order = 0.38218709965848868 | Time = 18s
Step 80000 | Order = 0.27983150324628403 | Time = 18s
Step 81000 | Order = 0.27517389482886812 | Time = 18s
Step 82000 | Order = 0.44400527205623969 | Time = 18s
Step 83000 | Order = 0.31349750476520571 | Time = 19s
Step 84000 | Order = 0.41211758114128372 | Time = 19s
Step 85000 | Order = 0.23571697890520882 | Time = 19s
Step 86000 | Order = 0.29509575837636737 | Time = 19s
Step 87000 | Order = 0.26468320611813123 | Time = 20s
Step 88000 | Order = 0.40606354487261825 | Time = 20s
Step 89000 | Order = 0.45567377371315143 | Time = 20s
Step 90000 | Order = 0.38313998087401518 | Time = 20s
Step 91000 | Order = 0.41513502219388643 | Time = 20s
Step 92000 | Order = 0.43580075010564173 | Time = 21s
Step 93000 | Order = 0.30336769930260143 | Time = 21s
Step 94000 | Order = 0.41801375305914518 | Time = 21s
Step 95000 | Order = 0.38689388627986532 | Time = 21s
Step 96000 | Order = 0.38122545588484652 | Time = 22s
Step 97000 | Order = 0.24236068820104706 | Time = 22s
Step 98000 | Order = 0.55733545762450765 | Time = 22s
Step 99000 | Order = 0.52990098235714644 | Time = 22s
Step 100000 | Order = 0.44227802329168731 | Time = 23s
Step 101000 | Order = 0.41555672685114775 | Time = 23s
Step 102000 | Order = 0.54635634393558341 | Time = 23s
Step 103000 | Order = 0.46785056752723064 | Time = 24s
Step 104000 | Order = 0.48517720731349723 | Time = 24s
Step 105000 | Order = 0.47147182454287251 | Time = 24s
Step 106000 | Order = 0.52736996361830546 | Time = 24s
Step 107000 | Order = 0.56314048882038559 | Time = 24s
Step 108000 | Order = 0.62444391392071763 | Time = 25s
Step 109000 | Order = 0.59975246756476208 | Time = 25s
Step 110000 | Order = 0.53611802679599385 | Time = 25s
Step 111000 | Order = 0.57278352925873266 | Time = 25s
Step 112000 | Order = 0.61620333969484076 | Time = 26s
Step 113000 | Order = 0.45420070795881423 | Time = 26s
Step 114000 | Order = 0.34360703373327489 | Time = 26s
Step 115000 | Order = 0.51370549956567213 | Time = 26s
Step 116000 | Order = 0.55302823252880873 | Time = 26s
Step 117000 | Order = 0.59721816076996326 | Time = 27s
Step 118000 | Order = 0.45690942573375026 | Time = 27s
Step 119000 | Order = 0.3556902465928039 | Time = 27s
Step 120000 | Order = 0.49091793800947325 | Time = 27s
Step 121000 | Order = 0.52332439216734539 | Time = 28s
Step 122000 | Order = 0.28392953952284722 | Time = 28s
Step 123000 | Order = 0.15633881721310597 | Time = 28s
Step 124000 | Order = 0.21279601056048694 | Time = 28s
Step 125000 | Order = 0.13876441965973621 | Time = 29s
Step 126000 | Order = 0.13509788491338812 | Time = 29s
Step 127000 | Order = 0.24582581318992466 | Time = 29s
Step 128000 | Order = 0.52451156647255659 | Time = 29s
Step 129000 | Order = 0.59435548179414399 | Time = 30s
Step 130000 | Order = 0.5080739934937748 | Time = 30s
Step 131000 | Order = 0.45945749255188578 | Time = 30s
Step 132000 | Order = 0.51901445926355261 | Time = 30s
Step 133000 | Order = 0.47170849344615873 | Time = 31s
Step 134000 | Order = 0.47498817732126652 | Time = 31s
Step 135000 | Order = 0.45499008476803771 | Time = 31s
Step 136000 | Order = 0.31685282921312768 | Time = 31s
Step 137000 | Order = 0.19542856845888659 | Time = 31s
Step 138000 | Order = 0.18990023700788938 | Time = 32s
Step 139000 | Order = 0.18220976096050828 | Time = 32s
Step 140000 | Order = 0.52277950178525734 | Time = 32s
Step 141000 | Order = 0.64289464752777714 | Time = 32s
Step 142000 | Order = 0.57298267942109182 | Time = 33s
Step 143000 | Order = 0.43793831359365182 | Time = 33s
Step 144000 | Order = 0.62461849234315692 | Time = 33s
Step 145000 | Order = 0.55403760815096237 | Time = 33s
Step 146000 | Order = 0.51724044484505438 | Time = 34s
Step 147000 | Order = 0.46002512388739958 | Time = 34s
Step 148000 | Order = 0.34418403018430632 | Time = 34s
Step 149000 | Order = 0.19534686893173345 | Time = 34s
Step 150000 | Order = 0.31756175769827694 | Time = 35s
Step 151000 | Order = 0.29696375395782937 | Time = 35s
Step 152000 | Order = 0.36771864867680387 | Time = 35s
Step 153000 | Order = 0.47881650784260837 | Time = 35s
Step 154000 | Order = 0.49316008962959501 | Time = 36s
Step 155000 | Order = 0.24392997813434278 | Time = 36s
Step 156000 | Order = 0.33403805999765901 | Time = 36s
Step 157000 | Order = 0.53609969875308938 | Time = 36s
Step 158000 | Order = 0.58827585789366543 | Time = 37s
Step 159000 | Order = 0.60632511537961498 | Time = 37s
Step 160000 | Order = 0.45957100391050471 | Time = 37s
Step 161000 | Order = 0.39602696907991225 | Time = 37s
Step 162000 | Order = 0.40832290173501351 | Time = 37s
Step 163000 | Order = 0.4823946642037239 | Time = 38s
Step 164000 | Order = 0.42321920744396829 | Time = 38s
Step 165000 | Order = 0.38109073042421016 | Time = 38s
Step 166000 | Order = 0.43562460086260701 | Time = 38s
Step 167000 | Order = 0.52110448238346685 | Time = 39s
Step 168000 | Order = 0.52099802880644208 | Time = 39s
Step 169000 | Order = 0.44275051760016532 | Time = 39s
Step 170000 | Order = 0.48635169023522301 | Time = 39s
Step 171000 | Order = 0.58857690989242739 | Time = 40s
Step 172000 | Order = 0.55796246368487357 | Time = 40s
Step 173000 | Order = 0.73244543815128949 | Time = 40s
Step 174000 | Order = 0.66364048756409533 | Time = 40s
Step 175000 | Order = 0.53471278543802769 | Time = 41s
Step 176000 | Order = 0.50018764093615387 | Time = 41s
Step 177000 | Order = 0.3615812350824571 | Time = 41s
Step 178000 | Order = 0.37840185134607046 | Time = 41s
Step 179000 | Order = 0.40879877754214305 | Time = 41s
Step 180000 | Order = 0.52603592088233841 | Time = 42s
Step 181000 | Order = 0.34758638410984033 | Time = 42s
Step 182000 | Order = 0.35346972261788023 | Time = 42s
Step 183000 | Order = 0.41761422133328063 | Time = 42s
Step 184000 | Order = 0.41090705241171499 | Time = 43s
Step 185000 | Order = 0.42437904845593682 | Time = 43s
Step 186000 | Order = 0.3671612867872116 | Time = 43s
Step 187000 | Order = 0.31787352045351391 | Time = 43s
Step 188000 | Order = 0.49600649217671605 | Time = 44s
Step 189000 | Order = 0.53922234290372195 | Time = 44s
Step 190000 | Order = 0.61180819581362844 | Time = 44s
Step 191000 | Order = 0.46205287102352494 | Time = 44s
Step 192000 | Order = 0.51773396028408036 | Time = 45s
Step 193000 | Order = 0.61700439055099554 | Time = 45s
Step 194000 | Order = 0.62543423962448852 | Time = 45s
Step 195000 | Order = 0.59008540117559261 | Time = 45s
Step 196000 | Order = 0.54251497062708121 | Time = 46s
Step 197000 | Order = 0.59468223203018988 | Time = 46s
Step 198000 | Order = 0.49161426808672087 | Time = 46s
Step 199000 | Order = 0.42854403764083043 | Time = 46s
Step 200000 | Order = 0.46588855060220663 | Time = 46s
Step 201000 | Order = 0.45930884536436084 | Time = 47s
Step 202000 | Order = 0.42373510172979351 | Time = 47s
Step 203000 | Order = 0.58573202598077734 | Time = 47s
Step 204000 | Order = 0.55742002789402234 | Time = 47s
Step 205000 | Order = 0.58476460241238937 | Time = 48s
Step 206000 | Order = 0.41782358769659145 | Time = 48s
Step 207000 | Order = 0.47101859780646482 | Time = 48s
Step 208000 | Order = 0.36410790123600789 | Time = 48s
Step 209000 | Order = 0.27944760001543595 | Time = 49s
Step 210000 | Order = 0.35969129021829077 | Time = 49s
Step 211000 | Order = 0.38573267425147878 | Time = 49s
Step 212000 | Order = 0.46310292548043935 | Time = 49s
Step 213000 | Order = 0.465672474795017 | Time = 50s
Step 214000 | Order = 0.42294384997196516 | Time = 50s
Step 215000 | Order = 0.39078524400827808 | Time = 50s
Step 216000 | Order = 0.31886573036916543 | Time = 50s
Step 217000 | Order = 0.46765323367610917 | Time = 50s
Step 218000 | Order = 0.50129228501337619 | Time = 51s
Step 219000 | Order = 0.41983342321608674 | Time = 51s
Step 220000 | Order = 0.60072375414617363 | Time = 51s
Step 221000 | Order = 0.56808112008735467 | Time = 51s
Step 222000 | Order = 0.61241143361980011 | Time = 52s
Step 223000 | Order = 0.48912402795447557 | Time = 52s
Step 224000 | Order = 0.11692275968677673 | Time = 52s
Step 225000 | Order = 0.23185664885434012 | Time = 52s
Step 226000 | Order = 0.25480473274152138 | Time = 53s
Step 227000 | Order = 0.36429899574658764 | Time = 53s
Step 228000 | Order = 0.51153729857936947 | Time = 53s
Step 229000 | Order = 0.43307515523068996 | Time = 54s
Step 230000 | Order = 0.55114731676542517 | Time = 54s
Step 231000 | Order = 0.42932848763947673 | Time = 54s
Step 232000 | Order = 0.4846557954084405 | Time = 54s
Step 233000 | Order = 0.65946050975342085 | Time = 55s
Step 234000 | Order = 0.61164525728030117 | Time = 55s
Step 235000 | Order = 0.56874671622311046 | Time = 55s
Step 236000 | Order = 0.56240210555274861 | Time = 55s
Step 237000 | Order = 0.4648013735863572 | Time = 56s
Step 238000 | Order = 0.49210270424491842 | Time = 56s
Step 239000 | Order = 0.27722452880857967 | Time = 56s
Step 240000 | Order = 0.31592027888794616 | Time = 56s
Step 241000 | Order = 0.25743036565525673 | Time = 57s
Step 242000 | Order = 0.33422087343928453 | Time = 57s
Step 243000 | Order = 0.2247257815054213 | Time = 57s
Step 244000 | Order = 0.28428727735324061 | Time = 57s
Step 245000 | Order = 0.29542064385772887 | Time = 57s
Step 246000 | Order = 0.28878918722415842 | Time = 58s
Step 247000 | Order = 0.32995226573342212 | Time = 58s
Step 248000 | Order = 0.37170681970588398 | Time = 58s
Step 249000 | Order = 0.34818465478234284 | Time = 58s
Step 250000 | Order = 0.39051507646467831 | Time = 59s
Step 251000 | Order = 0.50479741065527783 | Time = 59s
Step 252000 | Order = 0.53606557082151474 | Time = 59s
Step 253000 | Order = 0.59357763930371821 | Time = 60s
Step 254000 | Order = 0.50474535603650972 | Time = 60s
Step 255000 | Order = 0.53828132361267511 | Time = 60s
Step 256000 | Order = 0.4363699432240235 | Time = 60s
Step 257000 | Order = 0.57658802696914246 | Time = 60s
Step 258000 | Order = 0.41567802909014073 | Time = 61s
Step 259000 | Order = 0.49238981255471193 | Time = 61s
Step 260000 | Order = 0.44935245184380301 | Time = 61s
Step 261000 | Order = 0.6619297932232443 | Time = 61s
Step 262000 | Order = 0.62704846360497601 | Time = 62s
Step 263000 | Order = 0.64792741792956976 | Time = 62s
Step 264000 | Order = 0.6467197319366319 | Time = 62s
Step 265000 | Order = 0.63574902299767488 | Time = 62s
Step 266000 | Order = 0.64758418100370563 | Time = 63s
Step 267000 | Order = 0.54733101757741098 | Time = 63s
Step 268000 | Order = 0.59986656276824246 | Time = 63s
Step 269000 | Order = 0.51961123798164133 | Time = 63s
