Simulation #35, Parameters: eta = 0.975393 | rho = 0.154094 | v0 = 0.0132175s
Step 0 | Order = 0.0036713949014051928 | Time = 0s
Step 1000 | Order = 0.0096781921179472253 | Time = 1s
Step 2000 | Order = 0.014960148942775711 | Time = 2s
Step 3000 | Order = 0.0328985825962817 | Time = 2s
Step 4000 | Order = 0.021584229969258923 | Time = 2s
Step 5000 | Order = 0.018513199665198089 | Time = 2s
Step 6000 | Order = 0.02725659148596242 | Time = 3s
Step 7000 | Order = 0.013718170796187071 | Time = 3s
Step 8000 | Order = 0.0081844007811446226 | Time = 4s
Step 9000 | Order = 0.030953037586987725 | Time = 4s
Step 10000 | Order = 0.013794620290537473 | Time = 4s
Step 11000 | Order = 0.012835019216430875 | Time = 5s
Step 12000 | Order = 0.0097065048116535216 | Time = 5s
Step 13000 | Order = 0.012400535226663177 | Time = 5s
Step 14000 | Order = 0.0076533044270167714 | Time = 6s
Step 15000 | Order = 0.011578664011554808 | Time = 6s
Step 16000 | Order = 0.011289830214939085 | Time = 6s
Step 17000 | Order = 0.015202739625191801 | Time = 6s
Step 18000 | Order = 0.0093608351348058779 | Time = 7s
Step 19000 | Order = 0.018637794327722466 | Time = 7s
Step 20000 | Order = 0.024168629200584588 | Time = 7s
Step 21000 | Order = 0.012784144665428335 | Time = 7s
Step 22000 | Order = 0.0091240541147449405 | Time = 8s
Step 23000 | Order = 0.022986015637368712 | Time = 8s
Step 24000 | Order = 0.0041338561339716055 | Time = 8s
Step 25000 | Order = 0.011707236015004407 | Time = 8s
Step 26000 | Order = 0.019139399204689087 | Time = 9s
Step 27000 | Order = 0.028445300827762365 | Time = 9s
Step 28000 | Order = 0.01824116495474044 | Time = 9s
Step 29000 | Order = 0.0052471783597088468 | Time = 10s
Step 30000 | Order = 0.010846793969866327 | Time = 10s
Step 31000 | Order = 0.0084421157357323709 | Time = 10s
Step 32000 | Order = 0.023768949806374728 | Time = 10s
Step 33000 | Order = 0.020576403449185359 | Time = 11s
Step 34000 | Order = 0.023232774124069079 | Time = 11s
Step 35000 | Order = 0.011029770515903892 | Time = 11s
Step 36000 | Order = 0.012790256724944037 | Time = 11s
Step 37000 | Order = 0.023798598325244929 | Time = 12s
Step 38000 | Order = 0.020967107285102069 | Time = 12s
Step 39000 | Order = 0.013128409666816854 | Time = 12s
Step 40000 | Order = 0.0086077028107865213 | Time = 12s
Step 41000 | Order = 0.0075602260361624391 | Time = 13s
Step 42000 | Order = 0.010458128550425704 | Time = 13s
Step 43000 | Order = 0.0083956401717891985 | Time = 13s
Step 44000 | Order = 0.0081176861200027671 | Time = 13s
Step 45000 | Order = 0.0066974573515178517 | Time = 14s
Step 46000 | Order = 0.029428653130092294 | Time = 14s
Step 47000 | Order = 0.017790569496334948 | Time = 14s
Step 48000 | Order = 0.0056506271933554871 | Time = 14s
Step 49000 | Order = 0.012997190449088057 | Time = 15s
Step 50000 | Order = 0.0039173146548797215 | Time = 15s
Step 51000 | Order = 0.015865336660925884 | Time = 15s
Step 52000 | Order = 0.012748535480489579 | Time = 16s
Step 53000 | Order = 0.0058350106309200522 | Time = 16s
Step 54000 | Order = 0.014009187524096377 | Time = 16s
Step 55000 | Order = 0.036958715444145446 | Time = 17s
Step 56000 | Order = 0.027921255575098395 | Time = 17s
Step 57000 | Order = 0.019633663647151516 | Time = 17s
Step 58000 | Order = 0.017657067222062957 | Time = 17s
Step 59000 | Order = 0.022163893980190877 | Time = 18s
Step 60000 | Order = 0.023364856855172662 | Time = 18s
Step 61000 | Order = 0.029234536003698203 | Time = 18s
Step 62000 | Order = 0.020674584692611533 | Time = 18s
Step 63000 | Order = 0.024776356385289796 | Time = 19s
Step 64000 | Order = 0.014166597568917283 | Time = 19s
Step 65000 | Order = 0.007338250640431818 | Time = 19s
Step 66000 | Order = 0.0065738713401862544 | Time = 20s
Step 67000 | Order = 0.028251443693440646 | Time = 20s
Step 68000 | Order = 0.017676532880794928 | Time = 20s
Step 69000 | Order = 0.01994046724340481 | Time = 20s
Step 70000 | Order = 0.044785661228722864 | Time = 21s
Step 71000 | Order = 0.013899913270504594 | Time = 21s
Step 72000 | Order = 0.0043732769259653016 | Time = 21s
Step 73000 | Order = 0.015654784021933724 | Time = 21s
Step 74000 | Order = 0.0089894953305745054 | Time = 22s
Step 75000 | Order = 0.016984730515041197 | Time = 22s
Step 76000 | Order = 0.034247967366291134 | Time = 22s
Step 77000 | Order = 0.022527700188209696 | Time = 22s
Step 78000 | Order = 0.032512275245027429 | Time = 23s
Step 79000 | Order = 0.028684710842914858 | Time = 23s
Step 80000 | Order = 0.013761984991705946 | Time = 23s
Step 81000 | Order = 0.0023043251033886564 | Time = 23s
Step 82000 | Order = 0.021950769999487706 | Time = 24s
Step 83000 | Order = 0.012136454458928005 | Time = 24s
Step 84000 | Order = 0.048912832616084104 | Time = 24s
Step 85000 | Order = 0.011913530158280207 | Time = 24s
Step 86000 | Order = 0.013329459329733402 | Time = 25s
Step 87000 | Order = 0.011656906972999806 | Time = 25s
