Simulation #24, Parameters: eta = 0.817560 | rho = 0.419330 | v0 = 0.81756s
Step 0 | Order = 0.011065767078645821 | Time = 0s
Step 1000 | Order = 0.017630705772767104 | Time = 0s
Step 2000 | Order = 0.017630705772767197 | Time = 1s
Step 3000 | Order = 0.017630705772767197 | Time = 2s
Step 4000 | Order = 0.017630705772767201 | Time = 2s
Step 5000 | Order = 0.017630705772767201 | Time = 3s
Step 6000 | Order = 0.017630705772767201 | Time = 4s
Step 7000 | Order = 0.017630705772767197 | Time = 4s
Step 8000 | Order = 0.017630705772767197 | Time = 5s
Step 9000 | Order = 0.017630705772767197 | Time = 5s
Step 10000 | Order = 0.017630705772767204 | Time = 6s
Step 11000 | Order = 0.017630705772767197 | Time = 7s
Step 12000 | Order = 0.017630705772767197 | Time = 7s
Step 13000 | Order = 0.017630705772767197 | Time = 8s
Step 14000 | Order = 0.017630705772767201 | Time = 8s
Step 15000 | Order = 0.017630705772767194 | Time = 9s
Step 16000 | Order = 0.017630705772767197 | Time = 10s
Step 17000 | Order = 0.017630705772767197 | Time = 10s
Step 18000 | Order = 0.017630705772767194 | Time = 11s
Step 19000 | Order = 0.017630705772767197 | Time = 11s
Step 20000 | Order = 0.017630705772767201 | Time = 12s
Step 21000 | Order = 0.017630705772767201 | Time = 13s
Step 22000 | Order = 0.017630705772767197 | Time = 13s
Step 23000 | Order = 0.017630705772767201 | Time = 14s
Step 24000 | Order = 0.017630705772767201 | Time = 15s
Step 25000 | Order = 0.017630705772767201 | Time = 15s
Step 26000 | Order = 0.017630705772767197 | Time = 16s
Step 27000 | Order = 0.017630705772767197 | Time = 16s
Step 28000 | Order = 0.017630705772767201 | Time = 17s
Step 29000 | Order = 0.017630705772767197 | Time = 18s
Step 30000 | Order = 0.017630705772767201 | Time = 18s
Step 31000 | Order = 0.017630705772767197 | Time = 19s
Step 32000 | Order = 0.017630705772767194 | Time = 20s
Step 33000 | Order = 0.017630705772767201 | Time = 20s
Step 34000 | Order = 0.017630705772767197 | Time = 21s
Step 35000 | Order = 0.017630705772767197 | Time = 22s
Step 36000 | Order = 0.017630705772767197 | Time = 22s
Step 37000 | Order = 0.017630705772767201 | Time = 23s
Step 38000 | Order = 0.017630705772767201 | Time = 24s
Step 39000 | Order = 0.017630705772767197 | Time = 24s
Step 40000 | Order = 0.017630705772767197 | Time = 25s
Step 41000 | Order = 0.017630705772767197 | Time = 25s
Step 42000 | Order = 0.017630705772767197 | Time = 26s
Step 43000 | Order = 0.017630705772767197 | Time = 27s
Step 44000 | Order = 0.017630705772767201 | Time = 27s
Step 45000 | Order = 0.017630705772767197 | Time = 28s
Step 46000 | Order = 0.017630705772767201 | Time = 29s
Step 47000 | Order = 0.017630705772767201 | Time = 29s
Step 48000 | Order = 0.017630705772767197 | Time = 30s
Step 49000 | Order = 0.017630705772767201 | Time = 30s
Step 50000 | Order = 0.017630705772767201 | Time = 32s
Step 51000 | Order = 0.017630705772767197 | Time = 33s
Step 52000 | Order = 0.017630705772767197 | Time = 34s
Step 53000 | Order = 0.017630705772767197 | Time = 34s
Step 54000 | Order = 0.017630705772767201 | Time = 35s
Step 55000 | Order = 0.017630705772767197 | Time = 36s
Step 56000 | Order = 0.017630705772767197 | Time = 36s
Step 57000 | Order = 0.017630705772767201 | Time = 37s
Step 58000 | Order = 0.017630705772767201 | Time = 37s
Step 59000 | Order = 0.017630705772767201 | Time = 38s
Step 60000 | Order = 0.017630705772767194 | Time = 39s
Step 61000 | Order = 0.017630705772767201 | Time = 39s
Step 62000 | Order = 0.017630705772767201 | Time = 40s
Step 63000 | Order = 0.017630705772767197 | Time = 41s
Step 64000 | Order = 0.017630705772767197 | Time = 41s
Step 65000 | Order = 0.017630705772767197 | Time = 42s
Step 66000 | Order = 0.017630705772767197 | Time = 42s
Step 67000 | Order = 0.017630705772767201 | Time = 43s
Step 68000 | Order = 0.017630705772767197 | Time = 44s
Step 69000 | Order = 0.017630705772767201 | Time = 44s
Step 70000 | Order = 0.017630705772767201 | Time = 45s
Step 71000 | Order = 0.017630705772767197 | Time = 46s
Step 72000 | Order = 0.017630705772767197 | Time = 46s
Step 73000 | Order = 0.017630705772767197 | Time = 47s
Step 74000 | Order = 0.017630705772767197 | Time = 47s
Step 75000 | Order = 0.017630705772767197 | Time = 48s
Step 76000 | Order = 0.017630705772767197 | Time = 49s
Step 77000 | Order = 0.017630705772767201 | Time = 49s
Step 78000 | Order = 0.017630705772767197 | Time = 50s
Step 79000 | Order = 0.017630705772767201 | Time = 51s
Step 80000 | Order = 0.017630705772767197 | Time = 51s
Step 81000 | Order = 0.017630705772767197 | Time = 52s
Step 82000 | Order = 0.017630705772767201 | Time = 52s
Step 83000 | Order = 0.017630705772767201 | Time = 53s
Step 84000 | Order = 0.017630705772767201 | Time = 54s
Step 85000 | Order = 0.017630705772767197 | Time = 54s
Step 86000 | Order = 0.017630705772767197 | Time = 55s
Step 87000 | Order = 0.017630705772767194 | Time = 56s
Step 88000 | Order = 0.017630705772767201 | Time = 56s
Step 89000 | Order = 0.017630705772767197 | Time = 57s
Step 90000 | Order = 0.017630705772767201 | Time = 57s
Step 91000 | Order = 0.017630705772767201 | Time = 58s
Step 92000 | Order = 0.017630705772767201 | Time = 59s
Step 93000 | Order = 0.017630705772767201 | Time = 59s
Step 94000 | Order = 0.017630705772767197 | Time = 60s
Step 95000 | Order = 0.017630705772767197 | Time = 60s
Step 96000 | Order = 0.017630705772767197 | Time = 61s
Step 97000 | Order = 0.017630705772767197 | Time = 62s
Step 98000 | Order = 0.017630705772767194 | Time = 62s
Step 99000 | Order = 0.017630705772767201 | Time = 63s
Step 100000 | Order = 0.017630705772767204 | Time = 64s
Step 101000 | Order = 0.017630705772767204 | Time = 64s
Step 102000 | Order = 0.017630705772767197 | Time = 65s
Step 103000 | Order = 0.017630705772767201 | Time = 66s
Step 104000 | Order = 0.017630705772767201 | Time = 66s
Step 105000 | Order = 0.017630705772767197 | Time = 67s
Step 106000 | Order = 0.017630705772767194 | Time = 67s
Step 107000 | Order = 0.017630705772767194 | Time = 68s
Step 108000 | Order = 0.017630705772767197 | Time = 69s
Step 109000 | Order = 0.017630705772767197 | Time = 70s
Step 110000 | Order = 0.017630705772767201 | Time = 71s
Step 111000 | Order = 0.017630705772767197 | Time = 71s
Step 112000 | Order = 0.017630705772767197 | Time = 73s
Step 113000 | Order = 0.017630705772767197 | Time = 73s
Step 114000 | Order = 0.017630705772767194 | Time = 75s
Step 115000 | Order = 0.017630705772767197 | Time = 80s
Step 116000 | Order = 0.017630705772767197 | Time = 83s
Step 117000 | Order = 0.017630705772767201 | Time = 84s
Step 118000 | Order = 0.017630705772767201 | Time = 87s
Step 119000 | Order = 0.017630705772767197 | Time = 92s
Step 120000 | Order = 0.017630705772767197 | Time = 95s
Step 121000 | Order = 0.017630705772767197 | Time = 96s
Step 122000 | Order = 0.017630705772767201 | Time = 96s
Step 123000 | Order = 0.017630705772767201 | Time = 97s
Step 124000 | Order = 0.017630705772767197 | Time = 98s
Step 125000 | Order = 0.017630705772767197 | Time = 98s
Step 126000 | Order = 0.017630705772767201 | Time = 99s
Step 127000 | Order = 0.017630705772767197 | Time = 99s
Step 128000 | Order = 0.017630705772767197 | Time = 100s
Step 129000 | Order = 0.017630705772767201 | Time = 101s
Step 130000 | Order = 0.017630705772767197 | Time = 101s
Step 131000 | Order = 0.017630705772767201 | Time = 102s
Step 132000 | Order = 0.017630705772767197 | Time = 103s
Step 133000 | Order = 0.017630705772767201 | Time = 103s
Step 134000 | Order = 0.017630705772767194 | Time = 104s
Step 135000 | Order = 0.017630705772767197 | Time = 104s
Step 136000 | Order = 0.017630705772767201 | Time = 105s
Step 137000 | Order = 0.017630705772767197 | Time = 106s
Step 138000 | Order = 0.017630705772767197 | Time = 106s
Step 139000 | Order = 0.017630705772767197 | Time = 107s
Step 140000 | Order = 0.017630705772767194 | Time = 107s
Step 141000 | Order = 0.017630705772767201 | Time = 108s
Step 142000 | Order = 0.017630705772767197 | Time = 109s
Step 143000 | Order = 0.017630705772767197 | Time = 109s
Step 144000 | Order = 0.017630705772767197 | Time = 110s
