Simulation #2, Parameters: eta = 0.675002 | rho = 0.886013 | v0 = 0.675002s
Step 0 | Order = 0.016290407206034252 | Time = 0s
Step 1000 | Order = 0.035493959189623725 | Time = 2s
Step 2000 | Order = 0.035950583671218866 | Time = 3s
Step 3000 | Order = 0.03595727889924636 | Time = 5s
Step 4000 | Order = 0.035957192780199022 | Time = 7s
Step 5000 | Order = 0.035957165726642995 | Time = 9s
Step 6000 | Order = 0.035957161730966164 | Time = 11s
Step 7000 | Order = 0.035957161053968852 | Time = 13s
Step 8000 | Order = 0.035957160910189391 | Time = 17s
Step 9000 | Order = 0.035957160874485083 | Time = 20s
Step 10000 | Order = 0.035957160865139615 | Time = 22s
Step 11000 | Order = 0.035957160862665503 | Time = 24s
Step 12000 | Order = 0.035957160862014628 | Time = 26s
Step 13000 | Order = 0.035957160861845153 | Time = 28s
Step 14000 | Order = 0.035957160861801313 | Time = 30s
Step 15000 | Order = 0.035957160861790044 | Time = 32s
Step 16000 | Order = 0.035957160861787116 | Time = 33s
Step 17000 | Order = 0.03595716086178638 | Time = 35s
Step 18000 | Order = 0.035957160861786186 | Time = 37s
Step 19000 | Order = 0.035957160861786137 | Time = 39s
Step 20000 | Order = 0.035957160861786096 | Time = 41s
Step 21000 | Order = 0.035957160861786075 | Time = 43s
Step 22000 | Order = 0.035957160861786075 | Time = 45s
Step 23000 | Order = 0.035957160861786075 | Time = 47s
Step 24000 | Order = 0.035957160861786075 | Time = 49s
Step 25000 | Order = 0.035957160861786075 | Time = 51s
Step 26000 | Order = 0.035957160861786075 | Time = 53s
Step 27000 | Order = 0.035957160861786075 | Time = 54s
Step 28000 | Order = 0.035957160861786075 | Time = 56s
Step 29000 | Order = 0.035957160861786075 | Time = 58s
Step 30000 | Order = 0.035957160861786082 | Time = 60s
Step 31000 | Order = 0.035957160861786075 | Time = 62s
Step 32000 | Order = 0.035957160861786075 | Time = 64s
Step 33000 | Order = 0.035957160861786075 | Time = 66s
Step 34000 | Order = 0.035957160861786075 | Time = 67s
Step 35000 | Order = 0.035957160861786075 | Time = 69s
Step 36000 | Order = 0.035957160861786082 | Time = 72s
Step 37000 | Order = 0.035957160861786075 | Time = 75s
Step 38000 | Order = 0.035957160861786075 | Time = 78s
Step 39000 | Order = 0.035957160861786075 | Time = 80s
Step 40000 | Order = 0.035957160861786075 | Time = 82s
Step 41000 | Order = 0.035957160861786082 | Time = 85s
Step 42000 | Order = 0.035957160861786075 | Time = 89s
Step 43000 | Order = 0.035957160861786075 | Time = 91s
Step 44000 | Order = 0.035957160861786075 | Time = 93s
Step 45000 | Order = 0.035957160861786075 | Time = 95s
Step 46000 | Order = 0.035957160861786075 | Time = 98s
Step 47000 | Order = 0.035957160861786075 | Time = 100s
Step 48000 | Order = 0.035957160861786075 | Time = 102s
Step 49000 | Order = 0.035957160861786075 | Time = 105s
Step 50000 | Order = 0.035957160861786075 | Time = 107s
Step 51000 | Order = 0.035957160861786075 | Time = 109s
Step 52000 | Order = 0.035957160861786075 | Time = 112s
Step 53000 | Order = 0.035957160861786075 | Time = 114s
Step 54000 | Order = 0.035957160861786075 | Time = 117s
Step 55000 | Order = 0.035957160861786075 | Time = 119s
Step 56000 | Order = 0.035957160861786075 | Time = 121s
Step 57000 | Order = 0.035957160861786082 | Time = 123s
Step 58000 | Order = 0.035957160861786075 | Time = 124s
Step 59000 | Order = 0.035957160861786075 | Time = 126s
Step 60000 | Order = 0.035957160861786075 | Time = 128s
Step 61000 | Order = 0.035957160861786075 | Time = 130s
Step 62000 | Order = 0.035957160861786075 | Time = 132s
Step 63000 | Order = 0.035957160861786075 | Time = 134s
Step 64000 | Order = 0.035957160861786075 | Time = 137s
Step 65000 | Order = 0.035957160861786075 | Time = 138s
Step 66000 | Order = 0.035957160861786075 | Time = 140s
Step 67000 | Order = 0.035957160861786075 | Time = 143s
Step 68000 | Order = 0.035957160861786075 | Time = 144s
Step 69000 | Order = 0.035957160861786075 | Time = 147s
Step 70000 | Order = 0.035957160861786075 | Time = 149s
Step 71000 | Order = 0.035957160861786075 | Time = 151s
Step 72000 | Order = 0.035957160861786075 | Time = 153s
Step 73000 | Order = 0.035957160861786075 | Time = 155s
Step 74000 | Order = 0.035957160861786075 | Time = 157s
Step 75000 | Order = 0.035957160861786075 | Time = 158s
Step 76000 | Order = 0.035957160861786075 | Time = 160s
Step 77000 | Order = 0.035957160861786082 | Time = 162s
Step 78000 | Order = 0.035957160861786075 | Time = 165s
Step 79000 | Order = 0.035957160861786075 | Time = 167s
Step 80000 | Order = 0.035957160861786075 | Time = 168s
Step 81000 | Order = 0.035957160861786075 | Time = 170s
Step 82000 | Order = 0.035957160861786075 | Time = 172s
Step 83000 | Order = 0.035957160861786075 | Time = 175s
Step 84000 | Order = 0.035957160861786075 | Time = 177s
Step 85000 | Order = 0.035957160861786075 | Time = 179s
Step 86000 | Order = 0.035957160861786075 | Time = 181s
Step 87000 | Order = 0.035957160861786075 | Time = 182s
Step 88000 | Order = 0.035957160861786075 | Time = 184s
Step 89000 | Order = 0.035957160861786075 | Time = 186s
Step 90000 | Order = 0.035957160861786082 | Time = 188s
Step 91000 | Order = 0.035957160861786075 | Time = 190s
Step 92000 | Order = 0.035957160861786075 | Time = 192s
Step 93000 | Order = 0.035957160861786075 | Time = 193s
Step 94000 | Order = 0.035957160861786075 | Time = 196s
Step 95000 | Order = 0.035957160861786075 | Time = 197s
Step 96000 | Order = 0.035957160861786075 | Time = 199s
Step 97000 | Order = 0.035957160861786075 | Time = 201s
Step 98000 | Order = 0.035957160861786075 | Time = 203s
Step 99000 | Order = 0.035957160861786075 | Time = 205s
Step 100000 | Order = 0.035957160861786075 | Time = 208s
