Simulation #124, Parameters: eta = 0.122804 | rho = 0.174472 | v0 = 0.0589605s
Step 0 | Order = 0.013909087592117991 | Time = 0s
Step 1000 | Order = 0.15618078859609791 | Time = 0s
Step 2000 | Order = 0.17761271132911585 | Time = 0s
Step 3000 | Order = 0.093302177919164869 | Time = 1s
Step 4000 | Order = 0.24226421508462923 | Time = 1s
Step 5000 | Order = 0.029526933565152031 | Time = 1s
Step 6000 | Order = 0.29939671542460744 | Time = 2s
Step 7000 | Order = 0.29545707849718483 | Time = 2s
Step 8000 | Order = 0.28087496861687838 | Time = 2s
Step 9000 | Order = 0.44018174124562387 | Time = 3s
Step 10000 | Order = 0.1797565299526081 | Time = 3s
Step 11000 | Order = 0.3462370481196107 | Time = 3s
Step 12000 | Order = 0.22351340393363361 | Time = 4s
Step 13000 | Order = 0.20201891427356339 | Time = 4s
Step 14000 | Order = 0.15344534691689543 | Time = 4s
Step 15000 | Order = 0.24823394487730166 | Time = 5s
Step 16000 | Order = 0.23327225467821822 | Time = 5s
Step 17000 | Order = 0.16155545855289022 | Time = 5s
Step 18000 | Order = 0.28468663474289568 | Time = 6s
Step 19000 | Order = 0.29944294010872291 | Time = 6s
Step 20000 | Order = 0.39659892701993216 | Time = 6s
Step 21000 | Order = 0.35374027465773 | Time = 7s
Step 22000 | Order = 0.40316044502415188 | Time = 7s
Step 23000 | Order = 0.43332617392202183 | Time = 7s
Step 24000 | Order = 0.34327497239684535 | Time = 8s
Step 25000 | Order = 0.15902078037018319 | Time = 8s
Step 26000 | Order = 0.27456945065376342 | Time = 8s
Step 27000 | Order = 0.41790921880273263 | Time = 9s
Step 28000 | Order = 0.44946083434689338 | Time = 9s
Step 29000 | Order = 0.4689972381358033 | Time = 9s
Step 30000 | Order = 0.45923936852599989 | Time = 9s
Step 31000 | Order = 0.31545415427788137 | Time = 10s
Step 32000 | Order = 0.3438322181854721 | Time = 10s
Step 33000 | Order = 0.30572899659227093 | Time = 10s
Step 34000 | Order = 0.26493684761050212 | Time = 11s
Step 35000 | Order = 0.405819909493977 | Time = 11s
Step 36000 | Order = 0.2897878193624624 | Time = 11s
Step 37000 | Order = 0.37613555273201305 | Time = 12s
Step 38000 | Order = 0.35422204663547047 | Time = 12s
Step 39000 | Order = 0.35044483616742311 | Time = 12s
Step 40000 | Order = 0.1543692499144369 | Time = 13s
Step 41000 | Order = 0.15290841758474666 | Time = 13s
Step 42000 | Order = 0.11467100129840134 | Time = 13s
Step 43000 | Order = 0.16125809813594361 | Time = 14s
Step 44000 | Order = 0.21748219587634232 | Time = 14s
Step 45000 | Order = 0.19432143104401067 | Time = 14s
Step 46000 | Order = 0.31663965563288726 | Time = 15s
Step 47000 | Order = 0.38745463813204334 | Time = 15s
Step 48000 | Order = 0.25960029770140675 | Time = 15s
Step 49000 | Order = 0.33758502391544709 | Time = 16s
Step 50000 | Order = 0.42093611813121345 | Time = 16s
Step 51000 | Order = 0.31599902062242097 | Time = 18s
Step 52000 | Order = 0.39971072312916067 | Time = 18s
Step 53000 | Order = 0.4038706730037655 | Time = 18s
Step 54000 | Order = 0.43487854416525584 | Time = 19s
Step 55000 | Order = 0.20739971001090804 | Time = 19s
Step 56000 | Order = 0.22956680517822461 | Time = 19s
Step 57000 | Order = 0.24415777351980034 | Time = 20s
Step 58000 | Order = 0.35167878829515081 | Time = 20s
Step 59000 | Order = 0.33787739864462646 | Time = 20s
Step 60000 | Order = 0.34926065223763569 | Time = 21s
Step 61000 | Order = 0.38705586395384478 | Time = 21s
Step 62000 | Order = 0.39406685630310545 | Time = 21s
Step 63000 | Order = 0.28479600691921414 | Time = 21s
Step 64000 | Order = 0.36094423574873685 | Time = 22s
Step 65000 | Order = 0.37115812262049785 | Time = 22s
Step 66000 | Order = 0.41271080775736008 | Time = 22s
Step 67000 | Order = 0.37684900736775784 | Time = 23s
Step 68000 | Order = 0.32369075735972086 | Time = 23s
Step 69000 | Order = 0.48787197278634337 | Time = 23s
Step 70000 | Order = 0.37428774951101668 | Time = 24s
Step 71000 | Order = 0.19789612669070192 | Time = 24s
Step 72000 | Order = 0.21847798349669492 | Time = 24s
Step 73000 | Order = 0.15584143623368424 | Time = 25s
Step 74000 | Order = 0.20801367133179913 | Time = 25s
Step 75000 | Order = 0.35225600870472062 | Time = 25s
Step 76000 | Order = 0.25682245843554707 | Time = 26s
Step 77000 | Order = 0.36777513150542768 | Time = 26s
Step 78000 | Order = 0.29480750002844636 | Time = 26s
Step 79000 | Order = 0.41496757004718249 | Time = 27s
Step 80000 | Order = 0.37957418405486876 | Time = 27s
Step 81000 | Order = 0.56408913945376138 | Time = 27s
Step 82000 | Order = 0.46320243365133812 | Time = 28s
Step 83000 | Order = 0.37626267694677573 | Time = 28s
Step 84000 | Order = 0.29278139748947424 | Time = 28s
Step 85000 | Order = 0.36112226383313156 | Time = 29s
Step 86000 | Order = 0.38966240250317397 | Time = 29s
Step 87000 | Order = 0.36741784879445794 | Time = 29s
Step 88000 | Order = 0.19175092370658392 | Time = 30s
Step 89000 | Order = 0.2705286172019512 | Time = 30s
Step 90000 | Order = 0.39454109829647593 | Time = 30s
Step 91000 | Order = 0.4208009654284498 | Time = 31s
Step 92000 | Order = 0.44082257605696784 | Time = 31s
Step 93000 | Order = 0.2946638134206005 | Time = 31s
Step 94000 | Order = 0.38348658288888421 | Time = 32s
Step 95000 | Order = 0.42765507926023022 | Time = 32s
Step 96000 | Order = 0.43988467662431152 | Time = 32s
Step 97000 | Order = 0.42932997205736911 | Time = 33s
Step 98000 | Order = 0.40223958698940299 | Time = 33s
Step 99000 | Order = 0.42204948159988165 | Time = 33s
Step 100000 | Order = 0.43249209006254252 | Time = 34s
Step 101000 | Order = 0.23844916186555232 | Time = 38s
Step 102000 | Order = 0.27585508963580846 | Time = 39s
Step 103000 | Order = 0.027463200074529685 | Time = 39s
Step 104000 | Order = 0.10863149963289991 | Time = 39s
Step 105000 | Order = 0.19414871793086574 | Time = 40s
Step 106000 | Order = 0.15285666463841505 | Time = 40s
Step 107000 | Order = 0.33643638662532049 | Time = 40s
Step 108000 | Order = 0.25750076335605815 | Time = 41s
Step 109000 | Order = 0.16894473262769799 | Time = 41s
Step 110000 | Order = 0.20855736677260228 | Time = 41s
Step 111000 | Order = 0.229716987746273 | Time = 42s
Step 112000 | Order = 0.4632700917265451 | Time = 42s
Step 113000 | Order = 0.43020523066020561 | Time = 42s
Step 114000 | Order = 0.23266421217934594 | Time = 43s
Step 115000 | Order = 0.18726603447007714 | Time = 43s
Step 116000 | Order = 0.19623738450633779 | Time = 43s
Step 117000 | Order = 0.24718836385203988 | Time = 44s
Step 118000 | Order = 0.32846029099953639 | Time = 44s
Step 119000 | Order = 0.30236864378895145 | Time = 44s
Step 120000 | Order = 0.18385002913901249 | Time = 45s
