Simulation #155, Parameters: eta = 0.362522 | rho = 0.335411 | v0 = 0.0670021s
Step 0 | Order = 0.0086226760414178753 | Time = 0s
Step 1000 | Order = 0.020552102048235075 | Time = 0s
Step 2000 | Order = 0.048865152208569594 | Time = 1s
Step 3000 | Order = 0.046006390187699316 | Time = 1s
Step 4000 | Order = 0.023462013641448155 | Time = 1s
Step 5000 | Order = 0.032092187744222421 | Time = 2s
Step 6000 | Order = 0.026607421382641921 | Time = 2s
Step 7000 | Order = 0.0090838791896392448 | Time = 3s
Step 8000 | Order = 0.030551529259722893 | Time = 3s
Step 9000 | Order = 0.025272587589191438 | Time = 4s
Step 10000 | Order = 0.023057380168915013 | Time = 4s
Step 11000 | Order = 0.046601611894633001 | Time = 5s
Step 12000 | Order = 0.04138462276539457 | Time = 5s
Step 13000 | Order = 0.053484402407613443 | Time = 6s
Step 14000 | Order = 0.044612270216379896 | Time = 6s
Step 15000 | Order = 0.019520489248529449 | Time = 6s
Step 16000 | Order = 0.022615872377595537 | Time = 7s
Step 17000 | Order = 0.024721719112126943 | Time = 7s
Step 18000 | Order = 0.047571041435664742 | Time = 8s
Step 19000 | Order = 0.027841036733081932 | Time = 8s
Step 20000 | Order = 0.027950853904078993 | Time = 9s
Step 21000 | Order = 0.028366934889704952 | Time = 9s
Step 22000 | Order = 0.037381482692187933 | Time = 10s
Step 23000 | Order = 0.0078504608542413062 | Time = 10s
Step 24000 | Order = 0.012730268384465358 | Time = 11s
Step 25000 | Order = 0.059058091517063954 | Time = 11s
Step 26000 | Order = 0.015154065704644068 | Time = 11s
Step 27000 | Order = 0.038611533911885612 | Time = 12s
Step 28000 | Order = 0.026235003252340464 | Time = 12s
Step 29000 | Order = 0.034324968713394508 | Time = 13s
Step 30000 | Order = 0.010654664204268999 | Time = 13s
Step 31000 | Order = 0.027922620272453662 | Time = 14s
Step 32000 | Order = 0.039556028351272705 | Time = 14s
Step 33000 | Order = 0.044814607579531256 | Time = 15s
Step 34000 | Order = 0.034552027788027198 | Time = 15s
Step 35000 | Order = 0.075549272748915569 | Time = 16s
Step 36000 | Order = 0.044115551371497939 | Time = 16s
Step 37000 | Order = 0.03061757315484492 | Time = 17s
Step 38000 | Order = 0.01677765236118953 | Time = 17s
