Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 112000 | Order = 0.026590294880113656 | Time = 18s
Step 113000 | Order = 0.033379741670051422 | Time = 18s
Step 114000 | Order = 0.013216867630223426 | Time = 19s
Step 115000 | Order = 0.0021142234279815466 | Time = 19s
Step 116000 | Order = 0.0057529309768495187 | Time = 19s
Step 117000 | Order = 0.035284860594299569 | Time = 19s
Step 118000 | Order = 0.027033402091296066 | Time = 19s
Step 119000 | Order = 0.016246194243484124 | Time = 19s
Step 120000 | Order = 0.0060980659270601567 | Time = 19s
Step 121000 | Order = 0.017642830057167411 | Time = 19s
Step 122000 | Order = 0.025168658148310739 | Time = 20s
Step 123000 | Order = 0.037671535502357308 | Time = 20s
Step 124000 | Order = 0.009114092240575293 | Time = 20s
Step 125000 | Order = 0.011583315599683633 | Time = 20s
Step 126000 | Order = 0.044242654786517753 | Time = 20s
Step 127000 | Order = 0.028492219063865259 | Time = 20s
Step 128000 | Order = 0.0099950933534247791 | Time = 20s
Step 129000 | Order = 0.02023548075443693 | Time = 21s
Step 130000 | Order = 0.023631840332449222 | Time = 21s
Step 131000 | Order = 0.0092143193057554456 | Time = 21s
Step 132000 | Order = 0.020811326709914871 | Time = 21s
Step 133000 | Order = 0.02706320377671614 | Time = 21s
Step 134000 | Order = 0.028309984688569861 | Time = 21s
Step 135000 | Order = 0.035938784447655234 | Time = 21s
Step 136000 | Order = 0.024122856521629356 | Time = 21s
Step 137000 | Order = 0.030643509704307233 | Time = 22s
Step 138000 | Order = 0.05420297802670565 | Time = 22s
Step 139000 | Order = 0.03357374653152697 | Time = 22s
Step 140000 | Order = 0.01954059235902279 | Time = 22s
Step 141000 | Order = 0.008406786020322082 | Time = 22s
Step 142000 | Order = 0.047150108438920459 | Time = 22s
Step 143000 | Order = 0.029954427537939567 | Time = 22s
Step 144000 | Order = 0.025165098929266935 | Time = 23s
Step 145000 | Order = 0.022319908293366445 | Time = 23s
Step 146000 | Order = 0.043940593415917176 | Time = 23s
Step 147000 | Order = 0.025228581003836816 | Time = 23s
Step 148000 | Order = 0.019636991548888962 | Time = 23s
Step 149000 | Order = 0.042802274402250685 | Time = 23s
Step 150000 | Order = 0.033961670566511198 | Time = 23s
Step 151000 | Order = 0.046369668176839358 | Time = 24s
Step 152000 | Order = 0.021995009884843555 | Time = 24s
Step 153000 | Order = 0.024241896016802822 | Time = 24s
Step 154000 | Order = 0.003278858122989281 | Time = 24s
Step 155000 | Order = 0.017074419120484075 | Time = 24s
Step 156000 | Order = 0.03808013120619224 | Time = 24s
Step 157000 | Order = 0.031808451767155473 | Time = 24s
Step 158000 | Order = 0.0016117011220933791 | Time = 24s
Step 159000 | Order = 0.007523855866423599 | Time = 25s
Step 160000 | Order = 0.015490353232211099 | Time = 25s
Step 161000 | Order = 0.032384150883732636 | Time = 25s
Step 162000 | Order = 0.02519760973284919 | Time = 25s
Step 163000 | Order = 0.023681351032159976 | Time = 25s
Step 164000 | Order = 0.028267691873069538 | Time = 25s
Step 165000 | Order = 0.027556112774143778 | Time = 25s
Step 166000 | Order = 0.029720631710767779 | Time = 26s
Step 167000 | Order = 0.037468250000785012 | Time = 26s
Step 168000 | Order = 0.034174819221935104 | Time = 26s
Step 169000 | Order = 0.013132344970011046 | Time = 26s
Step 170000 | Order = 0.026065089071692089 | Time = 26s
Step 171000 | Order = 0.018753771078082047 | Time = 26s
Step 172000 | Order = 0.037119071541062323 | Time = 26s
Step 173000 | Order = 0.030941105968695669 | Time = 26s
Step 174000 | Order = 0.016224405358873831 | Time = 27s
Step 175000 | Order = 0.03865490212027705 | Time = 27s
Step 176000 | Order = 0.013386181559619155 | Time = 27s
Step 177000 | Order = 0.027015461516164269 | Time = 27s
Step 178000 | Order = 0.013653933078141663 | Time = 27s
Step 179000 | Order = 0.0083137536835538161 | Time = 27s
Step 180000 | Order = 0.026483660423077718 | Time = 27s
Step 181000 | Order = 0.026733581573735832 | Time = 27s
Step 182000 | Order = 0.0063876590803710418 | Time = 28s
Step 183000 | Order = 0.054553544778644554 | Time = 28s
Step 184000 | Order = 0.018566767212694416 | Time = 28s
Step 185000 | Order = 0.032983940507907691 | Time = 28s
Step 186000 | Order = 0.0095732549091364586 | Time = 28s
Step 187000 | Order = 0.02136433027794345 | Time = 28s
Step 188000 | Order = 0.024290950513076268 | Time = 28s
Step 189000 | Order = 0.053951930567631756 | Time = 28s
Step 190000 | Order = 0.035803248998089919 | Time = 29s
Step 191000 | Order = 0.024114909558671918 | Time = 29s
Step 192000 | Order = 0.006151514037813147 | Time = 29s
Step 193000 | Order = 0.027872272468926651 | Time = 29s
Step 194000 | Order = 0.034990595462520119 | Time = 29s
Step 195000 | Order = 0.021792948619907132 | Time = 29s
Step 196000 | Order = 0.049269191536852823 | Time = 30s
Step 197000 | Order = 0.025271326536738491 | Time = 30s
Step 198000 | Order = 0.017186932601222466 | Time = 30s
Step 199000 | Order = 0.03894567686676887 | Time = 30s
Step 200000 | Order = 0.047852274605308547 | Time = 30s
Step 201000 | Order = 0.031733097075602325 | Time = 33s
Step 202000 | Order = 0.041588495107335074 | Time = 33s
Step 203000 | Order = 0.02883950786721818 | Time = 33s
Step 204000 | Order = 0.043291118458913536 | Time = 34s
Step 205000 | Order = 0.039119783387020955 | Time = 34s
Step 206000 | Order = 0.011263748875027865 | Time = 34s
Step 207000 | Order = 0.026009457869919136 | Time = 34s
Step 208000 | Order = 0.0078078129863463526 | Time = 34s
Step 209000 | Order = 0.021426654660685208 | Time = 34s
Step 210000 | Order = 0.022527327448172405 | Time = 34s
Step 211000 | Order = 0.028984261050924214 | Time = 34s
Step 212000 | Order = 0.016062603937752731 | Time = 35s
Step 213000 | Order = 0.066520163310814048 | Time = 35s
Step 214000 | Order = 0.016750319462904496 | Time = 35s
Step 215000 | Order = 0.020571729553986725 | Time = 35s
Step 216000 | Order = 0.015000067245590927 | Time = 35s
Step 217000 | Order = 0.023820526603054649 | Time = 35s
Step 218000 | Order = 0.0067848695820475532 | Time = 35s
Step 219000 | Order = 0.036767523829495115 | Time = 35s
Step 220000 | Order = 0.0072029424328868101 | Time = 36s
Step 221000 | Order = 0.0014674477869350768 | Time = 36s
Step 222000 | Order = 0.030129165808775518 | Time = 36s
Step 223000 | Order = 0.017474636092755028 | Time = 36s
Step 224000 | Order = 0.032362145136229231 | Time = 36s
