Simulation #17, Parameters: eta = 0.242362 | rho = 0.144701 | v0 = 0.292765s
Step 0 | Order = 0.010430577096225227 | Time = 0s
Step 1000 | Order = 0.085260440448079886 | Time = 0s
Step 2000 | Order = 0.045140427060257469 | Time = 0s
Step 3000 | Order = 0.053386997642750053 | Time = 0s
Step 4000 | Order = 0.041473564439412781 | Time = 0s
Step 5000 | Order = 0.047603640165479501 | Time = 0s
Step 6000 | Order = 0.015306751750742652 | Time = 1s
Step 7000 | Order = 0.074269296811436736 | Time = 1s
Step 8000 | Order = 0.014817882181802083 | Time = 1s
Step 9000 | Order = 0.057590073828665558 | Time = 1s
Step 10000 | Order = 0.039710565992784351 | Time = 1s
Step 11000 | Order = 0.05770922125434829 | Time = 2s
Step 12000 | Order = 0.044405962351295847 | Time = 2s
Step 13000 | Order = 0.062617818670121464 | Time = 2s
Step 14000 | Order = 0.036825882396242453 | Time = 2s
Step 15000 | Order = 0.053331435503303062 | Time = 2s
Step 16000 | Order = 0.069605603650329237 | Time = 2s
Step 17000 | Order = 0.038942831302911644 | Time = 3s
Step 18000 | Order = 0.10114456914484693 | Time = 3s
Step 19000 | Order = 0.082410751520637759 | Time = 3s
Step 20000 | Order = 0.034937888743262986 | Time = 3s
Step 21000 | Order = 0.033873637771749683 | Time = 3s
Step 22000 | Order = 0.046209554019220167 | Time = 3s
Step 23000 | Order = 0.016949422356776541 | Time = 4s
Step 24000 | Order = 0.069149941354132979 | Time = 4s
Step 25000 | Order = 0.044288507663289928 | Time = 4s
Step 26000 | Order = 0.031148591435510173 | Time = 4s
Step 27000 | Order = 0.029228990916036982 | Time = 4s
Step 28000 | Order = 0.026284299381571386 | Time = 5s
Step 29000 | Order = 0.090003623637969848 | Time = 5s
Step 30000 | Order = 0.066456749151502931 | Time = 5s
Step 31000 | Order = 0.047001002373429267 | Time = 5s
Step 32000 | Order = 0.043731497587506225 | Time = 5s
Step 33000 | Order = 0.061079111651616731 | Time = 5s
Step 34000 | Order = 0.095888011830563752 | Time = 6s
Step 35000 | Order = 0.066898271286376154 | Time = 6s
Step 36000 | Order = 0.019950587974016439 | Time = 6s
Step 37000 | Order = 0.046000744637023076 | Time = 6s
Step 38000 | Order = 0.059704912388198403 | Time = 6s
Step 39000 | Order = 0.043522284043648621 | Time = 7s
Step 40000 | Order = 0.01662440289557322 | Time = 7s
Step 41000 | Order = 0.10342447764508704 | Time = 7s
Step 42000 | Order = 0.052383887950905192 | Time = 7s
Step 43000 | Order = 0.05742483918941977 | Time = 7s
Step 44000 | Order = 0.042360936000204942 | Time = 7s
Step 45000 | Order = 0.034125394752016674 | Time = 8s
Step 46000 | Order = 0.10338881197289572 | Time = 8s
Step 47000 | Order = 0.0038453118395568573 | Time = 8s
Step 48000 | Order = 0.06433086306809932 | Time = 8s
Step 49000 | Order = 0.090392181812428557 | Time = 8s
Step 50000 | Order = 0.071464997632010765 | Time = 9s
Step 51000 | Order = 0.045636332500248095 | Time = 9s
Step 52000 | Order = 0.013287906785543528 | Time = 9s
Step 53000 | Order = 0.022409274715255265 | Time = 9s
Step 54000 | Order = 0.021186671226355137 | Time = 9s
Step 55000 | Order = 0.033027008746091817 | Time = 9s
Step 56000 | Order = 0.059845489424262086 | Time = 10s
Step 57000 | Order = 0.045830493235661657 | Time = 10s
Step 58000 | Order = 0.057642692652629668 | Time = 10s
Step 59000 | Order = 0.052476995201841646 | Time = 10s
Step 60000 | Order = 0.098182599520591954 | Time = 10s
Step 61000 | Order = 0.02468196812870398 | Time = 11s
Step 62000 | Order = 0.062655207274118718 | Time = 11s
Step 63000 | Order = 0.030637839880864909 | Time = 11s
Step 64000 | Order = 0.02686031623027087 | Time = 11s
Step 65000 | Order = 0.047845762818739458 | Time = 11s
Step 66000 | Order = 0.1032290984416652 | Time = 11s
Step 67000 | Order = 0.045209743999292694 | Time = 12s
Step 68000 | Order = 0.075822408075404094 | Time = 12s
Step 69000 | Order = 0.067830473398042712 | Time = 12s
Step 70000 | Order = 0.038603411961146326 | Time = 12s
Step 71000 | Order = 0.013577908278987652 | Time = 12s
Step 72000 | Order = 0.044648808420013959 | Time = 13s
Step 73000 | Order = 0.015548977023205819 | Time = 13s
Step 74000 | Order = 0.10775830928223724 | Time = 13s
Step 75000 | Order = 0.11627963644365859 | Time = 13s
Step 76000 | Order = 0.040742037629878596 | Time = 13s
Step 77000 | Order = 0.053502729142592645 | Time = 13s
Step 78000 | Order = 0.06695315928579075 | Time = 14s
Step 79000 | Order = 0.071139349065416815 | Time = 14s
Step 80000 | Order = 0.067970078207383031 | Time = 14s
Step 81000 | Order = 0.019952880066519556 | Time = 14s
Step 82000 | Order = 0.050268029239799485 | Time = 14s
Step 83000 | Order = 0.091847021562239048 | Time = 14s
Step 84000 | Order = 0.03631278536320668 | Time = 15s
Step 85000 | Order = 0.024261474031471671 | Time = 15s
Step 86000 | Order = 0.012935595848397581 | Time = 15s
Step 87000 | Order = 0.048837243955910534 | Time = 15s
Step 88000 | Order = 0.035827066381868063 | Time = 15s
Step 89000 | Order = 0.0030009069309728832 | Time = 16s
Step 90000 | Order = 0.018374861913015943 | Time = 16s
Step 91000 | Order = 0.052052179935927381 | Time = 16s
Step 92000 | Order = 0.020758120677674043 | Time = 16s
Step 93000 | Order = 0.047461641869729891 | Time = 16s
Step 94000 | Order = 0.028557547260366734 | Time = 16s
Step 95000 | Order = 0.046746109949673889 | Time = 17s
Step 96000 | Order = 0.065317021344247217 | Time = 17s
Step 97000 | Order = 0.037013078960718912 | Time = 17s
Step 98000 | Order = 0.024772566350419373 | Time = 17s
Step 99000 | Order = 0.036599318829621828 | Time = 17s
Step 100000 | Order = 0.014667952713879396 | Time = 18s
Step 101000 | Order = 0.033661010032487344 | Time = 18s
Step 102000 | Order = 0.091820005232497434 | Time = 18s
Step 103000 | Order = 0.059508004299783639 | Time = 18s
Step 104000 | Order = 0.057231109398142743 | Time = 18s
Step 105000 | Order = 0.016646313230949544 | Time = 18s
Step 106000 | Order = 0.053094067775844592 | Time = 19s
Step 107000 | Order = 0.040588612032587179 | Time = 19s
Step 108000 | Order = 0.025300538810746124 | Time = 19s
Step 109000 | Order = 0.022348296662366863 | Time = 19s
Step 110000 | Order = 0.02885379992432496 | Time = 19s
Step 111000 | Order = 0.059935153850529582 | Time = 20s
Step 112000 | Order = 0.0078472399199355225 | Time = 20s
Step 113000 | Order = 0.050462602821565054 | Time = 20s
Step 114000 | Order = 0.0056308886466497794 | Time = 20s
Step 115000 | Order = 0.072322026912907705 | Time = 20s
Step 116000 | Order = 0.015570057567473376 | Time = 20s
Step 117000 | Order = 0.042926757662810261 | Time = 21s
Step 118000 | Order = 0.017502960728901888 | Time = 21s
Step 119000 | Order = 0.048928407752057861 | Time = 21s
Step 120000 | Order = 0.070293643328208658 | Time = 21s
Step 121000 | Order = 0.059760945269078235 | Time = 21s
Step 122000 | Order = 0.075019306148707471 | Time = 22s
Step 123000 | Order = 0.022624668525475775 | Time = 22s
Step 124000 | Order = 0.060275414493464692 | Time = 22s
Step 125000 | Order = 0.05501691956826988 | Time = 22s
Step 126000 | Order = 0.058661854266075404 | Time = 22s
Step 127000 | Order = 0.014098325393922395 | Time = 22s
Step 128000 | Order = 0.046800187415596259 | Time = 23s
Step 129000 | Order = 0.0085687435466293999 | Time = 23s
Step 130000 | Order = 0.034145154786775198 | Time = 23s
Step 131000 | Order = 0.052004098521009179 | Time = 23s
Step 132000 | Order = 0.062845140553317677 | Time = 23s
Step 133000 | Order = 0.044500352625439624 | Time = 23s
Step 134000 | Order = 0.045479480829193619 | Time = 24s
Step 135000 | Order = 0.074418374332095139 | Time = 24s
Step 136000 | Order = 0.016485750409041194 | Time = 24s
Step 137000 | Order = 0.027025300112530612 | Time = 24s
