Simulation #41, Parameters: eta = 0.943700 | rho = 0.875364 | v0 = 0.9437s
Step 0 | Order = 0.021902775174107141 | Time = 0s
Step 1000 | Order = 0.029545082676039478 | Time = 1s
Step 2000 | Order = 0.02985113151787953 | Time = 3s
Step 3000 | Order = 0.029847029598399639 | Time = 5s
Step 4000 | Order = 0.029845294725268881 | Time = 6s
Step 5000 | Order = 0.029845066228050922 | Time = 8s
Step 6000 | Order = 0.029845043541762404 | Time = 10s
Step 7000 | Order = 0.029845042290859356 | Time = 11s
Step 8000 | Order = 0.029845042470305078 | Time = 13s
Step 9000 | Order = 0.029845042559628041 | Time = 14s
Step 10000 | Order = 0.029845042583667679 | Time = 16s
Step 11000 | Order = 0.029845042589088048 | Time = 18s
Step 12000 | Order = 0.029845042590209859 | Time = 19s
Step 13000 | Order = 0.029845042590430752 | Time = 21s
Step 14000 | Order = 0.029845042590472933 | Time = 22s
Step 15000 | Order = 0.029845042590480798 | Time = 24s
Step 16000 | Order = 0.029845042590481475 | Time = 26s
Step 17000 | Order = 0.029845042590481461 | Time = 27s
Step 18000 | Order = 0.029845042590481825 | Time = 29s
Step 19000 | Order = 0.029845042590481825 | Time = 31s
Step 20000 | Order = 0.029845042590481825 | Time = 32s
Step 21000 | Order = 0.029845042590481822 | Time = 34s
Step 22000 | Order = 0.029845042590481825 | Time = 35s
Step 23000 | Order = 0.029845042590481829 | Time = 37s
Step 24000 | Order = 0.029845042590481825 | Time = 39s
Step 25000 | Order = 0.029845042590481822 | Time = 40s
Step 26000 | Order = 0.029845042590481825 | Time = 42s
Step 27000 | Order = 0.029845042590481825 | Time = 44s
Step 28000 | Order = 0.029845042590481825 | Time = 45s
Step 29000 | Order = 0.029845042590481822 | Time = 47s
Step 30000 | Order = 0.029845042590481825 | Time = 49s
Step 31000 | Order = 0.029845042590481822 | Time = 50s
Step 32000 | Order = 0.029845042590481825 | Time = 52s
Step 33000 | Order = 0.029845042590481825 | Time = 53s
Step 34000 | Order = 0.029845042590481825 | Time = 55s
Step 35000 | Order = 0.029845042590481822 | Time = 57s
Step 36000 | Order = 0.029845042590481825 | Time = 58s
Step 37000 | Order = 0.029845042590481822 | Time = 60s
Step 38000 | Order = 0.029845042590481822 | Time = 62s
Step 39000 | Order = 0.029845042590481822 | Time = 63s
Step 40000 | Order = 0.029845042590481825 | Time = 65s
Step 41000 | Order = 0.029845042590481825 | Time = 66s
Step 42000 | Order = 0.029845042590481825 | Time = 68s
Step 43000 | Order = 0.029845042590481822 | Time = 70s
Step 44000 | Order = 0.029845042590481822 | Time = 71s
Step 45000 | Order = 0.029845042590481825 | Time = 73s
Step 46000 | Order = 0.029845042590481825 | Time = 74s
Step 47000 | Order = 0.029845042590481818 | Time = 76s
Step 48000 | Order = 0.029845042590481825 | Time = 78s
Step 49000 | Order = 0.029845042590481822 | Time = 79s
Step 50000 | Order = 0.029845042590481825 | Time = 81s
Step 51000 | Order = 0.029845042590481825 | Time = 83s
Step 52000 | Order = 0.029845042590481822 | Time = 85s
Step 53000 | Order = 0.029845042590481822 | Time = 86s
Step 54000 | Order = 0.029845042590481818 | Time = 88s
Step 55000 | Order = 0.029845042590481822 | Time = 89s
Step 56000 | Order = 0.029845042590481825 | Time = 91s
Step 57000 | Order = 0.029845042590481825 | Time = 93s
Step 58000 | Order = 0.029845042590481818 | Time = 94s
Step 59000 | Order = 0.029845042590481822 | Time = 96s
Step 60000 | Order = 0.029845042590481818 | Time = 98s
Step 61000 | Order = 0.029845042590481825 | Time = 99s
Step 62000 | Order = 0.029845042590481825 | Time = 101s
Step 63000 | Order = 0.029845042590481825 | Time = 103s
Step 64000 | Order = 0.029845042590481822 | Time = 105s
Step 65000 | Order = 0.029845042590481822 | Time = 106s
Step 66000 | Order = 0.029845042590481822 | Time = 108s
Step 67000 | Order = 0.029845042590481822 | Time = 109s
Step 68000 | Order = 0.029845042590481822 | Time = 111s
Step 69000 | Order = 0.029845042590481818 | Time = 113s
Step 70000 | Order = 0.029845042590481822 | Time = 114s
Step 71000 | Order = 0.029845042590481825 | Time = 116s
Step 72000 | Order = 0.029845042590481822 | Time = 119s
Step 73000 | Order = 0.029845042590481822 | Time = 120s
Step 74000 | Order = 0.029845042590481822 | Time = 122s
Step 75000 | Order = 0.029845042590481818 | Time = 123s
Step 76000 | Order = 0.029845042590481818 | Time = 125s
Step 77000 | Order = 0.029845042590481825 | Time = 127s
Step 78000 | Order = 0.029845042590481825 | Time = 128s
Step 79000 | Order = 0.029845042590481822 | Time = 130s
Step 80000 | Order = 0.029845042590481822 | Time = 131s
Step 81000 | Order = 0.029845042590481818 | Time = 133s
Step 82000 | Order = 0.029845042590481822 | Time = 135s
Step 83000 | Order = 0.029845042590481822 | Time = 136s
Step 84000 | Order = 0.029845042590481822 | Time = 138s
Step 85000 | Order = 0.029845042590481825 | Time = 139s
Step 86000 | Order = 0.029845042590481825 | Time = 141s
Step 87000 | Order = 0.029845042590481822 | Time = 143s
Step 88000 | Order = 0.029845042590481825 | Time = 144s
Step 89000 | Order = 0.029845042590481825 | Time = 146s
Step 90000 | Order = 0.029845042590481818 | Time = 148s
Step 91000 | Order = 0.029845042590481818 | Time = 149s
Step 92000 | Order = 0.029845042590481829 | Time = 151s
Step 93000 | Order = 0.029845042590481818 | Time = 153s
Step 94000 | Order = 0.029845042590481822 | Time = 154s
Step 95000 | Order = 0.029845042590481822 | Time = 156s
Step 96000 | Order = 0.029845042590481822 | Time = 157s
Step 97000 | Order = 0.029845042590481822 | Time = 159s
Step 98000 | Order = 0.029845042590481822 | Time = 161s
Step 99000 | Order = 0.029845042590481825 | Time = 163s
Step 100000 | Order = 0.029845042590481825 | Time = 164s
