Simulation #132, Parameters: eta = 0.957663 | rho = 0.205192 | v0 = 0.0486612s
Step 0 | Order = 0.019516705990595552 | Time = 0s
Step 1000 | Order = 0.019663740546533748 | Time = 0s
Step 2000 | Order = 0.005007309290798948 | Time = 1s
Step 3000 | Order = 0.026327105076714152 | Time = 1s
Step 4000 | Order = 0.033644724649774103 | Time = 1s
Step 5000 | Order = 0.0098039173255288093 | Time = 1s
Step 6000 | Order = 0.012323895639510193 | Time = 1s
Step 7000 | Order = 0.029029776977863599 | Time = 2s
Step 8000 | Order = 0.01501063674117559 | Time = 2s
Step 9000 | Order = 0.014610108744806935 | Time = 2s
Step 10000 | Order = 0.01218085085642133 | Time = 2s
Step 11000 | Order = 0.010341547662909312 | Time = 3s
Step 12000 | Order = 0.0031372768572094467 | Time = 3s
Step 13000 | Order = 0.015323272525436174 | Time = 3s
Step 14000 | Order = 0.024446729192418828 | Time = 3s
Step 15000 | Order = 0.020715128897994473 | Time = 3s
Step 16000 | Order = 0.007254913774406139 | Time = 4s
Step 17000 | Order = 0.0085179718197839257 | Time = 4s
Step 18000 | Order = 0.029251557618128702 | Time = 4s
Step 19000 | Order = 0.01777533156909401 | Time = 4s
Step 20000 | Order = 0.007688951911159027 | Time = 5s
Step 21000 | Order = 0.00431370895986903 | Time = 5s
Step 22000 | Order = 0.011251934576326903 | Time = 5s
Step 23000 | Order = 0.025999791561095064 | Time = 5s
Step 24000 | Order = 0.014086751585264535 | Time = 5s
Step 25000 | Order = 0.012434727092709912 | Time = 6s
Step 26000 | Order = 0.0035380609936862496 | Time = 6s
Step 27000 | Order = 0.012738502887856452 | Time = 6s
Step 28000 | Order = 0.0098375268452821733 | Time = 7s
Step 29000 | Order = 0.0069209653303398504 | Time = 7s
Step 30000 | Order = 0.01695983424311499 | Time = 7s
Step 31000 | Order = 0.018541556439400468 | Time = 8s
Step 32000 | Order = 0.0040760694564436831 | Time = 8s
Step 33000 | Order = 0.033341516848686026 | Time = 8s
Step 34000 | Order = 0.025631633439492228 | Time = 8s
Step 35000 | Order = 0.022872006933922474 | Time = 8s
Step 36000 | Order = 0.0051042125642940389 | Time = 9s
Step 37000 | Order = 0.0054775661065051143 | Time = 9s
Step 38000 | Order = 0.013877908943470173 | Time = 9s
Step 39000 | Order = 0.026686626066512769 | Time = 9s
Step 40000 | Order = 0.015852634816045059 | Time = 10s
Step 41000 | Order = 0.024015898541587498 | Time = 10s
Step 42000 | Order = 0.025427118823101988 | Time = 10s
Step 43000 | Order = 0.01826173777528128 | Time = 10s
Step 44000 | Order = 0.0084571996076603043 | Time = 10s
Step 45000 | Order = 0.011336690694840208 | Time = 11s
Step 46000 | Order = 0.019741441866200998 | Time = 11s
Step 47000 | Order = 0.02659782004025597 | Time = 11s
Step 48000 | Order = 0.021913593818752727 | Time = 11s
Step 49000 | Order = 0.019740720769858677 | Time = 12s
Step 50000 | Order = 0.018474720405842499 | Time = 12s
Step 51000 | Order = 0.034791878696359448 | Time = 12s
Step 52000 | Order = 0.0051317274347325668 | Time = 12s
Step 53000 | Order = 0.013997906820294989 | Time = 13s
Step 54000 | Order = 0.013830565546192757 | Time = 13s
Step 55000 | Order = 0.027561829808446989 | Time = 13s
Step 56000 | Order = 0.019540340101247423 | Time = 13s
Step 57000 | Order = 0.020835896804365012 | Time = 13s
Step 58000 | Order = 0.0097348135212245047 | Time = 14s
Step 59000 | Order = 0.0080287646625467092 | Time = 14s
Step 60000 | Order = 0.032306427929601478 | Time = 14s
Step 61000 | Order = 0.019933735145075911 | Time = 14s
Step 62000 | Order = 0.029102462597250193 | Time = 15s
Step 63000 | Order = 0.0082573922156435921 | Time = 15s
Step 64000 | Order = 0.018514388426141181 | Time = 15s
