Simulation #43, Parameters: eta = 0.412920 | rho = 0.180749 | v0 = 0.41292s
Step 0 | Order = 0.0073756588177705746 | Time = 0s
Step 1000 | Order = 0.0047042457900905599 | Time = 0s
Step 2000 | Order = 0.0047042457900905599 | Time = 1s
Step 3000 | Order = 0.0047042457900905608 | Time = 1s
Step 4000 | Order = 0.0047042457900905608 | Time = 1s
Step 5000 | Order = 0.0047042457900905617 | Time = 1s
Step 6000 | Order = 0.0047042457900905617 | Time = 2s
Step 7000 | Order = 0.0047042457900905617 | Time = 2s
Step 8000 | Order = 0.0047042457900905608 | Time = 2s
Step 9000 | Order = 0.0047042457900905625 | Time = 2s
Step 10000 | Order = 0.0047042457900905608 | Time = 3s
Step 11000 | Order = 0.0047042457900905625 | Time = 3s
Step 12000 | Order = 0.0047042457900905625 | Time = 3s
Step 13000 | Order = 0.0047042457900905625 | Time = 3s
Step 14000 | Order = 0.0047042457900905608 | Time = 4s
Step 15000 | Order = 0.0047042457900905634 | Time = 4s
Step 16000 | Order = 0.0047042457900905634 | Time = 4s
Step 17000 | Order = 0.0047042457900905608 | Time = 4s
Step 18000 | Order = 0.0047042457900905617 | Time = 5s
Step 19000 | Order = 0.0047042457900905625 | Time = 5s
Step 20000 | Order = 0.0047042457900905625 | Time = 5s
Step 21000 | Order = 0.0047042457900905634 | Time = 5s
Step 22000 | Order = 0.0047042457900905625 | Time = 5s
Step 23000 | Order = 0.0047042457900905625 | Time = 6s
Step 24000 | Order = 0.0047042457900905617 | Time = 6s
Step 25000 | Order = 0.0047042457900905634 | Time = 6s
Step 26000 | Order = 0.0047042457900905617 | Time = 6s
Step 27000 | Order = 0.0047042457900905625 | Time = 7s
Step 28000 | Order = 0.0047042457900905634 | Time = 7s
Step 29000 | Order = 0.0047042457900905634 | Time = 7s
Step 30000 | Order = 0.0047042457900905617 | Time = 7s
Step 31000 | Order = 0.0047042457900905617 | Time = 8s
Step 32000 | Order = 0.0047042457900905625 | Time = 8s
Step 33000 | Order = 0.0047042457900905634 | Time = 8s
Step 34000 | Order = 0.0047042457900905625 | Time = 8s
Step 35000 | Order = 0.0047042457900905608 | Time = 9s
Step 36000 | Order = 0.0047042457900905625 | Time = 9s
Step 37000 | Order = 0.0047042457900905634 | Time = 9s
Step 38000 | Order = 0.0047042457900905608 | Time = 9s
Step 39000 | Order = 0.0047042457900905625 | Time = 10s
Step 40000 | Order = 0.0047042457900905634 | Time = 10s
Step 41000 | Order = 0.0047042457900905634 | Time = 10s
Step 42000 | Order = 0.0047042457900905634 | Time = 10s
Step 43000 | Order = 0.0047042457900905625 | Time = 11s
Step 44000 | Order = 0.0047042457900905617 | Time = 11s
Step 45000 | Order = 0.0047042457900905625 | Time = 11s
Step 46000 | Order = 0.0047042457900905625 | Time = 11s
Step 47000 | Order = 0.0047042457900905617 | Time = 12s
Step 48000 | Order = 0.0047042457900905625 | Time = 12s
Step 49000 | Order = 0.0047042457900905617 | Time = 12s
Step 50000 | Order = 0.0047042457900905634 | Time = 12s
Step 51000 | Order = 0.0047042457900905617 | Time = 13s
Step 52000 | Order = 0.0047042457900905625 | Time = 13s
Step 53000 | Order = 0.0047042457900905625 | Time = 13s
Step 54000 | Order = 0.0047042457900905634 | Time = 13s
Step 55000 | Order = 0.0047042457900905634 | Time = 14s
Step 56000 | Order = 0.0047042457900905608 | Time = 14s
Step 57000 | Order = 0.0047042457900905634 | Time = 14s
Step 58000 | Order = 0.0047042457900905634 | Time = 14s
Step 59000 | Order = 0.0047042457900905617 | Time = 15s
Step 60000 | Order = 0.0047042457900905634 | Time = 15s
Step 61000 | Order = 0.0047042457900905625 | Time = 15s
Step 62000 | Order = 0.0047042457900905617 | Time = 15s
Step 63000 | Order = 0.0047042457900905617 | Time = 16s
Step 64000 | Order = 0.0047042457900905625 | Time = 16s
Step 65000 | Order = 0.0047042457900905625 | Time = 16s
Step 66000 | Order = 0.0047042457900905617 | Time = 16s
Step 67000 | Order = 0.0047042457900905643 | Time = 17s
Step 68000 | Order = 0.0047042457900905617 | Time = 17s
Step 69000 | Order = 0.0047042457900905617 | Time = 17s
Step 70000 | Order = 0.0047042457900905634 | Time = 17s
Step 71000 | Order = 0.0047042457900905617 | Time = 18s
Step 72000 | Order = 0.0047042457900905634 | Time = 18s
Step 73000 | Order = 0.0047042457900905643 | Time = 18s
Step 74000 | Order = 0.0047042457900905634 | Time = 18s
Step 75000 | Order = 0.0047042457900905617 | Time = 19s
Step 76000 | Order = 0.0047042457900905617 | Time = 19s
Step 77000 | Order = 0.0047042457900905625 | Time = 19s
Step 78000 | Order = 0.0047042457900905625 | Time = 19s
Step 79000 | Order = 0.0047042457900905625 | Time = 20s
Step 80000 | Order = 0.0047042457900905617 | Time = 20s
Step 81000 | Order = 0.0047042457900905625 | Time = 20s
Step 82000 | Order = 0.0047042457900905625 | Time = 20s
Step 83000 | Order = 0.0047042457900905625 | Time = 20s
Step 84000 | Order = 0.0047042457900905617 | Time = 21s
Step 85000 | Order = 0.0047042457900905634 | Time = 21s
Step 86000 | Order = 0.0047042457900905617 | Time = 21s
Step 87000 | Order = 0.0047042457900905617 | Time = 21s
Step 88000 | Order = 0.0047042457900905634 | Time = 22s
Step 89000 | Order = 0.0047042457900905617 | Time = 22s
Step 90000 | Order = 0.0047042457900905634 | Time = 22s
Step 91000 | Order = 0.0047042457900905625 | Time = 22s
Step 92000 | Order = 0.0047042457900905608 | Time = 23s
Step 93000 | Order = 0.0047042457900905634 | Time = 23s
Step 94000 | Order = 0.0047042457900905634 | Time = 23s
Step 95000 | Order = 0.0047042457900905634 | Time = 23s
Step 96000 | Order = 0.0047042457900905608 | Time = 24s
Step 97000 | Order = 0.0047042457900905617 | Time = 24s
Step 98000 | Order = 0.0047042457900905617 | Time = 24s
Step 99000 | Order = 0.0047042457900905608 | Time = 24s
Step 100000 | Order = 0.0047042457900905634 | Time = 25s
