Simulation #0, Parameters: eta = 0.813919 | rho = 0.382139 | v0 = 0.113207s
Step 111000 | Order = 0.023043435520102802 | Time = 50s
Step 112000 | Order = 0.012288163445106607 | Time = 51s
Step 113000 | Order = 0.016950098277260687 | Time = 51s
Step 114000 | Order = 0.020027350351108888 | Time = 52s
Step 115000 | Order = 0.017393316746038699 | Time = 52s
Step 116000 | Order = 0.0052302523035117994 | Time = 53s
Step 117000 | Order = 0.0063440011792934006 | Time = 53s
Step 118000 | Order = 0.0071611180246838966 | Time = 54s
Step 119000 | Order = 0.0063571698424603361 | Time = 54s
Step 120000 | Order = 0.0085402789419163384 | Time = 55s
Step 121000 | Order = 0.010553951258900757 | Time = 55s
Step 122000 | Order = 0.010766490162356377 | Time = 55s
Step 123000 | Order = 0.0060695288976450549 | Time = 56s
Step 124000 | Order = 0.0084301201354236143 | Time = 56s
Step 125000 | Order = 0.0061988389223714309 | Time = 57s
Step 126000 | Order = 0.016900457344579532 | Time = 57s
Step 127000 | Order = 0.0069588490025335441 | Time = 58s
Step 128000 | Order = 0.0056809425772707846 | Time = 58s
Step 129000 | Order = 0.0071363315758510302 | Time = 59s
Step 130000 | Order = 0.0087642553332659551 | Time = 59s
Step 131000 | Order = 0.0081486854381753009 | Time = 60s
Step 132000 | Order = 0.0037775751125992559 | Time = 60s
Step 133000 | Order = 0.0088810326381534941 | Time = 60s
Step 134000 | Order = 0.014018357487358579 | Time = 61s
Step 135000 | Order = 0.021082866508959432 | Time = 61s
Step 136000 | Order = 0.016366143003394271 | Time = 62s
Step 137000 | Order = 0.00027899926829222762 | Time = 62s
Step 138000 | Order = 0.016493786802866353 | Time = 63s
Step 139000 | Order = 0.025065736968212602 | Time = 63s
Step 140000 | Order = 0.0050187279279767074 | Time = 64s
Step 141000 | Order = 0.0067543107112052695 | Time = 64s
Step 142000 | Order = 0.016458972277954034 | Time = 65s
Step 143000 | Order = 0.026614025817418958 | Time = 65s
Step 144000 | Order = 0.0053484752324275469 | Time = 66s
Step 145000 | Order = 0.012705518746010667 | Time = 66s
Step 146000 | Order = 0.013883994713089745 | Time = 66s
Step 147000 | Order = 0.017048683914832132 | Time = 67s
Step 148000 | Order = 0.010198810966077146 | Time = 67s
Step 149000 | Order = 0.0081132772647457482 | Time = 68s
Step 150000 | Order = 0.013182693625682017 | Time = 68s
Step 151000 | Order = 0.019562506541056089 | Time = 69s
Step 152000 | Order = 0.01240764504149032 | Time = 69s
Step 153000 | Order = 0.0053661683843633746 | Time = 70s
Step 154000 | Order = 0.0073853661814499982 | Time = 70s
Step 155000 | Order = 0.013913258150178236 | Time = 71s
Step 156000 | Order = 0.010263255230331877 | Time = 71s
Step 157000 | Order = 0.013726421818827337 | Time = 72s
Step 158000 | Order = 0.011506820833839915 | Time = 72s
Step 159000 | Order = 0.0069852970780544914 | Time = 73s
Step 160000 | Order = 0.0037482913084029533 | Time = 73s
Step 161000 | Order = 0.015821762053388436 | Time = 74s
Step 162000 | Order = 0.011014496820190239 | Time = 74s
Step 163000 | Order = 0.016961729815217996 | Time = 74s
