Simulation #156, Parameters: eta = 0.696888 | rho = 0.222250 | v0 = 0.119648s
Step 0 | Order = 0.02866708751718821 | Time = 0s
Step 1000 | Order = 0.020104727939762757 | Time = 1s
Step 2000 | Order = 0.020964613865172704 | Time = 2s
Step 3000 | Order = 0.0056827426291710809 | Time = 2s
Step 4000 | Order = 0.015885965785897398 | Time = 3s
Step 5000 | Order = 0.026581210087596882 | Time = 3s
Step 6000 | Order = 0.0057876476245951308 | Time = 3s
Step 7000 | Order = 0.025943876288832983 | Time = 4s
Step 8000 | Order = 0.018136239168840385 | Time = 4s
Step 9000 | Order = 0.016768245270645434 | Time = 4s
Step 10000 | Order = 0.021779834768756934 | Time = 5s
Step 11000 | Order = 0.015440227256668137 | Time = 5s
Step 12000 | Order = 0.019971703229793088 | Time = 6s
Step 13000 | Order = 0.0081555033793296091 | Time = 6s
Step 14000 | Order = 0.014120356652828726 | Time = 6s
Step 15000 | Order = 0.014170735558255997 | Time = 7s
Step 16000 | Order = 0.015608957677667873 | Time = 7s
Step 17000 | Order = 0.018949025251301731 | Time = 7s
Step 18000 | Order = 0.015927531910248188 | Time = 8s
Step 19000 | Order = 0.0095606439734024027 | Time = 8s
Step 20000 | Order = 0.011846319671323984 | Time = 8s
Step 21000 | Order = 0.0061264032537036274 | Time = 9s
Step 22000 | Order = 0.016772573389467669 | Time = 9s
Step 23000 | Order = 0.0030663324188867371 | Time = 10s
Step 24000 | Order = 0.011314891132369319 | Time = 10s
Step 25000 | Order = 0.033274690785646426 | Time = 10s
Step 26000 | Order = 0.017692356174495997 | Time = 11s
Step 27000 | Order = 0.011602172127563738 | Time = 11s
Step 28000 | Order = 0.013722189834216294 | Time = 11s
Step 29000 | Order = 0.015074302244176921 | Time = 12s
Step 30000 | Order = 0.020779773235268577 | Time = 12s
Step 31000 | Order = 0.014864989071393003 | Time = 12s
Step 32000 | Order = 0.025205636270161289 | Time = 13s
Step 33000 | Order = 0.015529935682043975 | Time = 13s
Step 34000 | Order = 0.011821505748408808 | Time = 14s
Step 35000 | Order = 0.0085559067661217826 | Time = 14s
Step 36000 | Order = 0.019358719207854928 | Time = 14s
Step 37000 | Order = 0.0022720030566273841 | Time = 15s
Step 38000 | Order = 0.0079067737857497558 | Time = 15s
Step 39000 | Order = 0.016336655125999935 | Time = 15s
Step 40000 | Order = 0.027010014913330341 | Time = 16s
Step 41000 | Order = 0.013413244719737191 | Time = 16s
Step 42000 | Order = 0.024307763741561485 | Time = 16s
Step 43000 | Order = 0.020229524663799802 | Time = 17s
Step 44000 | Order = 0.0081713076858644946 | Time = 17s
Step 45000 | Order = 0.01647185012292127 | Time = 18s
Step 46000 | Order = 0.021769189001902299 | Time = 18s
Step 47000 | Order = 0.024040017448416363 | Time = 18s
Step 48000 | Order = 0.0085809064725203988 | Time = 19s
Step 49000 | Order = 0.01221934089592166 | Time = 19s
Step 50000 | Order = 0.0050362406026827075 | Time = 19s
Step 51000 | Order = 0.014208643675151653 | Time = 20s
Step 52000 | Order = 0.024410728890050356 | Time = 21s
Step 53000 | Order = 0.013469082692139919 | Time = 21s
Step 54000 | Order = 0.016510312613313653 | Time = 21s
Step 55000 | Order = 0.0097515480188951412 | Time = 22s
Step 56000 | Order = 0.0057432848130914062 | Time = 22s
Step 57000 | Order = 0.0094089798677996685 | Time = 22s
Step 58000 | Order = 0.018612827638927406 | Time = 23s
Step 59000 | Order = 0.0039029965957447241 | Time = 23s
Step 60000 | Order = 0.018299363551452577 | Time = 24s
Step 61000 | Order = 0.026833281085106613 | Time = 24s
Step 62000 | Order = 0.017720426814005229 | Time = 24s
Step 63000 | Order = 0.013442316253003971 | Time = 25s
Step 64000 | Order = 0.010341711955266866 | Time = 25s
Step 65000 | Order = 0.0046600827989597624 | Time = 25s
Step 66000 | Order = 0.020692770487942054 | Time = 26s
Step 67000 | Order = 0.01421435178647527 | Time = 26s
Step 68000 | Order = 0.024080134768752638 | Time = 26s
Step 69000 | Order = 0.043579434827954913 | Time = 27s
Step 70000 | Order = 0.016808428489907795 | Time = 27s
Step 71000 | Order = 0.030975932529994775 | Time = 28s
Step 72000 | Order = 0.0029477607227310406 | Time = 28s
Step 73000 | Order = 0.018194186643471107 | Time = 28s
Step 74000 | Order = 0.020327101018463165 | Time = 29s
Step 75000 | Order = 0.016827844168922013 | Time = 29s
Step 76000 | Order = 0.017684584772974639 | Time = 29s
Step 77000 | Order = 0.010022215157650281 | Time = 30s
Step 78000 | Order = 0.0097533847506304158 | Time = 30s
Step 79000 | Order = 0.018587639846767683 | Time = 30s
Step 80000 | Order = 0.014498732840020075 | Time = 31s
Step 81000 | Order = 0.015792617832555138 | Time = 31s
Step 82000 | Order = 0.040998842440129066 | Time = 32s
Step 83000 | Order = 0.0036053915681842634 | Time = 32s
Step 84000 | Order = 0.013762466301115389 | Time = 32s
Step 85000 | Order = 0.019545823459270296 | Time = 33s
Step 86000 | Order = 0.01312304706168506 | Time = 33s
Step 87000 | Order = 0.020230509393607352 | Time = 33s
Step 88000 | Order = 0.0095737571593548197 | Time = 34s
Step 89000 | Order = 0.019383563863651344 | Time = 34s
Step 90000 | Order = 0.0027266512064011623 | Time = 35s
Step 91000 | Order = 0.02826084310313243 | Time = 35s
Step 92000 | Order = 0.017089835779454464 | Time = 35s
Step 93000 | Order = 0.033475276931812147 | Time = 36s
Step 94000 | Order = 0.006786888403732259 | Time = 36s
Step 95000 | Order = 0.017473765078570874 | Time = 36s
Step 96000 | Order = 0.026701128178508449 | Time = 37s
Step 97000 | Order = 0.0071134602638365718 | Time = 37s
