Simulation #165, Parameters: eta = 0.089947 | rho = 0.119100 | v0 = 0.051081s
Step 0 | Order = 0.060659033811795687 | Time = 0s
Step 1000 | Order = 0.20744554585032896 | Time = 0s
Step 2000 | Order = 0.21129067514881236 | Time = 0s
Step 3000 | Order = 0.3395890620144123 | Time = 0s
Step 4000 | Order = 0.43088960762893191 | Time = 0s
Step 5000 | Order = 0.53012644558114885 | Time = 1s
Step 6000 | Order = 0.47292278716647379 | Time = 1s
Step 7000 | Order = 0.5559143488846584 | Time = 1s
Step 8000 | Order = 0.47420018728376417 | Time = 1s
Step 9000 | Order = 0.38772836052721049 | Time = 1s
Step 10000 | Order = 0.35580310224087025 | Time = 2s
Step 11000 | Order = 0.39806580298661026 | Time = 2s
Step 12000 | Order = 0.5014670727826589 | Time = 2s
Step 13000 | Order = 0.4900282988989606 | Time = 2s
Step 14000 | Order = 0.54270539300276632 | Time = 3s
Step 15000 | Order = 0.54110174612710304 | Time = 3s
Step 16000 | Order = 0.54402260912016165 | Time = 3s
Step 17000 | Order = 0.61916880473327585 | Time = 3s
Step 18000 | Order = 0.58744216869582033 | Time = 4s
Step 19000 | Order = 0.45133221764657339 | Time = 4s
Step 20000 | Order = 0.38206060966661781 | Time = 4s
Step 21000 | Order = 0.41457150858745856 | Time = 4s
Step 22000 | Order = 0.49782152199830115 | Time = 4s
Step 23000 | Order = 0.34583747171271761 | Time = 5s
Step 24000 | Order = 0.50043136926202669 | Time = 5s
Step 25000 | Order = 0.491088884550894 | Time = 5s
Step 26000 | Order = 0.49248668480377272 | Time = 5s
Step 27000 | Order = 0.52067679733883421 | Time = 6s
Step 28000 | Order = 0.27539331123769967 | Time = 6s
Step 29000 | Order = 0.42454266367907006 | Time = 6s
Step 30000 | Order = 0.55697769218425153 | Time = 6s
Step 31000 | Order = 0.56835910780568977 | Time = 6s
Step 32000 | Order = 0.60328508519037405 | Time = 7s
Step 33000 | Order = 0.45876317873511752 | Time = 7s
Step 34000 | Order = 0.4172264076342847 | Time = 7s
Step 35000 | Order = 0.41718326655072807 | Time = 7s
Step 36000 | Order = 0.33694887572134891 | Time = 8s
Step 37000 | Order = 0.50039334264839597 | Time = 8s
Step 38000 | Order = 0.33039440801367631 | Time = 8s
Step 39000 | Order = 0.42089270705472892 | Time = 8s
Step 40000 | Order = 0.14506919147231881 | Time = 8s
Step 41000 | Order = 0.22519506507931719 | Time = 9s
Step 42000 | Order = 0.27986448433005773 | Time = 9s
Step 43000 | Order = 0.33042272863737515 | Time = 9s
Step 44000 | Order = 0.28091461032250209 | Time = 9s
Step 45000 | Order = 0.27563688594414393 | Time = 10s
Step 46000 | Order = 0.34414527523464611 | Time = 10s
Step 47000 | Order = 0.40565110646842945 | Time = 10s
Step 48000 | Order = 0.42250020441643638 | Time = 10s
Step 49000 | Order = 0.51905843042447652 | Time = 11s
Step 50000 | Order = 0.48438411997524639 | Time = 11s
Step 51000 | Order = 0.55182868663852114 | Time = 11s
Step 52000 | Order = 0.58499200689374031 | Time = 12s
Step 53000 | Order = 0.59412156735436683 | Time = 12s
Step 54000 | Order = 0.61620388898823453 | Time = 12s
Step 55000 | Order = 0.45042173333280944 | Time = 13s
Step 56000 | Order = 0.40823377451215942 | Time = 13s
Step 57000 | Order = 0.5860295029406738 | Time = 13s
Step 58000 | Order = 0.46029371374331235 | Time = 13s
Step 59000 | Order = 0.55619025599068095 | Time = 14s
Step 60000 | Order = 0.55703285724702023 | Time = 14s
Step 61000 | Order = 0.46850800585748459 | Time = 14s
Step 62000 | Order = 0.49148887573425126 | Time = 14s
Step 63000 | Order = 0.50039002284923895 | Time = 14s
Step 64000 | Order = 0.57194746772898031 | Time = 15s
Step 65000 | Order = 0.58328338404246727 | Time = 15s
Step 66000 | Order = 0.63022442853069383 | Time = 15s
Step 67000 | Order = 0.55608620404628284 | Time = 15s
Step 68000 | Order = 0.60773093052441973 | Time = 16s
Step 69000 | Order = 0.51239611745474756 | Time = 16s
Step 70000 | Order = 0.43910907072482791 | Time = 16s
Step 71000 | Order = 0.23087163372262537 | Time = 16s
Step 72000 | Order = 0.1426334588804557 | Time = 16s
Step 73000 | Order = 0.13687885493966168 | Time = 17s
Step 74000 | Order = 0.090917085012251639 | Time = 17s
Step 75000 | Order = 0.25002878518319666 | Time = 17s
Step 76000 | Order = 0.28910881738378119 | Time = 17s
Step 77000 | Order = 0.40871219192959235 | Time = 18s
Step 78000 | Order = 0.46778173639476228 | Time = 18s
