Simulation #154, Parameters: eta = 0.783200 | rho = 0.149533 | v0 = 0.0126091s
Step 0 | Order = 0.017237646239625412 | Time = 0s
Step 1000 | Order = 0.022615710519576084 | Time = 0s
Step 2000 | Order = 0.017986835967095206 | Time = 0s
Step 3000 | Order = 0.029263182333979804 | Time = 0s
Step 4000 | Order = 0.018610730690721996 | Time = 0s
Step 5000 | Order = 0.035200873037515235 | Time = 1s
Step 6000 | Order = 0.010819653864247937 | Time = 1s
Step 7000 | Order = 0.034323884734772103 | Time = 1s
Step 8000 | Order = 0.035039924502415942 | Time = 1s
Step 9000 | Order = 0.006839130175740454 | Time = 1s
Step 10000 | Order = 0.011904576775681521 | Time = 1s
Step 11000 | Order = 0.015276765292503731 | Time = 2s
Step 12000 | Order = 0.0038830739450159977 | Time = 2s
Step 13000 | Order = 0.018589420797374464 | Time = 2s
Step 14000 | Order = 0.0055904847061884078 | Time = 2s
Step 15000 | Order = 0.007696384657585752 | Time = 2s
Step 16000 | Order = 0.017282949690994451 | Time = 2s
Step 17000 | Order = 0.011180677234037862 | Time = 3s
Step 18000 | Order = 0.015898347063903306 | Time = 3s
Step 19000 | Order = 0.026256135232652057 | Time = 3s
Step 20000 | Order = 0.0044291308974419921 | Time = 3s
Step 21000 | Order = 0.046456890780864415 | Time = 3s
Step 22000 | Order = 0.021082755317052365 | Time = 3s
Step 23000 | Order = 0.014385595405556461 | Time = 4s
Step 24000 | Order = 0.032224895976200894 | Time = 4s
Step 25000 | Order = 0.026704635308030668 | Time = 4s
Step 26000 | Order = 0.019715564711789521 | Time = 4s
Step 27000 | Order = 0.020803984872806141 | Time = 4s
Step 28000 | Order = 0.029595967907320442 | Time = 4s
Step 29000 | Order = 0.017153123360466847 | Time = 5s
Step 30000 | Order = 0.019420383443591732 | Time = 5s
Step 31000 | Order = 0.019114620175147652 | Time = 5s
Step 32000 | Order = 0.005085328722529826 | Time = 5s
Step 33000 | Order = 0.0067143100764117869 | Time = 5s
Step 34000 | Order = 0.01145391794572302 | Time = 5s
Step 35000 | Order = 0.015800640449665577 | Time = 6s
Step 36000 | Order = 0.011574893557683041 | Time = 6s
Step 37000 | Order = 0.021819439272654402 | Time = 6s
Step 38000 | Order = 0.041599566056126094 | Time = 6s
Step 39000 | Order = 0.014212484291762643 | Time = 6s
Step 40000 | Order = 0.022782546258256757 | Time = 6s
Step 41000 | Order = 0.02031983062068524 | Time = 6s
Step 42000 | Order = 0.008503965503781151 | Time = 7s
Step 43000 | Order = 0.012456343449615208 | Time = 7s
Step 44000 | Order = 0.034390105762911023 | Time = 7s
Step 45000 | Order = 0.040349416358169382 | Time = 7s
Step 46000 | Order = 0.013491793359570401 | Time = 7s
Step 47000 | Order = 0.020654632160849722 | Time = 7s
Step 48000 | Order = 0.0083442423234092993 | Time = 8s
Step 49000 | Order = 0.012267658133130873 | Time = 8s
Step 50000 | Order = 0.0091988376147469977 | Time = 8s
Step 51000 | Order = 0.0056495639911140613 | Time = 8s
Step 52000 | Order = 0.0094532855532282883 | Time = 8s
Step 53000 | Order = 0.026698219927238174 | Time = 9s
Step 54000 | Order = 0.02145978492608399 | Time = 9s
Step 55000 | Order = 0.025690466981876939 | Time = 9s
Step 56000 | Order = 0.0040236048470748912 | Time = 9s
Step 57000 | Order = 0.0083504460865948937 | Time = 9s
Step 58000 | Order = 0.0078802122580940992 | Time = 9s
Step 59000 | Order = 0.0033319117197659061 | Time = 10s
Step 60000 | Order = 0.0073231156253833335 | Time = 10s
Step 61000 | Order = 0.029298416053260255 | Time = 10s
Step 62000 | Order = 0.021095957393101303 | Time = 10s
Step 63000 | Order = 0.02796925583916416 | Time = 10s
Step 64000 | Order = 0.023362996623015723 | Time = 10s
Step 65000 | Order = 0.02659451686402016 | Time = 11s
Step 66000 | Order = 0.026384824163049873 | Time = 11s
Step 67000 | Order = 0.02221991101223519 | Time = 11s
Step 68000 | Order = 0.012334644991684244 | Time = 11s
Step 69000 | Order = 0.031685137309792222 | Time = 11s
Step 70000 | Order = 0.043614746537783855 | Time = 11s
Step 71000 | Order = 0.011161265183629504 | Time = 12s
Step 72000 | Order = 0.018182211996725345 | Time = 12s
Step 73000 | Order = 0.028585790339663224 | Time = 12s
Step 74000 | Order = 0.011342216234662299 | Time = 12s
Step 75000 | Order = 0.012685007516903518 | Time = 13s
Step 76000 | Order = 0.031885260649239758 | Time = 13s
Step 77000 | Order = 0.020303914310344715 | Time = 13s
Step 78000 | Order = 0.011321984051029663 | Time = 13s
Step 79000 | Order = 0.013688759430263301 | Time = 14s
Step 80000 | Order = 0.032072879274127622 | Time = 14s
Step 81000 | Order = 0.022480164391170714 | Time = 14s
Step 82000 | Order = 0.010177934673076859 | Time = 14s
Step 83000 | Order = 0.014043861616611725 | Time = 14s
Step 84000 | Order = 0.026030775299377244 | Time = 14s
Step 85000 | Order = 0.021014614022632768 | Time = 15s
Step 86000 | Order = 0.02261851431009454 | Time = 15s
Step 87000 | Order = 0.0087090919349905524 | Time = 15s
Step 88000 | Order = 0.011926297255912904 | Time = 15s
Step 89000 | Order = 0.012971985467155544 | Time = 15s
Step 90000 | Order = 0.034891138677902278 | Time = 15s
Step 91000 | Order = 0.017817777629643348 | Time = 16s
Step 92000 | Order = 0.016076513365578263 | Time = 16s
Step 93000 | Order = 0.0062488176427975507 | Time = 16s
Step 94000 | Order = 0.024615505205890852 | Time = 16s
Step 95000 | Order = 0.015575828933563551 | Time = 16s
Step 96000 | Order = 0.031466917341055341 | Time = 16s
Step 97000 | Order = 0.0133856188752719 | Time = 17s
Step 98000 | Order = 0.011149264304808077 | Time = 17s
Step 99000 | Order = 0.01660398764448923 | Time = 17s
Step 100000 | Order = 0.021634514950426148 | Time = 17s
Step 101000 | Order = 0.025796507976585236 | Time = 17s
Step 102000 | Order = 0.030260866295761642 | Time = 18s
Step 103000 | Order = 0.020108587704356855 | Time = 18s
Step 104000 | Order = 0.032893543008937189 | Time = 18s
Step 105000 | Order = 0.013910543347983743 | Time = 18s
Step 106000 | Order = 0.015631337521586762 | Time = 18s
Step 107000 | Order = 0.027175139197012279 | Time = 18s
Step 108000 | Order = 0.013054050724803919 | Time = 19s
Step 109000 | Order = 0.016325398682066682 | Time = 19s
Step 110000 | Order = 0.019134251087167813 | Time = 19s
Step 111000 | Order = 0.025583566661743079 | Time = 19s
Step 112000 | Order = 0.0094798114211703949 | Time = 19s
Step 113000 | Order = 0.023856530567188467 | Time = 19s
Step 114000 | Order = 0.015755791436507762 | Time = 20s
Step 115000 | Order = 0.0072817321854059848 | Time = 20s
Step 116000 | Order = 0.027644321389184084 | Time = 20s
Step 117000 | Order = 0.023195891583450343 | Time = 20s
Step 118000 | Order = 0.013473581424887415 | Time = 20s
Step 119000 | Order = 0.038399879954252633 | Time = 20s
Step 120000 | Order = 0.017070339858534286 | Time = 20s
Step 121000 | Order = 0.030639319144818253 | Time = 21s
Step 122000 | Order = 0.01292614990848296 | Time = 21s
Step 123000 | Order = 0.031286174188511352 | Time = 21s
Step 124000 | Order = 0.020711747282768769 | Time = 21s
Step 125000 | Order = 0.032771788916802561 | Time = 21s
Step 126000 | Order = 0.015484346500097963 | Time = 21s
Step 127000 | Order = 0.042793012618817017 | Time = 22s
Step 128000 | Order = 0.028457140082772756 | Time = 22s
Step 129000 | Order = 0.020322070553697828 | Time = 22s
Step 130000 | Order = 0.022314849217860696 | Time = 22s
Step 131000 | Order = 0.014793470867839047 | Time = 22s
Step 132000 | Order = 0.0053856776713806917 | Time = 22s
Step 133000 | Order = 0.0080964863538709238 | Time = 23s
Step 134000 | Order = 0.018050234768132358 | Time = 23s
Step 135000 | Order = 0.019563680680506838 | Time = 23s
Step 136000 | Order = 0.01394015775610929 | Time = 23s
Step 137000 | Order = 0.025199451393582498 | Time = 23s
Step 138000 | Order = 0.044554090773102913 | Time = 23s
Step 139000 | Order = 0.0406170576657695 | Time = 24s
Step 140000 | Order = 0.020131928841235089 | Time = 24s
Step 141000 | Order = 0.0064976501165955169 | Time = 24s
Step 142000 | Order = 0.010579718317359784 | Time = 24s
Step 143000 | Order = 0.027254286096852966 | Time = 24s
Step 144000 | Order = 0.0097602370071590006 | Time = 24s
Step 145000 | Order = 0.013315627204570598 | Time = 25s
Step 146000 | Order = 0.031985727290511135 | Time = 25s
Step 147000 | Order = 0.010520725418411229 | Time = 25s
Step 148000 | Order = 0.038110064727812282 | Time = 25s
Step 149000 | Order = 0.046676928847620869 | Time = 25s
Step 150000 | Order = 0.022748724280312483 | Time = 25s
Step 151000 | Order = 0.031892966576694749 | Time = 26s
Step 152000 | Order = 0.017368170042777027 | Time = 26s
Step 153000 | Order = 0.019002052093665754 | Time = 26s
Step 154000 | Order = 0.015179209760652242 | Time = 26s
Step 155000 | Order = 0.034325412316073417 | Time = 26s
Step 156000 | Order = 0.024512896487639733 | Time = 27s
Step 157000 | Order = 0.0051544300035753395 | Time = 27s
Step 158000 | Order = 0.017506545020735845 | Time = 27s
Step 159000 | Order = 0.0074574707448245275 | Time = 27s
Step 160000 | Order = 0.016887155997955667 | Time = 27s
Step 161000 | Order = 0.035223390277473322 | Time = 27s
Step 162000 | Order = 0.036061922733038113 | Time = 28s
Step 163000 | Order = 0.025685537345587105 | Time = 28s
Step 164000 | Order = 0.019832110479279901 | Time = 28s
Step 165000 | Order = 0.014861828514965071 | Time = 28s
Step 166000 | Order = 0.013189527530821029 | Time = 28s
Step 167000 | Order = 0.016789199706206123 | Time = 28s
Step 168000 | Order = 0.023531107887180488 | Time = 29s
Step 169000 | Order = 0.024257372857820186 | Time = 29s
Step 170000 | Order = 0.017162909664896666 | Time = 29s
Step 171000 | Order = 0.017908725597187713 | Time = 29s
Step 172000 | Order = 0.019150363689747475 | Time = 29s
Step 173000 | Order = 0.0068403500129098418 | Time = 29s
Step 174000 | Order = 0.026344652417867868 | Time = 30s
Step 175000 | Order = 0.014843374219428315 | Time = 30s
Step 176000 | Order = 0.01461045590492327 | Time = 30s
Step 177000 | Order = 0.015926610181824612 | Time = 30s
Step 178000 | Order = 0.030640386483160784 | Time = 30s
Step 179000 | Order = 0.015910348021246589 | Time = 30s
Step 180000 | Order = 0.0099776598394079076 | Time = 31s
Step 181000 | Order = 0.01072161770066885 | Time = 31s
Step 182000 | Order = 0.018969372546392492 | Time = 31s
Step 183000 | Order = 0.012813604225907006 | Time = 31s
Step 184000 | Order = 0.0092016617966087684 | Time = 31s
Step 185000 | Order = 0.022233052156974277 | Time = 31s
Step 186000 | Order = 0.013674679708155852 | Time = 32s
Step 187000 | Order = 0.036873624841238843 | Time = 32s
Step 188000 | Order = 0.037096965169737907 | Time = 32s
Step 189000 | Order = 0.020734352052275015 | Time = 32s
Step 190000 | Order = 0.023609737894152587 | Time = 32s
Step 191000 | Order = 0.033361573165728298 | Time = 32s
Step 192000 | Order = 0.017279892636935995 | Time = 32s
Step 193000 | Order = 0.042559028577731813 | Time = 33s
Step 194000 | Order = 0.013574137884104985 | Time = 33s
Step 195000 | Order = 0.021261370682077917 | Time = 33s
Step 196000 | Order = 0.0087265950303849257 | Time = 33s
Step 197000 | Order = 0.020059020225164446 | Time = 33s
Step 198000 | Order = 0.019758085892692821 | Time = 33s
Step 199000 | Order = 0.0089545054023928532 | Time = 34s
Step 200000 | Order = 0.011271478401105706 | Time = 34s
Step 201000 | Order = 0.017294221368149686 | Time = 34s
Step 202000 | Order = 0.01978153143285449 | Time = 34s
Step 203000 | Order = 0.016355943077007402 | Time = 34s
Step 204000 | Order = 0.0097773524389838228 | Time = 35s
Step 205000 | Order = 0.025327789726323685 | Time = 35s
Step 206000 | Order = 0.016526141963204788 | Time = 35s
Step 207000 | Order = 0.025718252019851454 | Time = 35s
Step 208000 | Order = 0.013694125790122249 | Time = 35s
Step 209000 | Order = 0.02012983651286341 | Time = 35s
Step 210000 | Order = 0.011942926865112008 | Time = 36s
Step 211000 | Order = 0.023671063306171958 | Time = 36s
Step 212000 | Order = 0.012238658351059127 | Time = 36s
Step 213000 | Order = 0.012007520257616686 | Time = 36s
Step 214000 | Order = 0.029286414324094224 | Time = 36s
Step 215000 | Order = 0.0033840445238701843 | Time = 36s
Step 216000 | Order = 0.0070561799852507483 | Time = 37s
Step 217000 | Order = 0.013468910263044441 | Time = 37s
Step 218000 | Order = 0.011723803672098151 | Time = 37s
Step 219000 | Order = 0.021071697373179498 | Time = 37s
Step 220000 | Order = 0.021551202949429672 | Time = 37s
Step 221000 | Order = 0.031521701515745917 | Time = 37s
Step 222000 | Order = 0.020697034386789631 | Time = 38s
Step 223000 | Order = 0.0088692573947495232 | Time = 38s
Step 224000 | Order = 0.0039401002137586273 | Time = 38s
Step 225000 | Order = 0.045057426767303226 | Time = 38s
Step 226000 | Order = 0.010457234733203362 | Time = 38s
Step 227000 | Order = 0.033198751278590719 | Time = 38s
Step 228000 | Order = 0.0079622481329940618 | Time = 39s
Step 229000 | Order = 0.018347601230225347 | Time = 39s
Step 230000 | Order = 0.036876246709037525 | Time = 39s
Step 231000 | Order = 0.0063383139044778858 | Time = 39s
Step 232000 | Order = 0.031366361826341123 | Time = 39s
Step 233000 | Order = 0.015203446545475455 | Time = 39s
Step 234000 | Order = 0.028793947675853318 | Time = 40s
Step 235000 | Order = 0.0050335902887448441 | Time = 40s
Step 236000 | Order = 0.013933682172520778 | Time = 40s
Step 237000 | Order = 0.019020801645909888 | Time = 40s
Step 238000 | Order = 0.025968809470284387 | Time = 40s
Step 239000 | Order = 0.051055433527275686 | Time = 40s
Step 240000 | Order = 0.024795888965549736 | Time = 41s
Step 241000 | Order = 0.031840024090214442 | Time = 41s
Step 242000 | Order = 0.025902158332443848 | Time = 41s
Step 243000 | Order = 0.013031119635795268 | Time = 41s
Step 244000 | Order = 0.027539074118614219 | Time = 41s
Step 245000 | Order = 0.026955071994068693 | Time = 41s
Step 246000 | Order = 0.028561303956922544 | Time = 42s
Step 247000 | Order = 0.0090806317624829592 | Time = 42s
Step 248000 | Order = 0.005136887253001988 | Time = 42s
Step 249000 | Order = 0.028202995786663337 | Time = 42s
Step 250000 | Order = 0.020687168674157919 | Time = 42s
Step 251000 | Order = 0.0036384126852296067 | Time = 42s
Step 252000 | Order = 0.026787122679496671 | Time = 43s
Step 253000 | Order = 0.0085024496079456283 | Time = 43s
Step 254000 | Order = 0.016803240127138297 | Time = 43s
Step 255000 | Order = 0.027690027122907811 | Time = 43s
Step 256000 | Order = 0.019232419309355771 | Time = 43s
Step 257000 | Order = 0.018978903623679665 | Time = 43s
Step 258000 | Order = 0.0006309303472376254 | Time = 44s
Step 259000 | Order = 0.012785944203268796 | Time = 44s
Step 260000 | Order = 0.026898758557431211 | Time = 44s
Step 261000 | Order = 0.021858952970010285 | Time = 44s
Step 262000 | Order = 0.0035153172567035196 | Time = 44s
Step 263000 | Order = 0.020642474266944419 | Time = 44s
Step 264000 | Order = 0.0054491860839247352 | Time = 45s
Step 265000 | Order = 0.0062199915009260561 | Time = 45s
Step 266000 | Order = 0.0307837358089602 | Time = 45s
Step 267000 | Order = 0.016977559459132156 | Time = 45s
Step 268000 | Order = 0.0153849900381709 | Time = 45s
Step 269000 | Order = 0.023586181022276761 | Time = 45s
Step 270000 | Order = 0.034205009808416224 | Time = 46s
Step 271000 | Order = 0.03451537161415516 | Time = 46s
Step 272000 | Order = 0.0075388459258686757 | Time = 46s
Step 273000 | Order = 0.017850325819280099 | Time = 46s
Step 274000 | Order = 0.031713859344471518 | Time = 46s
Step 275000 | Order = 0.018623593483605306 | Time = 46s
Step 276000 | Order = 0.023046903748176431 | Time = 47s
Step 277000 | Order = 0.013320477025848281 | Time = 47s
Step 278000 | Order = 0.027281130639591439 | Time = 47s
Step 279000 | Order = 0.014588312506717186 | Time = 47s
Step 280000 | Order = 0.022101440855224731 | Time = 47s
Step 281000 | Order = 0.026585932385301263 | Time = 47s
Step 282000 | Order = 0.013936613627646697 | Time = 48s
Step 283000 | Order = 0.032491416212249137 | Time = 48s
Step 284000 | Order = 0.013280954049473733 | Time = 48s
Step 285000 | Order = 0.020623091432736784 | Time = 48s
Step 286000 | Order = 0.017612298926776938 | Time = 48s
Step 287000 | Order = 0.0067365748651923001 | Time = 48s
Step 288000 | Order = 0.023883742274063941 | Time = 49s
Step 289000 | Order = 0.011692591894831659 | Time = 49s
Step 290000 | Order = 0.031006266720881377 | Time = 49s
Step 291000 | Order = 0.027364980006179263 | Time = 49s
Step 292000 | Order = 0.0090030991104321657 | Time = 49s
Step 293000 | Order = 0.049677543181656084 | Time = 49s
Step 294000 | Order = 0.0058952365034236291 | Time = 50s
Step 295000 | Order = 0.0147868145662996 | Time = 50s
Step 296000 | Order = 0.0080229037282853414 | Time = 50s
Step 297000 | Order = 0.021968873509275736 | Time = 50s
Step 298000 | Order = 0.035561454075750634 | Time = 50s
Step 299000 | Order = 0.037477237720794164 | Time = 50s
Step 300000 | Order = 0.0044391207769337981 | Time = 51s
Step 301000 | Order = 0.012896785494391022 | Time = 51s
Step 302000 | Order = 0.02718635687141624 | Time = 51s
Step 303000 | Order = 0.01592685017805091 | Time = 51s
Step 304000 | Order = 0.00082724508061238298 | Time = 51s
Step 305000 | Order = 0.026553793193533837 | Time = 51s
Step 306000 | Order = 0.0067321052892627782 | Time = 52s
Step 307000 | Order = 0.019399544924480847 | Time = 52s
Step 308000 | Order = 0.010991285718972624 | Time = 52s
Step 309000 | Order = 0.032014221471265432 | Time = 52s
Step 310000 | Order = 0.0075516283831244275 | Time = 52s
Step 311000 | Order = 0.0031142113138857412 | Time = 52s
Step 312000 | Order = 0.021055884724178929 | Time = 53s
Step 313000 | Order = 0.0050079095878227137 | Time = 53s
Step 314000 | Order = 0.028214816326248979 | Time = 53s
Step 315000 | Order = 0.01906582854027258 | Time = 53s
Step 316000 | Order = 0.025423079391308182 | Time = 53s
Step 317000 | Order = 0.015354643074374823 | Time = 53s
Step 318000 | Order = 0.023178789532815335 | Time = 54s
Step 319000 | Order = 0.020910844100646305 | Time = 54s
