Simulation #145, Parameters: eta = 0.436006 | rho = 0.212487 | v0 = 0.418249s
Step 0 | Order = 0.029468972496815203 | Time = 0s
Step 1000 | Order = 0.021802642004253851 | Time = 1s
Step 2000 | Order = 0.026998842261664838 | Time = 1s
Step 3000 | Order = 0.046669429744741628 | Time = 1s
Step 4000 | Order = 0.022203704659415319 | Time = 2s
Step 5000 | Order = 0.025906115235942415 | Time = 2s
Step 6000 | Order = 0.0048912649602910986 | Time = 2s
Step 7000 | Order = 0.0057844515273672232 | Time = 2s
Step 8000 | Order = 0.020334056147765608 | Time = 3s
Step 9000 | Order = 0.03026484084573907 | Time = 3s
Step 10000 | Order = 0.028715388182015425 | Time = 3s
Step 11000 | Order = 0.0088339449010463207 | Time = 3s
Step 12000 | Order = 0.035543008020222318 | Time = 4s
Step 13000 | Order = 0.031471810979082762 | Time = 4s
Step 14000 | Order = 0.038812133661294816 | Time = 4s
Step 15000 | Order = 0.0095789109273733478 | Time = 4s
Step 16000 | Order = 0.006310651182059022 | Time = 5s
Step 17000 | Order = 0.027160063647446817 | Time = 5s
Step 18000 | Order = 0.018999548336525816 | Time = 5s
Step 19000 | Order = 0.034251067002794136 | Time = 5s
Step 20000 | Order = 0.027729380451835945 | Time = 6s
Step 21000 | Order = 0.030735197305708312 | Time = 6s
Step 22000 | Order = 0.009470625799342389 | Time = 6s
Step 23000 | Order = 0.021550066028381144 | Time = 6s
Step 24000 | Order = 0.027622888409217901 | Time = 7s
Step 25000 | Order = 0.013757901715110574 | Time = 7s
Step 26000 | Order = 0.013232169331602203 | Time = 7s
Step 27000 | Order = 0.012064482514551857 | Time = 7s
Step 28000 | Order = 0.036642151113158827 | Time = 8s
Step 29000 | Order = 0.012367535777937168 | Time = 8s
Step 30000 | Order = 0.035761675441107262 | Time = 8s
Step 31000 | Order = 0.009853325439949932 | Time = 8s
Step 32000 | Order = 0.017480832580663377 | Time = 9s
Step 33000 | Order = 0.026061596594338651 | Time = 9s
