Simulation #37, Parameters: eta = 0.124886 | rho = 0.178772 | v0 = 0.0130329s
Step 0 | Order = 0.021562049955690905 | Time = 0s
Step 1000 | Order = 0.014117675048414937 | Time = 0s
Step 2000 | Order = 0.060684275114562973 | Time = 0s
Step 3000 | Order = 0.048485449677764109 | Time = 0s
Step 4000 | Order = 0.15230455914463478 | Time = 0s
Step 5000 | Order = 0.15514416742282569 | Time = 1s
Step 6000 | Order = 0.15725062633554704 | Time = 1s
Step 7000 | Order = 0.11152666794442971 | Time = 1s
Step 8000 | Order = 0.08678658183412126 | Time = 2s
Step 9000 | Order = 0.073701724821572875 | Time = 2s
Step 10000 | Order = 0.12802613806756971 | Time = 2s
Step 11000 | Order = 0.13502854058424291 | Time = 2s
Step 12000 | Order = 0.25108133562373919 | Time = 3s
Step 13000 | Order = 0.14948521351186617 | Time = 3s
Step 14000 | Order = 0.087512128914789711 | Time = 3s
Step 15000 | Order = 0.22424991785578954 | Time = 4s
Step 16000 | Order = 0.028374712124745911 | Time = 4s
Step 17000 | Order = 0.12327485926891957 | Time = 4s
Step 18000 | Order = 0.1286061711527198 | Time = 4s
Step 19000 | Order = 0.21063179219462316 | Time = 5s
Step 20000 | Order = 0.14167084022482376 | Time = 5s
Step 21000 | Order = 0.14715309202454765 | Time = 5s
Step 22000 | Order = 0.26461726653327033 | Time = 6s
Step 23000 | Order = 0.17642396440130051 | Time = 6s
Step 24000 | Order = 0.042079462100491703 | Time = 6s
Step 25000 | Order = 0.10412751007536598 | Time = 7s
Step 26000 | Order = 0.14032140357151054 | Time = 7s
Step 27000 | Order = 0.10118486741117837 | Time = 7s
Step 28000 | Order = 0.25747549381237061 | Time = 8s
Step 29000 | Order = 0.20535593779439421 | Time = 8s
Step 30000 | Order = 0.16475025770685706 | Time = 8s
Step 31000 | Order = 0.15731571361254787 | Time = 9s
Step 32000 | Order = 0.11166317305968472 | Time = 9s
Step 33000 | Order = 0.15998478326865115 | Time = 9s
Step 34000 | Order = 0.21323911548375826 | Time = 10s
Step 35000 | Order = 0.12771736660651142 | Time = 10s
Step 36000 | Order = 0.1336881338977268 | Time = 10s
Step 37000 | Order = 0.24721039357049351 | Time = 11s
Step 38000 | Order = 0.2622114843676091 | Time = 11s
Step 39000 | Order = 0.35970732231979113 | Time = 11s
Step 40000 | Order = 0.40292389055195871 | Time = 12s
Step 41000 | Order = 0.3636741175323619 | Time = 12s
Step 42000 | Order = 0.31427245250242142 | Time = 12s
Step 43000 | Order = 0.17194056723580756 | Time = 13s
Step 44000 | Order = 0.21662466072334641 | Time = 13s
Step 45000 | Order = 0.14584013129257414 | Time = 13s
Step 46000 | Order = 0.055727102551725735 | Time = 14s
Step 47000 | Order = 0.088344236013475491 | Time = 14s
Step 48000 | Order = 0.019193766236840215 | Time = 14s
Step 49000 | Order = 0.079663261402142929 | Time = 15s
Step 50000 | Order = 0.072989289995080503 | Time = 15s
Step 51000 | Order = 0.24692472586791614 | Time = 16s
Step 52000 | Order = 0.23956296998400139 | Time = 16s
Step 53000 | Order = 0.18709826568609858 | Time = 16s
Step 54000 | Order = 0.30431259506505748 | Time = 17s
Step 55000 | Order = 0.27114767650175797 | Time = 17s
Step 56000 | Order = 0.28256761101547445 | Time = 17s
Step 57000 | Order = 0.32155340160637774 | Time = 18s
Step 58000 | Order = 0.20249173489594166 | Time = 18s
Step 59000 | Order = 0.18857875436342106 | Time = 19s
Step 60000 | Order = 0.16495217247753607 | Time = 19s
Step 61000 | Order = 0.05756451256433702 | Time = 19s
Step 62000 | Order = 0.22612903706731799 | Time = 20s
Step 63000 | Order = 0.11753091898822327 | Time = 20s
Step 64000 | Order = 0.13538246423848962 | Time = 21s
Step 65000 | Order = 0.1950108001670561 | Time = 21s
Step 66000 | Order = 0.091512109875930323 | Time = 21s
Step 67000 | Order = 0.17276400071875986 | Time = 22s
Step 68000 | Order = 0.29106989574223063 | Time = 22s
Step 69000 | Order = 0.36725953166502484 | Time = 22s
Step 70000 | Order = 0.51206970622152703 | Time = 23s
Step 71000 | Order = 0.39895188241186935 | Time = 23s
Step 72000 | Order = 0.27818362634215804 | Time = 24s
Step 73000 | Order = 0.41609036546095685 | Time = 24s
Step 74000 | Order = 0.45298563300509731 | Time = 24s
Step 75000 | Order = 0.36639537249357934 | Time = 25s
Step 76000 | Order = 0.46968636679245518 | Time = 25s
Step 77000 | Order = 0.42943012997255209 | Time = 26s
Step 78000 | Order = 0.47196399936314759 | Time = 26s
Step 79000 | Order = 0.50029637743337063 | Time = 26s
Step 80000 | Order = 0.46216938445649669 | Time = 27s
Step 81000 | Order = 0.39792203209422355 | Time = 27s
Step 82000 | Order = 0.44274911628473068 | Time = 27s
Step 83000 | Order = 0.30525728330530888 | Time = 28s
Step 84000 | Order = 0.14823120984003718 | Time = 28s
Step 85000 | Order = 0.16349676228470839 | Time = 29s
Step 86000 | Order = 0.17770201242556097 | Time = 29s
Step 87000 | Order = 0.31093827105467675 | Time = 29s
Step 88000 | Order = 0.33212408811872096 | Time = 30s
Step 89000 | Order = 0.16319527843040543 | Time = 30s
Step 90000 | Order = 0.17961493123325423 | Time = 30s
Step 91000 | Order = 0.1026061029133663 | Time = 31s
