Simulation #0, Parameters: eta = 0.813919 | rho = 0.382139 | v0 = 0.113207s
Step 0 | Order = 0.0096767216169432423 | Time = 0s
Step 1000 | Order = 0.0087977456191466775 | Time = 0s
Step 2000 | Order = 0.0091260100740736625 | Time = 1s
Step 3000 | Order = 0.0067516939845980841 | Time = 2s
Step 4000 | Order = 0.0087818211813544284 | Time = 2s
Step 5000 | Order = 0.015463663585711749 | Time = 2s
Step 6000 | Order = 0.012977510193169036 | Time = 3s
Step 7000 | Order = 0.0071960393598523489 | Time = 3s
Step 8000 | Order = 0.01760416068237242 | Time = 4s
Step 9000 | Order = 0.0085797382044788175 | Time = 4s
Step 10000 | Order = 0.016626364759076646 | Time = 5s
Step 11000 | Order = 0.0059534379980407844 | Time = 5s
Step 12000 | Order = 0.018318698421034861 | Time = 6s
Step 13000 | Order = 0.022998527614779652 | Time = 6s
Step 14000 | Order = 0.013933989209654184 | Time = 7s
Step 15000 | Order = 0.012182998786087798 | Time = 7s
Step 16000 | Order = 0.012544594128806175 | Time = 8s
Step 17000 | Order = 0.012972277439832916 | Time = 8s
Step 18000 | Order = 0.019394299095919498 | Time = 9s
Step 19000 | Order = 0.022174545500160622 | Time = 9s
Step 20000 | Order = 0.023609576942974581 | Time = 9s
Step 21000 | Order = 0.022023507486977092 | Time = 10s
Step 22000 | Order = 0.0069488963280851012 | Time = 11s
Step 23000 | Order = 0.019035542954614192 | Time = 11s
Step 24000 | Order = 0.010565109189494123 | Time = 11s
Step 25000 | Order = 0.01242805278142793 | Time = 12s
Step 26000 | Order = 0.0091013816595836051 | Time = 12s
Step 27000 | Order = 0.0051216318529727885 | Time = 13s
Step 28000 | Order = 0.0055148383834969774 | Time = 13s
Step 29000 | Order = 0.017165102973988173 | Time = 14s
Step 30000 | Order = 0.014031882774884223 | Time = 14s
Step 31000 | Order = 0.0047981165360196807 | Time = 15s
Step 32000 | Order = 0.011163416540765898 | Time = 15s
Step 33000 | Order = 0.0013823440949762434 | Time = 16s
Step 34000 | Order = 0.0022769968488019388 | Time = 16s
Step 35000 | Order = 0.011860252971605065 | Time = 17s
Step 36000 | Order = 0.015024339423088968 | Time = 17s
Step 37000 | Order = 0.016880169573528482 | Time = 17s
Step 38000 | Order = 0.0057746388036970468 | Time = 18s
Step 39000 | Order = 0.0097806488554713147 | Time = 18s
Step 40000 | Order = 0.011647854302202375 | Time = 19s
Step 41000 | Order = 0.010371808588679123 | Time = 19s
Step 42000 | Order = 0.0078984969439840069 | Time = 20s
Step 43000 | Order = 0.0076391278948228997 | Time = 20s
Step 44000 | Order = 0.016979584712494989 | Time = 21s
Step 45000 | Order = 0.010173253257886599 | Time = 21s
Step 46000 | Order = 0.0088364356002690759 | Time = 22s
Step 47000 | Order = 0.023076194431155307 | Time = 22s
Step 48000 | Order = 0.008650766762176125 | Time = 23s
Step 49000 | Order = 0.015707007324950263 | Time = 23s
Step 50000 | Order = 0.012304976591086451 | Time = 24s
Step 51000 | Order = 0.015177226765977374 | Time = 24s
Step 52000 | Order = 0.0045795037973563532 | Time = 25s
