Simulation #16, Parameters: eta = 0.049154 | rho = 0.232920 | v0 = 0.35586s
Step 0 | Order = 0.009155896387243569 | Time = 0s
Step 1000 | Order = 0.46673579274167631 | Time = 1s
Step 2000 | Order = 0.67458592991705812 | Time = 1s
Step 3000 | Order = 0.92703340191854366 | Time = 2s
Step 4000 | Order = 0.95706139719732364 | Time = 2s
Step 5000 | Order = 0.95239772766554431 | Time = 3s
Step 6000 | Order = 0.95524826091821302 | Time = 3s
Step 7000 | Order = 0.954037827316498 | Time = 4s
Step 8000 | Order = 0.95126783165919504 | Time = 4s
Step 9000 | Order = 0.95921356604715502 | Time = 5s
Step 10000 | Order = 0.95558817388233175 | Time = 5s
Step 11000 | Order = 0.95106360757083419 | Time = 5s
Step 12000 | Order = 0.95378275856742367 | Time = 6s
Step 13000 | Order = 0.95648194468281345 | Time = 6s
Step 14000 | Order = 0.95584596210786621 | Time = 7s
Step 15000 | Order = 0.95307627918979887 | Time = 7s
Step 16000 | Order = 0.9541373068714688 | Time = 8s
Step 17000 | Order = 0.95178897325805378 | Time = 8s
Step 18000 | Order = 0.95854738450994836 | Time = 8s
Step 19000 | Order = 0.95553585858637868 | Time = 9s
Step 20000 | Order = 0.95618419200534466 | Time = 9s
Step 21000 | Order = 0.95426532838186873 | Time = 10s
Step 22000 | Order = 0.95467381917249639 | Time = 10s
Step 23000 | Order = 0.96169855183483655 | Time = 10s
Step 24000 | Order = 0.94436114723458409 | Time = 11s
Step 25000 | Order = 0.94723341476054379 | Time = 11s
Step 26000 | Order = 0.95659318737456067 | Time = 12s
Step 27000 | Order = 0.95353088435309008 | Time = 12s
Step 28000 | Order = 0.9617934224257948 | Time = 13s
Step 29000 | Order = 0.94573482931850805 | Time = 13s
Step 30000 | Order = 0.94744723428251798 | Time = 13s
Step 31000 | Order = 0.96129584060069062 | Time = 14s
Step 32000 | Order = 0.96211722709384073 | Time = 14s
Step 33000 | Order = 0.95207527349018328 | Time = 15s
Step 34000 | Order = 0.94706468446492897 | Time = 15s
Step 35000 | Order = 0.95582216937846609 | Time = 16s
Step 36000 | Order = 0.96156465790645129 | Time = 16s
Step 37000 | Order = 0.95761190537660956 | Time = 17s
Step 38000 | Order = 0.94229803416590141 | Time = 17s
Step 39000 | Order = 0.96034474804126013 | Time = 17s
Step 40000 | Order = 0.94597605865756917 | Time = 18s
Step 41000 | Order = 0.95559250744474322 | Time = 18s
Step 42000 | Order = 0.96115298097460933 | Time = 19s
Step 43000 | Order = 0.96180068471011826 | Time = 19s
Step 44000 | Order = 0.953038008863206 | Time = 20s
Step 45000 | Order = 0.95474330638710458 | Time = 20s
Step 46000 | Order = 0.95155848138739363 | Time = 20s
Step 47000 | Order = 0.94456720872896871 | Time = 21s
Step 48000 | Order = 0.93640409010163772 | Time = 21s
Step 49000 | Order = 0.94815698679897831 | Time = 22s
Step 50000 | Order = 0.95410855326632049 | Time = 22s
Step 51000 | Order = 0.95485168395758335 | Time = 23s
Step 52000 | Order = 0.95685921878457869 | Time = 23s
Step 53000 | Order = 0.95671149484252749 | Time = 24s
Step 54000 | Order = 0.94521116484234025 | Time = 24s
Step 55000 | Order = 0.9542916309568652 | Time = 24s
Step 56000 | Order = 0.94594819243191886 | Time = 25s
Step 57000 | Order = 0.93827293257887345 | Time = 25s
Step 58000 | Order = 0.95213226558453823 | Time = 26s
Step 59000 | Order = 0.95933744310431845 | Time = 26s
Step 60000 | Order = 0.94672773387947873 | Time = 26s
Step 61000 | Order = 0.95769354829124342 | Time = 27s
Step 62000 | Order = 0.95597700708281474 | Time = 27s
Step 63000 | Order = 0.96378876141052716 | Time = 28s
Step 64000 | Order = 0.95074587650297449 | Time = 28s
