Simulation #12, Parameters: eta = 0.465634 | rho = 0.840957 | v0 = 0.465634s
Step 0 | Order = 0.0097524985648859801 | Time = 0s
Step 1000 | Order = 0.053298464490868488 | Time = 1s
Step 2000 | Order = 0.053568264090543369 | Time = 3s
Step 3000 | Order = 0.053576386792470163 | Time = 5s
Step 4000 | Order = 0.053576973944637778 | Time = 6s
Step 5000 | Order = 0.053577025209507474 | Time = 8s
Step 6000 | Order = 0.053577030061693842 | Time = 10s
Step 7000 | Order = 0.053577030568969584 | Time = 11s
Step 8000 | Order = 0.053577030628703629 | Time = 13s
Step 9000 | Order = 0.053577030636618582 | Time = 14s
Step 10000 | Order = 0.053577030637769321 | Time = 16s
Step 11000 | Order = 0.053577030637946839 | Time = 18s
Step 12000 | Order = 0.053577030637975233 | Time = 20s
Step 13000 | Order = 0.05357703063797991 | Time = 22s
Step 14000 | Order = 0.053577030637980673 | Time = 24s
Step 15000 | Order = 0.053577030637980784 | Time = 25s
Step 16000 | Order = 0.053577030637980819 | Time = 27s
Step 17000 | Order = 0.053577030637980819 | Time = 29s
Step 18000 | Order = 0.053577030637980819 | Time = 30s
Step 19000 | Order = 0.053577030637980819 | Time = 32s
Step 20000 | Order = 0.053577030637980826 | Time = 33s
Step 21000 | Order = 0.053577030637980812 | Time = 35s
Step 22000 | Order = 0.053577030637980812 | Time = 36s
Step 23000 | Order = 0.053577030637980819 | Time = 38s
Step 24000 | Order = 0.053577030637980812 | Time = 39s
Step 25000 | Order = 0.053577030637980819 | Time = 41s
Step 26000 | Order = 0.053577030637980812 | Time = 42s
Step 27000 | Order = 0.053577030637980819 | Time = 44s
Step 28000 | Order = 0.053577030637980812 | Time = 45s
Step 29000 | Order = 0.053577030637980812 | Time = 46s
Step 30000 | Order = 0.053577030637980819 | Time = 48s
Step 31000 | Order = 0.053577030637980819 | Time = 49s
Step 32000 | Order = 0.053577030637980812 | Time = 51s
Step 33000 | Order = 0.053577030637980819 | Time = 52s
Step 34000 | Order = 0.053577030637980812 | Time = 53s
Step 35000 | Order = 0.053577030637980819 | Time = 55s
Step 36000 | Order = 0.053577030637980812 | Time = 56s
Step 37000 | Order = 0.053577030637980819 | Time = 57s
Step 38000 | Order = 0.053577030637980819 | Time = 59s
Step 39000 | Order = 0.053577030637980819 | Time = 60s
Step 40000 | Order = 0.053577030637980812 | Time = 61s
Step 41000 | Order = 0.053577030637980812 | Time = 63s
Step 42000 | Order = 0.053577030637980812 | Time = 64s
Step 43000 | Order = 0.053577030637980819 | Time = 65s
Step 44000 | Order = 0.053577030637980819 | Time = 67s
Step 45000 | Order = 0.053577030637980819 | Time = 68s
Step 46000 | Order = 0.053577030637980812 | Time = 70s
Step 47000 | Order = 0.053577030637980819 | Time = 71s
Step 48000 | Order = 0.053577030637980819 | Time = 73s
Step 49000 | Order = 0.053577030637980812 | Time = 74s
Step 50000 | Order = 0.053577030637980812 | Time = 76s
Step 51000 | Order = 0.053577030637980819 | Time = 77s
Step 52000 | Order = 0.053577030637980819 | Time = 79s
Step 53000 | Order = 0.053577030637980819 | Time = 80s
Step 54000 | Order = 0.053577030637980819 | Time = 82s
Step 55000 | Order = 0.053577030637980812 | Time = 84s
Step 56000 | Order = 0.053577030637980819 | Time = 85s
Step 57000 | Order = 0.053577030637980812 | Time = 87s
Step 58000 | Order = 0.053577030637980819 | Time = 88s
Step 59000 | Order = 0.053577030637980819 | Time = 90s
Step 60000 | Order = 0.053577030637980819 | Time = 91s
Step 61000 | Order = 0.053577030637980819 | Time = 93s
Step 62000 | Order = 0.053577030637980812 | Time = 94s
Step 63000 | Order = 0.053577030637980819 | Time = 96s
Step 64000 | Order = 0.053577030637980819 | Time = 98s
Step 65000 | Order = 0.053577030637980819 | Time = 99s
Step 66000 | Order = 0.053577030637980819 | Time = 101s
Step 67000 | Order = 0.053577030637980819 | Time = 102s
Step 68000 | Order = 0.053577030637980812 | Time = 104s
Step 69000 | Order = 0.053577030637980819 | Time = 105s
Step 70000 | Order = 0.053577030637980819 | Time = 107s
Step 71000 | Order = 0.053577030637980819 | Time = 108s
Step 72000 | Order = 0.053577030637980819 | Time = 110s
Step 73000 | Order = 0.053577030637980819 | Time = 111s
Step 74000 | Order = 0.053577030637980812 | Time = 113s
Step 75000 | Order = 0.053577030637980819 | Time = 114s
Step 76000 | Order = 0.053577030637980819 | Time = 116s
Step 77000 | Order = 0.053577030637980819 | Time = 117s
Step 78000 | Order = 0.053577030637980819 | Time = 118s
Step 79000 | Order = 0.053577030637980812 | Time = 120s
Step 80000 | Order = 0.053577030637980819 | Time = 121s
Step 81000 | Order = 0.053577030637980819 | Time = 122s
Step 82000 | Order = 0.053577030637980812 | Time = 124s
Step 83000 | Order = 0.053577030637980819 | Time = 125s
Step 84000 | Order = 0.053577030637980812 | Time = 127s
Step 85000 | Order = 0.053577030637980812 | Time = 128s
Step 86000 | Order = 0.053577030637980819 | Time = 129s
Step 87000 | Order = 0.053577030637980819 | Time = 131s
Step 88000 | Order = 0.053577030637980812 | Time = 132s
Step 89000 | Order = 0.053577030637980819 | Time = 133s
Step 90000 | Order = 0.053577030637980812 | Time = 135s
Step 91000 | Order = 0.053577030637980819 | Time = 136s
Step 92000 | Order = 0.053577030637980819 | Time = 137s
Step 93000 | Order = 0.053577030637980819 | Time = 139s
Step 94000 | Order = 0.053577030637980812 | Time = 140s
Step 95000 | Order = 0.053577030637980826 | Time = 141s
Step 96000 | Order = 0.053577030637980819 | Time = 143s
Step 97000 | Order = 0.053577030637980819 | Time = 144s
Step 98000 | Order = 0.053577030637980819 | Time = 146s
Step 99000 | Order = 0.053577030637980819 | Time = 147s
Step 100000 | Order = 0.053577030637980819 | Time = 149s
Step 101000 | Order = 0.053577030637980819 | Time = 151s
Step 102000 | Order = 0.053577030637980819 | Time = 152s
Step 103000 | Order = 0.053577030637980812 | Time = 154s
Step 104000 | Order = 0.053577030637980819 | Time = 155s
Step 105000 | Order = 0.053577030637980819 | Time = 157s
Step 106000 | Order = 0.053577030637980819 | Time = 158s
Step 107000 | Order = 0.053577030637980819 | Time = 160s
Step 108000 | Order = 0.053577030637980819 | Time = 161s
Step 109000 | Order = 0.053577030637980812 | Time = 163s
Step 110000 | Order = 0.053577030637980819 | Time = 164s
Step 111000 | Order = 0.053577030637980819 | Time = 166s
Step 112000 | Order = 0.053577030637980812 | Time = 168s
Step 113000 | Order = 0.053577030637980812 | Time = 169s
Step 114000 | Order = 0.053577030637980812 | Time = 171s
Step 115000 | Order = 0.053577030637980819 | Time = 172s
Step 116000 | Order = 0.053577030637980812 | Time = 174s
Step 117000 | Order = 0.053577030637980819 | Time = 175s
Step 118000 | Order = 0.053577030637980819 | Time = 177s
Step 119000 | Order = 0.053577030637980819 | Time = 178s
Step 120000 | Order = 0.053577030637980819 | Time = 180s
Step 121000 | Order = 0.053577030637980819 | Time = 181s
Step 122000 | Order = 0.053577030637980819 | Time = 183s
Step 123000 | Order = 0.053577030637980819 | Time = 184s
Step 124000 | Order = 0.053577030637980819 | Time = 186s
Step 125000 | Order = 0.053577030637980819 | Time = 187s
Step 126000 | Order = 0.053577030637980812 | Time = 189s
Step 127000 | Order = 0.053577030637980812 | Time = 190s
Step 128000 | Order = 0.053577030637980819 | Time = 192s
Step 129000 | Order = 0.053577030637980819 | Time = 193s
Step 130000 | Order = 0.053577030637980812 | Time = 195s
Step 131000 | Order = 0.053577030637980812 | Time = 196s
Step 132000 | Order = 0.053577030637980812 | Time = 198s
Step 133000 | Order = 0.053577030637980819 | Time = 199s
Step 134000 | Order = 0.053577030637980812 | Time = 201s
Step 135000 | Order = 0.053577030637980812 | Time = 202s
Step 136000 | Order = 0.053577030637980812 | Time = 203s
Step 137000 | Order = 0.053577030637980819 | Time = 205s
Step 138000 | Order = 0.053577030637980812 | Time = 206s
Step 139000 | Order = 0.053577030637980812 | Time = 208s
Step 140000 | Order = 0.053577030637980819 | Time = 209s
Step 141000 | Order = 0.053577030637980812 | Time = 210s
Step 142000 | Order = 0.053577030637980819 | Time = 212s
Step 143000 | Order = 0.053577030637980819 | Time = 213s
Step 144000 | Order = 0.053577030637980819 | Time = 215s
Step 145000 | Order = 0.053577030637980819 | Time = 216s
Step 146000 | Order = 0.053577030637980819 | Time = 217s
Step 147000 | Order = 0.053577030637980812 | Time = 219s
Step 148000 | Order = 0.053577030637980812 | Time = 220s
Step 149000 | Order = 0.053577030637980819 | Time = 222s
Step 150000 | Order = 0.053577030637980812 | Time = 223s
Step 151000 | Order = 0.053577030637980819 | Time = 225s
Step 152000 | Order = 0.053577030637980826 | Time = 227s
Step 153000 | Order = 0.053577030637980819 | Time = 228s
Step 154000 | Order = 0.053577030637980812 | Time = 230s
Step 155000 | Order = 0.053577030637980819 | Time = 231s
Step 156000 | Order = 0.053577030637980826 | Time = 233s
Step 157000 | Order = 0.053577030637980819 | Time = 235s
Step 158000 | Order = 0.053577030637980819 | Time = 236s
Step 159000 | Order = 0.053577030637980819 | Time = 238s
