Simulation #122, Parameters: eta = 0.095840 | rho = 0.106524 | v0 = 0.0634708s
Step 0 | Order = 0.0077464284466162011 | Time = 0s
Step 1000 | Order = 0.09751200383419284 | Time = 0s
Step 2000 | Order = 0.21641313554574512 | Time = 0s
Step 3000 | Order = 0.14002168062107678 | Time = 0s
Step 4000 | Order = 0.33087128847981745 | Time = 0s
Step 5000 | Order = 0.29548792185598749 | Time = 1s
Step 6000 | Order = 0.34410774844641018 | Time = 1s
Step 7000 | Order = 0.36245799013689212 | Time = 1s
Step 8000 | Order = 0.26257687266760382 | Time = 1s
Step 9000 | Order = 0.19752610667697351 | Time = 1s
Step 10000 | Order = 0.15993673162926472 | Time = 2s
Step 11000 | Order = 0.079851969579676482 | Time = 2s
Step 12000 | Order = 0.40241793473403448 | Time = 2s
Step 13000 | Order = 0.39946767515747256 | Time = 2s
Step 14000 | Order = 0.26816061814511455 | Time = 2s
Step 15000 | Order = 0.41500493401477573 | Time = 3s
Step 16000 | Order = 0.48515787614391981 | Time = 3s
Step 17000 | Order = 0.36307109348632538 | Time = 3s
Step 18000 | Order = 0.22115713691891209 | Time = 3s
Step 19000 | Order = 0.18462723185954374 | Time = 3s
Step 20000 | Order = 0.30790640373480732 | Time = 4s
Step 21000 | Order = 0.44353170112178214 | Time = 4s
Step 22000 | Order = 0.17505325212700384 | Time = 4s
Step 23000 | Order = 0.34677391959695142 | Time = 4s
Step 24000 | Order = 0.32179897689071518 | Time = 4s
Step 25000 | Order = 0.40731427689893412 | Time = 4s
Step 26000 | Order = 0.29583793644799711 | Time = 5s
Step 27000 | Order = 0.37706441994496559 | Time = 5s
Step 28000 | Order = 0.39349914161357302 | Time = 5s
Step 29000 | Order = 0.3955976096352587 | Time = 5s
Step 30000 | Order = 0.46338892974444423 | Time = 5s
Step 31000 | Order = 0.4986749261820681 | Time = 6s
Step 32000 | Order = 0.38826225113703372 | Time = 6s
Step 33000 | Order = 0.31892486808928128 | Time = 6s
Step 34000 | Order = 0.44664941901941208 | Time = 6s
Step 35000 | Order = 0.4407107833923557 | Time = 6s
Step 36000 | Order = 0.39715720326970616 | Time = 7s
Step 37000 | Order = 0.39920269425440236 | Time = 7s
Step 38000 | Order = 0.43139407140709018 | Time = 7s
Step 39000 | Order = 0.38443873067735912 | Time = 7s
Step 40000 | Order = 0.44587337148389944 | Time = 7s
Step 41000 | Order = 0.38642357159295848 | Time = 8s
Step 42000 | Order = 0.46665490503630036 | Time = 8s
Step 43000 | Order = 0.40344370628318565 | Time = 9s
Step 44000 | Order = 0.23954160293564006 | Time = 9s
Step 45000 | Order = 0.14960288879613659 | Time = 10s
Step 46000 | Order = 0.20911423998194284 | Time = 10s
Step 47000 | Order = 0.20797715516544701 | Time = 10s
Step 48000 | Order = 0.20146549730337671 | Time = 10s
Step 49000 | Order = 0.35833585151407321 | Time = 10s
Step 50000 | Order = 0.3823556979843386 | Time = 11s
Step 51000 | Order = 0.3400278583250359 | Time = 11s
Step 52000 | Order = 0.44259518514826401 | Time = 11s
Step 53000 | Order = 0.38271992881429057 | Time = 11s
Step 54000 | Order = 0.41889116455927161 | Time = 12s
Step 55000 | Order = 0.36651921129590304 | Time = 12s
Step 56000 | Order = 0.32683665674605661 | Time = 12s
Step 57000 | Order = 0.41039774157822861 | Time = 12s
Step 58000 | Order = 0.45298791658436111 | Time = 12s
Step 59000 | Order = 0.4786703823415428 | Time = 13s
Step 60000 | Order = 0.48432321199054118 | Time = 15s
Step 61000 | Order = 0.4808642841521843 | Time = 16s
Step 62000 | Order = 0.59454144800400732 | Time = 16s
Step 63000 | Order = 0.39391302057917327 | Time = 16s
Step 64000 | Order = 0.52843416641725194 | Time = 16s
Step 65000 | Order = 0.40153861463603141 | Time = 17s
Step 66000 | Order = 0.29948346184736607 | Time = 17s
Step 67000 | Order = 0.22382039128402023 | Time = 17s
Step 68000 | Order = 0.33306682596801507 | Time = 17s
Step 69000 | Order = 0.51610279514271262 | Time = 18s
Step 70000 | Order = 0.55169388233282612 | Time = 18s
Step 71000 | Order = 0.53622754346594437 | Time = 18s
Step 72000 | Order = 0.4861853327171794 | Time = 18s
Step 73000 | Order = 0.56576231493669138 | Time = 18s
Step 74000 | Order = 0.44844133455217938 | Time = 19s
Step 75000 | Order = 0.60542030505745126 | Time = 19s
Step 76000 | Order = 0.52023665169657718 | Time = 19s
Step 77000 | Order = 0.50810436268255743 | Time = 19s
Step 78000 | Order = 0.48954261316236269 | Time = 19s
Step 79000 | Order = 0.38403355520778371 | Time = 20s
Step 80000 | Order = 0.29824366333476432 | Time = 20s
Step 81000 | Order = 0.34519354329087215 | Time = 20s
Step 82000 | Order = 0.31943330886209698 | Time = 20s
Step 83000 | Order = 0.25868514989066421 | Time = 20s
Step 84000 | Order = 0.085224826942762302 | Time = 21s
Step 85000 | Order = 0.14671304990572276 | Time = 21s
Step 86000 | Order = 0.087984449295342965 | Time = 21s
Step 87000 | Order = 0.15653323729321611 | Time = 21s
Step 88000 | Order = 0.076799348386113131 | Time = 22s
Step 89000 | Order = 0.28823999485969931 | Time = 22s
Step 90000 | Order = 0.32338341260380749 | Time = 22s
Step 91000 | Order = 0.5077821554311005 | Time = 22s
Step 92000 | Order = 0.45694682733692615 | Time = 22s
Step 93000 | Order = 0.41841123125440455 | Time = 23s
Step 94000 | Order = 0.47211169511770729 | Time = 23s
Step 95000 | Order = 0.40671671094414724 | Time = 23s
Step 96000 | Order = 0.33950355243987984 | Time = 23s
Step 97000 | Order = 0.36096392957978063 | Time = 24s
Step 98000 | Order = 0.35388344510729941 | Time = 24s
Step 99000 | Order = 0.45177240783084149 | Time = 25s
Step 100000 | Order = 0.38122888943651745 | Time = 25s
Step 101000 | Order = 0.45019663077528654 | Time = 25s
Step 102000 | Order = 0.38309456047513613 | Time = 26s
Step 103000 | Order = 0.24959720051577569 | Time = 26s
Step 104000 | Order = 0.43535363512001829 | Time = 26s
Step 105000 | Order = 0.46868139635644906 | Time = 26s
Step 106000 | Order = 0.29917311526196055 | Time = 27s
Step 107000 | Order = 0.33739077277557855 | Time = 27s
Step 108000 | Order = 0.35826264887202885 | Time = 27s
Step 109000 | Order = 0.44231729662616553 | Time = 27s
Step 110000 | Order = 0.40550278890056546 | Time = 27s
Step 111000 | Order = 0.39253649845292088 | Time = 28s
Step 112000 | Order = 0.25410576939320306 | Time = 28s
Step 113000 | Order = 0.31116785944668818 | Time = 28s
Step 114000 | Order = 0.34705931997624279 | Time = 28s
Step 115000 | Order = 0.34079204616073216 | Time = 28s
Step 116000 | Order = 0.43747286988249678 | Time = 29s
Step 117000 | Order = 0.3968684797769797 | Time = 29s
Step 118000 | Order = 0.28132347247495409 | Time = 29s
Step 119000 | Order = 0.28273704854047693 | Time = 29s
Step 120000 | Order = 0.32490091860621301 | Time = 30s
Step 121000 | Order = 0.24237903505357944 | Time = 30s
Step 122000 | Order = 0.1069107943812052 | Time = 30s
Step 123000 | Order = 0.16736648984049668 | Time = 30s
Step 124000 | Order = 0.11637666171797609 | Time = 30s
Step 125000 | Order = 0.27891561467520581 | Time = 31s
Step 126000 | Order = 0.22180871108541975 | Time = 31s
Step 127000 | Order = 0.27200942291951558 | Time = 32s
Step 128000 | Order = 0.39061734212882809 | Time = 32s
Step 129000 | Order = 0.31872828574307538 | Time = 32s
Step 130000 | Order = 0.4258941935678372 | Time = 32s
Step 131000 | Order = 0.2652348325517625 | Time = 32s
Step 132000 | Order = 0.3454080450134478 | Time = 33s
Step 133000 | Order = 0.29115485288362197 | Time = 33s
Step 134000 | Order = 0.40243088285649109 | Time = 33s
Step 135000 | Order = 0.31866895975747572 | Time = 33s
Step 136000 | Order = 0.24055776631279865 | Time = 34s
Step 137000 | Order = 0.17247484034433966 | Time = 34s
Step 138000 | Order = 0.40011240509064322 | Time = 34s
Step 139000 | Order = 0.3203802717734367 | Time = 34s
Step 140000 | Order = 0.076575617998101669 | Time = 34s
Step 141000 | Order = 0.3767561430502388 | Time = 35s
Step 142000 | Order = 0.27829798390644594 | Time = 35s
Step 143000 | Order = 0.30470821162235112 | Time = 35s
Step 144000 | Order = 0.25503265285905952 | Time = 35s
Step 145000 | Order = 0.43568734580439172 | Time = 36s
Step 146000 | Order = 0.47032907389182194 | Time = 36s
Step 147000 | Order = 0.34673664997894438 | Time = 36s
Step 148000 | Order = 0.38687985293963945 | Time = 36s
Step 149000 | Order = 0.44250898590111676 | Time = 37s
Step 150000 | Order = 0.54697294587365441 | Time = 37s
Step 151000 | Order = 0.48581153364755569 | Time = 37s
Step 152000 | Order = 0.33054421987870269 | Time = 38s
Step 153000 | Order = 0.40879971598202014 | Time = 38s
Step 154000 | Order = 0.35559190278644254 | Time = 38s
Step 155000 | Order = 0.23308826061429316 | Time = 39s
Step 156000 | Order = 0.26974356986331949 | Time = 39s
Step 157000 | Order = 0.14801729981016801 | Time = 39s
Step 158000 | Order = 0.077165710181705233 | Time = 39s
Step 159000 | Order = 0.22999885805768391 | Time = 40s
Step 160000 | Order = 0.18092182963887465 | Time = 40s
Step 161000 | Order = 0.2561692246782048 | Time = 40s
Step 162000 | Order = 0.27223350056640588 | Time = 41s
Step 163000 | Order = 0.28362748190193854 | Time = 41s
