Simulation #132, Parameters: eta = 0.957663 | rho = 0.205192 | v0 = 0.0486612s
Step 0 | Order = 0.011230274787566242 | Time = 0s
Step 1000 | Order = 0.023105374888179545 | Time = 1s
Step 2000 | Order = 0.017964731385327372 | Time = 2s
Step 3000 | Order = 0.013961625673580403 | Time = 2s
Step 4000 | Order = 0.016638707004509153 | Time = 2s
Step 5000 | Order = 0.016771953257369118 | Time = 2s
Step 6000 | Order = 0.01418702834459319 | Time = 3s
Step 7000 | Order = 0.021288671201704638 | Time = 3s
Step 8000 | Order = 0.027980482711673638 | Time = 3s
Step 9000 | Order = 0.021464961387083929 | Time = 3s
Step 10000 | Order = 0.02304761550067793 | Time = 4s
Step 11000 | Order = 0.024328707340696608 | Time = 4s
Step 12000 | Order = 0.022447851757617918 | Time = 4s
Step 13000 | Order = 0.010239050815094611 | Time = 4s
Step 14000 | Order = 0.0083395588132509305 | Time = 5s
Step 15000 | Order = 0.0072414812300474552 | Time = 5s
Step 16000 | Order = 0.018330418625890257 | Time = 5s
Step 17000 | Order = 0.0038089407944648765 | Time = 5s
Step 18000 | Order = 0.01697144940451532 | Time = 5s
Step 19000 | Order = 0.0045478186751740091 | Time = 6s
Step 20000 | Order = 0.012315360686506608 | Time = 6s
Step 21000 | Order = 0.022534142704384072 | Time = 6s
Step 22000 | Order = 0.014799571162616938 | Time = 6s
Step 23000 | Order = 0.0066158493049158686 | Time = 7s
Step 24000 | Order = 0.0094303069995345812 | Time = 7s
Step 25000 | Order = 0.040174624615830205 | Time = 7s
Step 26000 | Order = 0.015146812866008667 | Time = 7s
Step 27000 | Order = 0.0088637190986492909 | Time = 8s
Step 28000 | Order = 0.017497382762150352 | Time = 8s
Step 29000 | Order = 0.01188885035717595 | Time = 8s
Step 30000 | Order = 0.0019062775435172985 | Time = 8s
Step 31000 | Order = 0.014854330244170752 | Time = 8s
Step 32000 | Order = 0.01197487802311991 | Time = 9s
Step 33000 | Order = 0.047092949059898075 | Time = 9s
Step 34000 | Order = 0.0082687401522826467 | Time = 9s
Step 35000 | Order = 0.025967739080338854 | Time = 9s
Step 36000 | Order = 0.015170719083191748 | Time = 10s
Step 37000 | Order = 0.020213679084521711 | Time = 10s
Step 38000 | Order = 0.018171857039064019 | Time = 10s
Step 39000 | Order = 0.018280678434499729 | Time = 10s
Step 40000 | Order = 0.015934545596779082 | Time = 10s
Step 41000 | Order = 0.017602877097709971 | Time = 11s
Step 42000 | Order = 0.012055047811328934 | Time = 11s
Step 43000 | Order = 0.025999699672914274 | Time = 11s
Step 44000 | Order = 0.024633063428509249 | Time = 11s
Step 45000 | Order = 0.021235030457727185 | Time = 12s
