Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 112000 | Order = 0.044397591181975282 | Time = 31s
Step 113000 | Order = 0.024070261854128867 | Time = 32s
Step 114000 | Order = 0.045983127545558874 | Time = 32s
Step 115000 | Order = 0.0054346006886773291 | Time = 32s
Step 116000 | Order = 0.046858878619991599 | Time = 32s
Step 117000 | Order = 0.041298402381401894 | Time = 33s
Step 118000 | Order = 0.013200643764930338 | Time = 33s
Step 119000 | Order = 0.027055313088747684 | Time = 33s
Step 120000 | Order = 0.022971668972358115 | Time = 33s
Step 121000 | Order = 0.048874721523124248 | Time = 33s
Step 122000 | Order = 0.028718320252596814 | Time = 34s
Step 123000 | Order = 0.028203862260751802 | Time = 34s
Step 124000 | Order = 0.014345080807367443 | Time = 34s
Step 125000 | Order = 0.013740524053668943 | Time = 34s
Step 126000 | Order = 0.025296577323981231 | Time = 34s
Step 127000 | Order = 0.029726075123223523 | Time = 35s
Step 128000 | Order = 0.037013238930674729 | Time = 35s
Step 129000 | Order = 0.011080810511266723 | Time = 35s
Step 130000 | Order = 0.020440968662065937 | Time = 35s
Step 131000 | Order = 0.062031198390222794 | Time = 36s
Step 132000 | Order = 0.041853301865122365 | Time = 36s
Step 133000 | Order = 0.053960264773699182 | Time = 36s
Step 134000 | Order = 0.023993995758423627 | Time = 36s
Step 135000 | Order = 0.0035276304924913597 | Time = 36s
Step 136000 | Order = 0.023325111526711389 | Time = 37s
Step 137000 | Order = 0.0066189282280030856 | Time = 37s
Step 138000 | Order = 0.0078221196093589112 | Time = 37s
Step 139000 | Order = 0.017699195897021534 | Time = 38s
Step 140000 | Order = 0.01375317985888758 | Time = 38s
Step 141000 | Order = 0.032794069775533147 | Time = 38s
Step 142000 | Order = 0.027131590917962446 | Time = 38s
Step 143000 | Order = 0.033053175550650328 | Time = 38s
Step 144000 | Order = 0.029382653252858777 | Time = 39s
Step 145000 | Order = 0.056099180576510012 | Time = 39s
Step 146000 | Order = 0.016504570427560723 | Time = 39s
Step 147000 | Order = 0.027516604106518884 | Time = 39s
Step 148000 | Order = 0.042367062019485369 | Time = 40s
Step 149000 | Order = 0.015111744677943533 | Time = 40s
Step 150000 | Order = 0.013244913452002795 | Time = 40s
Step 151000 | Order = 0.0055455642612486835 | Time = 41s
Step 152000 | Order = 0.028189817086919776 | Time = 41s
Step 153000 | Order = 0.038480569147147453 | Time = 42s
Step 154000 | Order = 0.023621358846692246 | Time = 42s
Step 155000 | Order = 0.031080552814675318 | Time = 42s
Step 156000 | Order = 0.066608472534579688 | Time = 42s
Step 157000 | Order = 0.058719448968849383 | Time = 43s
Step 158000 | Order = 0.037199820690995117 | Time = 43s
Step 159000 | Order = 0.022000144720268611 | Time = 43s
Step 160000 | Order = 0.016940043559767477 | Time = 43s
Step 161000 | Order = 0.014786936317513565 | Time = 43s
Step 162000 | Order = 0.038425363508600152 | Time = 44s
Step 163000 | Order = 0.023880629920147275 | Time = 44s
Step 164000 | Order = 0.022066988141144734 | Time = 44s
Step 165000 | Order = 0.021724755809666815 | Time = 44s
Step 166000 | Order = 0.037300831924117948 | Time = 45s
Step 167000 | Order = 0.018173232924210834 | Time = 45s
Step 168000 | Order = 0.046331709379334292 | Time = 45s
Step 169000 | Order = 0.015450867824743553 | Time = 45s
Step 170000 | Order = 0.011175698025571957 | Time = 46s
Step 171000 | Order = 0.020289833227087318 | Time = 46s
Step 172000 | Order = 0.025901341368575113 | Time = 46s
Step 173000 | Order = 0.039018274616595919 | Time = 46s
Step 174000 | Order = 0.024919541995427699 | Time = 47s
Step 175000 | Order = 0.020832215666822435 | Time = 47s
Step 176000 | Order = 0.034337835860874522 | Time = 47s
Step 177000 | Order = 0.034190358075463188 | Time = 47s
Step 178000 | Order = 0.031261284325608998 | Time = 47s
Step 179000 | Order = 0.0399587035740019 | Time = 48s
Step 180000 | Order = 0.01177152157938576 | Time = 48s
Step 181000 | Order = 0.0056119314755375049 | Time = 48s
Step 182000 | Order = 0.014723071762012811 | Time = 48s
Step 183000 | Order = 0.043440131452084134 | Time = 48s
Step 184000 | Order = 0.032636150512800714 | Time = 49s
Step 185000 | Order = 0.015050242468197134 | Time = 49s
Step 186000 | Order = 0.030774392068469627 | Time = 49s
Step 187000 | Order = 0.037475199715612369 | Time = 49s
Step 188000 | Order = 0.01012745399712444 | Time = 50s
Step 189000 | Order = 0.012962686297932643 | Time = 50s
Step 190000 | Order = 0.014558483554007849 | Time = 50s
Step 191000 | Order = 0.011663071784991669 | Time = 50s
Step 192000 | Order = 0.037584003179719147 | Time = 51s
Step 193000 | Order = 0.0045292667377561857 | Time = 51s
Step 194000 | Order = 0.012557535619828695 | Time = 51s
Step 195000 | Order = 0.028015863174098047 | Time = 51s
Step 196000 | Order = 0.038809499901667689 | Time = 51s
Step 197000 | Order = 0.016013676657687787 | Time = 52s
Step 198000 | Order = 0.015489345006270921 | Time = 52s
Step 199000 | Order = 0.0062673686064499464 | Time = 52s
Step 200000 | Order = 0.049607469168872417 | Time = 52s
Step 201000 | Order = 0.046722754747661036 | Time = 55s
Step 202000 | Order = 0.021266842207194464 | Time = 55s
Step 203000 | Order = 0.015020921326584931 | Time = 56s
Step 204000 | Order = 0.014461668205969674 | Time = 56s
Step 205000 | Order = 0.032550355721169301 | Time = 56s
Step 206000 | Order = 0.019032906805021638 | Time = 56s
Step 207000 | Order = 0.011328593083201383 | Time = 56s
Step 208000 | Order = 0.0039416439040344826 | Time = 57s
Step 209000 | Order = 0.0055449582689828577 | Time = 57s
Step 210000 | Order = 0.028415065972284229 | Time = 57s
Step 211000 | Order = 0.033281819332229658 | Time = 57s
Step 212000 | Order = 0.030736494605137051 | Time = 58s
Step 213000 | Order = 0.030460203842967788 | Time = 58s
Step 214000 | Order = 0.022818900093551062 | Time = 58s
Step 215000 | Order = 0.011208433249213733 | Time = 58s
Step 216000 | Order = 0.0086352824742248514 | Time = 59s
Step 217000 | Order = 0.025900593322884413 | Time = 59s
Step 218000 | Order = 0.025781911200398213 | Time = 59s
Step 219000 | Order = 0.011460750747349783 | Time = 59s
Step 220000 | Order = 0.044517069261108495 | Time = 60s
Step 221000 | Order = 0.014392056249190316 | Time = 60s
Step 222000 | Order = 0.03497732974593034 | Time = 60s
Step 223000 | Order = 0.023053730323418651 | Time = 60s
Step 224000 | Order = 0.041781739716837886 | Time = 60s
Step 225000 | Order = 0.05003755751412594 | Time = 61s
Step 226000 | Order = 0.025400281525305289 | Time = 61s
Step 227000 | Order = 0.012356395569287203 | Time = 61s
Step 228000 | Order = 0.01508989487397624 | Time = 61s
Step 229000 | Order = 0.043937282447556396 | Time = 61s
Step 230000 | Order = 0.0017202829131961659 | Time = 62s
Step 231000 | Order = 0.019404099382769619 | Time = 62s
Step 232000 | Order = 0.023431884305752961 | Time = 62s
