Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 112000 | Order = 0.035499175401774698 | Time = 19s
Step 113000 | Order = 0.013299519219544823 | Time = 19s
Step 114000 | Order = 0.047839158215668878 | Time = 19s
Step 115000 | Order = 0.034657598278553303 | Time = 19s
Step 116000 | Order = 0.031965832577290548 | Time = 19s
Step 117000 | Order = 0.0016404825009690282 | Time = 20s
Step 118000 | Order = 0.056635370351358197 | Time = 20s
Step 119000 | Order = 0.031304102825331033 | Time = 20s
Step 120000 | Order = 0.015732736208070731 | Time = 20s
Step 121000 | Order = 0.0053373660490581782 | Time = 20s
Step 122000 | Order = 0.014793860202417594 | Time = 20s
Step 123000 | Order = 0.019585909217463001 | Time = 20s
Step 124000 | Order = 0.024063932766707694 | Time = 20s
Step 125000 | Order = 0.013329767487194827 | Time = 21s
Step 126000 | Order = 0.034455261226602675 | Time = 21s
Step 127000 | Order = 0.026231429297711141 | Time = 21s
Step 128000 | Order = 0.021333309328636207 | Time = 21s
Step 129000 | Order = 0.043985052074611931 | Time = 21s
Step 130000 | Order = 0.014828982314943579 | Time = 21s
Step 131000 | Order = 0.015216722517191406 | Time = 21s
Step 132000 | Order = 0.049793615248332201 | Time = 22s
Step 133000 | Order = 0.018064625408839824 | Time = 22s
Step 134000 | Order = 0.028502548900241897 | Time = 22s
Step 135000 | Order = 0.04152766611850485 | Time = 22s
Step 136000 | Order = 0.027317966924442827 | Time = 22s
Step 137000 | Order = 0.017474332069993857 | Time = 22s
Step 138000 | Order = 0.022497068488019484 | Time = 22s
Step 139000 | Order = 0.020914653365682285 | Time = 22s
Step 140000 | Order = 0.0068749901911442481 | Time = 23s
Step 141000 | Order = 0.027159638931592532 | Time = 23s
Step 142000 | Order = 0.029650062177037969 | Time = 23s
Step 143000 | Order = 0.010517534551073716 | Time = 23s
Step 144000 | Order = 0.030453818210311484 | Time = 23s
Step 145000 | Order = 0.036892113927110851 | Time = 23s
Step 146000 | Order = 0.035793254799563065 | Time = 23s
Step 147000 | Order = 0.036572578239946231 | Time = 23s
Step 148000 | Order = 0.01227305128081731 | Time = 24s
Step 149000 | Order = 0.025657200767696949 | Time = 24s
Step 150000 | Order = 0.03234309167903212 | Time = 24s
Step 151000 | Order = 0.016806911934109436 | Time = 31s
Step 152000 | Order = 0.023422744607346425 | Time = 32s
Step 153000 | Order = 0.02141256682686879 | Time = 32s
Step 154000 | Order = 0.010607653853025397 | Time = 32s
Step 155000 | Order = 0.020041315447366221 | Time = 32s
Step 156000 | Order = 0.023157927989406274 | Time = 32s
Step 157000 | Order = 0.046269136496668466 | Time = 33s
Step 158000 | Order = 0.014229985989241641 | Time = 33s
Step 159000 | Order = 0.046083057032804416 | Time = 33s
Step 160000 | Order = 0.037582737191209366 | Time = 33s
Step 161000 | Order = 0.050732014517033304 | Time = 33s
Step 162000 | Order = 0.025450341878094973 | Time = 33s
Step 163000 | Order = 0.031774700831535593 | Time = 33s
Step 164000 | Order = 0.0089550135813958823 | Time = 33s
Step 165000 | Order = 0.035250373975486422 | Time = 34s
Step 166000 | Order = 0.045343329416607327 | Time = 34s
Step 167000 | Order = 0.019749215082321383 | Time = 34s
Step 168000 | Order = 0.051369159919824624 | Time = 34s
Step 169000 | Order = 0.013954573629623265 | Time = 34s
Step 170000 | Order = 0.016071402359901826 | Time = 34s
Step 171000 | Order = 0.036660976420214854 | Time = 34s
Step 172000 | Order = 0.048460353470836555 | Time = 35s
Step 173000 | Order = 0.0209939582746126 | Time = 35s
Step 174000 | Order = 0.014560207985720917 | Time = 35s
Step 175000 | Order = 0.048539567113174038 | Time = 35s
Step 176000 | Order = 0.048967766396748498 | Time = 35s
Step 177000 | Order = 0.011502163821926903 | Time = 35s
Step 178000 | Order = 0.031792828438982866 | Time = 35s
Step 179000 | Order = 0.01741753565336765 | Time = 35s
Step 180000 | Order = 0.015563015712139118 | Time = 36s
Step 181000 | Order = 0.0093537085547598028 | Time = 36s
Step 182000 | Order = 0.018940977512712048 | Time = 36s
Step 183000 | Order = 0.014024394899998944 | Time = 36s
Step 184000 | Order = 0.031672464492509267 | Time = 36s
Step 185000 | Order = 0.0079470415263035825 | Time = 36s
Step 186000 | Order = 0.026472499622127658 | Time = 36s
Step 187000 | Order = 0.0024700422818631374 | Time = 36s
Step 188000 | Order = 0.020615832908034714 | Time = 37s
Step 189000 | Order = 0.015952338548705473 | Time = 37s
Step 190000 | Order = 0.018926496253893175 | Time = 37s
Step 191000 | Order = 0.023213381865088454 | Time = 37s
Step 192000 | Order = 0.044251789746562846 | Time = 37s
Step 193000 | Order = 0.021608375574856495 | Time = 37s
Step 194000 | Order = 0.033196770478344066 | Time = 37s
Step 195000 | Order = 0.020599248292402481 | Time = 37s
Step 196000 | Order = 0.044107140204422621 | Time = 38s
Step 197000 | Order = 0.014803070135235144 | Time = 38s
Step 198000 | Order = 0.039434656620142568 | Time = 38s
Step 199000 | Order = 0.047567381613225629 | Time = 38s
Step 200000 | Order = 0.025097159509897653 | Time = 38s
Step 201000 | Order = 0.0044933132046342753 | Time = 41s
Step 202000 | Order = 0.015774498449663093 | Time = 41s
Step 203000 | Order = 0.012865784459517179 | Time = 41s
Step 204000 | Order = 0.033174116697380455 | Time = 41s
Step 205000 | Order = 0.0074005701389388955 | Time = 42s
Step 206000 | Order = 0.007569181863330247 | Time = 42s
Step 207000 | Order = 0.013960657480633147 | Time = 42s
Step 208000 | Order = 0.027019137941898655 | Time = 42s
Step 209000 | Order = 0.058276294535373363 | Time = 42s
Step 210000 | Order = 0.014601620199734187 | Time = 42s
Step 211000 | Order = 0.020524502888377278 | Time = 42s
Step 212000 | Order = 0.026223258055175218 | Time = 42s
Step 213000 | Order = 0.021524907387694945 | Time = 43s
Step 214000 | Order = 0.017498882871955983 | Time = 43s
Step 215000 | Order = 0.032447791778629255 | Time = 43s
Step 216000 | Order = 0.011725743540111119 | Time = 43s
Step 217000 | Order = 0.015634191421389967 | Time = 43s
Step 218000 | Order = 0.011938718618556157 | Time = 43s
Step 219000 | Order = 0.03069297743473872 | Time = 43s
Step 220000 | Order = 0.0322485357289682 | Time = 43s
Step 221000 | Order = 0.01715597987318437 | Time = 44s
Step 222000 | Order = 0.016231301682005025 | Time = 44s
Step 223000 | Order = 0.024861958515107817 | Time = 44s
Step 224000 | Order = 0.019737609498431258 | Time = 44s
Step 225000 | Order = 0.019556822780989316 | Time = 44s
Step 226000 | Order = 0.026314538402921663 | Time = 44s
Step 227000 | Order = 0.025967412816675521 | Time = 44s
Step 228000 | Order = 0.034170629891039389 | Time = 45s
Step 229000 | Order = 0.018075001615529093 | Time = 45s
Step 230000 | Order = 0.02143272128661557 | Time = 45s
Step 231000 | Order = 0.002523537845093674 | Time = 45s
