Simulation #37, Parameters: eta = 0.124886 | rho = 0.178772 | v0 = 0.0130329s
Step 112000 | Order = 0.35173503786599891 | Time = 38s
Step 113000 | Order = 0.49617161040736291 | Time = 39s
Step 114000 | Order = 0.5378621658272108 | Time = 39s
Step 115000 | Order = 0.59154275938628553 | Time = 40s
Step 116000 | Order = 0.63713788288617246 | Time = 40s
Step 117000 | Order = 0.5998109835232408 | Time = 40s
Step 118000 | Order = 0.56776090707863991 | Time = 41s
Step 119000 | Order = 0.54360561534577945 | Time = 41s
Step 120000 | Order = 0.4098464972024215 | Time = 42s
Step 121000 | Order = 0.41380125938861062 | Time = 42s
Step 122000 | Order = 0.41931175961973333 | Time = 42s
Step 123000 | Order = 0.1786710939034088 | Time = 43s
Step 124000 | Order = 0.30781630011284783 | Time = 43s
Step 125000 | Order = 0.22934442889456175 | Time = 44s
Step 126000 | Order = 0.33052463288158734 | Time = 44s
Step 127000 | Order = 0.39376965842973544 | Time = 44s
Step 128000 | Order = 0.55187288114054467 | Time = 45s
Step 129000 | Order = 0.46950932336798618 | Time = 45s
Step 130000 | Order = 0.4314794197432516 | Time = 46s
Step 131000 | Order = 0.21154046251602479 | Time = 46s
Step 132000 | Order = 0.158644840624349 | Time = 46s
Step 133000 | Order = 0.26995127087148046 | Time = 47s
Step 134000 | Order = 0.26035818736793831 | Time = 47s
Step 135000 | Order = 0.22265643473619201 | Time = 48s
Step 136000 | Order = 0.18759840915270448 | Time = 48s
Step 137000 | Order = 0.21518578401307831 | Time = 48s
Step 138000 | Order = 0.3435402671264583 | Time = 49s
Step 139000 | Order = 0.16558235975609778 | Time = 49s
Step 140000 | Order = 0.21850076344269181 | Time = 49s
Step 141000 | Order = 0.24423824569765287 | Time = 50s
Step 142000 | Order = 0.21942617411132423 | Time = 50s
Step 143000 | Order = 0.33636666250544378 | Time = 51s
Step 144000 | Order = 0.23547408121505375 | Time = 51s
Step 145000 | Order = 0.11629490972811132 | Time = 51s
Step 146000 | Order = 0.25339136620988373 | Time = 52s
Step 147000 | Order = 0.2887048259973804 | Time = 52s
Step 148000 | Order = 0.35580347382296945 | Time = 53s
Step 149000 | Order = 0.21433924630819085 | Time = 53s
Step 150000 | Order = 0.10927448857087044 | Time = 53s
Step 151000 | Order = 0.16621328003504773 | Time = 54s
