Simulation #132, Parameters: eta = 0.957663 | rho = 0.205192 | v0 = 0.0486612s
Step 0 | Order = 0.011704210295031355 | Time = 0s
Step 1000 | Order = 0.018582758388799501 | Time = 2s
Step 2000 | Order = 0.030732020272540191 | Time = 2s
Step 3000 | Order = 0.015868880714459431 | Time = 2s
Step 4000 | Order = 0.045048000056760858 | Time = 2s
Step 5000 | Order = 0.026807631322433485 | Time = 2s
Step 6000 | Order = 0.018709523953109854 | Time = 3s
Step 7000 | Order = 0.036333485884996096 | Time = 3s
Step 8000 | Order = 0.020997563909110166 | Time = 3s
Step 9000 | Order = 0.011433456102281891 | Time = 3s
Step 10000 | Order = 0.010183128546660293 | Time = 4s
Step 11000 | Order = 0.014924589611457637 | Time = 4s
Step 12000 | Order = 0.00087850063991801641 | Time = 4s
Step 13000 | Order = 0.018528228728469584 | Time = 4s
Step 14000 | Order = 0.0064370856686924239 | Time = 4s
Step 15000 | Order = 0.0038560430446763164 | Time = 5s
Step 16000 | Order = 0.028501142627744152 | Time = 5s
Step 17000 | Order = 0.023354443063049075 | Time = 5s
Step 18000 | Order = 0.00072030411490821191 | Time = 5s
Step 19000 | Order = 0.011228158152355842 | Time = 6s
Step 20000 | Order = 0.011911548253621966 | Time = 6s
Step 21000 | Order = 0.021144003629853657 | Time = 6s
Step 22000 | Order = 0.0046306902912978077 | Time = 6s
Step 23000 | Order = 0.00831106540860585 | Time = 7s
Step 24000 | Order = 0.012898553684416308 | Time = 7s
Step 25000 | Order = 0.010194839766204132 | Time = 7s
Step 26000 | Order = 0.029527656060610724 | Time = 7s
Step 27000 | Order = 0.036092818511740031 | Time = 7s
Step 28000 | Order = 0.016613504856185041 | Time = 8s
Step 29000 | Order = 0.021682251558265132 | Time = 8s
Step 30000 | Order = 0.0084153300600798755 | Time = 8s
Step 31000 | Order = 0.019148500360680689 | Time = 8s
Step 32000 | Order = 0.0091560430400550227 | Time = 9s
Step 33000 | Order = 0.024944900157290131 | Time = 9s
Step 34000 | Order = 0.013787125865721381 | Time = 9s
Step 35000 | Order = 0.0019809032055105764 | Time = 9s
Step 36000 | Order = 0.012169588349212355 | Time = 9s
Step 37000 | Order = 0.03014769163616323 | Time = 10s
Step 38000 | Order = 0.025616046595439517 | Time = 10s
Step 39000 | Order = 0.013382809835848591 | Time = 10s
Step 40000 | Order = 0.023120390576417005 | Time = 10s
Step 41000 | Order = 0.017474904407869873 | Time = 11s
Step 42000 | Order = 0.021308539322164931 | Time = 11s
Step 43000 | Order = 0.021357356949118115 | Time = 11s
Step 44000 | Order = 0.016794004780466845 | Time = 11s
Step 45000 | Order = 0.018398713129091346 | Time = 11s
Step 46000 | Order = 0.0098996030034409817 | Time = 12s
Step 47000 | Order = 0.016688566272548912 | Time = 12s
Step 48000 | Order = 0.011389447696248396 | Time = 12s
Step 49000 | Order = 0.033581883314668493 | Time = 12s
Step 50000 | Order = 0.0067455922386947427 | Time = 13s
Step 51000 | Order = 0.016777946177908554 | Time = 13s
Step 52000 | Order = 0.019752858094006776 | Time = 13s
Step 53000 | Order = 0.021230021394752441 | Time = 14s
Step 54000 | Order = 0.0043566704775347071 | Time = 14s
Step 55000 | Order = 0.0075968415340531888 | Time = 14s
Step 56000 | Order = 0.015349729701728479 | Time = 14s
Step 57000 | Order = 0.012450387024790656 | Time = 14s
Step 58000 | Order = 0.0084239408919020275 | Time = 15s
Step 59000 | Order = 0.0241496108307248 | Time = 15s
Step 60000 | Order = 0.0089711990586513954 | Time = 15s
