Simulation #68, Parameters: eta = 0.035364 | rho = 0.612593 | v0 = 0.0353637s
Step 0 | Order = 0.033853067118822272 | Time = 0s
Step 1000 | Order = 0.044016700990879482 | Time = 1s
Step 2000 | Order = 0.044016700564317446 | Time = 2s
Step 3000 | Order = 0.044016700564317397 | Time = 3s
Step 4000 | Order = 0.044016700564317404 | Time = 5s
Step 5000 | Order = 0.044016700564317397 | Time = 6s
Step 6000 | Order = 0.044016700564317397 | Time = 7s
Step 7000 | Order = 0.044016700564317404 | Time = 8s
Step 8000 | Order = 0.044016700564317404 | Time = 9s
Step 9000 | Order = 0.044016700564317397 | Time = 11s
Step 10000 | Order = 0.044016700564317397 | Time = 12s
Step 11000 | Order = 0.044016700564317397 | Time = 13s
Step 12000 | Order = 0.044016700564317404 | Time = 14s
Step 13000 | Order = 0.044016700564317397 | Time = 15s
Step 14000 | Order = 0.044016700564317404 | Time = 17s
Step 15000 | Order = 0.044016700564317397 | Time = 18s
Step 16000 | Order = 0.044016700564317397 | Time = 19s
Step 17000 | Order = 0.044016700564317397 | Time = 20s
Step 18000 | Order = 0.044016700564317397 | Time = 21s
Step 19000 | Order = 0.044016700564317397 | Time = 22s
Step 20000 | Order = 0.044016700564317397 | Time = 24s
Step 21000 | Order = 0.044016700564317397 | Time = 25s
Step 22000 | Order = 0.044016700564317397 | Time = 26s
Step 23000 | Order = 0.044016700564317397 | Time = 27s
Step 24000 | Order = 0.044016700564317404 | Time = 29s
Step 25000 | Order = 0.044016700564317397 | Time = 30s
Step 26000 | Order = 0.044016700564317397 | Time = 31s
Step 27000 | Order = 0.044016700564317397 | Time = 32s
Step 28000 | Order = 0.044016700564317397 | Time = 33s
Step 29000 | Order = 0.044016700564317397 | Time = 35s
Step 30000 | Order = 0.044016700564317397 | Time = 36s
Step 31000 | Order = 0.044016700564317397 | Time = 37s
Step 32000 | Order = 0.044016700564317397 | Time = 38s
Step 33000 | Order = 0.044016700564317397 | Time = 39s
Step 34000 | Order = 0.044016700564317397 | Time = 41s
Step 35000 | Order = 0.044016700564317404 | Time = 42s
Step 36000 | Order = 0.044016700564317397 | Time = 43s
Step 37000 | Order = 0.044016700564317397 | Time = 44s
Step 38000 | Order = 0.044016700564317404 | Time = 46s
Step 39000 | Order = 0.044016700564317397 | Time = 47s
Step 40000 | Order = 0.044016700564317397 | Time = 48s
Step 41000 | Order = 0.044016700564317397 | Time = 50s
Step 42000 | Order = 0.044016700564317404 | Time = 51s
Step 43000 | Order = 0.044016700564317404 | Time = 52s
Step 44000 | Order = 0.044016700564317397 | Time = 53s
Step 45000 | Order = 0.044016700564317397 | Time = 54s
Step 46000 | Order = 0.044016700564317397 | Time = 56s
Step 47000 | Order = 0.044016700564317397 | Time = 57s
Step 48000 | Order = 0.044016700564317404 | Time = 58s
Step 49000 | Order = 0.044016700564317397 | Time = 60s
Step 50000 | Order = 0.044016700564317404 | Time = 61s
Step 51000 | Order = 0.044016700564317404 | Time = 62s
Step 52000 | Order = 0.044016700564317397 | Time = 63s
Step 53000 | Order = 0.044016700564317397 | Time = 65s
Step 54000 | Order = 0.044016700564317397 | Time = 66s
Step 55000 | Order = 0.044016700564317397 | Time = 68s
Step 56000 | Order = 0.044016700564317404 | Time = 69s
Step 57000 | Order = 0.044016700564317397 | Time = 70s
Step 58000 | Order = 0.044016700564317404 | Time = 72s
Step 59000 | Order = 0.044016700564317397 | Time = 73s
Step 60000 | Order = 0.044016700564317397 | Time = 74s
Step 61000 | Order = 0.044016700564317397 | Time = 75s
Step 62000 | Order = 0.044016700564317397 | Time = 76s
Step 63000 | Order = 0.044016700564317397 | Time = 77s
Step 64000 | Order = 0.044016700564317404 | Time = 79s
Step 65000 | Order = 0.044016700564317404 | Time = 80s
Step 66000 | Order = 0.044016700564317404 | Time = 81s
Step 67000 | Order = 0.044016700564317404 | Time = 82s
Step 68000 | Order = 0.044016700564317397 | Time = 83s
Step 69000 | Order = 0.044016700564317397 | Time = 85s
Step 70000 | Order = 0.044016700564317397 | Time = 87s
Step 71000 | Order = 0.044016700564317397 | Time = 88s
Step 72000 | Order = 0.044016700564317397 | Time = 89s
Step 73000 | Order = 0.044016700564317397 | Time = 91s
Step 74000 | Order = 0.044016700564317397 | Time = 92s
Step 75000 | Order = 0.044016700564317397 | Time = 93s
Step 76000 | Order = 0.044016700564317397 | Time = 94s
Step 77000 | Order = 0.044016700564317397 | Time = 95s
Step 78000 | Order = 0.044016700564317397 | Time = 97s
Step 79000 | Order = 0.044016700564317397 | Time = 98s
Step 80000 | Order = 0.044016700564317397 | Time = 99s
Step 81000 | Order = 0.044016700564317397 | Time = 101s
Step 82000 | Order = 0.044016700564317397 | Time = 102s
Step 83000 | Order = 0.044016700564317397 | Time = 103s
Step 84000 | Order = 0.044016700564317397 | Time = 104s
Step 85000 | Order = 0.044016700564317404 | Time = 106s
