Simulation #145, Parameters: eta = 0.436006 | rho = 0.212487 | v0 = 0.418249s
Step 0 | Order = 0.014435211424984615 | Time = 0s
Step 1000 | Order = 0.010672468336841719 | Time = 0s
Step 2000 | Order = 0.014419049620183736 | Time = 0s
Step 3000 | Order = 0.016206966943205437 | Time = 1s
Step 4000 | Order = 0.024720645796508189 | Time = 1s
Step 5000 | Order = 0.0059971945908184644 | Time = 1s
Step 6000 | Order = 0.01685943598487652 | Time = 1s
Step 7000 | Order = 0.02196091734556551 | Time = 2s
Step 8000 | Order = 0.00761005342664808 | Time = 2s
Step 9000 | Order = 0.032626372707403026 | Time = 2s
Step 10000 | Order = 0.0087046057453203911 | Time = 2s
Step 11000 | Order = 0.019675777250311669 | Time = 2s
Step 12000 | Order = 0.050736735527806241 | Time = 3s
Step 13000 | Order = 0.021102327352476077 | Time = 3s
Step 14000 | Order = 0.015477322376412101 | Time = 3s
Step 15000 | Order = 0.022208812074735764 | Time = 3s
Step 16000 | Order = 0.0056292471163661845 | Time = 4s
Step 17000 | Order = 0.034646915654798924 | Time = 4s
Step 18000 | Order = 0.012250032420768241 | Time = 4s
Step 19000 | Order = 0.013906141810494673 | Time = 4s
Step 20000 | Order = 0.016413802043340277 | Time = 5s
Step 21000 | Order = 0.0091637157589376014 | Time = 5s
Step 22000 | Order = 0.033818231352944282 | Time = 5s
Step 23000 | Order = 0.021630738658069887 | Time = 5s
Step 24000 | Order = 0.0054757011560395488 | Time = 6s
Step 25000 | Order = 0.014345454655707864 | Time = 6s
Step 26000 | Order = 0.021241459071941953 | Time = 6s
Step 27000 | Order = 0.01382990905767045 | Time = 6s
Step 28000 | Order = 0.010764383505173858 | Time = 7s
Step 29000 | Order = 0.029447080856731731 | Time = 7s
Step 30000 | Order = 0.0014520811490353704 | Time = 7s
Step 31000 | Order = 0.029881042824949432 | Time = 7s
Step 32000 | Order = 0.022076766286900806 | Time = 8s
Step 33000 | Order = 0.041862733667989413 | Time = 8s
Step 34000 | Order = 0.0084795623604753574 | Time = 8s
Step 35000 | Order = 0.017641640149363182 | Time = 8s
Step 36000 | Order = 0.01874152633426604 | Time = 9s
Step 37000 | Order = 0.015783185081455403 | Time = 9s
Step 38000 | Order = 0.027893243002660391 | Time = 9s
Step 39000 | Order = 0.018552559078421113 | Time = 9s
Step 40000 | Order = 0.010939720064704677 | Time = 10s
Step 41000 | Order = 0.020070847007013712 | Time = 10s
Step 42000 | Order = 0.042786051128631826 | Time = 10s
Step 43000 | Order = 0.021119364462653546 | Time = 10s
Step 44000 | Order = 0.02068176254699337 | Time = 11s
