Simulation #129, Parameters: eta = 0.491193 | rho = 0.328872 | v0 = 0.0800051s
Step 111000 | Order = 0.016615701413359964 | Time = 51s
Step 112000 | Order = 0.028237462943140394 | Time = 51s
Step 113000 | Order = 0.0074147244454252411 | Time = 51s
Step 114000 | Order = 0.01419225214734047 | Time = 52s
Step 115000 | Order = 0.029532115323123373 | Time = 52s
Step 116000 | Order = 0.015542095692042514 | Time = 53s
Step 117000 | Order = 0.01768450953687245 | Time = 53s
Step 118000 | Order = 0.019225441736752592 | Time = 53s
Step 119000 | Order = 0.006428680273763511 | Time = 54s
Step 120000 | Order = 0.0048323129815633801 | Time = 54s
Step 121000 | Order = 0.026107184520430194 | Time = 55s
Step 122000 | Order = 0.0068491769841508765 | Time = 55s
Step 123000 | Order = 0.016387669373039458 | Time = 55s
Step 124000 | Order = 0.038403768885707901 | Time = 56s
Step 125000 | Order = 0.012859109001000459 | Time = 56s
Step 126000 | Order = 0.010603750495596963 | Time = 57s
Step 127000 | Order = 0.035006726273903631 | Time = 57s
Step 128000 | Order = 0.036057882328064887 | Time = 57s
Step 129000 | Order = 0.019815205282569748 | Time = 58s
Step 130000 | Order = 0.013810072575271946 | Time = 58s
Step 131000 | Order = 0.02831251897087703 | Time = 59s
Step 132000 | Order = 0.035407337899616455 | Time = 59s
Step 133000 | Order = 0.0041976880635944602 | Time = 59s
Step 134000 | Order = 0.0027696819928554267 | Time = 60s
Step 135000 | Order = 0.0019786852427453178 | Time = 60s
Step 136000 | Order = 0.013944840514514473 | Time = 61s
Step 137000 | Order = 0.02363897665257135 | Time = 61s
Step 138000 | Order = 0.026641543837464688 | Time = 62s
Step 139000 | Order = 0.011862360058550998 | Time = 62s
Step 140000 | Order = 0.0019697437998750112 | Time = 62s
Step 141000 | Order = 0.013972668926996166 | Time = 63s
Step 142000 | Order = 0.023374759952005025 | Time = 63s
Step 143000 | Order = 0.016662209337437388 | Time = 64s
Step 144000 | Order = 0.022661306488407678 | Time = 64s
Step 145000 | Order = 0.032967156883451518 | Time = 64s
Step 146000 | Order = 0.019111086563455799 | Time = 65s
Step 147000 | Order = 0.0021797190397822414 | Time = 65s
Step 148000 | Order = 0.019487939261729145 | Time = 66s
Step 149000 | Order = 0.020677864800309927 | Time = 66s
Step 150000 | Order = 0.0054239948781323521 | Time = 66s
Step 151000 | Order = 0.017757119162693069 | Time = 67s
Step 152000 | Order = 0.023678082064141528 | Time = 67s
Step 153000 | Order = 0.0050025619146685978 | Time = 68s
Step 154000 | Order = 0.029786296439840015 | Time = 68s
Step 155000 | Order = 0.037879719266589368 | Time = 68s
Step 156000 | Order = 0.0040972210671753615 | Time = 69s
Step 157000 | Order = 0.013428465255872277 | Time = 69s
Step 158000 | Order = 0.022503872886694264 | Time = 70s
Step 159000 | Order = 0.017162863688689786 | Time = 70s
Step 160000 | Order = 0.029801690642086064 | Time = 70s
Step 161000 | Order = 0.010201839326075351 | Time = 71s
Step 162000 | Order = 0.02309880386792889 | Time = 71s
Step 163000 | Order = 0.0052366376837776896 | Time = 72s
Step 164000 | Order = 0.005168637146605713 | Time = 72s
Step 165000 | Order = 0.011270517461352937 | Time = 72s
Step 166000 | Order = 0.023407817946086672 | Time = 73s
Step 167000 | Order = 0.019820630182059408 | Time = 73s
Step 168000 | Order = 0.0052488355072672892 | Time = 74s
Step 169000 | Order = 0.044988388071711717 | Time = 74s
Step 170000 | Order = 0.019323631553062357 | Time = 74s
Step 171000 | Order = 0.0085550451261929613 | Time = 75s
Step 172000 | Order = 0.015442169516456368 | Time = 75s
Step 173000 | Order = 0.0015467596036766113 | Time = 76s
Step 174000 | Order = 0.027655212040769653 | Time = 76s
Step 175000 | Order = 0.022959167339095424 | Time = 77s
Step 176000 | Order = 0.0067792213858029662 | Time = 77s
Step 177000 | Order = 0.016513773293096237 | Time = 77s
Step 178000 | Order = 0.0074113916327096388 | Time = 78s
Step 179000 | Order = 0.015037325601877757 | Time = 78s
Step 180000 | Order = 0.01528255424979927 | Time = 79s
Step 181000 | Order = 0.032621779348763175 | Time = 79s
Step 182000 | Order = 0.0085530840115925263 | Time = 79s
Step 183000 | Order = 0.029384232097049677 | Time = 80s
Step 184000 | Order = 0.019684608383257897 | Time = 80s
Step 185000 | Order = 0.010608389883937752 | Time = 81s
Step 186000 | Order = 0.015653434141473514 | Time = 81s
Step 187000 | Order = 0.024853415104456402 | Time = 81s
Step 188000 | Order = 0.017829986634619377 | Time = 82s
Step 189000 | Order = 0.00894192592203015 | Time = 82s
Step 190000 | Order = 0.018685306186184868 | Time = 83s
Step 191000 | Order = 0.019152927372087205 | Time = 83s
Step 192000 | Order = 0.027353680430739997 | Time = 84s
Step 193000 | Order = 0.0088916975194129697 | Time = 84s
Step 194000 | Order = 0.014605437499083513 | Time = 84s
Step 195000 | Order = 0.012112205527825336 | Time = 85s
Step 196000 | Order = 0.028932555941089039 | Time = 85s
Step 197000 | Order = 0.022474399209122409 | Time = 86s
Step 198000 | Order = 0.021477062730228577 | Time = 86s
Step 199000 | Order = 0.018828586955020835 | Time = 86s
Step 200000 | Order = 0.016091381235708115 | Time = 87s
Step 201000 | Order = 0.02123016254441407 | Time = 87s
Step 202000 | Order = 0.024155136899522107 | Time = 88s
Step 203000 | Order = 0.017779769779845005 | Time = 88s
Step 204000 | Order = 0.0024527234296074273 | Time = 89s
Step 205000 | Order = 0.0062251580457309951 | Time = 89s
Step 206000 | Order = 0.020854874694129433 | Time = 90s
Step 207000 | Order = 0.023819322580845407 | Time = 90s
Step 208000 | Order = 0.024758348193958196 | Time = 90s
Step 209000 | Order = 0.038390616052911289 | Time = 91s
Step 210000 | Order = 0.036015537509130426 | Time = 91s
Step 211000 | Order = 0.0039880641050864694 | Time = 92s
Step 212000 | Order = 0.023197408091973491 | Time = 92s
Step 213000 | Order = 0.019807098693425895 | Time = 92s
Step 214000 | Order = 0.020311670493330065 | Time = 93s
Step 215000 | Order = 0.034983387446835518 | Time = 93s
Step 216000 | Order = 0.0098740384498066432 | Time = 94s
Step 217000 | Order = 0.0089866821789384536 | Time = 94s
Step 218000 | Order = 0.032742741268423671 | Time = 94s
Step 219000 | Order = 0.003147675445939517 | Time = 95s
Step 220000 | Order = 0.01687608685402088 | Time = 95s
Step 221000 | Order = 0.015028795544434988 | Time = 96s
Step 222000 | Order = 0.016058738587071773 | Time = 96s
Step 223000 | Order = 0.032155142619816168 | Time = 96s
Step 224000 | Order = 0.018548698405388007 | Time = 97s
Step 225000 | Order = 0.0080894725845332711 | Time = 97s
Step 226000 | Order = 0.0063756436999199686 | Time = 98s
Step 227000 | Order = 0.019311527735214055 | Time = 98s
Step 228000 | Order = 0.013964043851934281 | Time = 99s
Step 229000 | Order = 0.026667808929230392 | Time = 99s
Step 230000 | Order = 0.0057966305437798906 | Time = 99s
Step 231000 | Order = 0.013062336216119198 | Time = 100s
Step 232000 | Order = 0.0094811386879344126 | Time = 100s
Step 233000 | Order = 0.02080483796074049 | Time = 101s
Step 234000 | Order = 0.0068043441805467819 | Time = 101s
Step 235000 | Order = 0.013136991428947057 | Time = 101s
Step 236000 | Order = 0.019100943075113775 | Time = 102s
Step 237000 | Order = 0.015670215341790545 | Time = 102s
Step 238000 | Order = 0.016951922273893433 | Time = 103s
Step 239000 | Order = 0.013351319010266618 | Time = 103s
Step 240000 | Order = 0.018045238602384269 | Time = 103s
Step 241000 | Order = 0.0085434911959476889 | Time = 104s
Step 242000 | Order = 0.0036393448496208828 | Time = 104s
Step 243000 | Order = 0.010411754887487882 | Time = 105s
Step 244000 | Order = 0.010999754590284613 | Time = 105s
Step 245000 | Order = 0.018101913796687602 | Time = 105s
Step 246000 | Order = 0.017276240781775417 | Time = 106s
Step 247000 | Order = 0.0067726818384133761 | Time = 106s
Step 248000 | Order = 0.010865675377412806 | Time = 107s
Step 249000 | Order = 0.010674753727228791 | Time = 107s
Step 250000 | Order = 0.0082201168316067379 | Time = 107s
Step 251000 | Order = 0.024851955821036362 | Time = 108s
Step 252000 | Order = 0.024778899091744588 | Time = 108s
Step 253000 | Order = 0.033683329759579161 | Time = 109s
Step 254000 | Order = 0.019130500175133191 | Time = 109s
Step 255000 | Order = 0.0098144247615972943 | Time = 110s
Step 256000 | Order = 0.026181363711261174 | Time = 110s
