Simulation #144, Parameters: eta = 0.685934 | rho = 0.133944 | v0 = 0.100571s
Step 0 | Order = 0.039871850581869581 | Time = 0s
Step 1000 | Order = 0.014268950116816323 | Time = 0s
Step 2000 | Order = 0.009418358060318233 | Time = 0s
Step 3000 | Order = 0.017731613995151309 | Time = 0s
Step 4000 | Order = 0.016230125847846066 | Time = 1s
Step 5000 | Order = 0.035559272245360499 | Time = 1s
Step 6000 | Order = 0.019491480308590811 | Time = 1s
Step 7000 | Order = 0.026483511016455075 | Time = 1s
Step 8000 | Order = 0.016840833220770495 | Time = 1s
Step 9000 | Order = 0.019596189430430368 | Time = 1s
Step 10000 | Order = 0.037345585483936974 | Time = 2s
Step 11000 | Order = 0.01564324614846677 | Time = 2s
Step 12000 | Order = 0.014916244256474196 | Time = 2s
Step 13000 | Order = 0.02013220823798503 | Time = 2s
Step 14000 | Order = 0.0068520332802101428 | Time = 2s
Step 15000 | Order = 0.0090523831565967709 | Time = 2s
Step 16000 | Order = 0.0094010476433643818 | Time = 2s
Step 17000 | Order = 0.021795437787060435 | Time = 3s
Step 18000 | Order = 0.016613257549579163 | Time = 3s
Step 19000 | Order = 0.024132443309802652 | Time = 3s
Step 20000 | Order = 0.0080187584741648627 | Time = 3s
Step 21000 | Order = 0.016215544550454066 | Time = 3s
Step 22000 | Order = 0.026737611817639981 | Time = 3s
Step 23000 | Order = 0.019313426818285344 | Time = 3s
Step 24000 | Order = 0.012825105910612344 | Time = 4s
Step 25000 | Order = 0.011779412052467127 | Time = 4s
Step 26000 | Order = 0.011186782423234521 | Time = 4s
Step 27000 | Order = 0.022406891877826969 | Time = 4s
Step 28000 | Order = 0.020343733910418316 | Time = 4s
Step 29000 | Order = 0.01278670790178058 | Time = 4s
Step 30000 | Order = 0.024372617978804863 | Time = 4s
Step 31000 | Order = 0.0099112822869973916 | Time = 5s
Step 32000 | Order = 0.020443099920219549 | Time = 5s
Step 33000 | Order = 0.037067746819967086 | Time = 5s
Step 34000 | Order = 0.0064948994109827358 | Time = 5s
Step 35000 | Order = 0.018028337483619438 | Time = 5s
Step 36000 | Order = 0.022236652806946953 | Time = 5s
Step 37000 | Order = 0.031507769519387344 | Time = 6s
Step 38000 | Order = 0.011942177904834539 | Time = 6s
Step 39000 | Order = 0.040394262906879377 | Time = 6s
Step 40000 | Order = 0.014545662144400388 | Time = 6s
Step 41000 | Order = 0.015007732566740709 | Time = 6s
Step 42000 | Order = 0.019078217649439181 | Time = 6s
Step 43000 | Order = 0.017987384237838421 | Time = 6s
Step 44000 | Order = 0.014903612465067943 | Time = 7s
Step 45000 | Order = 0.0077882384942475546 | Time = 7s
Step 46000 | Order = 0.007364745290264119 | Time = 7s
Step 47000 | Order = 0.018329291820358657 | Time = 7s
Step 48000 | Order = 0.01153396931038426 | Time = 7s
Step 49000 | Order = 0.0027098427475940145 | Time = 7s
Step 50000 | Order = 0.021521221343623206 | Time = 7s
Step 51000 | Order = 0.0111743013644914 | Time = 8s
Step 52000 | Order = 0.012172973944591471 | Time = 9s
Step 53000 | Order = 0.02221081351658705 | Time = 9s
Step 54000 | Order = 0.0051960994297260959 | Time = 9s
Step 55000 | Order = 0.03754775825916537 | Time = 9s
Step 56000 | Order = 0.022821227510060531 | Time = 9s
Step 57000 | Order = 0.027373628143380627 | Time = 9s
Step 58000 | Order = 0.034942903943787032 | Time = 9s
Step 59000 | Order = 0.018844218849363423 | Time = 10s
Step 60000 | Order = 0.017956042314980544 | Time = 10s
Step 61000 | Order = 0.046876931478561104 | Time = 10s
Step 62000 | Order = 0.030487038586231443 | Time = 10s
Step 63000 | Order = 0.012170474337230871 | Time = 10s
Step 64000 | Order = 0.02156615156588711 | Time = 10s
Step 65000 | Order = 0.026795366711711423 | Time = 11s
Step 66000 | Order = 0.012222536850692876 | Time = 11s
Step 67000 | Order = 0.012427519474011422 | Time = 11s
Step 68000 | Order = 0.034934447754093378 | Time = 11s
Step 69000 | Order = 0.039905725783678694 | Time = 11s
Step 70000 | Order = 0.010634023374547165 | Time = 11s
Step 71000 | Order = 0.013698479322336549 | Time = 11s
Step 72000 | Order = 0.034517908729869422 | Time = 12s
Step 73000 | Order = 0.02627579010266308 | Time = 12s
Step 74000 | Order = 0.022946476130051924 | Time = 12s
Step 75000 | Order = 0.0074680956647743182 | Time = 12s
Step 76000 | Order = 0.012298832417618781 | Time = 12s
Step 77000 | Order = 0.024476181197085823 | Time = 12s
Step 78000 | Order = 0.038640004680142406 | Time = 12s
Step 79000 | Order = 0.029731972341128465 | Time = 13s
Step 80000 | Order = 0.0348017047413932 | Time = 13s
Step 81000 | Order = 0.010247284329742683 | Time = 13s
Step 82000 | Order = 0.016297226739727166 | Time = 13s
Step 83000 | Order = 0.014607954900604004 | Time = 13s
Step 84000 | Order = 0.01312857415718704 | Time = 13s
Step 85000 | Order = 0.010580917127727511 | Time = 13s
Step 86000 | Order = 0.0038404017263334524 | Time = 14s
Step 87000 | Order = 0.018085325661866679 | Time = 14s
Step 88000 | Order = 0.010159908789231334 | Time = 14s
Step 89000 | Order = 0.012132805300378616 | Time = 14s
Step 90000 | Order = 0.004686320823469009 | Time = 14s
Step 91000 | Order = 0.010375375136965594 | Time = 14s
Step 92000 | Order = 0.0063732957208407874 | Time = 15s
Step 93000 | Order = 0.010106852239626868 | Time = 15s
Step 94000 | Order = 0.025765499909487715 | Time = 15s
Step 95000 | Order = 0.010245451387411527 | Time = 15s
Step 96000 | Order = 0.025364142471099773 | Time = 15s
Step 97000 | Order = 0.012578279012674254 | Time = 15s
Step 98000 | Order = 0.031085801705084588 | Time = 15s
Step 99000 | Order = 0.035090165141699402 | Time = 16s
Step 100000 | Order = 0.016333148713533665 | Time = 16s
Step 101000 | Order = 0.013243865182588025 | Time = 16s
Step 102000 | Order = 0.021125665910364119 | Time = 16s
Step 103000 | Order = 0.01810823011646703 | Time = 16s
Step 104000 | Order = 0.017133522766794352 | Time = 17s
Step 105000 | Order = 0.019943764423309061 | Time = 17s
Step 106000 | Order = 0.027929094643167458 | Time = 17s
Step 107000 | Order = 0.01988598953045358 | Time = 17s
Step 108000 | Order = 0.03502364400804308 | Time = 17s
Step 109000 | Order = 0.017650730428985038 | Time = 17s
Step 110000 | Order = 0.034101178195816595 | Time = 17s
Step 111000 | Order = 0.027540164652146402 | Time = 18s
Step 112000 | Order = 0.015230286926356877 | Time = 18s
Step 113000 | Order = 0.019016326179170956 | Time = 18s
Step 114000 | Order = 0.027571983467697164 | Time = 18s
Step 115000 | Order = 0.019307704165674781 | Time = 18s
Step 116000 | Order = 0.0071386015487029655 | Time = 18s
Step 117000 | Order = 0.016929559083917606 | Time = 19s
Step 118000 | Order = 0.04110550066588306 | Time = 19s
Step 119000 | Order = 0.0073884744673193411 | Time = 19s
Step 120000 | Order = 0.010046702290161911 | Time = 19s
Step 121000 | Order = 0.020299352950542169 | Time = 19s
Step 122000 | Order = 0.024742588209660764 | Time = 19s
Step 123000 | Order = 0.013150825975000984 | Time = 19s
Step 124000 | Order = 0.015860450158423613 | Time = 20s
Step 125000 | Order = 0.0094661173563489152 | Time = 20s
Step 126000 | Order = 0.024644453234632668 | Time = 20s
Step 127000 | Order = 0.028512788076343099 | Time = 20s
Step 128000 | Order = 0.008848615447670953 | Time = 20s
Step 129000 | Order = 0.026083685864502597 | Time = 20s
Step 130000 | Order = 0.014503818415836875 | Time = 20s
Step 131000 | Order = 0.030036216122499571 | Time = 21s
Step 132000 | Order = 0.0089933176042146686 | Time = 21s
Step 133000 | Order = 0.0042393761958387059 | Time = 21s
Step 134000 | Order = 0.021040700116949897 | Time = 21s
Step 135000 | Order = 0.030172611210469172 | Time = 21s
Step 136000 | Order = 0.01078556745873703 | Time = 21s
Step 137000 | Order = 0.024731292751703961 | Time = 21s
Step 138000 | Order = 0.038743694799974387 | Time = 22s
Step 139000 | Order = 0.01865140074547857 | Time = 22s
Step 140000 | Order = 0.014415692517007854 | Time = 22s
Step 141000 | Order = 0.012903192136569029 | Time = 22s
Step 142000 | Order = 0.0099538353560489293 | Time = 22s
Step 143000 | Order = 0.015855231753777396 | Time = 22s
Step 144000 | Order = 0.011248685264308646 | Time = 23s
Step 145000 | Order = 0.0021314902782841216 | Time = 23s
Step 146000 | Order = 0.039920502291469678 | Time = 23s
Step 147000 | Order = 0.018052454173540341 | Time = 23s
Step 148000 | Order = 0.008235109031116742 | Time = 23s
Step 149000 | Order = 0.0035113366418716503 | Time = 23s
Step 150000 | Order = 0.021999406769739126 | Time = 23s
Step 151000 | Order = 0.025283652604463365 | Time = 24s
Step 152000 | Order = 0.011398883849073045 | Time = 24s
Step 153000 | Order = 0.024495942275131459 | Time = 24s
Step 154000 | Order = 0.018940064481980327 | Time = 24s
