Simulation #20, Parameters: eta = 0.102477 | rho = 0.243300 | v0 = 0.424534s
Step 0 | Order = 0.031876334009501073 | Time = 0s
Step 1000 | Order = 0.52854677376601811 | Time = 3s
Step 2000 | Order = 0.86583583322285662 | Time = 3s
Step 3000 | Order = 0.84641426078230031 | Time = 3s
Step 4000 | Order = 0.86584278219449695 | Time = 4s
Step 5000 | Order = 0.87133489120066454 | Time = 4s
Step 6000 | Order = 0.86377969015409251 | Time = 5s
Step 7000 | Order = 0.87174678146534945 | Time = 5s
Step 8000 | Order = 0.85365559091120369 | Time = 6s
Step 9000 | Order = 0.86524716812115288 | Time = 6s
Step 10000 | Order = 0.85380559107430165 | Time = 6s
Step 11000 | Order = 0.84026014173017416 | Time = 7s
Step 12000 | Order = 0.85224877598800308 | Time = 7s
Step 13000 | Order = 0.85563112521023799 | Time = 7s
Step 14000 | Order = 0.85287650774055102 | Time = 8s
Step 15000 | Order = 0.86386784103621572 | Time = 8s
Step 16000 | Order = 0.85009122130508097 | Time = 9s
Step 17000 | Order = 0.85092295237762738 | Time = 9s
Step 18000 | Order = 0.84198754495526151 | Time = 10s
Step 19000 | Order = 0.87363153656898807 | Time = 10s
Step 20000 | Order = 0.8601109719536576 | Time = 10s
Step 21000 | Order = 0.86326163209083895 | Time = 11s
Step 22000 | Order = 0.8773255513502598 | Time = 11s
Step 23000 | Order = 0.86710290235294385 | Time = 11s
Step 24000 | Order = 0.870684830688078 | Time = 12s
Step 25000 | Order = 0.87110143502644388 | Time = 12s
Step 26000 | Order = 0.85797320977328606 | Time = 13s
Step 27000 | Order = 0.8478382073300611 | Time = 13s
Step 28000 | Order = 0.85955518824998112 | Time = 13s
Step 29000 | Order = 0.87914119289954284 | Time = 14s
Step 30000 | Order = 0.86221207838428726 | Time = 14s
Step 31000 | Order = 0.86564389703267286 | Time = 15s
Step 32000 | Order = 0.86967232451497456 | Time = 15s
Step 33000 | Order = 0.85458348339077161 | Time = 15s
Step 34000 | Order = 0.86492694088030608 | Time = 16s
Step 35000 | Order = 0.86699675568491141 | Time = 16s
Step 36000 | Order = 0.86754051465995896 | Time = 17s
Step 37000 | Order = 0.86031281389752789 | Time = 17s
Step 38000 | Order = 0.85242475925873507 | Time = 18s
Step 39000 | Order = 0.87270836839744126 | Time = 18s
Step 40000 | Order = 0.86838627672475932 | Time = 18s
Step 41000 | Order = 0.86976969331717646 | Time = 19s
Step 42000 | Order = 0.86048298240425947 | Time = 19s
Step 43000 | Order = 0.85671898248439282 | Time = 19s
Step 44000 | Order = 0.8647162024424927 | Time = 20s
Step 45000 | Order = 0.86508651537006342 | Time = 20s
Step 46000 | Order = 0.87381275475397724 | Time = 21s
Step 47000 | Order = 0.86040243533868077 | Time = 21s
Step 48000 | Order = 0.86415369321065616 | Time = 21s
Step 49000 | Order = 0.85337283182866552 | Time = 22s
Step 50000 | Order = 0.86550480790923801 | Time = 22s
Step 51000 | Order = 0.85339714909955167 | Time = 24s
Step 52000 | Order = 0.86423528653526083 | Time = 24s
Step 53000 | Order = 0.85658877902202191 | Time = 24s
Step 54000 | Order = 0.849739186081092 | Time = 25s
Step 55000 | Order = 0.86522399970185593 | Time = 25s
Step 56000 | Order = 0.8770373939816386 | Time = 25s
Step 57000 | Order = 0.87264022113130513 | Time = 26s
Step 58000 | Order = 0.86257416517836782 | Time = 26s
Step 59000 | Order = 0.86527156437355202 | Time = 27s
Step 60000 | Order = 0.86875022592285378 | Time = 27s
Step 61000 | Order = 0.85361432921554103 | Time = 27s
Step 62000 | Order = 0.86011383003726405 | Time = 28s
Step 63000 | Order = 0.87094093222462121 | Time = 28s
Step 64000 | Order = 0.84708471340377023 | Time = 29s
Step 65000 | Order = 0.86564918779040678 | Time = 29s
Step 66000 | Order = 0.85132774302366032 | Time = 29s
Step 67000 | Order = 0.86974470262692949 | Time = 30s
Step 68000 | Order = 0.84872575558895824 | Time = 30s
Step 69000 | Order = 0.85957835905494673 | Time = 31s
Step 70000 | Order = 0.86639554799277707 | Time = 31s
Step 71000 | Order = 0.85664043952728175 | Time = 31s
Step 72000 | Order = 0.8623738352571465 | Time = 32s
Step 73000 | Order = 0.85204233845358746 | Time = 32s
Step 74000 | Order = 0.85254072876605802 | Time = 33s
Step 75000 | Order = 0.86664574538640471 | Time = 33s
Step 76000 | Order = 0.87057183046958753 | Time = 33s
Step 77000 | Order = 0.8628590865693605 | Time = 34s
Step 78000 | Order = 0.84459733558165462 | Time = 34s
Step 79000 | Order = 0.85162866130540915 | Time = 34s
Step 80000 | Order = 0.863665372875286 | Time = 35s
Step 81000 | Order = 0.86492385818814654 | Time = 35s
Step 82000 | Order = 0.86222445512450285 | Time = 36s
