Simulation #138, Parameters: eta = 0.839441 | rho = 0.192141 | v0 = 0.465618s
Step 0 | Order = 0.010838314321977313 | Time = 0s
Step 1000 | Order = 0.011595755309762002 | Time = 0s
Step 2000 | Order = 0.018681914368547305 | Time = 1s
Step 3000 | Order = 0.015840763881640761 | Time = 1s
Step 4000 | Order = 0.024123183670590298 | Time = 1s
Step 5000 | Order = 0.011326353062351944 | Time = 2s
Step 6000 | Order = 0.012663532960496167 | Time = 2s
Step 7000 | Order = 0.0064955558698208023 | Time = 2s
Step 8000 | Order = 0.017027565148963194 | Time = 2s
Step 9000 | Order = 0.021606658728381675 | Time = 3s
Step 10000 | Order = 0.019179155293307135 | Time = 3s
Step 11000 | Order = 0.038382068511549239 | Time = 3s
Step 12000 | Order = 0.019697589110881666 | Time = 4s
Step 13000 | Order = 0.012348652628663975 | Time = 4s
Step 14000 | Order = 0.026308082464956816 | Time = 4s
Step 15000 | Order = 0.021486548840852358 | Time = 5s
Step 16000 | Order = 0.02434146806241384 | Time = 5s
Step 17000 | Order = 0.013306225627764566 | Time = 5s
Step 18000 | Order = 0.012767611461949309 | Time = 5s
Step 19000 | Order = 0.019123602881837256 | Time = 6s
Step 20000 | Order = 0.0081003618642251501 | Time = 6s
Step 21000 | Order = 0.015167214002040586 | Time = 6s
Step 22000 | Order = 0.022338008714619825 | Time = 7s
Step 23000 | Order = 0.010969847395716794 | Time = 7s
Step 24000 | Order = 0.0065857463350804772 | Time = 7s
Step 25000 | Order = 0.014912227323167588 | Time = 8s
Step 26000 | Order = 0.0173969333243289 | Time = 8s
Step 27000 | Order = 0.036496158964009762 | Time = 8s
Step 28000 | Order = 0.0018823739883875781 | Time = 8s
Step 29000 | Order = 0.0086605171492782403 | Time = 9s
Step 30000 | Order = 0.014963561520972545 | Time = 9s
Step 31000 | Order = 0.0092316249935481404 | Time = 9s
Step 32000 | Order = 0.018093728357847269 | Time = 10s
Step 33000 | Order = 0.0099905489594477523 | Time = 10s
Step 34000 | Order = 0.0088522179813270169 | Time = 10s
Step 35000 | Order = 0.0023240985684753008 | Time = 11s
Step 36000 | Order = 0.030286540974720059 | Time = 11s
Step 37000 | Order = 0.0069942918388205639 | Time = 11s
Step 38000 | Order = 0.007681449896995954 | Time = 11s
Step 39000 | Order = 0.033945678570427677 | Time = 12s
Step 40000 | Order = 0.025957088527725467 | Time = 12s
Step 41000 | Order = 0.022356271634903838 | Time = 12s
Step 42000 | Order = 0.02357641529521004 | Time = 13s
Step 43000 | Order = 0.013125164146328385 | Time = 13s
Step 44000 | Order = 0.029010018331280148 | Time = 13s
Step 45000 | Order = 0.019923394490164566 | Time = 14s
Step 46000 | Order = 0.0080929466631686174 | Time = 14s
Step 47000 | Order = 0.0055452599220851368 | Time = 14s
Step 48000 | Order = 0.0089276968531539942 | Time = 14s
Step 49000 | Order = 0.021197228253465442 | Time = 15s
Step 50000 | Order = 0.02099120786581516 | Time = 15s
Step 51000 | Order = 0.021247327029981396 | Time = 15s
Step 52000 | Order = 0.028218364212859465 | Time = 16s
Step 53000 | Order = 0.0348740557917116 | Time = 16s
Step 54000 | Order = 0.025830244865181037 | Time = 16s
Step 55000 | Order = 0.0045677201154975073 | Time = 17s
Step 56000 | Order = 0.019081116333293721 | Time = 17s
Step 57000 | Order = 0.015458575077283015 | Time = 17s
Step 58000 | Order = 0.011235528799956374 | Time = 18s
Step 59000 | Order = 0.032804958621084249 | Time = 18s
Step 60000 | Order = 0.013288964997616335 | Time = 18s
Step 61000 | Order = 0.020840178541872721 | Time = 18s
Step 62000 | Order = 0.0040727941830741828 | Time = 19s
Step 63000 | Order = 0.014402873513653752 | Time = 19s
Step 64000 | Order = 0.03158136643512012 | Time = 19s
Step 65000 | Order = 0.019211579380142518 | Time = 20s
Step 66000 | Order = 0.045081621727258936 | Time = 20s
Step 67000 | Order = 0.012479842729301931 | Time = 20s
Step 68000 | Order = 0.033313397487792808 | Time = 21s
Step 69000 | Order = 0.0087495363797728092 | Time = 21s
Step 70000 | Order = 0.0064827180597066877 | Time = 21s
Step 71000 | Order = 0.0030392154203913082 | Time = 21s
Step 72000 | Order = 0.025246094255408372 | Time = 22s
Step 73000 | Order = 0.012100952499708556 | Time = 22s
Step 74000 | Order = 0.0065459935141857217 | Time = 22s
Step 75000 | Order = 0.026414692007981733 | Time = 23s
Step 76000 | Order = 0.019484528260004616 | Time = 23s
Step 77000 | Order = 0.010154267076624613 | Time = 23s
Step 78000 | Order = 0.0068208398273832769 | Time = 24s
Step 79000 | Order = 0.029400890579926332 | Time = 24s
Step 80000 | Order = 0.010696075663829355 | Time = 24s
Step 81000 | Order = 0.0077118841588095961 | Time = 24s
Step 82000 | Order = 0.0044113849376871258 | Time = 25s
Step 83000 | Order = 0.023587602869848207 | Time = 25s
Step 84000 | Order = 0.020900935797719424 | Time = 25s
Step 85000 | Order = 0.011754778646935971 | Time = 26s
Step 86000 | Order = 0.016215245716125908 | Time = 26s
Step 87000 | Order = 0.005629085768207193 | Time = 26s
Step 88000 | Order = 0.01548656187287939 | Time = 27s
Step 89000 | Order = 0.010909052335448668 | Time = 27s
Step 90000 | Order = 0.018713049895452999 | Time = 27s
Step 91000 | Order = 0.016036026146504317 | Time = 27s
Step 92000 | Order = 0.029386153296238091 | Time = 28s
Step 93000 | Order = 0.0037336613621862173 | Time = 28s
