Simulation #20, Parameters: eta = 0.102477 | rho = 0.243300 | v0 = 0.424534s
Step 0 | Order = 0.0095499483429897659 | Time = 0s
Step 1000 | Order = 0.58883492096629353 | Time = 0s
Step 2000 | Order = 0.84056739192620722 | Time = 1s
Step 3000 | Order = 0.865985512348589 | Time = 1s
Step 4000 | Order = 0.86663510557815993 | Time = 1s
Step 5000 | Order = 0.85954954059111821 | Time = 2s
Step 6000 | Order = 0.85673648775234557 | Time = 2s
Step 7000 | Order = 0.8586613661186846 | Time = 3s
Step 8000 | Order = 0.86923373368665124 | Time = 3s
Step 9000 | Order = 0.8606530403963607 | Time = 3s
Step 10000 | Order = 0.83863673880794076 | Time = 4s
Step 11000 | Order = 0.86625875547860032 | Time = 4s
Step 12000 | Order = 0.87665176091175356 | Time = 5s
Step 13000 | Order = 0.87174846826088714 | Time = 5s
Step 14000 | Order = 0.86898677049088757 | Time = 5s
Step 15000 | Order = 0.86241274518004529 | Time = 6s
Step 16000 | Order = 0.87164953068117224 | Time = 6s
Step 17000 | Order = 0.87481849509364851 | Time = 7s
Step 18000 | Order = 0.87155953489940163 | Time = 7s
Step 19000 | Order = 0.85229281395667611 | Time = 8s
Step 20000 | Order = 0.87867357513471045 | Time = 8s
Step 21000 | Order = 0.86484343895417504 | Time = 8s
Step 22000 | Order = 0.86805925818346297 | Time = 9s
Step 23000 | Order = 0.87286611780940704 | Time = 9s
Step 24000 | Order = 0.88779459839228547 | Time = 10s
Step 25000 | Order = 0.88374168243189477 | Time = 10s
Step 26000 | Order = 0.85785714109992062 | Time = 11s
Step 27000 | Order = 0.88420393097634731 | Time = 11s
Step 28000 | Order = 0.86660659642058246 | Time = 11s
Step 29000 | Order = 0.86106623699654372 | Time = 12s
Step 30000 | Order = 0.86111698028992034 | Time = 12s
Step 31000 | Order = 0.86902591028094789 | Time = 12s
Step 32000 | Order = 0.85964788227690703 | Time = 13s
Step 33000 | Order = 0.86669798789659147 | Time = 13s
Step 34000 | Order = 0.86520479534210804 | Time = 14s
Step 35000 | Order = 0.86140544714546119 | Time = 14s
Step 36000 | Order = 0.81504408533951977 | Time = 14s
Step 37000 | Order = 0.86448623541699265 | Time = 15s
Step 38000 | Order = 0.86983373825320853 | Time = 15s
Step 39000 | Order = 0.86573705935253575 | Time = 16s
Step 40000 | Order = 0.85687723044941677 | Time = 16s
Step 41000 | Order = 0.86616860787159122 | Time = 16s
Step 42000 | Order = 0.86672261328128231 | Time = 17s
Step 43000 | Order = 0.8812806534136095 | Time = 17s
Step 44000 | Order = 0.8817280930907363 | Time = 18s
Step 45000 | Order = 0.87205007337523244 | Time = 18s
Step 46000 | Order = 0.88561424342548667 | Time = 18s
Step 47000 | Order = 0.86935279626279494 | Time = 19s
Step 48000 | Order = 0.86921437026548953 | Time = 19s
Step 49000 | Order = 0.84834037358908787 | Time = 20s
Step 50000 | Order = 0.84769898819664835 | Time = 20s
Step 51000 | Order = 0.86650875679555606 | Time = 21s
Step 52000 | Order = 0.86033226499635029 | Time = 21s
Step 53000 | Order = 0.87186343759272256 | Time = 21s
Step 54000 | Order = 0.86141616816588551 | Time = 22s
Step 55000 | Order = 0.85824106622240404 | Time = 22s
Step 56000 | Order = 0.85592423455889022 | Time = 23s
Step 57000 | Order = 0.86897362589890204 | Time = 23s
Step 58000 | Order = 0.845514228144294 | Time = 23s
Step 59000 | Order = 0.86086032425015035 | Time = 24s
Step 60000 | Order = 0.85145510455685502 | Time = 24s
Step 61000 | Order = 0.87002018776899359 | Time = 25s
Step 62000 | Order = 0.87478084099268927 | Time = 25s
Step 63000 | Order = 0.86938453171822305 | Time = 26s
Step 64000 | Order = 0.88180453371997825 | Time = 26s
Step 65000 | Order = 0.87313455223596237 | Time = 26s
Step 66000 | Order = 0.86416555917393878 | Time = 27s
