Simulation #175, Parameters: eta = 0.531811 | rho = 0.146579 | v0 = 0.130515s
Step 0 | Order = 0.020856059326994473 | Time = 0s
Step 1000 | Order = 0.0046943687240099613 | Time = 2s
Step 2000 | Order = 0.028277393826885183 | Time = 2s
Step 3000 | Order = 0.0074471104948132995 | Time = 2s
Step 4000 | Order = 0.016458758057863232 | Time = 3s
Step 5000 | Order = 0.015088401041404428 | Time = 3s
Step 6000 | Order = 0.011546102351636034 | Time = 3s
Step 7000 | Order = 0.022245765261591628 | Time = 3s
Step 8000 | Order = 0.022498270337315825 | Time = 4s
Step 9000 | Order = 0.023950621849187111 | Time = 4s
Step 10000 | Order = 0.048893603248194792 | Time = 4s
Step 11000 | Order = 0.022790482914509004 | Time = 4s
Step 12000 | Order = 0.0087758745780169047 | Time = 5s
Step 13000 | Order = 0.028072831001339154 | Time = 5s
Step 14000 | Order = 0.024853392291273375 | Time = 5s
Step 15000 | Order = 0.036939528716749374 | Time = 6s
Step 16000 | Order = 0.01442901100474458 | Time = 6s
Step 17000 | Order = 0.013379867542839862 | Time = 6s
Step 18000 | Order = 0.034827684443947057 | Time = 6s
Step 19000 | Order = 0.030337362553795669 | Time = 7s
Step 20000 | Order = 0.0021943311584828999 | Time = 7s
Step 21000 | Order = 0.038276058906506809 | Time = 7s
Step 22000 | Order = 0.03480502971372524 | Time = 7s
Step 23000 | Order = 0.028534917776845008 | Time = 8s
Step 24000 | Order = 0.029544094570330453 | Time = 8s
Step 25000 | Order = 0.025543561113919481 | Time = 8s
Step 26000 | Order = 0.036818652581482161 | Time = 8s
Step 27000 | Order = 0.021906267937857375 | Time = 9s
Step 28000 | Order = 0.030898790454460808 | Time = 9s
Step 29000 | Order = 0.0055078801785535649 | Time = 9s
Step 30000 | Order = 0.020032224278732153 | Time = 9s
Step 31000 | Order = 0.0034796681363338882 | Time = 10s
Step 32000 | Order = 0.015342508650434199 | Time = 10s
Step 33000 | Order = 0.021660753106736975 | Time = 10s
Step 34000 | Order = 0.029684023852773137 | Time = 11s
Step 35000 | Order = 0.024149274644923304 | Time = 11s
Step 36000 | Order = 0.015113875901865002 | Time = 11s
Step 37000 | Order = 0.03564550093213447 | Time = 11s
Step 38000 | Order = 0.0083936450441363716 | Time = 12s
Step 39000 | Order = 0.014701285152184752 | Time = 12s
Step 40000 | Order = 0.013745516815764297 | Time = 12s
Step 41000 | Order = 0.016720593188242393 | Time = 12s
Step 42000 | Order = 0.020562356659450051 | Time = 13s
Step 43000 | Order = 0.003680713810642632 | Time = 13s
Step 44000 | Order = 0.012755032715633084 | Time = 13s
Step 45000 | Order = 0.011889555156112301 | Time = 13s
Step 46000 | Order = 0.0069206376888170957 | Time = 14s
Step 47000 | Order = 0.040330325274867837 | Time = 14s
Step 48000 | Order = 0.028300856016227841 | Time = 14s
Step 49000 | Order = 0.017952495440740675 | Time = 15s
Step 50000 | Order = 0.014031638254171509 | Time = 15s
Step 51000 | Order = 0.022551092577637061 | Time = 15s
Step 52000 | Order = 0.040659968638716348 | Time = 16s
Step 53000 | Order = 0.008076457661845388 | Time = 16s
Step 54000 | Order = 0.012605321955935828 | Time = 16s
Step 55000 | Order = 0.022136417373832758 | Time = 17s
Step 56000 | Order = 0.013067604429574942 | Time = 17s
Step 57000 | Order = 0.030260061717114439 | Time = 17s
Step 58000 | Order = 0.013655140514770929 | Time = 17s
Step 59000 | Order = 0.0056917103742131232 | Time = 18s
Step 60000 | Order = 0.02691446496341908 | Time = 18s
Step 61000 | Order = 0.014714143479935689 | Time = 18s
Step 62000 | Order = 0.026400873221538626 | Time = 18s
Step 63000 | Order = 0.027129906727008695 | Time = 19s
Step 64000 | Order = 0.012088214858631248 | Time = 19s
Step 65000 | Order = 0.0066466697810620102 | Time = 19s
Step 66000 | Order = 0.014519946670283886 | Time = 19s
Step 67000 | Order = 0.0054284028985743466 | Time = 20s
Step 68000 | Order = 0.012941246521269224 | Time = 20s
Step 69000 | Order = 0.027489130167661718 | Time = 20s
Step 70000 | Order = 0.033864025873197395 | Time = 20s
Step 71000 | Order = 0.027589786797081274 | Time = 21s
Step 72000 | Order = 0.027146687614097963 | Time = 21s
Step 73000 | Order = 0.017676721913054534 | Time = 21s
Step 74000 | Order = 0.038635205801954134 | Time = 22s
Step 75000 | Order = 0.0060585055541671016 | Time = 22s
Step 76000 | Order = 0.036408856342478632 | Time = 22s
Step 77000 | Order = 0.028677299862980055 | Time = 22s
Step 78000 | Order = 0.033283685775552983 | Time = 23s
Step 79000 | Order = 0.021725702290909588 | Time = 23s
Step 80000 | Order = 0.014455785619318305 | Time = 23s
Step 81000 | Order = 0.017978207560611578 | Time = 23s
Step 82000 | Order = 0.025871307200495609 | Time = 24s
Step 83000 | Order = 0.020236389513362079 | Time = 24s
Step 84000 | Order = 0.031397792572093769 | Time = 24s
Step 85000 | Order = 0.02869685107862073 | Time = 24s
Step 86000 | Order = 0.034389164590307643 | Time = 25s
Step 87000 | Order = 0.011711161366315784 | Time = 25s
Step 88000 | Order = 0.0089808863628018671 | Time = 25s
Step 89000 | Order = 0.030260332769128612 | Time = 26s
Step 90000 | Order = 0.035673294073684476 | Time = 26s
Step 91000 | Order = 0.025001086862937897 | Time = 26s
Step 92000 | Order = 0.041324347419024896 | Time = 26s
Step 93000 | Order = 0.014525013767653194 | Time = 27s
Step 94000 | Order = 0.009623441738521055 | Time = 27s
Step 95000 | Order = 0.042729028694622258 | Time = 27s
Step 96000 | Order = 0.030663001804080433 | Time = 27s
Step 97000 | Order = 0.01599503561023688 | Time = 28s
Step 98000 | Order = 0.011052516692187805 | Time = 28s
Step 99000 | Order = 0.027609637967234566 | Time = 28s
Step 100000 | Order = 0.01087663975586649 | Time = 28s
Step 101000 | Order = 0.025810721201717596 | Time = 30s
Step 102000 | Order = 0.019805096643155648 | Time = 31s
Step 103000 | Order = 0.027388161648924596 | Time = 31s
Step 104000 | Order = 0.022729611425417091 | Time = 31s
Step 105000 | Order = 0.024283295614276411 | Time = 32s
Step 106000 | Order = 0.014328315257425598 | Time = 32s
Step 107000 | Order = 0.033647872183152683 | Time = 32s
Step 108000 | Order = 0.017280978417389941 | Time = 32s
Step 109000 | Order = 0.052173664301027101 | Time = 33s
Step 110000 | Order = 0.032892459252979914 | Time = 33s
Step 111000 | Order = 0.027925829778831249 | Time = 33s
Step 112000 | Order = 0.02353022814256147 | Time = 33s
Step 113000 | Order = 0.025476909593187248 | Time = 34s
Step 114000 | Order = 0.029130732273719824 | Time = 34s
Step 115000 | Order = 0.022281583223941994 | Time = 34s
Step 116000 | Order = 0.016696930025421493 | Time = 34s
Step 117000 | Order = 0.028312493847567042 | Time = 35s
Step 118000 | Order = 0.018937988723682242 | Time = 35s
Step 119000 | Order = 0.03006073826650309 | Time = 35s
Step 120000 | Order = 0.021104291551586676 | Time = 36s
Step 121000 | Order = 0.041486259469356031 | Time = 36s
Step 122000 | Order = 0.021439068781944289 | Time = 36s
Step 123000 | Order = 0.0089434319840591345 | Time = 36s
Step 124000 | Order = 0.017805467099459141 | Time = 37s
Step 125000 | Order = 0.036262587969800142 | Time = 37s
Step 126000 | Order = 0.0061098129333838217 | Time = 37s
Step 127000 | Order = 0.010671606459990607 | Time = 37s
Step 128000 | Order = 0.033754105650661788 | Time = 38s
Step 129000 | Order = 0.016055924125817082 | Time = 38s
Step 130000 | Order = 0.0099646246021729695 | Time = 38s
Step 131000 | Order = 0.027795359314080486 | Time = 38s
Step 132000 | Order = 0.0063160064147365826 | Time = 39s
Step 133000 | Order = 0.012749468382018401 | Time = 39s
Step 134000 | Order = 0.0088577081229337974 | Time = 39s
Step 135000 | Order = 0.02802742978380424 | Time = 39s
Step 136000 | Order = 0.031322724002842264 | Time = 40s
Step 137000 | Order = 0.039165925137195377 | Time = 40s
Step 138000 | Order = 0.013402234380439651 | Time = 40s
Step 139000 | Order = 0.018319300376989124 | Time = 41s
Step 140000 | Order = 0.013750490003200834 | Time = 41s
Step 141000 | Order = 0.037464054978205048 | Time = 41s
Step 142000 | Order = 0.016119313678448148 | Time = 41s
Step 143000 | Order = 0.0054821876540624937 | Time = 42s
Step 144000 | Order = 0.019363217934004959 | Time = 42s
Step 145000 | Order = 0.015578468248163677 | Time = 42s
Step 146000 | Order = 0.018198968799420453 | Time = 42s
Step 147000 | Order = 0.0098806775933158713 | Time = 43s
Step 148000 | Order = 0.008506175079833941 | Time = 43s
Step 149000 | Order = 0.04890599238626555 | Time = 43s
Step 150000 | Order = 0.037783587015010285 | Time = 43s
Step 151000 | Order = 0.041969393434520483 | Time = 44s
Step 152000 | Order = 0.025951966243262944 | Time = 45s
Step 153000 | Order = 0.034040732660914515 | Time = 45s
Step 154000 | Order = 0.019252831029412516 | Time = 45s
Step 155000 | Order = 0.0095990883725991221 | Time = 45s
Step 156000 | Order = 0.023896391991428956 | Time = 46s
Step 157000 | Order = 0.0068136254455815025 | Time = 46s
Step 158000 | Order = 0.028064859170433908 | Time = 46s
Step 159000 | Order = 0.015111235367697056 | Time = 46s
Step 160000 | Order = 0.015387106555856732 | Time = 47s
Step 161000 | Order = 0.020807885470385926 | Time = 47s
Step 162000 | Order = 0.021938653296610308 | Time = 47s
Step 163000 | Order = 0.0137134879113959 | Time = 47s
Step 164000 | Order = 0.028301841166850236 | Time = 48s
Step 165000 | Order = 0.01947049527832833 | Time = 48s
Step 166000 | Order = 0.021163578171629619 | Time = 48s
Step 167000 | Order = 0.012027572452257189 | Time = 48s
Step 168000 | Order = 0.026670440543751308 | Time = 49s
Step 169000 | Order = 0.016442696193921857 | Time = 49s
Step 170000 | Order = 0.021973411710987004 | Time = 49s
Step 171000 | Order = 0.012719972939053406 | Time = 50s
Step 172000 | Order = 0.023012104992303897 | Time = 50s
Step 173000 | Order = 0.017352022584764069 | Time = 50s
Step 174000 | Order = 0.0053353113675815907 | Time = 50s
Step 175000 | Order = 0.0062458536323016373 | Time = 51s
Step 176000 | Order = 0.013980996141224313 | Time = 51s
Step 177000 | Order = 0.0085277411003495535 | Time = 51s
Step 178000 | Order = 0.022335236381692648 | Time = 51s
Step 179000 | Order = 0.018930391326795408 | Time = 52s
Step 180000 | Order = 0.017618930336951499 | Time = 52s
Step 181000 | Order = 0.012773154199247736 | Time = 52s
Step 182000 | Order = 0.02018499399807621 | Time = 52s
Step 183000 | Order = 0.021419543420615698 | Time = 53s
Step 184000 | Order = 0.018788884700205826 | Time = 53s
Step 185000 | Order = 0.018607015222767562 | Time = 53s
Step 186000 | Order = 0.023671568720988058 | Time = 54s
Step 187000 | Order = 0.017172087206366714 | Time = 54s
Step 188000 | Order = 0.01040203165224594 | Time = 54s
Step 189000 | Order = 0.033153337097620028 | Time = 54s
Step 190000 | Order = 0.01531527231454307 | Time = 55s
Step 191000 | Order = 0.014484236892015629 | Time = 55s
Step 192000 | Order = 0.024034505534592084 | Time = 55s
Step 193000 | Order = 0.013348844961205648 | Time = 55s
Step 194000 | Order = 0.012931996857205509 | Time = 56s
Step 195000 | Order = 0.015476980785858185 | Time = 56s
Step 196000 | Order = 0.027300776002009808 | Time = 56s
Step 197000 | Order = 0.017371765898457771 | Time = 56s
Step 198000 | Order = 0.027601192552908334 | Time = 57s
Step 199000 | Order = 0.030383325501975193 | Time = 57s
Step 200000 | Order = 0.016920942854334278 | Time = 57s
Step 201000 | Order = 0.014891290313173098 | Time = 60s
Step 202000 | Order = 0.035151185219909883 | Time = 60s
Step 203000 | Order = 0.02127965352234807 | Time = 60s
Step 204000 | Order = 0.024564137609370484 | Time = 61s
Step 205000 | Order = 0.0095805449316367659 | Time = 61s
Step 206000 | Order = 0.020469415534905094 | Time = 61s
Step 207000 | Order = 0.019245439079656874 | Time = 61s
Step 208000 | Order = 0.021571634854368655 | Time = 62s
Step 209000 | Order = 0.025823475026813727 | Time = 62s
Step 210000 | Order = 0.026731721699259369 | Time = 62s
