Simulation #117, Parameters: eta = 0.542766 | rho = 0.126872 | v0 = 0.208095s
Step 0 | Order = 0.022721795043349521 | Time = 0s
Step 1000 | Order = 0.0099631640901400812 | Time = 0s
Step 2000 | Order = 0.029122442068669006 | Time = 0s
Step 3000 | Order = 0.022797705096285793 | Time = 0s
Step 4000 | Order = 0.018651361959130579 | Time = 0s
Step 5000 | Order = 0.0047143393102784727 | Time = 0s
Step 6000 | Order = 0.024082450141320398 | Time = 0s
Step 7000 | Order = 0.0082520209183875679 | Time = 1s
Step 8000 | Order = 0.0049043350901359899 | Time = 1s
Step 9000 | Order = 0.015439191280044303 | Time = 1s
Step 10000 | Order = 0.025018560547536241 | Time = 1s
Step 11000 | Order = 0.02234964944886059 | Time = 1s
Step 12000 | Order = 0.0084624850394237564 | Time = 1s
Step 13000 | Order = 0.040082351459347881 | Time = 1s
Step 14000 | Order = 0.020404752402288718 | Time = 2s
Step 15000 | Order = 0.025804952565903146 | Time = 2s
Step 16000 | Order = 0.024252479702898119 | Time = 2s
Step 17000 | Order = 0.033293768882843106 | Time = 2s
Step 18000 | Order = 0.0085160976456512567 | Time = 2s
Step 19000 | Order = 0.0083492248352785032 | Time = 2s
Step 20000 | Order = 0.011416460429363425 | Time = 3s
Step 21000 | Order = 0.031905741408317367 | Time = 3s
Step 22000 | Order = 0.017966109974563521 | Time = 3s
Step 23000 | Order = 0.036870504957661289 | Time = 3s
Step 24000 | Order = 0.011577615806724095 | Time = 3s
Step 25000 | Order = 0.017824907224093495 | Time = 3s
Step 26000 | Order = 0.02811800934938544 | Time = 3s
Step 27000 | Order = 0.037287410971023796 | Time = 3s
Step 28000 | Order = 0.0040737886961480065 | Time = 4s
Step 29000 | Order = 0.02772969136227239 | Time = 4s
Step 30000 | Order = 0.0088671944025323496 | Time = 4s
Step 31000 | Order = 0.032170677539947082 | Time = 4s
Step 32000 | Order = 0.0076241051480913612 | Time = 4s
Step 33000 | Order = 0.017108857423478313 | Time = 4s
Step 34000 | Order = 0.034534319210852218 | Time = 4s
Step 35000 | Order = 0.015831652116026856 | Time = 5s
Step 36000 | Order = 0.027110028446664915 | Time = 5s
Step 37000 | Order = 0.017061498909212887 | Time = 5s
Step 38000 | Order = 0.033573843973855162 | Time = 5s
Step 39000 | Order = 0.02774692068844864 | Time = 5s
Step 40000 | Order = 0.016073770317285279 | Time = 5s
Step 41000 | Order = 0.035926639480931416 | Time = 5s
Step 42000 | Order = 0.042498009174814479 | Time = 6s
Step 43000 | Order = 0.018504372077420003 | Time = 6s
Step 44000 | Order = 0.017607352558100354 | Time = 6s
Step 45000 | Order = 0.045658119459587844 | Time = 6s
Step 46000 | Order = 0.036953857448142204 | Time = 6s
Step 47000 | Order = 0.011435556138770444 | Time = 6s
Step 48000 | Order = 0.017067335544262319 | Time = 6s
Step 49000 | Order = 0.011717345362047963 | Time = 7s
Step 50000 | Order = 0.011200322766790078 | Time = 7s
Step 51000 | Order = 0.023971319544595172 | Time = 7s
Step 52000 | Order = 0.0088832133222104433 | Time = 7s
Step 53000 | Order = 0.015752408815005146 | Time = 7s
Step 54000 | Order = 0.031145304706068373 | Time = 7s
Step 55000 | Order = 0.015345225969543918 | Time = 8s
Step 56000 | Order = 0.0095105783782108919 | Time = 8s
Step 57000 | Order = 0.0071828834532358787 | Time = 8s
Step 58000 | Order = 0.040638726921717355 | Time = 8s
Step 59000 | Order = 0.0068638530425080072 | Time = 8s
Step 60000 | Order = 0.036155180446223005 | Time = 8s
Step 61000 | Order = 0.017652042962512347 | Time = 8s
Step 62000 | Order = 0.019479594386588129 | Time = 9s
Step 63000 | Order = 0.036821661099110295 | Time = 9s
Step 64000 | Order = 0.023289778628645678 | Time = 9s
Step 65000 | Order = 0.0172448582483417 | Time = 9s
Step 66000 | Order = 0.0079644473176170329 | Time = 9s
Step 67000 | Order = 0.024659602054146142 | Time = 9s
Step 68000 | Order = 0.019184015423107447 | Time = 9s
Step 69000 | Order = 0.019307149752707795 | Time = 9s
Step 70000 | Order = 0.007435811968754447 | Time = 10s
Step 71000 | Order = 0.023682210307278052 | Time = 10s
Step 72000 | Order = 0.015096854244224852 | Time = 10s
Step 73000 | Order = 0.011288221254595183 | Time = 10s
Step 74000 | Order = 0.037266309484081273 | Time = 10s
Step 75000 | Order = 0.02071411990985109 | Time = 10s
Step 76000 | Order = 0.028809416906722791 | Time = 10s
Step 77000 | Order = 0.0099137181243690552 | Time = 11s
Step 78000 | Order = 0.025024833164064723 | Time = 11s
Step 79000 | Order = 0.016041260473046343 | Time = 11s
Step 80000 | Order = 0.00065896472148069024 | Time = 11s
Step 81000 | Order = 0.016548778854690256 | Time = 11s
Step 82000 | Order = 0.0074098322740067104 | Time = 11s
Step 83000 | Order = 0.022424492795808468 | Time = 11s
Step 84000 | Order = 0.023188830226562627 | Time = 12s
Step 85000 | Order = 0.010467058045115826 | Time = 12s
Step 86000 | Order = 0.030169309721984339 | Time = 12s
Step 87000 | Order = 0.029707757793891575 | Time = 12s
Step 88000 | Order = 0.010151532110696889 | Time = 12s
Step 89000 | Order = 0.0092293696085970506 | Time = 12s
Step 90000 | Order = 0.037340233971105634 | Time = 12s
Step 91000 | Order = 0.0046639308875957609 | Time = 13s
Step 92000 | Order = 0.0075345683529038877 | Time = 13s
Step 93000 | Order = 0.031668404986910217 | Time = 13s
Step 94000 | Order = 0.014466420333800809 | Time = 13s
Step 95000 | Order = 0.031732193684102877 | Time = 13s
Step 96000 | Order = 0.016487993293621772 | Time = 13s
Step 97000 | Order = 0.021746433537786203 | Time = 13s
Step 98000 | Order = 0.020776100875920717 | Time = 14s
Step 99000 | Order = 0.02674606057745673 | Time = 14s
Step 100000 | Order = 0.046057836721690039 | Time = 14s
Step 101000 | Order = 0.028152198334738317 | Time = 14s
Step 102000 | Order = 0.019790845982510078 | Time = 14s
Step 103000 | Order = 0.027901828097616987 | Time = 14s
Step 104000 | Order = 0.018932169367669734 | Time = 15s
Step 105000 | Order = 0.015057331658596825 | Time = 15s
Step 106000 | Order = 0.020317525670728788 | Time = 15s
Step 107000 | Order = 0.051612540278689806 | Time = 15s
Step 108000 | Order = 0.011053938698723198 | Time = 15s
Step 109000 | Order = 0.020583221285405091 | Time = 15s
Step 110000 | Order = 0.03106718931209012 | Time = 15s
Step 111000 | Order = 0.0074249139398501803 | Time = 16s
Step 112000 | Order = 0.024545447747379625 | Time = 16s
Step 113000 | Order = 0.0037828348462392389 | Time = 16s
Step 114000 | Order = 0.017336348265266782 | Time = 16s
Step 115000 | Order = 0.022573487688887506 | Time = 16s
Step 116000 | Order = 0.044728080665431706 | Time = 16s
Step 117000 | Order = 0.0082195704667390335 | Time = 16s
Step 118000 | Order = 0.016045941477038757 | Time = 17s
