Simulation #59, Parameters: eta = 0.646453 | rho = 0.390363 | v0 = 0.646453s
Step 0 | Order = 0.013729602228610352 | Time = 0s
Step 1000 | Order = 0.018635752701886159 | Time = 1s
Step 2000 | Order = 0.018635752701886159 | Time = 2s
Step 3000 | Order = 0.018635752701886152 | Time = 2s
Step 4000 | Order = 0.018635752701886155 | Time = 3s
Step 5000 | Order = 0.018635752701886159 | Time = 4s
Step 6000 | Order = 0.018635752701886159 | Time = 4s
Step 7000 | Order = 0.018635752701886152 | Time = 5s
Step 8000 | Order = 0.018635752701886159 | Time = 6s
Step 9000 | Order = 0.018635752701886159 | Time = 7s
Step 10000 | Order = 0.018635752701886152 | Time = 8s
Step 11000 | Order = 0.018635752701886152 | Time = 8s
Step 12000 | Order = 0.018635752701886152 | Time = 9s
Step 13000 | Order = 0.018635752701886155 | Time = 9s
Step 14000 | Order = 0.018635752701886159 | Time = 10s
Step 15000 | Order = 0.018635752701886155 | Time = 11s
Step 16000 | Order = 0.018635752701886159 | Time = 11s
Step 17000 | Order = 0.018635752701886155 | Time = 12s
Step 18000 | Order = 0.018635752701886159 | Time = 13s
Step 19000 | Order = 0.018635752701886159 | Time = 13s
Step 20000 | Order = 0.018635752701886159 | Time = 14s
Step 21000 | Order = 0.018635752701886155 | Time = 15s
Step 22000 | Order = 0.018635752701886159 | Time = 15s
Step 23000 | Order = 0.018635752701886159 | Time = 16s
Step 24000 | Order = 0.018635752701886152 | Time = 17s
Step 25000 | Order = 0.018635752701886152 | Time = 18s
Step 26000 | Order = 0.018635752701886159 | Time = 18s
Step 27000 | Order = 0.018635752701886159 | Time = 19s
Step 28000 | Order = 0.018635752701886155 | Time = 20s
Step 29000 | Order = 0.018635752701886152 | Time = 20s
Step 30000 | Order = 0.018635752701886159 | Time = 21s
Step 31000 | Order = 0.018635752701886159 | Time = 22s
Step 32000 | Order = 0.018635752701886159 | Time = 22s
Step 33000 | Order = 0.018635752701886159 | Time = 23s
Step 34000 | Order = 0.018635752701886159 | Time = 24s
