Simulation #8, Parameters: eta = 0.896897 | rho = 0.187532 | v0 = 0.095075s
Step 0 | Order = 0.017346891155477946 | Time = 0s
Step 1000 | Order = 0.0075336786660687091 | Time = 3s
Step 2000 | Order = 0.014849719849595643 | Time = 3s
Step 3000 | Order = 0.0023227962081852948 | Time = 3s
Step 4000 | Order = 0.017201623673104214 | Time = 4s
Step 5000 | Order = 0.014319950685940669 | Time = 4s
Step 6000 | Order = 0.014386643726356457 | Time = 4s
Step 7000 | Order = 0.013141526779402342 | Time = 4s
Step 8000 | Order = 0.023132912437241193 | Time = 4s
Step 9000 | Order = 0.012599931441369975 | Time = 5s
Step 10000 | Order = 0.011930520850326039 | Time = 5s
Step 11000 | Order = 0.019494671753238196 | Time = 5s
Step 12000 | Order = 0.017536665976116351 | Time = 5s
Step 13000 | Order = 0.010172049638848399 | Time = 6s
Step 14000 | Order = 0.0082247619674474786 | Time = 6s
Step 15000 | Order = 0.031311062582448729 | Time = 6s
Step 16000 | Order = 0.011100723017854372 | Time = 6s
Step 17000 | Order = 0.0291306044070576 | Time = 7s
Step 18000 | Order = 0.0070559802510895978 | Time = 7s
Step 19000 | Order = 0.0040602315982211376 | Time = 7s
Step 20000 | Order = 0.028302823902510401 | Time = 7s
Step 21000 | Order = 0.031302734357779305 | Time = 7s
Step 22000 | Order = 0.018532728759876629 | Time = 8s
Step 23000 | Order = 0.037790469348283659 | Time = 8s
Step 24000 | Order = 0.015825508200456188 | Time = 8s
Step 25000 | Order = 0.015692358712607431 | Time = 8s
Step 26000 | Order = 0.015718483673069186 | Time = 8s
Step 27000 | Order = 0.0018254414084450715 | Time = 9s
Step 28000 | Order = 0.035861287553976974 | Time = 9s
Step 29000 | Order = 0.02648863256955869 | Time = 9s
Step 30000 | Order = 0.024627511397624407 | Time = 9s
Step 31000 | Order = 0.015454442310819036 | Time = 10s
Step 32000 | Order = 0.0056270601544246368 | Time = 10s
Step 33000 | Order = 0.014634282425081821 | Time = 10s
Step 34000 | Order = 0.0024878801203151641 | Time = 10s
Step 35000 | Order = 0.014350741872150706 | Time = 10s
Step 36000 | Order = 0.0077259966967722742 | Time = 11s
Step 37000 | Order = 0.017439688110557534 | Time = 11s
Step 38000 | Order = 0.0057175307479183654 | Time = 11s
Step 39000 | Order = 0.021041003175953147 | Time = 11s
Step 40000 | Order = 0.011625776357142648 | Time = 11s
Step 41000 | Order = 0.010542250652463796 | Time = 12s
Step 42000 | Order = 0.018012899661364212 | Time = 12s
Step 43000 | Order = 0.032381562774760668 | Time = 12s
Step 44000 | Order = 0.0057755321357204287 | Time = 12s
Step 45000 | Order = 0.020145348877626808 | Time = 13s
Step 46000 | Order = 0.0059238683597593973 | Time = 13s
Step 47000 | Order = 0.016200993410718206 | Time = 13s
Step 48000 | Order = 0.0031361406850820878 | Time = 13s
Step 49000 | Order = 0.00097407858153741617 | Time = 13s
Step 50000 | Order = 0.020083939984278477 | Time = 14s
Step 51000 | Order = 0.01682390119681983 | Time = 14s
Step 52000 | Order = 0.0083137189733371846 | Time = 14s
Step 53000 | Order = 0.011122775440129705 | Time = 14s
Step 54000 | Order = 0.0041776734391519733 | Time = 15s
Step 55000 | Order = 0.018325979025957301 | Time = 15s
Step 56000 | Order = 0.00396324185384999 | Time = 15s
Step 57000 | Order = 0.022648503307638554 | Time = 15s
Step 58000 | Order = 0.016620639198840496 | Time = 16s
Step 59000 | Order = 0.0035082689816063554 | Time = 16s
Step 60000 | Order = 0.0055647652358727833 | Time = 16s
Step 61000 | Order = 0.013624858800336639 | Time = 16s
Step 62000 | Order = 0.0090943471865575481 | Time = 16s
Step 63000 | Order = 0.0026509312138498363 | Time = 17s
Step 64000 | Order = 0.020922407234503646 | Time = 17s
Step 65000 | Order = 0.0060028750887415735 | Time = 17s
Step 66000 | Order = 0.0074457887340001958 | Time = 17s
Step 67000 | Order = 0.0098956977901944569 | Time = 18s
Step 68000 | Order = 0.0065547047162005066 | Time = 18s
Step 69000 | Order = 0.022495829366217943 | Time = 18s
Step 70000 | Order = 0.028282479940618957 | Time = 18s
Step 71000 | Order = 0.0065006778513264874 | Time = 18s
Step 72000 | Order = 0.0093090424035265542 | Time = 19s
Step 73000 | Order = 0.018544044679063731 | Time = 19s
Step 74000 | Order = 0.0077152608136260752 | Time = 19s
Step 75000 | Order = 0.033282713951627581 | Time = 19s
Step 76000 | Order = 0.0091641722135999294 | Time = 19s
Step 77000 | Order = 0.033069053384807735 | Time = 20s
Step 78000 | Order = 0.014836836415391038 | Time = 20s
Step 79000 | Order = 0.012660797417209079 | Time = 20s
Step 80000 | Order = 0.021562872246228635 | Time = 20s
Step 81000 | Order = 0.037603542510664854 | Time = 21s
Step 82000 | Order = 0.0093686883281581621 | Time = 21s
Step 83000 | Order = 0.012608956075558052 | Time = 21s
Step 84000 | Order = 0.017292477489333335 | Time = 21s
Step 85000 | Order = 0.0076077206201368335 | Time = 21s
Step 86000 | Order = 0.012939526486049679 | Time = 22s
Step 87000 | Order = 0.014146283669354389 | Time = 22s
Step 88000 | Order = 0.021177811966463376 | Time = 22s
Step 89000 | Order = 0.016005038650770329 | Time = 22s
Step 90000 | Order = 0.013280530043371227 | Time = 22s
Step 91000 | Order = 0.017662734290487345 | Time = 23s
Step 92000 | Order = 0.02182699774307291 | Time = 23s
Step 93000 | Order = 0.009117507138307392 | Time = 23s
Step 94000 | Order = 0.020648623045611384 | Time = 23s
Step 95000 | Order = 0.0056428574716511229 | Time = 24s
Step 96000 | Order = 0.01079114589291197 | Time = 24s
Step 97000 | Order = 0.009923183347788694 | Time = 24s
Step 98000 | Order = 0.010277169308828139 | Time = 24s
Step 99000 | Order = 0.02482227232125982 | Time = 24s
Step 100000 | Order = 0.023715129158082465 | Time = 25s
Step 101000 | Order = 0.016633866172888263 | Time = 25s
Step 102000 | Order = 0.010855766242581347 | Time = 25s
Step 103000 | Order = 0.0048720054290782491 | Time = 25s
Step 104000 | Order = 0.018885060218791768 | Time = 26s
Step 105000 | Order = 0.015971197554913386 | Time = 26s
Step 106000 | Order = 0.0083644093989107497 | Time = 26s
Step 107000 | Order = 0.01252835580350798 | Time = 26s
Step 108000 | Order = 0.014923357571638948 | Time = 26s
Step 109000 | Order = 0.0054002459778435758 | Time = 27s
