Simulation #160, Parameters: eta = 0.339183 | rho = 0.131496 | v0 = 0.0179504s
Step 0 | Order = 0.008545999226008431 | Time = 0s
Step 1000 | Order = 0.019334370907883976 | Time = 0s
Step 2000 | Order = 0.016557721564021684 | Time = 0s
Step 3000 | Order = 0.03004506348425371 | Time = 0s
Step 4000 | Order = 0.062286462420412872 | Time = 0s
Step 5000 | Order = 0.027685327690927245 | Time = 0s
Step 6000 | Order = 0.025828975720990913 | Time = 1s
Step 7000 | Order = 0.023084314570223016 | Time = 1s
Step 8000 | Order = 0.01552561683560748 | Time = 1s
Step 9000 | Order = 0.023781621960183248 | Time = 1s
Step 10000 | Order = 0.010495797991629065 | Time = 1s
Step 11000 | Order = 0.036886927024266596 | Time = 1s
Step 12000 | Order = 0.041380752513117923 | Time = 1s
Step 13000 | Order = 0.012652396886057553 | Time = 2s
Step 14000 | Order = 0.016274034513188082 | Time = 2s
Step 15000 | Order = 0.014918372671776068 | Time = 2s
Step 16000 | Order = 0.038399753598612224 | Time = 2s
Step 17000 | Order = 0.057639314331562906 | Time = 2s
Step 18000 | Order = 0.012174051538762538 | Time = 2s
Step 19000 | Order = 0.033761596679008743 | Time = 3s
Step 20000 | Order = 0.015393645841960677 | Time = 3s
Step 21000 | Order = 0.017317252181458145 | Time = 3s
Step 22000 | Order = 0.025572806053612798 | Time = 3s
Step 23000 | Order = 0.030588957520338356 | Time = 3s
Step 24000 | Order = 0.02503701820964168 | Time = 3s
Step 25000 | Order = 0.021017900276141071 | Time = 3s
Step 26000 | Order = 0.03779106520749792 | Time = 4s
Step 27000 | Order = 0.028266655236121922 | Time = 4s
Step 28000 | Order = 0.024537709752977737 | Time = 4s
Step 29000 | Order = 0.042337147919553397 | Time = 4s
Step 30000 | Order = 0.035538009188963819 | Time = 4s
Step 31000 | Order = 0.053038626374242975 | Time = 4s
Step 32000 | Order = 0.037721623655943691 | Time = 5s
Step 33000 | Order = 0.039103679946849837 | Time = 5s
Step 34000 | Order = 0.0052321441799660102 | Time = 5s
Step 35000 | Order = 0.078666478507992604 | Time = 5s
Step 36000 | Order = 0.034537565319015043 | Time = 5s
Step 37000 | Order = 0.043901224050467064 | Time = 5s
Step 38000 | Order = 0.0027918415984270364 | Time = 6s
Step 39000 | Order = 0.040690900540509368 | Time = 6s
Step 40000 | Order = 0.015368479114369752 | Time = 6s
Step 41000 | Order = 0.034343528848502461 | Time = 6s
Step 42000 | Order = 0.01389288502231063 | Time = 6s
Step 43000 | Order = 0.030093027772562286 | Time = 6s
Step 44000 | Order = 0.041761067514352476 | Time = 6s
Step 45000 | Order = 0.040975693882508109 | Time = 7s
Step 46000 | Order = 0.038286064715359572 | Time = 7s
Step 47000 | Order = 0.044210358812648523 | Time = 7s
Step 48000 | Order = 0.037818980383163121 | Time = 7s
Step 49000 | Order = 0.054787639091395779 | Time = 7s
Step 50000 | Order = 0.032777762184660476 | Time = 7s
Step 51000 | Order = 0.064444179984230368 | Time = 8s
Step 52000 | Order = 0.036098754192429215 | Time = 8s
Step 53000 | Order = 0.0048292708223692336 | Time = 8s
Step 54000 | Order = 0.015732945261418267 | Time = 8s
Step 55000 | Order = 0.012023228106385151 | Time = 8s
Step 56000 | Order = 0.025581032353112959 | Time = 8s
Step 57000 | Order = 0.010058763193344778 | Time = 9s
Step 58000 | Order = 0.038213050977589223 | Time = 9s
Step 59000 | Order = 0.030509030808285598 | Time = 9s
Step 60000 | Order = 0.03735146845759104 | Time = 9s
Step 61000 | Order = 0.03084119070302787 | Time = 9s
Step 62000 | Order = 0.016349555947736225 | Time = 9s
Step 63000 | Order = 0.026829348219156241 | Time = 10s
Step 64000 | Order = 0.015962165028954201 | Time = 10s
Step 65000 | Order = 0.075761790213384528 | Time = 10s
Step 66000 | Order = 0.027570288175100637 | Time = 10s
Step 67000 | Order = 0.036185114954944732 | Time = 10s
Step 68000 | Order = 0.020495881030098664 | Time = 10s
Step 69000 | Order = 0.028297627014976075 | Time = 10s
Step 70000 | Order = 0.038865367663070575 | Time = 11s
Step 71000 | Order = 0.036890570621649584 | Time = 11s
Step 72000 | Order = 0.037409515813334335 | Time = 11s
Step 73000 | Order = 0.014727743828738113 | Time = 11s
Step 74000 | Order = 0.036493849233407899 | Time = 11s
Step 75000 | Order = 0.049626774987244708 | Time = 11s
Step 76000 | Order = 0.020467303271800727 | Time = 12s
Step 77000 | Order = 0.048756924784785043 | Time = 12s
Step 78000 | Order = 0.012558520288459845 | Time = 12s
Step 79000 | Order = 0.05202069517956346 | Time = 12s
Step 80000 | Order = 0.039655170203638589 | Time = 12s
Step 81000 | Order = 0.010792898350641443 | Time = 12s
Step 82000 | Order = 0.011728452091674358 | Time = 12s
Step 83000 | Order = 0.028502602063736233 | Time = 13s
Step 84000 | Order = 0.013876144839129384 | Time = 13s
Step 85000 | Order = 0.025753118704974653 | Time = 13s
Step 86000 | Order = 0.0054933169417078469 | Time = 13s
Step 87000 | Order = 0.063400737756252365 | Time = 13s
Step 88000 | Order = 0.055424390025254414 | Time = 13s
Step 89000 | Order = 0.0064961722328105076 | Time = 14s
Step 90000 | Order = 0.024118359842784383 | Time = 14s
Step 91000 | Order = 0.035817487644072415 | Time = 14s
Step 92000 | Order = 0.017768850029083207 | Time = 14s
Step 93000 | Order = 0.021560378448792522 | Time = 14s
Step 94000 | Order = 0.0474284443090374 | Time = 14s
Step 95000 | Order = 0.031272220494493297 | Time = 15s
Step 96000 | Order = 0.027485888190522442 | Time = 15s
Step 97000 | Order = 0.0257237743210884 | Time = 15s
Step 98000 | Order = 0.025461728420714234 | Time = 15s
