Simulation #8, Parameters: eta = 0.896897 | rho = 0.187532 | v0 = 0.095075s
Step 0 | Order = 0.038661261617786706 | Time = 0s
Step 1000 | Order = 0.020029038954925145 | Time = 0s
Step 2000 | Order = 0.0059665142183208848 | Time = 0s
Step 3000 | Order = 0.021998114755927223 | Time = 0s
Step 4000 | Order = 0.019161036394944632 | Time = 0s
Step 5000 | Order = 0.012748153143606914 | Time = 1s
Step 6000 | Order = 0.017220594939968539 | Time = 1s
Step 7000 | Order = 0.023298641693583654 | Time = 1s
Step 8000 | Order = 0.021584982625725391 | Time = 1s
Step 9000 | Order = 0.014548562723544612 | Time = 2s
Step 10000 | Order = 0.0042994758343883697 | Time = 2s
Step 11000 | Order = 0.013118501361350518 | Time = 2s
Step 12000 | Order = 0.029900587239496439 | Time = 2s
Step 13000 | Order = 0.024505054316648043 | Time = 2s
Step 14000 | Order = 0.0078934002542239319 | Time = 3s
Step 15000 | Order = 0.013146210809625967 | Time = 3s
Step 16000 | Order = 0.0088474653981352128 | Time = 3s
Step 17000 | Order = 0.028236498730631346 | Time = 3s
Step 18000 | Order = 0.013087276946636771 | Time = 4s
Step 19000 | Order = 0.013270571339912449 | Time = 4s
Step 20000 | Order = 0.01216529562143444 | Time = 4s
Step 21000 | Order = 0.026514345142887308 | Time = 4s
Step 22000 | Order = 0.0029657128532178168 | Time = 4s
Step 23000 | Order = 0.01415721808776242 | Time = 5s
Step 24000 | Order = 0.014543776373548832 | Time = 5s
Step 25000 | Order = 0.0045656904471211195 | Time = 5s
Step 26000 | Order = 0.013649473586643328 | Time = 5s
Step 27000 | Order = 0.020481077201913007 | Time = 5s
Step 28000 | Order = 0.0027490378633345729 | Time = 6s
Step 29000 | Order = 0.015810473228183679 | Time = 6s
Step 30000 | Order = 0.019438048902345965 | Time = 6s
Step 31000 | Order = 0.014866723114605351 | Time = 6s
Step 32000 | Order = 0.0042085062482593426 | Time = 7s
Step 33000 | Order = 0.018154807108443527 | Time = 7s
Step 34000 | Order = 0.0050689349849909323 | Time = 7s
Step 35000 | Order = 0.013358653442420066 | Time = 7s
Step 36000 | Order = 0.026940415165797305 | Time = 7s
Step 37000 | Order = 0.003198593450712113 | Time = 8s
Step 38000 | Order = 0.026752623572307902 | Time = 8s
Step 39000 | Order = 0.0090268654064622426 | Time = 8s
Step 40000 | Order = 0.011100977853577769 | Time = 8s
Step 41000 | Order = 0.022729234127953718 | Time = 8s
Step 42000 | Order = 0.012850655714095362 | Time = 9s
Step 43000 | Order = 0.016134282733601433 | Time = 9s
Step 44000 | Order = 0.0092418025676484147 | Time = 9s
Step 45000 | Order = 0.013116585142785173 | Time = 9s
Step 46000 | Order = 0.0025406029493222357 | Time = 10s
Step 47000 | Order = 0.019698889570963322 | Time = 10s
Step 48000 | Order = 0.0065033098907118607 | Time = 10s
Step 49000 | Order = 0.008857332189750565 | Time = 10s
Step 50000 | Order = 0.018560692000826672 | Time = 11s
Step 51000 | Order = 0.0060277196199513749 | Time = 12s
Step 52000 | Order = 0.014784685793377722 | Time = 12s
Step 53000 | Order = 0.01683344433753374 | Time = 13s
Step 54000 | Order = 0.024487285411248384 | Time = 13s
Step 55000 | Order = 0.0079904979234870516 | Time = 13s
Step 56000 | Order = 0.021851610712045253 | Time = 13s
Step 57000 | Order = 0.0074462856924320843 | Time = 13s
Step 58000 | Order = 0.0034305103990184237 | Time = 14s
Step 59000 | Order = 0.020644329531052181 | Time = 14s
Step 60000 | Order = 0.018179539831261447 | Time = 14s
Step 61000 | Order = 0.010962629177733633 | Time = 14s
Step 62000 | Order = 0.0093571635237379835 | Time = 15s
Step 63000 | Order = 0.026985365293557315 | Time = 15s
Step 64000 | Order = 0.00069188145648928516 | Time = 15s
Step 65000 | Order = 0.026803945223430117 | Time = 15s
Step 66000 | Order = 0.019311784556050478 | Time = 16s
Step 67000 | Order = 0.0075584376030802701 | Time = 16s
Step 68000 | Order = 0.044570191398866622 | Time = 16s
Step 69000 | Order = 0.021830616390136739 | Time = 16s
Step 70000 | Order = 0.0171120943618512 | Time = 16s
Step 71000 | Order = 0.00420355340963313 | Time = 17s
Step 72000 | Order = 0.02283809594548171 | Time = 17s
Step 73000 | Order = 0.026544023530526564 | Time = 17s
Step 74000 | Order = 0.023251134939568822 | Time = 17s
Step 75000 | Order = 0.020017721411776032 | Time = 17s
Step 76000 | Order = 0.0074545416190673168 | Time = 18s
Step 77000 | Order = 0.0031757812272537773 | Time = 18s
Step 78000 | Order = 0.0067677136309823712 | Time = 18s
Step 79000 | Order = 0.012109407494029637 | Time = 18s
Step 80000 | Order = 0.023984137025465674 | Time = 19s
Step 81000 | Order = 0.023667051617822787 | Time = 19s
Step 82000 | Order = 0.021053034888722 | Time = 19s
Step 83000 | Order = 0.022403122164743012 | Time = 19s
Step 84000 | Order = 0.016422164180594837 | Time = 19s
Step 85000 | Order = 0.010898071438003398 | Time = 20s
Step 86000 | Order = 0.004182092387754674 | Time = 20s
Step 87000 | Order = 0.027302648085782959 | Time = 20s
Step 88000 | Order = 0.0056404490659087191 | Time = 20s
Step 89000 | Order = 0.014428000468857128 | Time = 21s
Step 90000 | Order = 0.013144925639599047 | Time = 21s
Step 91000 | Order = 0.011763302000049656 | Time = 21s
Step 92000 | Order = 0.0081468066670504474 | Time = 21s
Step 93000 | Order = 0.014567080395164281 | Time = 21s
Step 94000 | Order = 0.0057877356215231398 | Time = 22s
Step 95000 | Order = 0.0023688237799839459 | Time = 22s
Step 96000 | Order = 0.021527508617801661 | Time = 22s
Step 97000 | Order = 0.0090253442202487058 | Time = 22s
Step 98000 | Order = 0.0058981249423904342 | Time = 22s
Step 99000 | Order = 0.0076262691297572203 | Time = 23s
Step 100000 | Order = 0.015856552278554505 | Time = 23s
Step 101000 | Order = 0.0074206094828805011 | Time = 24s
Step 102000 | Order = 0.0063429043729598842 | Time = 24s
Step 103000 | Order = 0.019920832594560369 | Time = 25s
Step 104000 | Order = 0.018650355971701626 | Time = 25s
Step 105000 | Order = 0.016304981936085813 | Time = 25s
Step 106000 | Order = 0.0083438294233065136 | Time = 25s
Step 107000 | Order = 0.0066338764615696986 | Time = 26s
Step 108000 | Order = 0.0015340363405783822 | Time = 26s
Step 109000 | Order = 0.0054507599782920406 | Time = 26s
Step 110000 | Order = 0.025631565036681323 | Time = 26s
Step 111000 | Order = 0.015254010008454388 | Time = 27s
Step 112000 | Order = 0.0077992125841922361 | Time = 27s
Step 113000 | Order = 0.015148223926431141 | Time = 27s
Step 114000 | Order = 0.0084752165682642367 | Time = 27s
Step 115000 | Order = 0.011850618820567585 | Time = 27s
Step 116000 | Order = 0.013540533694022623 | Time = 28s
Step 117000 | Order = 0.0087813581401488313 | Time = 28s
Step 118000 | Order = 0.024004642676425065 | Time = 28s
Step 119000 | Order = 0.01740616782641239 | Time = 28s
Step 120000 | Order = 0.0061409391599183301 | Time = 28s
Step 121000 | Order = 0.032368171351147772 | Time = 29s
Step 122000 | Order = 0.023206375766625303 | Time = 29s
Step 123000 | Order = 0.033805475746523428 | Time = 29s
Step 124000 | Order = 0.0089129205611429355 | Time = 29s
Step 125000 | Order = 0.027538462698876165 | Time = 29s
Step 126000 | Order = 0.01314989583270741 | Time = 30s
Step 127000 | Order = 0.0070501675687334522 | Time = 30s
Step 128000 | Order = 0.0055406674837267826 | Time = 30s
Step 129000 | Order = 0.01420891272820614 | Time = 30s
Step 130000 | Order = 0.0097746522629912746 | Time = 31s
Step 131000 | Order = 0.014948814618679494 | Time = 31s
Step 132000 | Order = 0.022221685873517055 | Time = 31s
Step 133000 | Order = 0.015802238304454916 | Time = 31s
Step 134000 | Order = 0.017323804015721807 | Time = 32s
Step 135000 | Order = 0.016738999887173141 | Time = 32s
Step 136000 | Order = 0.023837748627849053 | Time = 32s
Step 137000 | Order = 0.011115859776756004 | Time = 32s
Step 138000 | Order = 0.018528427626675042 | Time = 32s
Step 139000 | Order = 0.023367901603145187 | Time = 33s
Step 140000 | Order = 0.0054212128069371758 | Time = 33s
Step 141000 | Order = 0.0017179648108026733 | Time = 33s
Step 142000 | Order = 0.0069552379731522432 | Time = 33s
Step 143000 | Order = 0.02989552654779604 | Time = 33s
Step 144000 | Order = 0.029808661040682749 | Time = 34s
Step 145000 | Order = 0.011456272999426434 | Time = 34s
Step 146000 | Order = 0.015862618500670164 | Time = 34s
Step 147000 | Order = 0.012187477494183961 | Time = 34s
Step 148000 | Order = 0.018405164264472838 | Time = 34s
Step 149000 | Order = 0.011289410155172397 | Time = 35s
Step 150000 | Order = 0.0077444912488810495 | Time = 35s
Step 151000 | Order = 0.0040667163187477354 | Time = 36s
Step 152000 | Order = 0.012065208353187773 | Time = 36s
Step 153000 | Order = 0.0054136063264710252 | Time = 36s
Step 154000 | Order = 0.0021146048180597978 | Time = 36s
Step 155000 | Order = 0.029334992490478981 | Time = 37s
Step 156000 | Order = 0.030069326993952039 | Time = 37s
Step 157000 | Order = 0.01075874317296178 | Time = 37s
Step 158000 | Order = 0.0073784535604163532 | Time = 37s
Step 159000 | Order = 0.007565656813912274 | Time = 38s
Step 160000 | Order = 0.014864469554556994 | Time = 38s
Step 161000 | Order = 0.013073698049269977 | Time = 38s
Step 162000 | Order = 0.011441548012975372 | Time = 38s
Step 163000 | Order = 0.032779738427349804 | Time = 38s
Step 164000 | Order = 0.016113083169202 | Time = 39s
Step 165000 | Order = 0.0042236928906980694 | Time = 39s
Step 166000 | Order = 0.02343738782260496 | Time = 39s
Step 167000 | Order = 0.0013725722653321738 | Time = 39s
Step 168000 | Order = 0.024464641980472407 | Time = 39s
Step 169000 | Order = 0.017690005934276026 | Time = 40s
Step 170000 | Order = 0.017999229304465642 | Time = 40s
Step 171000 | Order = 0.031047998168120799 | Time = 40s
Step 172000 | Order = 0.014607976218854799 | Time = 40s
Step 173000 | Order = 0.031084978471769272 | Time = 40s
Step 174000 | Order = 0.012499986621312166 | Time = 41s
Step 175000 | Order = 0.014667564345628799 | Time = 41s
Step 176000 | Order = 0.026776905590406477 | Time = 41s
Step 177000 | Order = 0.017073775611099677 | Time = 41s
Step 178000 | Order = 0.020916764984403941 | Time = 42s
Step 179000 | Order = 0.0053401281832968451 | Time = 42s
Step 180000 | Order = 0.0027152895505220321 | Time = 42s
Step 181000 | Order = 0.004232832709249775 | Time = 42s
Step 182000 | Order = 0.017874926984884545 | Time = 43s
Step 183000 | Order = 0.028184125451656591 | Time = 43s
Step 184000 | Order = 0.014804775854100097 | Time = 43s
Step 185000 | Order = 0.020522261711831125 | Time = 43s
Step 186000 | Order = 0.012405586294069175 | Time = 43s
Step 187000 | Order = 0.015419860474967179 | Time = 44s
Step 188000 | Order = 0.033063779520610244 | Time = 44s
Step 189000 | Order = 0.016574890230239257 | Time = 44s
Step 190000 | Order = 0.010176469916303931 | Time = 44s
Step 191000 | Order = 0.015566470724773457 | Time = 44s
Step 192000 | Order = 0.0055975681663200444 | Time = 45s
Step 193000 | Order = 0.001433586419196352 | Time = 45s
Step 194000 | Order = 0.017672120144253494 | Time = 45s
Step 195000 | Order = 0.024627504894361177 | Time = 45s
Step 196000 | Order = 0.029238507609909929 | Time = 45s
Step 197000 | Order = 0.0071209082594903194 | Time = 46s
Step 198000 | Order = 0.019696371307223844 | Time = 46s
Step 199000 | Order = 0.010958924318446375 | Time = 46s
Step 200000 | Order = 0.015561164932269547 | Time = 46s
Step 201000 | Order = 0.027556420436062882 | Time = 47s
Step 202000 | Order = 0.023277067354619322 | Time = 47s
Step 203000 | Order = 0.0048842866679823611 | Time = 47s
Step 204000 | Order = 0.022973750897368903 | Time = 47s
Step 205000 | Order = 0.019779905226864875 | Time = 48s
Step 206000 | Order = 0.019973613510776714 | Time = 48s
Step 207000 | Order = 0.016439492563308376 | Time = 48s
Step 208000 | Order = 0.0058457076149770401 | Time = 48s
Step 209000 | Order = 0.030995739641529508 | Time = 49s
Step 210000 | Order = 0.037786739042057239 | Time = 49s
Step 211000 | Order = 0.012338289032192076 | Time = 49s
Step 212000 | Order = 0.0073241385077150402 | Time = 49s
Step 213000 | Order = 0.031142438184492388 | Time = 49s
Step 214000 | Order = 0.017534421833546469 | Time = 50s
Step 215000 | Order = 0.020889803165958246 | Time = 50s
Step 216000 | Order = 0.019638323281061253 | Time = 50s
Step 217000 | Order = 0.025399055738508387 | Time = 50s
Step 218000 | Order = 0.0046587197308940896 | Time = 50s
Step 219000 | Order = 0.017782967121587039 | Time = 51s
Step 220000 | Order = 0.02518994444009813 | Time = 51s
Step 221000 | Order = 0.015674818019667705 | Time = 51s
Step 222000 | Order = 0.012143505709758843 | Time = 51s
Step 223000 | Order = 0.016093597657130435 | Time = 51s
Step 224000 | Order = 0.021607351328425006 | Time = 52s
Step 225000 | Order = 0.034687516506622711 | Time = 52s
Step 226000 | Order = 0.026467571585015382 | Time = 52s
Step 227000 | Order = 0.023989746926833533 | Time = 52s
Step 228000 | Order = 0.023563987051575159 | Time = 53s
Step 229000 | Order = 0.012792459350551845 | Time = 53s
Step 230000 | Order = 0.013223942526638291 | Time = 53s
Step 231000 | Order = 0.0012497541749623292 | Time = 53s
Step 232000 | Order = 0.0092402609551558209 | Time = 54s
Step 233000 | Order = 0.018696718033806941 | Time = 54s
Step 234000 | Order = 0.02078293991139268 | Time = 54s
Step 235000 | Order = 0.011476579072878369 | Time = 54s
Step 236000 | Order = 0.020213393048488397 | Time = 54s
Step 237000 | Order = 0.0091404257620789475 | Time = 55s
Step 238000 | Order = 0.015145845746692303 | Time = 55s
Step 239000 | Order = 0.008891294616634059 | Time = 55s
Step 240000 | Order = 0.016394269566535599 | Time = 55s
Step 241000 | Order = 0.010426824000667615 | Time = 55s
Step 242000 | Order = 0.018552874149461419 | Time = 56s
Step 243000 | Order = 0.0063032733096120052 | Time = 56s
Step 244000 | Order = 0.0080230608440926138 | Time = 56s
Step 245000 | Order = 0.019886214536720678 | Time = 56s
Step 246000 | Order = 0.027589565404402952 | Time = 56s
Step 247000 | Order = 0.011435385396732799 | Time = 57s
Step 248000 | Order = 0.031235225768588757 | Time = 57s
Step 249000 | Order = 0.011140591917818727 | Time = 57s
Step 250000 | Order = 0.0056552607196033991 | Time = 57s
Step 251000 | Order = 0.0064983885071372002 | Time = 59s
Step 252000 | Order = 0.0038514746531702893 | Time = 60s
Step 253000 | Order = 0.012132633442588926 | Time = 60s
Step 254000 | Order = 0.02840494081716231 | Time = 60s
Step 255000 | Order = 0.0058259934122349899 | Time = 60s
Step 256000 | Order = 0.013909560578127561 | Time = 61s
Step 257000 | Order = 0.0054069290769195805 | Time = 61s
Step 258000 | Order = 0.021190703407270511 | Time = 61s
Step 259000 | Order = 0.01891690526828305 | Time = 61s
Step 260000 | Order = 0.027590087499009579 | Time = 61s
Step 261000 | Order = 0.0061164176302050018 | Time = 62s
Step 262000 | Order = 0.016181555308220918 | Time = 62s
Step 263000 | Order = 0.044699546720039035 | Time = 62s
Step 264000 | Order = 0.026231015539608837 | Time = 62s
Step 265000 | Order = 0.0010043853965667491 | Time = 62s
Step 266000 | Order = 0.018009387937293449 | Time = 63s
Step 267000 | Order = 0.012481186709708764 | Time = 63s
Step 268000 | Order = 0.010857332053858594 | Time = 63s
Step 269000 | Order = 0.0068621614049756271 | Time = 63s
Step 270000 | Order = 0.018859061667768139 | Time = 64s
Step 271000 | Order = 0.024627852360767758 | Time = 64s
Step 272000 | Order = 0.030518545002780294 | Time = 64s
Step 273000 | Order = 0.033912826227027168 | Time = 64s
Step 274000 | Order = 0.015263000828367937 | Time = 65s
Step 275000 | Order = 0.0077309362663808496 | Time = 65s
Step 276000 | Order = 0.014045839578756728 | Time = 65s
Step 277000 | Order = 0.0048412697492525199 | Time = 65s
Step 278000 | Order = 0.023050379291051085 | Time = 65s
Step 279000 | Order = 0.018060841055243849 | Time = 66s
Step 280000 | Order = 0.035104745790516804 | Time = 66s
Step 281000 | Order = 0.018075638455620668 | Time = 66s
Step 282000 | Order = 0.012146973363012134 | Time = 66s
Step 283000 | Order = 0.01486129527723236 | Time = 66s
Step 284000 | Order = 0.01216881963023983 | Time = 67s
Step 285000 | Order = 0.023236626175732258 | Time = 67s
Step 286000 | Order = 0.025707315375066663 | Time = 67s
Step 287000 | Order = 0.0082205215318562862 | Time = 67s
Step 288000 | Order = 0.008300018434243878 | Time = 67s
Step 289000 | Order = 0.016246935595358322 | Time = 68s
Step 290000 | Order = 0.032106726046253094 | Time = 68s
Step 291000 | Order = 0.011793499836824088 | Time = 68s
Step 292000 | Order = 0.009124997425192443 | Time = 68s
Step 293000 | Order = 0.013903479263778626 | Time = 68s
Step 294000 | Order = 0.021080371140251051 | Time = 69s
Step 295000 | Order = 0.017531613456290777 | Time = 69s
Step 296000 | Order = 0.0071280050995540349 | Time = 69s
Step 297000 | Order = 0.015537318084158681 | Time = 69s
Step 298000 | Order = 0.018022777494380172 | Time = 70s
Step 299000 | Order = 0.030249494213492309 | Time = 70s
Step 300000 | Order = 0.024060349712286207 | Time = 70s
Step 301000 | Order = 0.022877018613311068 | Time = 74s
Step 302000 | Order = 0.0026956514738931225 | Time = 75s
Step 303000 | Order = 0.019875333037513283 | Time = 75s
Step 304000 | Order = 0.0074646712226242038 | Time = 75s
Step 305000 | Order = 0.013831949647090435 | Time = 75s
Step 306000 | Order = 0.020247744115157104 | Time = 76s
Step 307000 | Order = 0.024045109659127314 | Time = 76s
Step 308000 | Order = 0.0097483082894778712 | Time = 76s
Step 309000 | Order = 0.031225267507707089 | Time = 76s
Step 310000 | Order = 0.028648556469324835 | Time = 76s
Step 311000 | Order = 0.022893860701778599 | Time = 77s
Step 312000 | Order = 0.012041955196843547 | Time = 77s
Step 313000 | Order = 0.0036375497531529496 | Time = 77s
Step 314000 | Order = 0.030904319706918218 | Time = 77s
Step 315000 | Order = 0.014803582001883227 | Time = 78s
Step 316000 | Order = 0.0023178539077551752 | Time = 78s
